日期,竞价_总额,竞价_上海额,竞价_创业额,竞价_涨停,竞价_跌停,竞价_强力,竞价_极弱,竞价_上涨,竞价_下跌,竞价_全场涨跌比,竞价_上海涨跌比,竞价_创业涨跌比,竞价_前15占比,竞价_上证涨跌幅,竞价_深证涨跌幅,竞价_创业涨跌幅,竞价_核心溢价,竞价_妖股溢价,收盘_总额,收盘_上海额,收盘_创业额,收盘_涨停,收盘_跌停,收盘_强力,收盘_极弱,收盘_上涨,收盘_下跌,收盘_全场涨跌比,收盘_上海涨跌比,收盘_创业涨跌比,收盘_前15占比,收盘_上证涨跌幅,收盘_深证涨跌幅,收盘_创业涨跌幅,收盘_核心溢价,收盘_核心赚钱,收盘_核心承接,收盘_妖股溢价,收盘_妖股赚钱,收盘_妖股承接,竞价_资金增减,竞价_增减幅,竞价_上海额_diff,竞价_创业额_diff,竞价_涨停_diff,竞价_跌停_diff,竞价_强力_diff,竞价_极弱_diff,收盘_资金增减,收盘_增减幅,收盘_上海额_diff,收盘_创业额_diff,收盘_涨停_diff,收盘_跌停_diff,收盘_强力_diff,收盘_极弱_diff
2025-06-12,107.72,40.37,27.32,8,0,14,3,1257,3130,0.40,0.46,0.31,11.93,-0.13,-0.37,-0.23,,,13031.22,5011.05,3785.72,64.00,0.00,118.00,8.00,2268.00,2759.00,0.82,0.72,1.17,6.29,0.01,-0.11,0.26,,,,,,,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-06-13,137.59,49.79,35.07,11,1,31,8,1030,3601,0.29,0.33,0.19,13.49,-0.15,-0.39,-0.59,-0.70,-3.09,15032.50,6046.72,4105.06,57.00,8.00,96.00,99.00,819.00,4334.00,0.19,0.21,0.16,5.14,-0.75,-1.10,-1.13,-0.70,-0.75,-0.06,-3.09,-7.74,-4.85,29.87,0.28,9.42,7.75,3,1,17,5,2001.28,0.15,1035.67,319.34,-7.00,8.00,-22.00,91.00
2025-06-16,129.17,47.87,31.38,8,0,20,4,1155,3477,0.33,0.38,0.30,15.07,-0.23,-0.25,-0.25,0.13,2.00,12431.43,4810.62,3576.47,55.00,3.00,138.00,16.00,3441.00,1589.00,2.17,1.79,3.49,6.22,0.35,0.41,0.66,0.13,2.41,2.24,2.00,5.36,3.33,-8.42,-0.06,-1.92,-3.69,-3,-1,-11,-4,-2601.07,-0.17,-1236.10,-528.59,-2.00,-5.00,42.00,-83.00
2025-06-17,105.86,31.55,33.83,10,0,24,1,2508,1691,1.48,1.43,1.44,14.30,-0.02,0.14,0.20,0.38,0.62,12366.81,4575.33,3729.92,46.00,6.00,80.00,44.00,2173.00,2828.00,0.77,0.82,0.64,5.74,-0.04,-0.12,-0.36,0.38,0.97,0.61,0.62,2.81,2.48,-23.31,-0.18,-16.32,2.45,2,0,4,-3,-64.62,-0.01,-235.29,153.45,-9.00,3.00,-58.00,28.00
2025-06-18,104.52,34.03,28.48,7,1,10,2,1085,3406,0.32,0.44,0.17,15.50,-0.04,-0.09,-0.16,-0.96,-1.79,12213.44,4405.61,3718.48,41.00,9.00,88.00,47.00,1760.00,3353.00,0.52,0.50,0.70,6.36,0.04,0.24,0.23,-0.96,-0.71,0.24,-1.79,-2.65,-0.90,-1.34,-0.01,2.48,-5.35,-3,1,-14,1,-153.37,-0.01,-169.72,-11.44,-5.00,3.00,8.00,3.00
2025-06-19,101.37,30.47,29.71,4,0,11,7,1259,3092,0.41,0.46,0.34,16.18,-0.13,-0.19,-0.27,0.35,-1.05,12803.85,4727.34,3868.61,34.00,13.00,58.00,92.00,691.00,4493.00,0.15,0.17,0.16,5.41,-0.79,-1.21,-1.36,0.35,-1.88,-2.18,-1.05,-0.63,0.39,-3.15,-0.03,-3.56,1.23,-3,-1,1,5,590.41,0.05,321.73,150.13,-7.00,4.00,-30.00,45.00
2025-06-20,90.38,28.01,25.61,7,0,17,8,1734,2439,0.71,0.86,0.66,16.65,-0.10,-0.13,0.00,-1.37,0.40,10913.43,4104.78,3263.86,45.00,14.00,72.00,77.00,1499.00,3518.00,0.43,0.51,0.31,5.85,-0.07,-0.47,-0.84,-1.37,-2.42,-1.05,0.40,-1.12,-1.58,-10.99,-0.11,-2.46,-4.10,3,0,6,1,-1890.42,-0.15,-622.56,-604.75,11.00,1.00,14.00,-15.00
2025-06-23,112.63,40.00,29.71,7,1,24,11,822,3965,0.21,0.23,0.18,12.98,-0.31,-0.55,-0.64,-1.00,-3.51,11464.99,4423.11,3403.28,71.00,0.00,147.00,7.00,4311.00,802.00,5.38,4.01,7.91,5.62,0.65,0.43,0.39,-1.00,2.96,4.02,-3.51,-2.13,1.48,22.25,0.25,11.99,4.10,0,1,7,3,551.56,0.05,318.33,139.42,26.00,-14.00,75.00,-70.00
2025-06-24,123.53,44.59,34.15,11,20,28,41,3043,1390,2.19,2.25,2.07,12.90,-0.04,0.26,0.35,-0.64,-0.27,14475.68,5442.01,4416.60,70.00,18.00,163.00,47.00,4624.00,555.00,8.33,7.66,8.64,5.97,1.15,1.68,2.30,-0.64,0.81,1.48,-0.27,1.55,1.80,10.90,0.10,4.59,4.44,4,19,4,30,3010.69,0.26,1018.90,1013.32,-1.00,18.00,16.00,40.00
2025-06-25,133.93,44.19,39.45,9,2,21,8,2746,1512,1.82,2.02,1.41,12.19,-0.04,0.22,0.44,-0.29,1.50,16387.50,6193.38,5184.21,68.00,2.00,132.00,17.00,3838.00,1196.00,3.21,3.38,2.91,8.04,1.03,1.72,3.11,-0.29,4.88,5.27,1.50,1.96,0.50,10.40,0.08,-0.40,5.30,-2,-18,-7,-33,1911.82,0.13,751.37,767.61,-2.00,-16.00,-31.00,-30.00
