code,所属概念,所属概念数量,market_code,股票代码
920078,新股与次新股;融资融券,2,151,920078.BJ
300302,存储芯片;芯片概念;数据安全;东数西算(算力);专精特新;信创;数据中心;国产操作系统;云计算;卫星导航;军工;军工信息化;深股通;融资融券,14,33,300302.SZ
688328,MiniLED;电子纸;柔性屏(折叠屏);存储芯片;先进封装;OLED;第三代半导体;MR(混合现实);消费电子概念;AI眼镜;芯片概念;小米概念;智能穿戴;新型工业化;机器视觉;专精特新;共封装光学(CPO);新能源汽车;华为概念;机器人概念;锂电池概念;虚拟现实;融资融券,23,17,688328.SH
301306,卫星导航;商业航天;大飞机;军民融合;军工;华为概念;专精特新;西部大开发;存储芯片;融资融券,10,33,301306.SZ
301128,富士康概念;液冷服务器;PCB概念;苹果概念;共封装光学(CPO);华为手机;人形机器人;华为海思概念股;柔性屏(折叠屏);比亚迪概念;芯片概念;消费电子概念;新能源汽车;华为汽车;新型工业化;高端装备;无人机;数据中心;军工;机器人概念;华为数字能源;无人驾驶;华为概念;虚拟现实;粤港澳大湾区;人工智能;深股通;融资融券,28,33,301128.SZ
300042,存储芯片;汽车芯片;芯片概念;算力租赁;东数西算(算力);AI眼镜;消费电子概念;智能穿戴;时空大数据;华为昇腾;华为鲲鹏;智慧城市;粤港澳大湾区;人民币贬值受益;DeepSeek概念;虚拟数字人;知识产权保护;国企改革;跨境电商;深股通;融资融券,21,33,300042.SZ
301191,F5G概念;6G概念;WiFi 6;5G;芯片概念;数据中心;汽车电子;华为概念;小米概念;网络安全;智能座舱;信创;安防;车联网(车路协同);粤港澳大湾区;创投;深股通;融资融券,18,33,301191.SZ
301428,快手概念;云计算;数据安全;多模态AI;抖音概念(字节概念);网络安全;数据确权;腾讯概念;AIGC概念;AI智能体;鸿蒙概念;数据要素;移动支付;DeepSeek概念;数字货币;人工智能;数字经济;智慧城市;ETC;车联网(车路协同);互联网金融;物联网;华为概念;AI应用;网约车;宠物经济;无人驾驶;乡村振兴;新能源汽车;西部大开发;新疆振兴;融资融券,32,33,301428.SZ
300571,算力租赁;数字水印;智谱AI;华为昇腾;多模态AI;快手概念;腾讯概念;虚拟数字人;阿里巴巴概念;东数西算(算力);元宇宙;鸿蒙概念;数据要素;短剧游戏;文化传媒概念;DeepSeek概念;数字经济;虚拟现实;智能音箱;数据中心;IP经济(谷子经济);WiFi 6;5G;低空经济;6G概念;无人机;机器人概念;智能家居;芯片概念;人形机器人;储能;F5G概念;共封装光学(CPO),33,33,300571.SZ
300166,MLOps概念;AI语料;华为欧拉;华为昇腾;算力租赁;云计算;ChatGPT概念;多模态AI;华为鲲鹏;数字水印;数据安全;Web3.0;智慧政务;AIGC概念;信创;AI智能体;虚拟数字人;电子身份证;东数西算(算力);数据要素;鸿蒙概念;区块链;互联网保险;数字乡村;元宇宙;时空大数据;DeepSeek概念;数字经济;数据中心;互联网金融;人工智能;数字孪生;智慧城市;职业教育;虚拟现实;华为概念;物联网;工业互联网;5G;AI手机;AI应用;机器视觉;虚拟电厂;京津冀一体化;新型工业化;人形机器人;海工装备;碳中和;乡村振兴;深股通;融资融券,51,33,300166.SZ
