market_code,所属概念,所属概念数量,股票代码,code
33,页岩气;俄乌冲突概念;天然气;净水概念;PPP概念;污水处理;京津冀一体化;创投;融资融券;深股通,10,300332.SZ,300332
33,算力租赁;云计算;数据安全;网络安全;数据确权;东数西算(算力);抖音概念(字节概念);阿里巴巴概念;国资云;数据要素;量子科技;电力物联网;数据中心;华为概念;DeepSeek概念;数字孪生;数字经济;物联网;核电;京津冀一体化;国企改革;深股通;融资融券,23,300895.SZ,300895
151,换电概念;算力租赁;天然气;氢能源;融资融券;储能;东数西算(算力);西部大开发;锂电池概念;数据中心,10,920010.BJ,920010
17,光刻胶;中芯国际概念;氟化工概念;光刻机;存储芯片;第三代半导体;氢能源;芯片概念;俄乌冲突概念;专精特新;核电;粤港澳大湾区;沪股通;融资融券,14,688268.SH,688268
33,虚拟电厂;光伏建筑一体化;绿色电力;光伏概念;风电;储能;华为概念;粤港澳大湾区;OLED;国企改革;锂电池概念,11,300317.SZ,300317
17,氢能源;燃料电池;专精特新;融资融券,4,688021.SH,688021
33,俄乌冲突概念;天然气;股权转让(并购重组),3,300483.SZ,300483
33,算力租赁;财税数字化;云计算;东数西算(算力);多模态AI;ChatGPT概念;智慧政务;腾讯概念;信创;AI智能体;数据要素;MR(混合现实);数据中心;空间计算;DeepSeek概念;数字经济;智慧城市;华为概念;安防;人工智能;职业教育;AI应用;物联网;智能医疗;专精特新;乡村振兴;旅游概念;智能物流;新型城镇化;深股通;融资融券,31,301396.SZ,301396
151,回购增持再贷款概念;融资融券;天然气;专精特新;大飞机;氢能源,6,920014.BJ,920014
33,海峡两岸;垃圾分类;PPP概念;污水处理;医疗废物处理;生物质能发电;医美概念;固废处理;燃料电池;绿色电力;DeepSeek概念;氢能源;短剧游戏;AI应用;深股通;融资融券,16,300867.SZ,300867
17,共封装光学(CPO);光纤概念;第三代半导体;芯片概念;汽车芯片;数据中心;可控核聚变;商业航天;专精特新;华为概念;无人驾驶;医美概念;沪股通;融资融券,14,688048.SH,688048
33,华为昇腾;智谱AI;算力租赁;华为鲲鹏;云办公;多模态AI;云计算;语音技术;财税数字化;信创;网络安全;东数西算(算力);智慧政务;AIGC概念;数据确权;AI智能体;人脸识别;腾讯概念;时空大数据;卫星导航;阿里巴巴概念;在线教育;数据要素;5G;芯片概念;智慧灯杆;华为概念;数字乡村;区块链;安防;数据中心;智慧城市;液冷服务器;人工智能;数字孪生;DeepSeek概念;华为数字能源;物联网;无人机;数字经济;低空经济;智能医疗;新型工业化;机器人概念;粤港澳大湾区;智能电网;智能物流;新型城镇化;AI应用;融资融券,50,301248.SZ,301248
33,股权转让(并购重组);生态农业;乡村振兴;PPP概念;京津冀一体化;医疗废物处理;新型城镇化;汽车拆解概念;雄安新区;土壤修复;国企改革;污水处理;水利;固废处理;绿色电力;风电;储能;金属回收;深股通;摘帽,20,002310.SZ,002310
17,超超临界发电;煤炭概念;绿色电力;风电;黑龙江自贸区;国企改革;央企国企改革;沪股通,8,600726.SH,600726
