股票代码,所属概念,code,所属概念数量,market_code
920305.BJ,智慧政务;机器视觉;机器人概念;独角兽概念;新型工业化;数据要素;智能医疗;智慧城市;数据中心;数字经济;华为概念;人工智能;专精特新;DeepSeek概念;ST板块;ChatGPT概念;AIGC概念;云计算;东数西算(算力);信创,920305,20,151
300345.SZ,BC电池;TOPCON电池;HJT电池;硅能源;光伏概念;碳中和;军民融合;储能;军工;人形机器人;机器人概念;智慧城市;智能电网;华为概念,300345,14,33
300868.SZ,东数西算(算力);华为概念;消费电子概念;智能穿戴;AI眼镜;跨境电商;股权转让(并购重组);融资融券,300868,8,33
300385.SZ,医疗废物处理;固废处理;国企改革;专精特新,300385,4,33
688622.SH,量子科技;PM2.5;粤港澳大湾区;专精特新;食品安全;医疗器械概念;碳中和;沪股通;融资融券,688622,9,17
688268.SH,光刻机;中芯国际概念;俄乌冲突概念;光刻胶;存储芯片;氟化工概念;氢能源;第三代半导体;芯片概念;专精特新;粤港澳大湾区;核电;沪股通;融资融券,688268,14,17
301309.SZ,智能家居;人民币贬值受益;专精特新;共同富裕示范区;3D打印;融资融券,301309,6,33
688345.SH,钠离子电池;固态电池;储能;锂电池概念;两轮车;数据中心;机器人概念;融资融券,688345,8,17
920414.BJ,机器视觉;数字孪生;钙钛矿电池;机器人概念;光伏概念;人工智能;融资融券;无人机;储能;专精特新;云计算,920414,11,151
300085.SZ,华为鲲鹏;数据确权;信创;数字货币;数据要素;区块链;互联网金融;百度概念;语音技术;人工智能;华为概念;跨境电商;5G;机器人概念;粤港澳大湾区;参股券商;碳中和;AI应用;深股通;股权转让(并购重组);融资融券,300085,21,33
600844.SH,煤化工概念;可降解塑料;西部大开发;股权转让(并购重组),600844,4,17
600792.SH,煤炭概念;煤化工概念;国企改革;西部大开发,600792,4,17
600396.SH,碳交易;绿色电力;超超临界发电;碳中和;风电;国企改革;氢能源;央企国企改革;海工装备,600396,9,17
002310.SZ,股权转让(并购重组);医疗废物处理;PPP概念;绿色电力;京津冀一体化;生态农业;乡村振兴;汽车拆解概念;新型城镇化;土壤修复;国企改革;雄安新区;固废处理;深股通;污水处理;风电;储能;水利;金属回收;摘帽,002310,20,33
001258.SZ,绿色电力;光热发电;新疆振兴;风电;碳中和;充电桩;国企改革;储能;西部大开发;2025年报预增;深股通,001258,11,33
000703.SZ,可降解塑料;回购增持再贷款概念;一带一路;参股银行;西部大开发;互联网金融;融资融券;深股通;阿里巴巴概念,000703,9,33
600149.SH,雄安新区;京津冀一体化;国企改革;物业管理,600149,4,17
603727.SH,天然气;俄乌冲突概念;中俄贸易概念;一带一路;海工装备;锂电池概念;京津冀一体化;融资融券,603727,8,17
603787.SH,共享单车;职业教育;两轮车;DeepSeek概念;华为概念;比亚迪概念;2025年报预增,603787,7,17
600032.SH,抽水蓄能;绿色电力;风电;氢能源;国企改革;沪股通;融资融券,600032,7,17
600143.SH,PEEK材料;人形机器人;特斯拉概念;碳纤维;新能源汽车;机器人概念;无人机;低空经济;商业航天;5G;数据中心;充电桩;创投;储能;粤港澳大湾区;数字经济;可降解塑料;光伏概念;氢能源;锂电池概念;固态电池;碳中和;医疗器械概念;合成生物;沪股通;融资融券,600143,26,17
603105.SH,光伏建筑一体化;绿色电力;虚拟电厂;光伏概念;储能;充电桩;回购增持再贷款概念;共同富裕示范区;长三角一体化;沪股通;融资融券,603105,11,17
002218.SZ,钙钛矿电池;HJT电池;硅能源;POE胶膜;光伏建筑一体化;光伏概念;商业航天;卫星导航;华为概念;绿色电力;储能;粤港澳大湾区;充电桩;芯片概念;新能源汽车;深股通;融资融券,002218,17,33
603616.SH,地下管网;雄安新区;PPP概念;土壤修复;一带一路;水利;京津冀一体化;PEEK材料;股权转让(并购重组),603616,9,17
603803.SH,F5G概念;WiFi 6;共封装光学(CPO);6G概念;5G;量子科技;数据中心;东数西算(算力);芯片概念;新型工业化;物联网;网络安全;无人驾驶;智慧城市;工业互联网;数据安全;车联网(车路协同);新型城镇化;智能电网;融资融券,603803,20,17
603016.SH,特高压;国企改革,603016,2,17
603687.SH,数字水印;AIGC概念;钙钛矿电池;ChatGPT概念;数字孪生;DeepSeek概念;人工智能;物联网;工业互联网;烟草;光伏概念;共同富裕示范区;锂电池概念,603687,13,17
603529.SH,共享单车;两轮车;鸿蒙概念;钠离子电池;新能源汽车;换电概念;融资融券;沪股通,603529,8,17
002150.SZ,风电;光伏概念;储能;充电桩;一带一路;人民币贬值受益;乡村振兴;农机;深股通;融资融券,002150,10,33
600758.SH,煤炭概念;国企改革;风电;沪股通;融资融券,600758,5,17
002896.SZ,减速器;人形机器人;新型工业化;新能源汽车;机器人概念;长三角一体化;共同富裕示范区;融资融券;深股通,002896,9,33
603272.SH,长三角一体化;共同富裕示范区;专精特新;工业互联网;回购增持再贷款概念,603272,5,17
