所属概念,market_code,所属概念数量,股票代码,code
MicroLED概念;注册制次新股;新股与次新股;融资融券,33,4,301683.SZ,301683
医疗器械概念;回购增持再贷款概念;融资融券,33,3,301188.SZ,301188
创新药;辅助生殖;仿制药一致性评价;基因测序;肝炎概念;医药电商;福建自贸区;海峡两岸;融资融券;深股通,33,10,300436.SZ,300436
粤港澳大湾区;专精特新;融资融券,33,3,300834.SZ,300834
智能医疗;CRO概念;细胞免疫治疗;DeepSeek概念;重组蛋白;创新药;AI应用;人民币贬值受益;深股通;股权转让(并购重组);融资融券,33,11,300149.SZ,300149
共封装光学(CPO);新型烟草(电子烟);AI PC;苹果概念;MicroLED概念;MiniLED;华为海思概念股;数据中心;MR(混合现实);消费电子概念;芯片概念;AI眼镜;新型工业化;专精特新;机器视觉;汽车电子;比亚迪概念;高端装备;粤港澳大湾区;华为概念;机器人概念;虚拟现实;空间计算;元宇宙;深股通;融资融券,33,26,301312.SZ,301312
创新药;专精特新;DeepSeek概念;沪股通;融资融券,17,5,688488.SH,688488
第三代半导体;芯片概念;富士康概念;PET铜箔;专精特新;苹果概念;比亚迪概念;锂电池概念;光伏概念;TOPCON电池;钙钛矿电池;深股通;融资融券,33,13,301392.SZ,301392
铜缆高速连接;液冷服务器;英伟达概念;5G;机器视觉;比亚迪概念;新能源汽车;2025年报预增;商业航天;长安汽车概念;融资融券;沪股通,17,12,688668.SH,688668
CRO概念;创新药;重组蛋白;仿制药一致性评价;西部大开发;融资融券,17,6,688553.SH,688553
算力租赁;财税数字化;云计算;东数西算(算力);多模态AI;ChatGPT概念;智慧政务;信创;AI智能体;腾讯概念;数据要素;空间计算;DeepSeek概念;数据中心;MR(混合现实);数字经济;智慧城市;安防;职业教育;华为概念;人工智能;AI应用;物联网;智能医疗;专精特新;乡村振兴;旅游概念;智能物流;新型城镇化;深股通;融资融券,33,31,301396.SZ,301396
创新药;沪股通;融资融券,17,3,688382.SH,688382
农业种植;合成生物;乡村振兴;融资融券,33,4,300970.SZ,300970
细胞免疫治疗;创新药;CRO概念;肝炎概念;专精特新;合成生物;融资融券,33,7,301201.SZ,301201
医疗器械概念;人民币贬值受益;专精特新;融资融券;沪股通,17,5,688677.SH,688677
