market_code,所属概念,股票代码,code,所属概念数量
151,合成生物;维生素;专精特新;西部大开发;融资融券,920230.BJ,920230,5
33,专精特新;粤港澳大湾区;融资融券,300834.SZ,300834,3
33,氢能源;东数西算(算力);液冷服务器;专精特新,300839.SZ,300839,4
33,海南自贸区;幽门螺杆菌概念;流感;肝炎概念;仿制药一致性评价;医药电商;创新药;三胎概念;消毒剂,300086.SZ,300086,9
151,一带一路;空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,920088.BJ,920088,7
33,医疗器械概念;回购增持再贷款概念;融资融券,301188.SZ,301188,3
17,阿尔茨海默概念;重组蛋白;创新药;2025年报预增;沪股通;融资融券,688336.SH,688336,6
17,WiFi 6;光纤概念;5G;智慧灯杆;网络安全;高铁;华为概念;人工智能;智慧城市;专精特新;车联网(车路协同);新型工业化;物联网;安防;星闪概念;芯片概念;工业互联网;DeepSeek概念;水利;数字经济;无人驾驶;换电概念;机器人概念;海工装备;粤港澳大湾区;智能电网;智能物流;充电桩;一带一路;储能;风电;融资融券,688618.SH,688618,32
151,重组蛋白;眼科医疗;融资融券;创新药,920047.BJ,920047,4
33,商业航天;量子科技;军工;低空经济;传感器;物联网;安防;新型工业化;芯片概念;虚拟现实;可控核聚变;专精特新;第三代半导体;消费电子概念;工业互联网;数据中心;智能电网;数字经济;水利;光纤概念;海工装备;食品安全;光伏概念;钙钛矿电池;医美概念,300667.SZ,300667,25
33,液冷服务器;汽车热管理;数据中心;小米汽车;比亚迪概念;新能源汽车;无人机;成飞概念;华为汽车;军工;飞行汽车(eVTOL);华为概念;低空经济;军民融合;长安汽车概念;储能;氢能源;西部大开发;深股通,300547.SZ,300547,19
17,CRO概念;重组蛋白;创新药;仿制药一致性评价;西部大开发;融资融券,688553.SH,688553,6
33,脑机接口;MiniLED;柔性屏(折叠屏);AI眼镜;智能穿戴;汽车电子;OLED;消费电子概念;无线耳机;先进封装;5G;芯片概念;PCB概念;PET铜箔;第三代半导体;富士康概念;传感器;比亚迪概念;无人机;机器人概念;无人驾驶;鸿蒙概念;充电桩;人形机器人;海峡两岸;家用电器;储能;人民币贬值受益;医美概念;福建自贸区;锂电池概念;固态电池;养老概念;一带一路;消毒剂,300632.SZ,300632,35
151,仿制药一致性评价;人工智能;机器人概念;AI应用;医药电商;流感;智能医疗;融资融券;维生素;华为鲲鹏;创新药,920367.BJ,920367,11
17,光纤概念;共封装光学(CPO);汽车热管理;军工;芯片概念;特高压;海工装备;专精特新;DeepSeek概念;沪股通;融资融券,688143.SH,688143,11
17,天然气;煤化工概念;同花顺中特估100;新疆振兴;期货概念;氢能源;西部大开发;碳中和;国企改革;地下管网;一带一路;海工装备;中俄贸易概念;可控核聚变;储能;沪股通;中字头股票;融资融券,600339.SH,600339,18
17,创新药;流感;医药电商;医美概念;民营医院;西部大开发;融资融券,600594.SH,600594,7
17,创新药;仿制药一致性评价;辅助生殖;数字经济;京津冀一体化;沪股通,600488.SH,600488,6
33,创新药;仿制药一致性评价;流感;医药电商;民营医院;医疗器械概念;冷链物流;西部大开发;京津冀一体化;股权转让(并购重组),000788.SZ,000788,10
33,减肥药;创新药;仿制药一致性评价;幽门螺杆菌概念;肝炎概念;流感;生物疫苗;猴痘概念;辅助生殖;医药电商;基因测序;民营医院;工业大麻;医美概念;NMN概念;创投;京津冀一体化;深股通;融资融券,002038.SZ,002038,19
33,成飞概念;特高压;柔性直流输电;大飞机;智能电网;军民融合;军工;无人机;海工装备;专精特新;新能源汽车;充电桩;机器人概念;数据中心;光伏概念;雅下水电概念;风电;储能;医疗器械概念;一带一路;2025年报预增;融资融券,002560.SZ,002560,22
17,虚拟电厂;储能;绿色电力;碳交易;碳中和,605162.SH,605162,5
17,猪肉;养鸡;西部大开发;回购增持再贷款概念;AI应用;比亚迪概念;沪股通;融资融券,603477.SH,603477,8
17,粤港澳大湾区,603863.SH,603863,1
17,光纤概念;F5G概念;铜缆高速连接;WiFi 6;5G;数据中心;物联网;华为概念;智慧城市;互联网金融;智能医疗;融资融券,603042.SH,603042,12
17,虚拟电厂;绿色电力;天然气;充电桩;污水处理;储能;地下管网;参股银行;光伏概念;西部大开发;乡村振兴;沪股通;融资融券,600644.SH,600644,13
33,光纤概念;5G;特高压;专精特新;智能电网;西部大开发,000586.SZ,000586,6
17,俄乌冲突概念;华为数字能源;DeepSeek概念;华为概念;存储芯片;芯片概念;高压快充;充电桩,603353.SH,603353,8
17,海峡两岸;长三角一体化;智能医疗;人工智能;猴痘概念,603122.SH,603122,5
33,石墨烯;共同富裕示范区;特高压;国企改革;军工;PET铜箔;新能源汽车;比亚迪概念;柔性直流输电;光伏概念;深股通;融资融券,002263.SZ,002263,12
17,燃料电池;回购增持再贷款概念;氢能源;军工;军民融合,603798.SH,603798,5
33,医药电商;创新药;减肥药;辅助生殖;医美概念;智能医疗;养老概念;三胎概念;医疗器械概念;冷链物流;啤酒概念;西部大开发;统一大市场;创投;回购增持再贷款概念;国企改革;智能物流;央企国企改革;股权转让(并购重组);机器人概念;融资融券;深股通,000950.SZ,000950,22
33,盐湖提锂;小金属概念;金属铜;化肥;锂电池概念;西部大开发;央企国企改革;国企改革;深股通;融资融券,000762.SZ,000762,10
33,同花顺中特估100;固废处理;新型城镇化;新疆振兴;央企国企改革;国企改革;雄安新区;污水处理;乡村振兴;冰雪产业;水利;一带一路;人民币贬值受益;华为概念;深股通;融资融券;中字头股票,002051.SZ,002051,17
33,盐湖提锂;磷化工;小金属概念;锂电池概念;绿色电力;风电;固废处理;西部大开发;储能;回购增持再贷款概念;国企改革;深股通;融资融券,000155.SZ,000155,13
33,俄乌冲突概念;天然气;煤炭概念;新疆振兴;深股通;国企改革;融资融券,000968.SZ,000968,7
33,物业管理;光纤概念;国企改革;央企国企改革,000720.SZ,000720,4
33,俄乌冲突概念;页岩气;天然气;煤化工概念;新疆振兴;西部大开发;碳中和;参股银行;一带一路;股权转让(并购重组),002828.SZ,002828,10
17,民营医院;医美概念;细胞免疫治疗;医疗器械概念;幽门螺杆菌概念;创新药;回购增持再贷款概念;融资融券,603222.SH,603222,8
33,TOPCON电池;钙钛矿电池;光伏建筑一体化;绿色电力;光纤概念;风电;智能电网;高铁;光伏概念;充电桩;碳中和;储能;海工装备;国企改革;一带一路;军民融合;锂电池概念;军工;新能源汽车;深股通;比亚迪概念;5G;华为概念;摘帽,002309.SZ,002309,24
17,流感;民营医院;眼科医疗;医药电商;医疗器械概念;宠物经济;冷链物流;黑龙江自贸区;沪股通,600829.SH,600829,9
17,新型工业化;机器视觉;传感器;专精特新;芯片概念;人工智能;比亚迪概念;机器人概念;数字孪生;新能源汽车;AI应用;融资融券,688090.SH,688090,12
17,科创次新股;注册制次新股;医疗器械概念;超导概念;新股与次新股;融资融券,688805.SH,688805,6
17,人民币贬值受益;染料;融资融券;沪股通,688789.SH,688789,4
33,减肥药;创新药;医美概念;雄安新区;深股通;融资融券,300255.SZ,300255,6
17,俄乌冲突概念;天然气;航运概念;上海自贸区;一带一路;回购增持再贷款概念;央企国企改革;海峡两岸;融资融券;国企改革;高股息精选;沪股通,601872.SH,601872,12
33,青蒿素;信托概念;天然气;西部大开发;碳中和;股权转让(并购重组);地下管网;氢能源;储能;融资融券,000593.SZ,000593,10
33,医疗废物处理;固废处理;污水处理;煤化工概念;PPP概念;雄安新区;盐湖提锂;锂电池概念;深股通;融资融券,300055.SZ,300055,10
33,AI应用;智能医疗;阿里巴巴概念;养老概念;人工智能;流感;医药电商;创新药;医疗器械概念;合成生物;深股通;融资融券,301408.SZ,301408,12
