所属概念,market_code,code,所属概念数量,股票代码
核污染防治;新能源汽车;无人驾驶;先进封装;无人机;第三代半导体;军工;核电;低空经济;中俄贸易概念;黑龙江自贸区;氢能源;深股通,33,300489,13,300489.SZ
汽车热管理;飞行汽车(eVTOL);比亚迪概念;新能源汽车;长安汽车概念;宁德时代概念;低空经济;燃料电池;融资融券,33,301181,9,301181.SZ
汽车芯片;第三代半导体;芯片概念;专精特新;无人机;充电桩;智能电网;融资融券,17,688693,8,688693.SH
铜缆高速连接;富士康概念;液冷服务器;新型烟草(电子烟);消费电子概念;人形机器人;数据中心;智能座舱;比亚迪概念;小米概念;新能源汽车;无人机;飞行汽车(eVTOL);高压快充;机器人概念;低空经济;充电桩;储能;深股通,33,300843,19,300843.SZ
新型烟草(电子烟);长三角一体化;新型工业化;无线充电;比亚迪概念;苹果概念;消费电子概念;无线耳机;汽车电子,33,300461,9,300461.SZ
F5G概念;共封装光学(CPO);光纤概念;铜缆高速连接;5G;芯片概念;数据中心;专精特新;2025年报预增;华为概念;长三角一体化;机器人概念;抖音概念(字节概念);融资融券;深股通,33,300548,15,300548.SZ
土壤修复;粤港澳大湾区;固废处理;生物质能发电;碳中和;绿色电力;融资融券,33,300854,7,300854.SZ
阿尔茨海默概念;医药电商;流感;2025年报预增;养老概念;创投,33,002107,6,002107.SZ
特斯拉概念;液冷服务器;新能源汽车;数据中心;储能;长三角一体化;创投;一带一路;融资融券,33,002328,9,002328.SZ
物业管理;证金持股;国企改革;京津冀一体化;智能家居;沪股通;融资融券;股权转让(并购重组),17,600743,8,600743.SH
流感;创新药;医药电商;仿制药一致性评价;维生素;医疗器械概念;冷链物流;粤港澳大湾区;深股通;融资融券,33,000078,10,000078.SZ
区块链;抖音概念(字节概念);百度概念;互联网金融;阿里巴巴概念;腾讯概念;算力租赁;华为概念;5G;摘帽,33,000889,10,000889.SZ
PEEK材料;人形机器人;机器人概念;染料;储能;2026一季报预增,17,605189,6,605189.SH
稀土永磁;金属钴;金属铜;金属回收;消费电子概念;汽车拆解概念;新能源汽车;机器人概念;垃圾分类;高端装备;固废处理;深股通;融资融券,33,002645,13,002645.SZ
3D打印;DeepSeek概念;海峡两岸;华为概念;消费电子概念;机器人概念;股权转让(并购重组),17,603958,7,603958.SH
汽车电子;消费电子概念;小米概念;MR(混合现实);虚拟现实;专精特新;安防;人民币贬值受益;华为概念,33,002962,9,002962.SZ
商业航天;京津冀一体化;军工;海工装备;水利;雄安新区;高端装备;一带一路;核电;光伏概念;白酒概念;风电;抽水蓄能;深股通;融资融券,33,002342,15,002342.SZ
装配式建筑;上海国企改革;房屋检测;新型城镇化;低空经济;地下管网;建筑节能;PPP概念;水利;乡村振兴;创投;雄安新区;数字孪生;人工智能;一带一路;碳中和;国企改革;数字经济;参股券商;沪股通,17,600629,20,600629.SH
特高压;高端装备;核电;军工;无人机;抽水蓄能;风电;机器人概念;储能;低空经济;人工智能;职业教育;沪股通,17,605056,13,605056.SH
存储芯片;锂电池概念;汽车芯片;粤港澳大湾区;比亚迪概念;芯片概念;创投;新能源汽车;消费电子概念;硅能源;PCB概念;小金属概念;无人驾驶;信创;WiFi 6,33,002213,15,002213.SZ
MicroLED概念;MiniLED;光刻机;先进封装;OLED;柔性屏(折叠屏);共封装光学(CPO);钙钛矿电池;6G概念;PET铜箔;存储芯片;汽车电子;芯片概念;消费电子概念;商业航天;智能穿戴;卫星导航;小米概念;华为概念;沪股通,17,603773,20,603773.SH
文化传媒概念;NFT概念;IP经济(谷子经济);知识产权保护;虚拟数字人;AIGC概念;数据确权;职业教育;体育产业;元宇宙;AI应用;区块链;百度概念;DeepSeek概念;数字经济;人工智能;独角兽概念;高股息精选;国企改革;西部大开发;华为概念;沪股通,17,601811,22,601811.SH
高铁;动力电池回收;钠离子电池;储能;创投;雄安新区;固态电池;锂电池概念;国企改革;快手概念;军工;新疆振兴;抖音概念(字节概念);东数西算(算力);液冷服务器;数据中心;华为概念;鸿蒙概念;深股通;融资融券,33,002580,20,002580.SZ
光纤概念;F5G概念;成飞概念;共封装光学(CPO);军工信息化;6G概念;大飞机;军工;卫星导航;高铁;5G;无人机;特高压;低空经济;数据中心;智慧灯杆;深圳国企改革;东数西算(算力);国资云;算力租赁;一带一路;华为概念;传感器;智慧城市;人工智能;抖音概念(字节概念);信创;腾讯概念;创投;阿里巴巴概念;百度概念;光伏概念;智能电网;国企改革;粤港澳大湾区;绿色电力;物业管理;深股通;摘帽,33,000070,39,000070.SZ
华为手机;消费电子概念;柔性屏(折叠屏);汽车热管理;比亚迪概念;新能源汽车;小米概念;宁德时代概念;2025年报预增;华为概念;储能;智能家居;三胎概念;深股通;融资融券,33,002824,15,002824.SZ
F5G概念;共封装光学(CPO);光纤概念;6G概念;液冷服务器;5G;数据中心;东数西算(算力);量子科技;芯片概念;华为概念;阿里巴巴概念;腾讯概念;抖音概念(字节概念);百度概念;央企国企改革;国企改革;深股通;融资融券,33,002281,19,002281.SZ
网红经济;长三角一体化;智能家居;股权转让(并购重组),33,002718,4,002718.SZ
低空经济;飞行汽车(eVTOL);汽车电子;2025年报预增;新能源汽车;比亚迪概念;沪股通,17,603950,7,603950.SH
存储芯片;液冷服务器;富士康概念;PCB概念;英伟达概念;苹果概念;芯片概念;汽车电子;消费电子概念;AI眼镜;5G;工业母机;无线耳机;小米概念;新型烟草(电子烟);智能座舱;毫米波雷达;MR(混合现实);比亚迪概念;人形机器人;新能源汽车;2025年报预增;特斯拉概念;新型工业化;机器视觉;无人驾驶;高端装备;机器人概念;减速器;华为概念;粤港澳大湾区;虚拟现实;阿里巴巴概念;人工智能;横琴新区;一带一路;腾讯概念;先进封装;深股通,33,002975,39,002975.SZ
苹果概念;柔性屏(折叠屏);无线耳机;消费电子概念;智能穿戴;5G;AI PC;虚拟现实;比亚迪概念;新能源汽车;数据中心;东数西算(算力);储能;人民币贬值受益;深股通;融资融券,33,002947,16,002947.SZ
OLED;国企改革;西部大开发;人民币贬值受益;融资融券;沪股通,17,600707,6,600707.SH
中芯国际概念;OLED;芯片概念;富士康概念;柔性屏(折叠屏);华为概念;海峡两岸;长三角一体化;沪股通,17,603929,9,603929.SH
风电;光伏概念;储能;充电桩;一带一路;乡村振兴;农机;人民币贬值受益;深股通;融资融券,33,002150,10,002150.SZ
智能家居;芯片概念;工业互联网;参股银行,17,603216,4,603216.SH
创新药;医药电商;流感;医美概念;民营医院;西部大开发;融资融券,17,600594,7,600594.SH
智能家居;长三角一体化;装配式建筑,17,605318,3,605318.SH
光纤概念;共封装光学(CPO);铜缆高速连接;特高压;太赫兹;第三代半导体;5G;海工装备;智能电网;风电;新能源汽车;一带一路;芯片概念;专精特新;量子科技;人形机器人;沪股通;机器人概念;工业互联网;创投;抖音概念(字节概念);融资融券,17,601869,22,601869.SH
C2M概念;数字经济;人工智能;华为概念;跨境电商;智能物流;AI智能体;AIGC概念;工业互联网;新疆振兴;智能家居;铜缆高速连接;AI应用;融资融券,17,600337,14,600337.SH
共封装光学(CPO);同花顺果指数;PCB概念;苹果概念;5G;数据中心;消费电子概念;芯片概念;MiniLED;高压快充;小米概念;华为概念;新能源汽车;人形机器人;特斯拉概念;深股通;机器人概念;人民币贬值受益;长三角一体化;2026一季报预增;融资融券,33,002384,21,002384.SZ
卫星导航;商业航天;大飞机;军工;同花顺新质50;铜缆高速连接;低空经济;5G;共封装光学(CPO);数据中心;华为概念;液冷服务器;机器视觉;核电;小米概念;比亚迪概念;新能源汽车;央企国企改革;智能物流;西部大开发;国企改革;深股通;融资融券,33,002025,23,002025.SZ
光热发电;光伏概念;风电;商业航天;氢能源;专精特新;机器人概念;海工装备;回购增持再贷款概念;人民币贬值受益;一带一路;融资融券,17,603507,12,603507.SH
