股票代码,market_code,所属同花顺行业,code
920069.BJ,151,医药生物-医疗器械-医疗耗材,920069
300204.SZ,33,医药生物-化学制药-化学制剂,300204
301292.SZ,33,电力设备-电池-电池化学品,301292
688068.SH,17,医药生物-医疗器械-体外诊断,688068
300461.SZ,33,机械设备-自动化设备-其他自动化设备,300461
300858.SZ,33,基础化工-化学制品-食品及饲料添加剂,300858
300054.SZ,33,电子-电子化学品-电子化学品Ⅲ,300054
300765.SZ,33,医药生物-化学制药-原料药,300765
688710.SH,17,医药生物-医疗服务-医疗研发外包,688710
300390.SZ,33,电力设备-电池-电池化学品,300390
301201.SZ,33,医药生物-医疗服务-医疗研发外包,301201
688796.SH,17,医药生物-医疗服务-医疗研发外包,688796
688506.SH,17,医药生物-化学制药-化学制剂,688506
300877.SZ,33,纺织服饰-纺织制造-其他纺织,300877
688455.SH,17,机械设备-通用设备-其他通用设备,688455
300868.SZ,33,电子-消费电子-消费电子零部件及组装,300868
688382.SH,17,医药生物-化学制药-化学制剂,688382
300518.SZ,33,商贸零售-互联网电商-互联网电商Ⅲ,300518
300082.SZ,33,基础化工-化学原料-其他化学原料,300082
300584.SZ,33,医药生物-化学制药-化学制剂,300584
300683.SZ,33,医药生物-医疗服务-医疗研发外包,300683
688197.SH,17,医药生物-化学制药-化学制剂,688197
688759.SH,17,医药生物-化学制药-化学制剂,688759
688195.SH,17,电子-光学光电子-光学元件,688195
300057.SZ,33,有色金属-工业金属-铝,300057
600470.SH,17,基础化工-农化制品-磷肥及磷化工,600470
000822.SZ,33,基础化工-化学原料-纯碱,000822
002176.SZ,33,电力设备-电机-电机Ⅲ,002176
600227.SH,17,基础化工-农化制品-氮肥,600227
688799.SH,17,医药生物-化学制药-化学制剂,688799
002068.SZ,33,基础化工-橡胶制品-炭黑,002068
603399.SH,17,有色金属-能源金属-锂,603399
001313.SZ,33,农林牧渔-农产品加工-水产饲料,001313
600748.SH,17,房地产-房地产-住宅开发,600748
000890.SZ,33,环保-环保设备-环保设备Ⅲ,000890
600110.SH,17,电力设备-电池-锂电池,600110
600769.SH,17,环保-环境治理-水务及水治理,600769
002272.SZ,33,机械设备-通用设备-其他通用设备,002272
600982.SH,17,公用事业-电力-热力,600982
002310.SZ,33,公用事业-电力-新能源发电,002310
603585.SH,17,基础化工-农化制品-农药,603585
002265.SZ,33,国防军工-军工装备-地面兵装,002265
603978.SH,17,有色金属-金属新材料-其他金属新材料,603978
000553.SZ,33,基础化工-农化制品-农药,000553
603076.SH,17,机械设备-专用设备-其他专用设备,603076
600727.SH,17,基础化工-化学制品-其他化学制品,600727
603618.SH,17,电力设备-电网设备-线缆部件及其他,603618
002082.SZ,33,医药生物-中药-中药Ⅲ,002082
002294.SZ,33,医药生物-化学制药-化学制剂,002294
603324.SH,17,环保-环保设备-环保设备Ⅲ,603324
600513.SH,17,医药生物-化学制药-化学制剂,600513
000695.SZ,33,电力设备-电池-电池化学品,000695
002755.SZ,33,医药生物-化学制药-化学制剂,002755
000155.SZ,33,公用事业-电力-新能源发电,000155
603272.SH,17,轻工制造-家居用品-其他家居用品,603272
600338.SH,17,有色金属-工业金属-铅锌,600338
603115.SH,17,电子-电子化学品-电子化学品Ⅲ,603115
603127.SH,17,医药生物-医疗服务-医疗研发外包,603127
002240.SZ,33,有色金属-能源金属-锂,002240
002428.SZ,33,有色金属-小金属-其他小金属,002428
603090.SH,17,机械设备-通用设备-其他通用设备,603090
002455.SZ,33,基础化工-化学制品-其他化学制品,002455
002432.SZ,33,医药生物-医疗器械-医疗设备,002432
603387.SH,17,医药生物-医疗器械-体外诊断,603387
002328.SZ,33,汽车-汽车零部件-其他汽车零部件,002328
002263.SZ,33,基础化工-塑料制品-膜材料,002263
603248.SH,17,电力设备-风电设备-风电零部件,603248
600955.SH,17,基础化工-化学原料-其他化学原料,600955
002361.SZ,33,基础化工-塑料制品-合成树脂,002361
605299.SH,17,轻工制造-家居用品-文娱用品,605299
600310.SH,17,公用事业-电力-电能综合服务,600310
002995.SZ,33,传媒-文化传媒-广告营销,002995
603002.SH,17,电子-电子化学品-电子化学品Ⅲ,603002
002192.SZ,33,有色金属-能源金属-锂,002192
603026.SH,17,电力设备-电池-电池化学品,603026
002756.SZ,33,有色金属-能源金属-锂,002756
002460.SZ,33,有色金属-能源金属-锂,002460
603738.SH,17,电子-元件-被动元件,603738
603538.SH,17,医药生物-化学制药-原料药,603538
603132.SH,17,有色金属-工业金属-铅锌,603132
002842.SZ,33,有色金属-小金属-钨,002842
600996.SH,17,传媒-文化传媒-电视广播,600996
600539.SH,17,商贸零售-互联网电商-互联网电商Ⅲ,600539
605388.SH,17,食品饮料-饮料制造-软饮料,605388
002773.SZ,33,医药生物-生物制品-其他生物制品,002773
002038.SZ,33,医药生物-化学制药-化学制剂,002038
000546.SZ,33,环保-环境治理-固废治理,000546
000720.SZ,33,电力设备-电网设备-线缆部件及其他,000720
600268.SH,17,电力设备-电网设备-电气自控设备,600268
003042.SZ,33,基础化工-农化制品-农药,003042
001896.SZ,33,公用事业-电力-火电,001896
002470.SZ,33,基础化工-农化制品-复合肥,002470
002042.SZ,33,纺织服饰-纺织制造-棉纺,002042
600666.SH,17,电子-电子化学品-电子化学品Ⅲ,600666
000767.SZ,33,公用事业-电力-火电,000767
002386.SZ,33,基础化工-化学原料-氯碱,002386
600844.SH,17,基础化工-化学原料-煤化工,600844
002526.SZ,33,机械设备-专用设备-能源及重型设备,002526
002445.SZ,33,机械设备-通用设备-金属制品,002445
600488.SH,17,医药生物-化学制药-化学制剂,600488
688485.SH,17,环保-环境治理-综合环境治理,688485
688353.SH,17,电力设备-电池-电池化学品,688353
920166.BJ,151,医药生物-医疗器械-医疗耗材,920166
300051.SZ,33,电力设备-光伏设备-光伏电池组件,300051
688605.SH,17,电子-半导体-半导体设备,688605
300666.SZ,33,电子-半导体-半导体材料,300666
688520.SH,17,医药生物-生物制品-其他生物制品,688520
603059.SH,17,美容护理-美容护理-个护用品,603059
688205.SH,17,通信-通信设备-通信网络设备及器件,688205
002422.SZ,33,医药生物-化学制药-化学制剂,002422
688161.SH,17,医药生物-医疗器械-医疗耗材,688161
688202.SH,17,医药生物-医疗服务-医疗研发外包,688202
688177.SH,17,医药生物-生物制品-其他生物制品,688177
002969.SZ,33,轻工制造-包装印刷-包装,002969
300620.SZ,33,通信-通信设备-通信网络设备及器件,300620
688141.SH,17,电子-半导体-模拟芯片设计,688141
688192.SH,17,医药生物-化学制药-化学制剂,688192
000893.SZ,33,基础化工-农化制品-钾肥,000893
300813.SZ,33,机械设备-专用设备-其他专用设备,300813
301086.SZ,33,电子-消费电子-消费电子零部件及组装,301086
300561.SZ,33,计算机-软件开发-垂直应用软件,300561
300723.SZ,33,医药生物-化学制药-化学制剂,300723
301150.SZ,33,电力设备-电池-锂电池,301150
600773.SH,17,房地产-房地产-住宅开发,600773
301626.SZ,33,电子-消费电子-消费电子零部件及组装,301626
688266.SH,17,医药生物-化学制药-化学制剂,688266
300267.SZ,33,医药生物-化学制药-原料药,300267
300236.SZ,33,电子-电子化学品-电子化学品Ⅲ,300236
301285.SZ,33,电子-消费电子-消费电子零部件及组装,301285
300456.SZ,33,电子-半导体-集成电路制造,300456
300016.SZ,33,医药生物-化学制药-化学制剂,300016
600671.SH,17,医药生物-中药-中药Ⅲ,600671
300834.SZ,33,基础化工-塑料制品-改性塑料,300834
688503.SH,17,电力设备-光伏设备-光伏辅材,688503
300131.SZ,33,电子-其他电子-其他电子Ⅲ,300131
000688.SZ,33,有色金属-小金属-钼,000688
688106.SH,17,电子-电子化学品-电子化学品Ⅲ,688106
688235.SH,17,医药生物-化学制药-化学制剂,688235
688136.SH,17,医药生物-生物制品-其他生物制品,688136
002653.SZ,33,医药生物-化学制药-化学制剂,002653
603288.SH,17,食品饮料-食品加工制造-调味发酵品,603288
688019.SH,17,电子-电子化学品-电子化学品Ⅲ,688019
603507.SH,17,电力设备-风电设备-风电零部件,603507
002549.SZ,33,环保-环境治理-大气治理,002549
002685.SZ,33,机械设备-工程机械-工程机械Ⅲ,002685
603806.SH,17,电力设备-光伏设备-光伏辅材,603806
688646.SH,22,机械设备-自动化设备-激光设备,688646
688302.SH,17,医药生物-化学制药-化学制剂,688302
688221.SH,17,医药生物-化学制药-化学制剂,688221
000989.SZ,33,医药生物-中药-中药Ⅲ,000989
603906.SH,17,电力设备-电池-电池化学品,603906
002972.SZ,33,机械设备-轨交设备-轨交设备Ⅲ,002972
301152.SZ,33,电力设备-电池-电池化学品,301152
688530.SH,17,电子-半导体-半导体材料,688530
000792.SZ,33,基础化工-农化制品-钾肥,000792
002209.SZ,33,机械设备-专用设备-印刷包装机械,002209
688222.SH,17,医药生物-医疗服务-医疗研发外包,688222
000762.SZ,33,有色金属-能源金属-锂,000762
688513.SH,17,医药生物-化学制药-化学制剂,688513
688608.SH,17,电子-半导体-数字芯片设计,688608
002738.SZ,33,有色金属-小金属-其他小金属,002738
603551.SH,17,家用电器-厨卫电器-厨卫电器Ⅲ,603551
300919.SZ,33,电力设备-电池-电池化学品,300919
301662.SZ,33,电力设备-电池-锂电专用设备,301662
688512.SH,17,电子-半导体-模拟芯片设计,688512
002940.SZ,33,医药生物-化学制药-化学制剂,002940
002437.SZ,33,医药生物-化学制药-化学制剂,002437
688553.SH,17,医药生物-化学制药-化学制剂,688553
002824.SZ,33,有色金属-工业金属-铝,002824
002466.SZ,33,有色金属-能源金属-锂,002466
300730.SZ,33,计算机-软件开发-垂直应用软件,300730
600791.SH,17,房地产-房地产-住宅开发,600791
600276.SH,17,医药生物-化学制药-化学制剂,600276
301257.SZ,33,医药生物-医疗服务-医疗研发外包,301257
688712.SH,17,医药生物-医疗器械-医疗耗材,688712
600988.SH,17,有色金属-贵金属-贵金属Ⅲ,600988
000912.SZ,33,基础化工-农化制品-氮肥,000912
000830.SZ,33,基础化工-化学原料-煤化工,000830
605116.SH,17,医药生物-化学制药-原料药,605116
688350.SH,17,基础化工-化学制品-其他化学制品,688350
002020.SZ,33,医药生物-化学制药-化学制剂,002020
002970.SZ,33,计算机-计算机设备-其他计算机设备,002970
603027.SH,17,食品饮料-食品加工制造-调味发酵品,603027
002203.SZ,33,有色金属-工业金属-铜,002203
600078.SH,17,基础化工-农化制品-磷肥及磷化工,600078
688166.SH,17,医药生物-化学制药-原料药,688166
688025.SH,17,机械设备-自动化设备-激光设备,688025
300436.SZ,33,医药生物-化学制药-化学制剂,300436
301327.SZ,33,电力设备-电池-锂电池,301327
300651.SZ,33,轻工制造-家居用品-文娱用品,300651
002452.SZ,33,电力设备-电网设备-输变电设备,002452
300855.SZ,33,有色金属-金属新材料-其他金属新材料,300855
300357.SZ,33,医药生物-生物制品-其他生物制品,300357
688410.SH,17,医药生物-医疗器械-医疗设备,688410
688062.SH,17,医药生物-生物制品-其他生物制品,688062
600337.SH,17,轻工制造-家居用品-成品家居,600337
002634.SZ,33,纺织服饰-服装家纺-服装,002634
605365.SH,17,电子-光学光电子-LED,605365
688677.SH,17,医药生物-医疗器械-医疗设备,688677
002849.SZ,33,机械设备-通用设备-仪器仪表,002849
600251.SH,17,农林牧渔-农产品加工-果蔬加工,600251
688091.SH,17,医药生物-化学制药-化学制剂,688091
000510.SZ,33,基础化工-化学原料-氯碱,000510
000973.SZ,33,基础化工-塑料制品-膜材料,000973
300149.SZ,33,医药生物-医疗服务-医疗研发外包,300149
600771.SH,17,医药生物-中药-中药Ⅲ,600771
300702.SZ,33,医药生物-化学制药-原料药,300702
002378.SZ,33,有色金属-小金属-钨,002378
605287.SH,17,建筑装饰-建筑装饰-装饰园林,605287
300631.SZ,33,环保-环保设备-环保设备Ⅲ,300631
603213.SH,17,基础化工-化学原料-氯碱,603213
600249.SH,17,美容护理-美容护理-个护用品,600249
688157.SH,17,基础化工-化学制品-涂料油墨,688157
000963.SZ,33,医药生物-化学制药-化学制剂,000963
600521.SH,17,医药生物-化学制药-化学制剂,600521
688337.SH,17,机械设备-通用设备-仪器仪表,688337
301178.SZ,33,计算机-IT服务-IT服务Ⅲ,301178
000968.SZ,33,石油石化-油气开采及服务-油气开采,000968
600867.SH,17,医药生物-生物制品-其他生物制品,600867
603520.SH,17,医药生物-化学制药-原料药,603520
603124.SH,17,有色金属-金属新材料-其他金属新材料,603124
300111.SZ,33,医药生物-化学制药-化学制剂,300111
605028.SH,17,公用事业-电力-热力,605028
688629.SH,17,国防军工-军工电子-军工电子Ⅲ,688629
002585.SZ,33,基础化工-塑料制品-膜材料,002585
002149.SZ,33,有色金属-小金属-其他小金属,002149
000813.SZ,33,医药生物-化学制药-化学制剂,000813
688805.SH,17,医药生物-医疗器械-医疗设备,688805
688331.SH,17,医药生物-生物制品-其他生物制品,688331
600322.SH,17,房地产-房地产-住宅开发,600322
600563.SH,17,电子-元件-被动元件,600563
603703.SH,17,电子-光学光电子-面板,603703
600698.SH,17,汽车-汽车零部件-底盘与发动机系统,600698
001331.SZ,33,公用事业-燃气-燃气Ⅲ,001331
688577.SH,17,机械设备-通用设备-机床工具,688577
688176.SH,17,医药生物-化学制药-化学制剂,688176
301392.SZ,33,机械设备-专用设备-其他专用设备,301392
002638.SZ,33,电子-光学光电子-LED,002638
000045.SZ,33,电子-光学光电子-面板,000045
300715.SZ,33,建筑材料-建筑材料-其他建材,300715
300440.SZ,33,计算机-IT服务-IT服务Ⅲ,300440
920252.BJ,151,电力设备-电池-锂电池,920252
688578.SH,17,医药生物-化学制药-化学制剂,688578
603271.SH,17,有色金属-工业金属-铝,603271
301486.SZ,33,电子-消费电子-消费电子零部件及组装,301486
301056.SZ,33,机械设备-专用设备-楼宇设备,301056
300084.SZ,33,机械设备-专用设备-能源及重型设备,300084
300558.SZ,33,医药生物-化学制药-化学制剂,300558
300685.SZ,33,医药生物-医疗器械-体外诊断,300685
688768.SH,17,机械设备-通用设备-仪器仪表,688768
688028.SH,17,机械设备-通用设备-磨具磨料,688028
605058.SH,17,电子-元件-印制电路板,605058
301230.SZ,33,医药生物-医疗服务-医疗研发外包,301230
600535.SH,17,医药生物-中药-中药Ⅲ,600535
002548.SZ,33,农林牧渔-农产品加工-畜禽饲料,002548
002930.SZ,33,交通运输-物流-物流Ⅲ,002930
300487.SZ,33,基础化工-塑料制品-合成树脂,300487
300004.SZ,33,机械设备-专用设备-其他专用设备,300004
920522.BJ,151,电力设备-电池-锂电专用设备,920522
688502.SH,17,电子-光学光电子-光学元件,688502
688368.SH,17,电子-半导体-模拟芯片设计,688368
002317.SZ,33,医药生物-中药-中药Ⅲ,002317
600262.SH,17,机械设备-专用设备-能源及重型设备,600262
300505.SZ,33,基础化工-农化制品-磷肥及磷化工,300505
688163.SH,17,医药生物-生物制品-血液制品,688163
688356.SH,17,医药生物-化学制药-原料药,688356
300199.SZ,33,医药生物-化学制药-化学制剂,300199
002582.SZ,33,食品饮料-食品加工制造-休闲食品,002582
605305.SH,17,机械设备-工程机械-工程机械Ⅲ,605305
603087.SH,17,医药生物-生物制品-其他生物制品,603087
301629.SZ,33,电子-半导体-半导体设备,301629
002583.SZ,33,通信-通信设备-通信网络设备及器件,002583
300920.SZ,33,基础化工-塑料制品-其他塑料制品,300920
301323.SZ,33,有色金属-金属新材料-磁性材料,301323
601678.SH,17,基础化工-化学原料-氯碱,601678
002024.SZ,33,商贸零售-互联网电商-互联网电商Ⅲ,002024
300347.SZ,33,医药生物-医疗服务-医疗研发外包,300347
000576.SZ,33,国防军工-军工装备-地面兵装,000576
688018.SH,17,电子-半导体-数字芯片设计,688018
300757.SZ,33,机械设备-自动化设备-其他自动化设备,300757
000975.SZ,33,有色金属-贵金属-贵金属Ⅲ,000975
688196.SH,17,基础化工-化学制品-其他化学制品,688196
300791.SZ,33,食品饮料-食品加工制造-其他食品,300791
600784.SH,17,基础化工-化学原料-无机盐,600784
688517.SH,17,电力设备-电网设备-输变电设备,688517
300485.SZ,33,医药生物-生物制品-其他生物制品,300485
688505.SH,17,医药生物-化学制药-化学制剂,688505
605055.SH,17,纺织服饰-纺织制造-印染,605055
688386.SH,17,基础化工-塑料制品-膜材料,688386
000488.SZ,33,轻工制造-造纸-造纸Ⅲ,000488
300480.SZ,33,机械设备-专用设备-能源及重型设备,300480
300769.SZ,33,电力设备-电池-电池化学品,300769
688117.SH,17,医药生物-化学制药-化学制剂,688117
301062.SZ,33,轻工制造-包装印刷-包装,301062
002652.SZ,33,建筑材料-建筑材料-其他建材,002652
920367.BJ,151,医药生物-化学制药-原料药,920367
002903.SZ,33,机械设备-通用设备-机床工具,002903
300029.SZ,33,建筑装饰-建筑装饰-专业工程,300029
600613.SH,17,医药生物-化学制药-化学制剂,600613
603429.SH,22,轻工制造-包装印刷-包装,603429
001203.SZ,33,钢铁-钢铁-冶钢原料,001203
600319.SH,17,基础化工-化学原料-氯碱,600319
000036.SZ,33,房地产-房地产-住宅开发,000036
300636.SZ,33,医药生物-化学制药-原料药,300636
300731.SZ,33,基础化工-橡胶制品-其他橡胶制品,300731
301301.SZ,33,医药生物-化学制药-原料药,301301
000615.SZ,33,美容护理-美容护理-医疗美容,000615
601969.SH,17,钢铁-钢铁-冶钢原料,601969
301246.SZ,33,医药生物-化学制药-原料药,301246
600599.SH,22,轻工制造-家居用品-其他家居用品,600599
300854.SZ,33,环保-环境治理-固废治理,300854
301153.SZ,33,计算机-软件开发-垂直应用软件,301153
300255.SZ,33,医药生物-化学制药-化学制剂,300255
002569.SZ,33,纺织服饰-服装家纺-服装,002569
688621.SH,17,医药生物-医疗服务-医疗研发外包,688621
002122.SZ,33,机械设备-通用设备-机床工具,002122
603456.SH,17,医药生物-医疗服务-医疗研发外包,603456
000908.SZ,33,医药生物-化学制药-化学制剂,000908
688622.SH,17,机械设备-通用设备-仪器仪表,688622
002556.SZ,33,农林牧渔-种植业与林业-农业综合,002556
002497.SZ,33,基础化工-化学制品-民爆用品,002497
002731.SZ,33,纺织服饰-服装家纺-饰品,002731
002370.SZ,33,医药生物-化学制药-化学制剂,002370
688488.SH,17,医药生物-生物制品-其他生物制品,688488
605081.SH,22,环保-环境治理-水务及水治理,605081
301518.SZ,33,基础化工-化学制品-其他化学制品,301518
688607.SH,17,医药生物-医疗器械-医疗设备,688607
000638.SZ,33,农林牧渔-农产品加工-粮油加工,000638
002199.SZ,33,电子-元件-被动元件,002199
688215.SH,17,机械设备-自动化设备-其他自动化设备,688215
002620.SZ,33,建筑装饰-建筑装饰-装饰园林,002620
301275.SZ,33,电子-其他电子-其他电子Ⅲ,301275
920009.BJ,151,医药生物-医疗器械-体外诊断,920009
002730.SZ,33,机械设备-专用设备-能源及重型设备,002730
603590.SH,17,医药生物-生物制品-其他生物制品,603590
001369.SZ,33,基础化工-化学纤维-其他纤维,001369
300725.SZ,33,医药生物-医疗服务-医疗研发外包,300725
603867.SH,17,基础化工-化学制品-其他化学制品,603867
688189.SH,17,医药生物-化学制药-化学制剂,688189
600838.SH,17,商贸零售-零售-百货零售,600838
003010.SZ,33,商贸零售-互联网电商-互联网电商Ⅲ,003010
002683.SZ,33,基础化工-化学制品-民爆用品,002683
300083.SZ,33,机械设备-通用设备-机床工具,300083
688137.SH,17,医药生物-生物制品-其他生物制品,688137
600478.SH,17,电力设备-电池-锂电池,600478
301580.SZ,33,医药生物-医疗器械-医疗耗材,301580
002305.SZ,33,商贸零售-零售-商业物业经营,002305
000903.SZ,33,汽车-汽车零部件-底盘与发动机系统,000903
000545.SZ,33,基础化工-化学原料-钛白粉,000545
688319.SH,17,医药生物-生物制品-疫苗,688319
688395.SH,17,机械设备-自动化设备-工控设备,688395
000637.SZ,33,石油石化-石油加工贸易-石油加工,000637
300352.SZ,33,计算机-软件开发-横向通用软件,300352
603367.SH,17,医药生物-化学制药-化学制剂,603367
301089.SZ,33,医药生物-化学制药-原料药,301089
688073.SH,17,医药生物-医疗服务-医疗研发外包,688073
300151.SZ,33,机械设备-专用设备-其他专用设备,300151
688661.SH,17,电子-消费电子-消费电子零部件及组装,688661
300009.SZ,33,医药生物-生物制品-其他生物制品,300009
300238.SZ,33,医药生物-医疗器械-医疗耗材,300238
688613.SH,17,医药生物-医疗器械-医疗耗材,688613
002365.SZ,33,医药生物-化学制药-原料药,002365
002550.SZ,33,医药生物-化学制药-化学制剂,002550
