所属同花顺行业,market_code,股票代码,code
国防军工-军工装备-航空装备,33,301696.SZ,301696
有色金属-金属新材料-其他金属新材料,17,688811.SH,688811
电子-其他电子-其他电子Ⅲ,151,920181.BJ,920181
电力设备-电池-锂电池,151,920237.BJ,920237
医药生物-化学制药-原料药,17,688690.SH,688690
电子-半导体-半导体设备,17,688478.SH,688478
电子-其他电子-其他电子Ⅲ,33,300131.SZ,300131
计算机-软件开发-垂直应用软件,33,300561.SZ,300561
电子-消费电子-品牌消费电子,33,301189.SZ,301189
电力设备-电池-锂电池,33,300207.SZ,300207
计算机-软件开发-垂直应用软件,33,300468.SZ,300468
电子-消费电子-消费电子零部件及组装,33,300868.SZ,300868
轻工制造-家居用品-其他家居用品,33,301055.SZ,301055
电子-半导体-半导体设备,33,301369.SZ,301369
医药生物-化学制药-原料药,33,301246.SZ,301246
电子-消费电子-品牌消费电子,33,300866.SZ,300866
电力设备-电池-锂电专用设备,17,688573.SH,688573
环保-环境治理-综合环境治理,33,300355.SZ,300355
医药生物-医疗服务-医疗研发外包,17,688046.SH,688046
通信-通信服务-通信工程及服务,33,300050.SZ,300050
汽车-汽车零部件-底盘与发动机系统,33,301667.SZ,301667
电子-光学光电子-光学元件,33,300489.SZ,300489
国防军工-军工电子-军工电子Ⅲ,33,301517.SZ,301517
电子-半导体-数字芯片设计,33,300458.SZ,300458
电力设备-电池-电池化学品,33,300390.SZ,300390
轻工制造-造纸-造纸Ⅲ,17,600103.SH,600103
通信-通信服务-通信工程及服务,33,000889.SZ,000889
基础化工-塑料制品-膜材料,33,002263.SZ,002263
纺织服饰-纺织制造-其他纺织,17,603889.SH,603889
家用电器-白色家电-家电零部件,33,002418.SZ,002418
家用电器-白色家电-冰洗,17,600983.SH,600983
电子-光学光电子-面板,17,600707.SH,600707
电力设备-电池-其他电池,33,002580.SZ,002580
非银金融-多元金融-多元金融Ⅲ,17,603093.SH,603093
汽车-汽车零部件-底盘与发动机系统,33,002363.SZ,002363
电子-光学光电子-光学元件,33,002962.SZ,002962
轻工制造-家居用品-其他家居用品,17,603272.SH,603272
电力设备-光伏设备-光伏辅材,33,001269.SZ,001269
有色金属-工业金属-铝,33,002824.SZ,002824
传媒-文化传媒-出版,17,601999.SH,601999
