code,股票代码,market_code,所属同花顺行业
688808,688808.SH,17,机械设备-通用设备-仪器仪表
920125,920125.BJ,151,机械设备-自动化设备-其他自动化设备
300422,300422.SZ,33,环保-环境治理-水务及水治理
300283,300283.SZ,33,电力设备-电网设备-输变电设备
300613,300613.SZ,33,电子-半导体-数字芯片设计
688268,688268.SH,17,电子-电子化学品-电子化学品Ⅲ
688633,688633.SH,17,机械设备-专用设备-能源及重型设备
301077,301077.SZ,33,基础化工-化学制品-其他化学制品
300721,300721.SZ,33,基础化工-化学制品-其他化学制品
300489,300489.SZ,33,电子-光学光电子-光学元件
688141,688141.SH,17,电子-半导体-模拟芯片设计
688807,688807.SH,17,电子-半导体-数字芯片设计
300390,300390.SZ,33,电力设备-电池-电池化学品
688347,688347.SH,17,电子-半导体-集成电路制造
301003,301003.SZ,33,基础化工-塑料制品-改性塑料
300434,300434.SZ,33,医药生物-化学制药-化学制剂
301307,301307.SZ,33,通信-通信设备-通信网络设备及器件
300965,300965.SZ,33,国防军工-军工装备-航空装备
688101,688101.SH,17,环保-环境治理-水务及水治理
000889,000889.SZ,33,通信-通信服务-通信工程及服务
002795,002795.SZ,33,机械设备-通用设备-金属制品
600537,600537.SH,17,电力设备-光伏设备-光伏电池组件
002999,002999.SZ,33,基础化工-农化制品-复合肥
600726,600726.SH,17,煤炭-煤炭开采加工-煤炭开采
002406,002406.SZ,33,汽车-汽车零部件-底盘与发动机系统
603318,603318.SH,17,公用事业-燃气-燃气Ⅲ
000925,000925.SZ,33,机械设备-轨交设备-轨交设备Ⅲ
002313,002313.SZ,33,通信-通信设备-通信终端及配件
603680,603680.SH,17,机械设备-轨交设备-轨交设备Ⅲ
301510,301510.SZ,33,机械设备-自动化设备-工控设备
688629,688629.SH,17,国防军工-军工电子-军工电子Ⅲ
000906,000906.SZ,33,交通运输-物流-物流Ⅲ
300057,300057.SZ,33,有色金属-工业金属-铝
000973,000973.SZ,33,基础化工-塑料制品-膜材料
603390,603390.SH,17,汽车-汽车零部件-汽车电子电气系统
600826,600826.SH,17,社会服务-其他社会服务-专业服务
603520,603520.SH,17,医药生物-化学制药-原料药
600152,600152.SH,17,电力设备-电池-锂电池
002176,002176.SZ,33,电力设备-电机-电机Ⅲ
603365,603365.SH,17,纺织服饰-服装家纺-家纺
603272,603272.SH,17,轻工制造-家居用品-其他家居用品
603937,603937.SH,17,有色金属-工业金属-铝
002810,002810.SZ,33,基础化工-化学制品-其他化学制品
603016,603016.SH,17,电力设备-电网设备-输变电设备
603967,603967.SH,17,交通运输-物流-物流Ⅲ
603599,603599.SH,17,基础化工-农化制品-农药
002290,002290.SZ,33,家用电器-白色家电-家电零部件
002812,002812.SZ,33,电力设备-电池-电池化学品
002990,002990.SZ,33,计算机-计算机设备-其他计算机设备
600208,600208.SH,17,房地产-房地产-住宅开发
600370,600370.SH,17,基础化工-化学纤维-涤纶
002127,002127.SZ,33,商贸零售-互联网电商-互联网电商Ⅲ
002240,002240.SZ,33,有色金属-能源金属-锂
600527,600527.SH,17,基础化工-化学纤维-其他纤维
603655,603655.SH,17,汽车-汽车零部件-其他汽车零部件
002756,002756.SZ,33,有色金属-能源金属-锂
603876,603876.SH,17,有色金属-工业金属-铝
001339,001339.SZ,33,计算机-计算机设备-其他计算机设备
001211,001211.SZ,33,轻工制造-家居用品-其他家居用品
002192,002192.SZ,33,有色金属-能源金属-锂
600499,600499.SH,17,轻工制造-家居用品-瓷砖地板
001234,001234.SZ,33,纺织服饰-服装家纺-服装
000062,000062.SZ,33,电子-其他电子-其他电子Ⅲ
600338,600338.SH,17,有色金属-工业金属-铅锌
603066,603066.SH,17,交通运输-物流-物流Ⅲ
002331,002331.SZ,33,计算机-IT服务-IT服务Ⅲ
003036,003036.SZ,33,机械设备-专用设备-纺织服装设备
002407,002407.SZ,33,基础化工-化学制品-氟化工
603819,603819.SH,17,电力设备-电机-电机Ⅲ
600633,600633.SH,17,传媒-游戏-游戏Ⅲ
000546,000546.SZ,33,环保-环境治理-固废治理
002787,002787.SZ,33,轻工制造-包装印刷-包装
600545,600545.SH,17,机械设备-专用设备-纺织服装设备
603060,603060.SH,17,社会服务-其他社会服务-专业服务
600770,600770.SH,17,综合-综合-综合Ⅲ
300575,300575.SZ,33,基础化工-农化制品-农药
300501,300501.SZ,33,轻工制造-包装印刷-包装
920207,920207.BJ,151,计算机-软件开发-垂直应用软件
688001,688001.SH,17,机械设备-专用设备-其他专用设备
301588,301588.SZ,33,基础化工-塑料制品-其他塑料制品
300339,300339.SZ,33,计算机-IT服务-IT服务Ⅲ
688519,688519.SH,17,电子-元件-印制电路板
301273,301273.SZ,33,机械设备-通用设备-其他通用设备
920914,920914.BJ,151,有色金属-能源金属-镍
301165,301165.SZ,33,通信-通信设备-通信网络设备及器件
300397,300397.SZ,33,国防军工-军工电子-军工电子Ⅲ
301239,301239.SZ,33,医药生物-医疗服务-医院
300723,300723.SZ,33,医药生物-化学制药-化学制剂
002466,002466.SZ,33,有色金属-能源金属-锂
002980,002980.SZ,33,电力设备-电网设备-电气自控设备
300905,300905.SZ,33,基础化工-化学纤维-其他纤维
688041,688041.SH,17,电子-半导体-数字芯片设计
301248,301248.SZ,33,计算机-IT服务-IT服务Ⅲ
002092,002092.SZ,33,基础化工-化学原料-氯碱
003030,003030.SZ,33,农林牧渔-农产品加工-其他农产品加工
000762,000762.SZ,33,钢铁-钢铁-冶钢原料
688558,688558.SH,17,机械设备-通用设备-机床工具
300005,300005.SZ,33,纺织服饰-服装家纺-服装
600331,600331.SH,17,基础化工-农化制品-磷肥及磷化工
600227,600227.SH,17,基础化工-农化制品-氮肥
301150,301150.SZ,33,电力设备-电池-锂电池
603738,603738.SH,17,电子-元件-被动元件
688130,688130.SH,17,电子-半导体-模拟芯片设计
688148,688148.SH,17,电力设备-电池-电池化学品
000688,000688.SZ,33,有色金属-小金属-钼
002943,002943.SZ,33,机械设备-通用设备-机床工具
300919,300919.SZ,33,电力设备-电池-电池化学品
688338,688338.SH,17,医药生物-医疗器械-体外诊断
002709,002709.SZ,33,电力设备-电池-电池化学品
600791,600791.SH,17,房地产-房地产-住宅开发
301391,301391.SZ,33,计算机-计算机设备-其他计算机设备
002440,002440.SZ,33,基础化工-化学制品-纺织化学用品
688802,688802.SH,17,电子-半导体-数字芯片设计
603006,603006.SH,17,汽车-物流-物流Ⅲ
688702,688702.SH,17,电子-半导体-数字芯片设计
688381,688381.SH,17,电子-半导体-模拟芯片设计
000593,000593.SZ,33,公用事业-燃气-燃气Ⅲ
300092,300092.SZ,33,机械设备-专用设备-能源及重型设备
300856,300856.SZ,33,美容护理-美容护理-化妆品
002712,002712.SZ,33,传媒-文化传媒-广告营销
603829,603829.SH,17,电力设备-电网设备-输变电设备
300408,300408.SZ,33,电子-元件-被动元件
301630,301630.SZ,33,电子-电子化学品-电子化学品Ⅲ
002921,002921.SZ,33,汽车-汽车零部件-其他汽车零部件
603906,603906.SH,17,电力设备-电池-电池化学品
688258,688258.SH,17,计算机-IT服务-IT服务Ⅲ
002556,002556.SZ,33,农林牧渔-种植业与林业-农业综合
603659,603659.SH,17,电力设备-电池-电池化学品
603196,603196.SH,17,纺织服饰-服装家纺-服装
002497,002497.SZ,33,基础化工-化学制品-民爆用品
