code,market_code,涨停原因类别[20260326],股票代码
603217,17,化工+固态电池+PCB溶剂+光稳定剂,603217.SH
000965,33,天津国资+三季报增长+大飞机+房地产,000965.SZ
603601,17,SpaceX供货传闻+玻璃微纤维+高效滤材,603601.SH
600207,17,光伏玻璃+光热玻璃+河南国资+高纯石英砂,600207.SH
002569,33,控制权变更+扭亏预告+宝鸡国资,002569.SZ
002149,33,商业航天+可控核聚变+超导+国企,002149.SZ
000638,33,,000638.SZ
000692,33,供热+沈阳国资,000692.SZ
601330,17,,601330.SH
605555,17,机器人电机+EPS电机+吸尘器出口,605555.SH
000927,33,供应链服务+一带一路+央企,000927.SZ
000711,33,,000711.SZ
001270,33,T/R芯片+商业航天+扭亏为盈+摘帽预期,001270.SZ
000890,33,,000890.SZ
600726,17,热电联产+绿电转型+煤炭概念+央企,600726.SH
000720,33,电缆+光纤+央企,000720.SZ
600355,22,,600355.SH
600800,17,丙烯酸酯投产+氢能源+天津国资,600800.SH
000908,33,摘星+石药入主+创新药,000908.SZ
002263,33,特高压电容膜+光伏背板膜+国企改革,002263.SZ
002192,33,锂矿+负极材料+年报增长,002192.SZ
603520,17,六氟磷酸锂+碘造影剂+产能爬坡,603520.SH
000968,33,煤层气+地缘冲突+山西国资,000968.SZ
603778,17,,603778.SH
002471,33,大飞机+商业航天+高温合金+电网设备,002471.SZ
000767,33,火电预增+绿色电力+山西国资,000767.SZ
002796,33,,002796.SZ
600682,17,养老机器人+干细胞+商业焕新,600682.SH
601515,17,固态电池+提前终止减持+回购+衢州国资,601515.SH
000037,33,电力+储能+业绩预增,000037.SZ
603272,17,墙布龙头+智能家居+控股股东转让股份,603272.SH
603429,22,固态电池+烟草包装+ST摘帽博弈,603429.SH
600136,22,湖北国资+影视传媒+智慧空间,600136.SH
603538,17,减肥药+创新药+原料药,603538.SH
002782,33,电源产品+储能+墨西哥扩产,002782.SZ
603817,17,,603817.SH
603026,17,电解液+宁德时代+H股上市,603026.SH
002361,33,商业航天+无人机+聚酯树脂+地方国资,002361.SZ
000722,33,水电并购+湖南国资+绿色电力,000722.SZ
600310,17,电力+绿色电力+广西国资,600310.SH
002082,33,创新药+一季报预增+阿尔茨海默,002082.SZ
600163,17,绿电直连+渔光互补+抽水蓄能+福建国资,600163.SH
600381,22,,600381.SH
002961,33,,002961.SZ
603937,17,新能源电池箔+彩涂铝+安徽项目,603937.SH
002620,33,重整投资人+光伏建筑一体化+建筑装饰,002620.SZ
002808,33,OPC感光鼓+新能源转型+ST板块,002808.SZ
600844,17,煤化工+草酸扩产+乙二醇涨价,600844.SH
002705,33,泡泡玛特代工报道+小家电出口+机器人,002705.SZ
002047,33,,002047.SZ
002630,33,一带一路+超临界锅炉+ST摘帽预期,002630.SZ
000669,33,重整预期+天然气+ST板块,000669.SZ
000533,33,,000533.SZ
601908,17,电力板块+硅片+光伏设备,601908.SH
002902,33,800G光模块+AI算力+磁性元器件,002902.SZ
001367,33,年报增长+原料药+欧美放量+合成生物,001367.SZ
002109,33,甲醇涨价+煤化工+陕西国资,002109.SZ
603843,22,算力租赁+重整预期+基建转型,603843.SH
600107,22,服装+出售资产+ST板块,600107.SH
003018,33,液冷收购+瓶盖龙头+饮料供应链,003018.SZ
002859,33,,002859.SZ
002199,33,退市博弈+石英晶体+ST板块,002199.SZ
002692,33,电线电缆+芯片概念+国企改革,002692.SZ
603687,17,拟投GPU+钙钛矿设备+参股曲速科技+纸包装,603687.SH
