涨停原因类别[20260327],股票代码,market_code,code
锂矿达产+四川国资,000155.SZ,33,000155
复工复产+浆纸一体化+山东国资,000488.SZ,33,000488
盐湖提锂+锂矿布局+金属镍+固废回收,000546.SZ,33,000546
草甘膦+农药+央企,000553.SZ,33,000553
医疗美容+重整完成+ST摘帽预期,000615.SZ,33,000615
退市博弈+军工+粮食,000638.SZ,33,000638
固态电池+负极材料+绿电降本,000695.SZ,33,000695
电缆+光纤+实控人中国华能+央企,000720.SZ,33,000720
火电预增+绿色电力+山西国资,000767.SZ,33,000767
溴素涨价+纯碱龙头+国企,000822.SZ,33,000822
光纤概念+钢帘线剥离+环保设备,000890.SZ,33,000890
氢能源+无人配送+发动机+国企,000903.SZ,33,000903
摘星+石药入主+创新药,000908.SZ,33,000908
特种水产饲料+越南投产+预计扭亏,001313.SZ,33,001313
参股算力+火电+绿电储备+河南国资,001896.SZ,33,001896
家电3C+以旧换新+ST板块,002024.SZ,33,002024
GLP-1+创新药+硝酸甘油喷雾剂,002038.SZ,33,002038
算力租赁+纺织+预计扭亏,002042.SZ,33,002042
固态电池+炭黑龙头+国企改革,002068.SZ,33,002068
创新药+一季报预增+阿尔茨海默,002082.SZ,33,002082
人形机器人+数据服务,002122.SZ,33,002122
,002168.SZ,33,002168
锂矿+碳酸锂涨价+机器人电机,002176.SZ,33,002176
锂矿+负极材料+年报增长,002192.SZ,33,002192
退市博弈+石英晶体+ST板块,002199.SZ,33,002199
锂价上涨+印尼锂盐+固态电池,002240.SZ,33,002240
特高压电容膜+光伏背板膜+算电协同应用潜力+国企改革,002263.SZ,33,002263
军工装备+兵装重组+机器人概念+央企背景,002265.SZ,33,002265
液冷服务器+北美订单+绿色算力,002272.SZ,33,002272
创新药+MASH临床+H股上市,002294.SZ,33,002294
商业地产+央企重组+净资产转正,002305.SZ,33,002305
重大资产重组+风光电站+北京国资,002310.SZ,33,002310
液冷服务器+储能+特斯拉,002328.SZ,33,002328
商业航天+无人机+聚酯树脂+地方国资,002361.SZ,33,002361
磷酸铁锂+扭亏+储能+国企,002386.SZ,33,002386
光纤级锗产品+商业航天+锗晶片+磷化铟,002428.SZ,33,002428
AI医疗+AI投资+CGM上市,002432.SZ,33,002432
火电转型+拟购江阴苏龙热电57.30%股权+金属管件+江阴国资,002445.SZ,33,002445
TMP涨价+锂电闭环+化工龙头+转债强赎,002455.SZ,33,002455
津巴布韦锂矿禁令+锂矿,002460.SZ,33,002460
化肥+磷化工+缓控释肥+国企改革,002470.SZ,33,002470
无人机+煤机+机器人,002526.SZ,33,002526
控制权变更+扭亏预告+男装品牌,002569.SZ,33,002569
重整投资人+光伏建筑一体化+建筑装饰,002620.SZ,33,002620
黄金+锂盐+ST反弹,002731.SZ,33,002731
创新药+AN9025+肿瘤管线,002755.SZ,33,002755
锂电+特钢+技改达产,002756.SZ,33,002756
ADC新药+眼科医疗+创新药,002773.SZ,33,002773
,002782.SZ,33,002782
钨价上涨+光伏钨丝+年报预增,002842.SZ,33,002842
AI营销+抖音概念+持股中书艺莲+VR文旅,002995.SZ,33,002995
草甘膦+农药原药+供销社,003042.SZ,33,003042
创新药+STSP-0601+STSP-0902,300204.SZ,33,300204
智能制造+电机+扭亏为盈,300461.SZ,33,300461
创新药+益生菌+国产替代,300858.SZ,33,300858
电解液龙头+固态电池+比亚迪大单,301292.SZ,33,301292
固态电池铜箔+HVLP铜箔+高端锂电铜箔,600110.SH,17,600110
甲醇+尿素+化肥+煤炭,600227.SH,17,600227
年报增长+虚拟电厂+电网设备+央企,600268.SH,17,600268
电力+绿色电力+广西国资,600310.SH,17,600310
盐湖提锂+铅锌矿+业绩高增,600338.SH,17,600338
,600355.SH,22,600355
磷化工+化肥+精制磷酸,600470.SH,17,600470
创新药+皮质激素+出口,600488.SH,17,600488
LH-1801揭盲+扬州国资+泌尿制剂,600513.SH,17,600513
并购重组+机器视觉+电商服务,600539.SH,17,600539
复牌+业绩预盈+烟花爆竹,600599.SH,22,600599
算力租赁+预计扭亏+回购减持,600666.SH,17,600666
溴素涨价+钛白粉涨价+氯化法扩产+国企,600727.SH,17,600727
上海国资+地产销售大增+物业服务,600748.SH,17,600748
,600758.SH,17,600758
武汉新城+供水+国企,600769.SH,17,600769
煤化工+草酸扩产+乙二醇涨价,600844.SH,17,600844
电解液溶剂投产+环氧丙烷涨价,600955.SH,17,600955
绿电+光伏+国企,600982.SH,17,600982
算力租赁+广电5G+贵州国资,600996.SH,17,600996
覆铜板+先进封装+英伟达链,603002.SH,17,603002
电解液+宁德时代+H股上市,603026.SH,17,603026
定增通过+精酿啤酒+一带一路,603076.SH,17,603076
液冷服务器+氢能源+换热器+业绩预增,603090.SH,17,603090
AI服务器电极箔+储能电极箔+股权激励,603115.SH,17,603115
CRO+实验猴,603127.SH,17,603127
年报增长+铅锌采选+黄金资源,603132.SH,17,603132
风电齿轮箱+大兆瓦产品,603248.SH,17,603248
光刻胶+中芯国际+工艺废气治理+半导体设备,603324.SH,17,603324
流感检测+POCT+海外增长,603387.SH,17,603387
锂盐产能+碳酸锂+钼业龙头,603399.SH,17,603399
固态电池+烟草包装+ST摘帽博弈,603429.SH,22,603429
减肥药+创新药+原料药,603538.SH,17,603538
溴素涨价+百菌清涨价+阻燃剂,603585.SH,17,603585
光纤+特高压+超薄铜箔,603618.SH,17,603618
625MHz晶振+光模块+石英晶体+人形机器人,603738.SH,17,603738
,603813.SH,22,603813
六氟磷酸锂+电池铝箔+商业航天+三氟化硼,603978.SH,17,603978
退市风险+算力设备+水环境修复,605081.SH,22,605081
足球概念+体育产业+健身器材+外销,605299.SH,17,605299
益生菌+味动力+扭亏预期,605388.SH,17,605388
创新药+SGC001+肝癌早诊,688068.SH,17,688068
