涨停原因类别[20260402],market_code,股票代码,code
光纤概念+光伏储能+线缆+厦门国资,33,002309.SZ,002309
,33,002357.SZ,002357
油气储运+一带一路+央企,17,600339.SH,600339
,22,600599.SH,600599
,33,000048.SZ,000048
生猪养殖+收储启动+定增获批,17,603477.SH,603477
,33,000638.SZ,000638
花卉转型+扭亏预告+昆明国资,22,600608.SH,600608
,33,002905.SZ,002905
锂盐湖+二期爬坡+宝武央企,33,000762.SZ,000762
固危废资源化+铟靶材+ST炒作,33,000711.SZ,000711
Q1预计扭亏+燃料油+液冷算力+国资入主,33,300839.SZ,300839
专业工程+一带一路+央企,33,002051.SZ,002051
,33,002731.SZ,002731
电缆+光纤+实控人中国华能+央企,33,000720.SZ,000720
,22,600355.SH,600355
特高压电容膜+光伏背板膜+算电协同应用潜力+国企改革,33,002263.SZ,002263
,33,000752.SZ,000752
特高压光缆+车载电子+定增推进,33,000586.SZ,000586
煤层气+山西国资,33,000968.SZ,000968
,33,002102.SZ,002102
创新药+右酮洛芬+帕利哌酮获批,33,000788.SZ,000788
电力+新型储能+地方国资,17,600644.SH,600644
创新药+原料药+出口,17,600488.SH,600488
润滑油+氢能布局+军工认证,17,603798.SH,603798
,22,603813.SH,603813
年报高增+特高压线缆+航空零部件+机器人电缆,33,002560.SZ,002560
创新药+AI服务器+原料药制剂一体化,33,002898.SZ,002898
造纸+减亏+资产优化,17,603863.SH,603863
成品油+拟控股奎芯+芯片概念,17,603353.SH,603353
GLP-1+创新药+硝酸甘油喷雾剂,33,002038.SZ,002038
退市博弈+高端白酒+中药大健康,22,600381.SH,600381
回购+连锁药房+创新药+央企,33,000950.SZ,000950
,33,000004.SZ,000004
锂矿达产+新能源发电+四川国资,33,000155.SZ,000155
热电联产+储能+回购,17,605162.SH,605162
海峡两岸+AI医疗+6亿合同,17,603122.SH,603122
,22,605081.SH,605081
阿扎胞苷获批+抗肿瘤药+民营医院,17,600594.SH,600594
,33,002630.SZ,002630
,22,600581.SH,600581
槲皮素申报+原料药+合成生物,151,920230.BJ,920230
创新药+医疗器械+海南自贸港,17,603222.SH,603222
一体化油服+加拿大油气权益,33,002828.SZ,002828
,17,603008.SH,603008
光通信+光纤概念+芯片投资,17,603042.SH,603042
,33,002538.SZ,002538
股权转让+聚苯乙烯+回购完成,33,300834.SZ,300834
