股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code,std_code
000070.SZ,特发信息,12.86,-0.6182380216383313,涨停,1,0, 09:32:15, 09:38:01,商业航天+CPO+光通信+深圳国资,,,,33,70,70.0
000407.SZ,胜利股份,5.08,-0.1964636542239644,涨停,1,0, 13:03:26, 13:03:26,燃气并购+天然气+PE管道+中油燃气,,,,33,407,407.0
000505.SZ,京粮控股,8.44,3.17848410757946,涨停,1,0, 09:47:40, 10:21:00,海南自贸区+油脂食品+北京国资+拟续签协议,,,,33,505,505.0
000523.SZ,红棉股份,4.05,-1.219512195121947,涨停,2,0, 09:38:18, 09:39:03,收购亚洲食品+饮料增长+广州国资+园区运营,,,,33,523,523.0
000551.SZ,创元科技,12.79,2.075019952114922,涨停,1,0, 11:19:06, 14:47:50,商业航天+机器人+轴承龙头+苏州国资,,,,33,551,551.0
000566.SZ,海南海药,8.51,6.909547738693465,涨停,2,0, 10:01:26, 10:26:00,海南自贸港+创新药+国企,,,,33,566,566.0
000567.SZ,海德股份,7.11,3.7956204379562144,涨停,1,0, 09:59:17, 09:59:17,海南自贸区+困境资管+AMC+增持计划,,,,33,567,567.0
000571.SZ,新大洲A,6.15,0.0,涨停,1,0, 13:01:10, 13:01:10,海南自贸区+煤炭+航空发动机+诉讼落地,,,,33,571,571.0
000572.SZ,海马汽车,9.86,5.341880341880342,涨停,1,0, 09:59:45, 10:06:06,海南自贸港+氢能汽车+整车制造+出口,,,,33,572,572.0
000638.SZ,*ST万方,5.12,1.992031872509971,涨停,3,0, 09:30:45, 11:28:09,控制权变更+军工+地方国资+虾青素,,,,33,638,638.0
000735.SZ,罗牛山,10.7,2.099236641221363,涨停,1,0, 10:12:07, 13:25:14,海南自贸区+生猪养殖+冷链物流+全产业链,,,,33,735,735.0
000752.SZ,ST西发,11.19,2.098540145985389,涨停,1,0, 09:39:48, 09:42:07,重整协议+啤酒+ST板块,,,,33,752,752.0
