name,code,now,涨停价,跌停价
宏达电子,300726,44.5,52.85,35.23
奕东电子,301123,58.88,72.53,48.35
美埃科技,688376,53.62,64.2,42.8
同飞股份,300990,78.4,93.0,62.0
中光防雷,300414,12.86,15.54,10.36
苏州天脉,301626,171.03,201.98,134.66
安达智能,688125,98.31,114.59,76.39
宏源药业,301246,17.79,21.35,14.23
*ST名家,300506,4.5,4.55,3.03
华丰科技,688629,82.89,99.47,66.31
申菱环境,301018,58.76,70.02,46.68
森赫股份,301056,11.79,14.02,9.34
华自科技,300490,11.4,13.78,9.18
铜冠铜箔,301217,32.2,38.6,25.74
鼎泰高科,301377,126.51,151.63,101.09
华盛锂电,688353,93.6,112.24,74.82
富信科技,688662,48.5,57.79,38.53
杰华特,688141,37.12,44.54,29.7
新诺威,300765,35.62,42.74,28.5
得利斯,2330,5.07,5.57,4.55
安通控股,600179,4.92,4.92,4.02
华联控股,36,6.13,6.13,5.01
海南海药,566,8.51,8.76,7.16
保变电气,600550,10.08,11.17,9.14
利柏特,605167,12.45,13.92,11.39
滨海能源,695,12.43,13.6,11.12
嘉美包装,2969,7.35,7.35,6.01
联发股份,2394,14.8,16.02,13.1
惠威科技,2888,18.86,20.75,16.97
川润股份,2272,14.41,15.92,13.02
海汽集团,603069,28.88,28.88,23.63
胜通能源,1331,31.63,31.63,25.88
楚环科技,1336,28.66,31.85,26.06
海南瑞泽,2596,6.48,6.48,5.3
多氟多,2407,29.56,32.51,26.6
章源钨业,2378,14.78,16.26,13.3
神剑股份,2361,9.88,9.89,8.09
圣晖集成,603163,67.5,71.01,58.1
万润股份,2643,14.84,16.38,13.4
海南发展,2163,17.59,17.59,14.39
快克智能,603203,32.78,35.73,29.23
宏和科技,603256,33.99,37.27,30.49
世嘉科技,2796,26.48,26.5,21.68
亚翔集成,603929,102.0,108.31,88.61
国风新材,859,9.42,10.56,8.64
中百集团,759,8.0,8.91,7.29
友邦吊顶,2718,29.9,32.67,26.73
科瑞技术,2957,19.78,21.78,17.82
深圳新星,603978,25.8,28.27,23.13
英维克,2837,93.94,103.84,84.96
九鼎新材,2201,8.5,9.35,7.65
天际股份,2759,34.89,38.29,31.33
东材科技,601208,24.89,26.63,21.79
三孚股份,603938,17.68,19.37,15.85
航天工程,603698,27.89,30.93,25.31
翔鹭钨业,2842,13.94,15.08,12.34
安记食品,603696,24.44,24.44,20.0
鹭燕医药,2788,17.0,18.5,15.14
泰嘉股份,2843,18.07,19.94,16.32
柏诚股份,601133,16.09,17.85,14.61
德尔未来,2631,5.31,5.84,4.78
德力股份,2571,10.08,11.02,9.02
创元科技,551,12.79,13.78,11.28
山东赫达,2810,15.0,15.99,13.09
浔兴股份,2098,9.7,10.7,8.76
合兴包装,2228,5.16,5.41,4.43
南宁百货,600712,7.0,7.73,6.33
集泰股份,2909,6.73,7.41,6.07
珂玛科技,301611,79.38,91.52,61.02
菲菱科思,301191,104.14,124.8,83.2
菱电电控,688667,61.6,73.45,48.97
天赐材料,2709,39.07,42.71,34.95
神农种业,300189,7.61,8.56,5.7
华瑞股份,300626,12.88,15.44,10.3
荣亿精密,920223,24.31,31.99,17.23
腾景科技,688195,165.74,198.42,132.28
鸿富瀚,301086,106.15,127.38,84.92
大中矿业,1203,28.8,31.53,25.79
鹏辉能源,300438,51.3,60.91,40.61
天华新能,300390,51.22,60.84,40.56
华光新材,688379,55.75,67.5,45.0
京能电力,600578,4.85,5.21,4.27
平安电工,1359,72.78,80.38,65.76
漱玉平民,301017,16.62,20.59,13.73
广钢气体,688548,13.34,15.96,10.64
泓禧科技,920857,35.13,46.04,24.8
盛剑科技,603324,24.59,27.06,22.14
联特科技,301205,173.14,207.72,138.48
石大胜华,603026,72.24,79.45,65.01
科创新源,300731,50.76,61.97,41.31
可川科技,603052,30.39,33.55,27.45
统联精密,688210,48.33,57.34,38.22
鼎胜新材,603876,12.99,14.4,11.78
强瑞技术,301128,87.83,105.46,70.3
罗博特科,300757,212.8,255.6,170.4
龙蟠科技,603906,19.25,21.18,17.33
英诺激光,301021,43.15,52.3,34.86
威尔高,301251,51.88,61.72,41.14
博威合金,601137,20.45,22.46,18.38
震安科技,300767,21.19,25.45,16.97
山东黄金,600547,38.93,41.89,34.27
青鸟消防,2960,10.54,11.37,9.31
曙光数创,920808,70.36,92.14,49.62
艾可蓝,300816,42.01,48.92,32.62
英特科技,301399,18.85,22.22,14.82
思泉新材,301489,189.99,228.2,152.14
中能电气,300062,9.93,11.95,7.97
神工股份,688233,66.12,79.43,52.95
科源制药,301281,27.45,32.12,21.42
海博思创,688411,244.99,292.56,195.04
凯格精机,301338,83.3,102.0,68.0
中材科技,2080,35.59,39.15,32.03
海科新源,301292,55.39,67.44,44.96
唯万密封,301161,31.51,37.48,24.98
同惠电子,920509,36.79,47.73,25.71
海峡股份,2320,13.88,13.88,11.36
天宏锂电,920252,30.5,39.85,21.47
捷众科技,920690,32.02,41.62,22.42
鼎信通讯,603421,7.87,8.73,7.15
华资实业,600191,12.74,13.95,11.41
菲利华,300395,97.0,116.69,77.79
宏裕包材,920274,32.67,43.34,23.34
茂莱光学,688502,384.86,462.1,308.06
富祥药业,300497,13.94,16.75,11.17
国林科技,300786,15.68,18.89,12.59
淳中科技,603516,209.66,224.48,183.66
东方电气,600875,23.3,25.63,20.97
万润新能,688275,71.86,85.75,57.17
正和生态,605069,10.3,11.19,9.15
浦东建设,600284,8.01,8.84,7.24
同宇新材,301630,169.5,203.36,135.58
捷邦科技,301326,112.36,135.82,90.54
龙图光罩,688721,45.58,55.13,36.75
新疆火炬,603080,22.81,25.09,20.53
南风股份,300004,11.16,13.44,8.96
艾森股份,688720,71.0,85.2,56.8
星德胜,603344,35.49,35.49,29.03
海欣食品,2702,8.61,9.68,7.92
完美世界,2624,15.91,17.25,14.11
浩通科技,301026,29.38,34.5,23.0
厦钨新能,688778,71.82,86.17,57.45
国晟科技,603778,13.4,14.44,11.82
德福科技,301511,35.86,43.72,29.14
银座股份,600858,6.75,7.47,6.11
马钢股份,600808,3.96,4.35,3.56
生物股份,600201,16.1,17.61,14.41
沃尔德,688028,57.83,68.46,45.64
方盛股份,920662,28.0,36.64,19.74
鲁信创投,600783,15.6,16.52,13.52
四方达,300179,14.62,17.47,11.65
九州一轨,688485,16.81,20.35,13.57
双杰电气,300444,9.94,11.93,7.95
北京君正,300223,93.55,112.92,75.28
宝武镁业,2182,14.07,15.44,12.64
强达电路,301628,91.2,109.4,72.94
康欣新材,600076,3.19,3.48,2.84
湖南裕能,301358,62.74,75.31,50.21
矩阵股份,301365,24.12,29.09,19.39
和林微纳,688661,53.0,62.99,41.99
长缆科技,2879,17.62,19.35,15.83
恩捷股份,2812,49.0,53.85,44.06
飞荣达,300602,29.6,36.02,24.02
阿特斯,688472,15.37,17.93,11.95
鼎通科技,688668,120.54,142.7,95.14
新宙邦,300037,49.82,59.9,39.94
华康洁净,301235,41.53,50.47,33.65
国城矿业,688,26.52,29.17,23.87
ST围海,2586,4.28,4.31,3.9
川环科技,300547,38.0,46.07,30.71
波长光电,301421,102.0,123.53,82.35
*ST熊猫,600599,10.01,10.01,9.05
科思科技,688788,68.12,82.8,55.2
*ST宇顺,2289,26.99,28.25,25.56
*ST松发,603268,80.79,80.96,73.25
*ST荣控,668,9.32,9.65,8.73
*ST万方,638,5.12,5.27,4.77
*ST建艺,2789,9.07,9.07,8.21
高德红外,2414,14.78,15.92,13.02
*ST高斯,2848,7.65,8.03,7.27
*ST步森,2569,10.47,10.8,9.78
联瑞新材,688300,58.95,70.78,47.18
云南锗业,2428,28.91,32.0,26.18
安孚科技,603031,44.36,48.32,39.54
*ST岩石,600696,3.45,3.62,3.28
美联新材,300586,10.88,12.91,8.61
炬华科技,300360,16.7,20.09,13.39
*ST云网,2306,1.93,1.93,1.75
白云电器,603861,12.05,13.05,10.67
*ST精伦,600355,2.08,2.15,1.95
*ST惠程,2168,3.79,3.87,3.51
高澜股份,300499,29.21,35.23,23.49
*ST奥维,2231,1.65,1.73,1.57
天振股份,301356,21.09,25.04,16.7
智光电气,2169,10.0,10.53,8.61
中钨高新,657,29.51,32.6,26.68
盛新锂能,2240,33.8,37.71,30.85
恒坤新材,688727,47.83,57.96,38.64
新莱应材,300260,54.36,65.98,43.98
顺钠股份,533,8.58,9.54,7.8
江海股份,2484,27.84,30.72,25.14
永太科技,2326,23.73,25.8,21.11
奥克股份,300082,9.66,11.54,7.7
欧陆通,300870,215.0,258.78,172.52
硕贝德,300322,23.47,28.61,19.07
天普股份,605255,156.0,157.84,129.14
艾迪药业,688488,14.66,17.58,11.72
普蕊斯,301257,48.0,57.7,38.46
海峡创新,300300,15.27,18.64,12.42
锦华新材,920015,50.18,65.42,35.24
芳源股份,688148,9.1,10.97,7.31
药易购,300937,34.0,40.64,27.1
飞龙股份,2536,30.07,33.44,27.36
梦天家居,603216,35.8,38.5,31.5
上海九百,600838,10.99,12.65,10.35
溯联股份,301397,32.6,39.16,26.1
太极实业,600667,7.8,8.55,6.99
惠博普,2554,3.17,3.42,2.8
奥锐特,605116,22.04,24.24,19.84
盛屯矿业,600711,14.22,15.43,12.63
华正新材,603186,42.62,47.06,38.5
*ST返利,600228,4.99,5.22,4.72
中科飞测,688361,154.0,185.4,123.6
杰美特,300868,28.62,34.18,22.78
海通发展,603162,12.35,13.71,11.21
诺德股份,600110,6.77,7.41,6.07
皖能电力,543,8.5,9.22,7.54
中国巨石,600176,15.59,17.22,14.09
佛塑科技,973,12.44,13.64,11.16
三孚新科,688359,69.34,83.21,55.47
巨人网络,2558,45.08,49.59,40.57
金海高科,603311,12.86,14.28,11.68
银河微电,688689,26.84,32.15,21.43
ST西发,752,11.19,11.51,10.41
