name,code,open,涨停价,跌停价
蘅东光,920045,350.0,-1.0,-1.0
新广益,301687,65.0,-1.0,-1.0
天铭科技,920270,21.51,25.68,13.84
立方控股,920130,22.45,30.13,16.23
久之洋,300516,68.01,80.7,53.8
蓝色光标,300058,9.76,11.52,7.68
挖金客,301380,31.6,37.8,25.2
中科江南,301153,20.61,24.72,16.48
万事利,301066,16.56,19.69,13.13
飞沃科技,301232,147.0,171.36,114.24
信维通信,300136,55.4,63.6,42.4
乾照光电,300102,24.22,28.57,19.05
航天环宇,688523,49.29,58.62,39.08
太力科技,301595,43.53,51.42,34.28
富吉瑞,688272,28.55,34.26,22.84
强一股份,688809,240.0,-1.0,-1.0
国博电子,688375,83.18,99.72,66.48
延江股份,300658,13.25,15.92,10.62
爱乐达,300696,28.87,34.31,22.87
金橙子,688291,39.0,45.94,30.62
中科星图,688568,53.23,63.74,42.5
星环科技,688031,97.61,117.05,78.03
福石控股,300071,5.8,7.08,4.72
广联航空,300900,36.7,42.38,28.26
金沃股份,300984,77.1,92.18,61.46
易点天下,301171,36.49,44.09,29.39
雷神科技,920190,26.5,33.03,17.79
御银股份,2177,8.4,9.41,7.7
泰尔股份,2347,11.96,12.38,10.13
合肥城建,2208,12.38,12.38,10.13
天创时尚,603608,10.3,10.3,8.42
百达精工,603331,12.98,14.25,11.66
德生科技,2908,9.59,10.53,8.61
顺灏股份,2565,17.45,18.33,14.99
申达股份,600626,4.38,4.83,3.95
美能能源,1299,14.0,14.71,12.03
乐凯胶片,600135,9.4,10.32,8.44
中创物流,603967,12.68,13.73,11.23
顺控发展,3039,14.55,15.93,13.03
烽火通信,600498,29.89,32.08,26.24
农心科技,1231,22.76,24.94,20.4
星德胜,603344,33.98,37.36,30.56
联翔股份,603272,18.28,20.11,16.45
巴比食品,605338,29.5,31.32,25.62
航天电子,600879,19.37,21.32,17.44
友邦吊顶,2718,35.94,35.94,29.4
鲁信创投,600783,23.66,24.73,20.23
飞亚达,26,14.99,16.38,13.4
大业股份,603278,17.03,17.04,13.94
中国卫通,601698,32.24,35.73,29.23
王子新材,2735,16.15,18.03,14.75
航天晨光,600501,27.66,30.13,24.65
宏英智能,1266,37.13,39.37,32.21
北斗星通,2151,40.33,45.43,37.17
中天火箭,3009,70.98,78.54,64.26
云中马,603130,51.49,56.65,46.35
索菱股份,2766,5.67,6.05,4.95
南兴股份,2757,17.61,19.47,15.93
中国卫星,600118,88.0,94.95,77.69
五洲新春,603667,69.98,69.98,57.26
长江通信,600345,31.9,34.66,28.36
航天发展,547,30.89,33.01,27.01
掌阅科技,603533,20.15,22.12,18.1
联创光电,600363,57.32,63.06,51.6
众望布艺,605003,31.61,35.55,29.09
锋龙股份,2931,31.7,31.7,25.94
上峰水泥,672,12.98,12.99,10.63
雷科防务,2413,12.01,12.55,10.27
航发科技,600391,33.5,37.1,30.36
华建集团,600629,19.8,21.7,17.76
养元饮品,603156,27.5,28.75,23.53
城建发展,600266,4.63,5.07,4.15
和展能源,809,3.31,3.64,2.98
神剑股份,2361,12.61,14.34,11.74
金新农,2548,5.61,6.08,4.98
凯文教育,2659,5.61,5.86,4.8
利欧股份,2131,5.12,5.64,4.62
棒杰股份,2634,5.14,5.65,4.63
万向钱潮,559,16.59,17.26,14.12
水羊股份,300740,21.88,26.11,17.41
高凌信息,688175,29.41,35.29,23.53
铂力特,688333,102.0,122.4,81.6
江西铜业,600362,50.25,55.28,45.23
金道科技,301279,31.66,38.0,25.34
海昌新材,300885,32.16,37.18,24.78
真爱美家,3041,49.6,54.82,44.86
志特新材,300986,10.3,12.31,8.21
安居宝,300155,6.03,7.24,4.82
正元地信,688509,5.06,6.05,4.03
利柏特,605167,15.12,16.61,13.59
雷尔伟,301016,20.76,24.91,16.61
华瑞股份,300626,14.89,17.57,11.71
安联锐视,301042,82.5,97.19,64.79
辰光医疗,920300,14.2,18.39,9.91
佳创视讯,300264,6.18,7.42,4.94
崧盛股份,301002,33.42,40.26,26.84
雄塑科技,300599,7.52,9.01,6.01
蜀道装备,300540,18.7,22.14,14.76
金卡智能,300349,14.71,17.33,11.55
新日股份,603787,12.99,14.29,11.69
宣亚国际,300612,16.72,19.75,13.17
信科移动,688387,11.95,14.32,9.54
喜悦智行,301198,11.62,13.94,9.3
唯特偶,301319,51.32,61.56,41.04
国晟科技,603778,16.8,17.95,14.69
合合信息,688615,208.0,253.24,168.82
明德生物,2932,18.5,19.6,16.04
上海瀚讯,300762,38.75,46.5,31.0
通宇通讯,2792,39.72,43.67,35.73
金富科技,3018,16.44,17.82,14.58
协创数据,300857,156.02,188.27,125.51
卡莱特,301391,79.15,94.7,63.14
湘电股份,600416,14.69,16.15,13.21
朗博科技,603655,38.83,42.79,35.01
