name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,81.98,79.58,81.98,180700.0,81.82,200,81.98,200,3.02,81.98,81.98,180700,14810000.0,0.8,0.0,18.44,91.55,95.5,63.66,0.0
锡华科技,sh603248,22.5,22.67,22.5,138900.0,22.5,8100,22.51,27900,-0.75,22.5,22.5,138900,3130000.0,0.2,0.0,15.59,103.5,24.94,20.4,0.0
天溯计量,sz301449,87.02,86.7,87.02,79200.0,87.02,4000,87.8,100,0.37,87.02,87.02,79200,6890000.0,0.57,0.0,12.11,56.75,104.04,69.36,0.0
美埃科技,sh688376,58.02,58.14,58.02,3954300.0,58.02,3800,58.1,900,-0.21,58.02,58.02,3954300,2290000.0,0.03,0.0,78.46,78.46,69.77,46.51,0.0
同飞股份,sz300990,92.64,94.42,92.64,48100.0,92.64,4100,92.95,500,-1.89,92.64,92.64,48100,4460000.0,0.06,0.0,71.45,158.02,113.3,75.54,0.0
中光防雷,sz300414,14.77,14.77,14.77,152800.0,14.77,6600,14.78,2000,0.0,14.77,14.77,152800,2260000.0,0.05,0.0,46.31,48.15,17.72,11.82,0.0
苏州天脉,sz301626,188.0,187.99,0.0,0.0,188.0,200,188.27,100,0.01,0.0,0.0,0,0.0,0.0,0.0,98.92,217.48,225.59,150.39,0.0
*ST名家,sz300506,4.18,4.09,4.18,202100.0,4.18,800,4.19,25500,2.2,4.18,4.18,202100,840000.0,0.03,0.0,30.71,59.59,4.91,3.27,0.0
森赫股份,sz301056,16.78,16.8,16.78,102800.0,16.77,5400,16.79,200,-0.12,16.78,16.78,102800,1720000.0,0.06,0.0,29.53,44.77,20.16,13.44,0.0
宏达电子,sz300726,51.08,50.88,51.08,105800.0,51.02,100,51.08,16600,0.39,51.08,51.08,105800,5400000.0,0.05,0.0,109.54,210.37,61.06,40.7,0.0
宏源药业,sz301246,24.44,24.5,24.44,397500.0,24.44,55500,24.45,1400,-0.24,24.44,24.44,397500,9710000.0,0.25,0.0,39.11,97.76,29.4,19.6,0.0
华盛锂电,sh688353,115.57,117.1,115.57,15951700.0,115.57,10300,115.63,200,-1.31,115.57,115.57,15951700,18440000.0,0.13,0.0,137.61,184.33,140.52,93.68,0.0
鼎泰高科,sz301377,142.65,144.4,142.65,59300.0,142.61,100,143.0,2400,-1.21,142.65,142.65,59300,8460000.0,0.08,0.0,101.32,584.87,173.28,115.52,0.0
腾景科技,sh688195,167.0,168.29,167.0,1891600.0,167.0,5500,168.48,400,-0.77,167.0,167.0,1891600,3160000.0,0.01,0.0,216.01,216.01,201.95,134.63,0.0
珂玛科技,sz301611,88.57,87.01,88.57,304500.0,88.5,100,88.57,12800,1.79,88.57,88.57,304500,26970000.0,0.21,0.0,129.83,386.17,104.41,69.61,0.0
新诺威,sz300765,35.71,35.71,35.71,26600.0,35.7,8700,35.71,300,0.0,35.71,35.71,26600,950000.0,0.0,0.0,501.58,501.58,42.85,28.57,0.0
安达智能,sh688125,126.72,126.99,126.72,933800.0,125.0,2000,126.72,800,-0.21,126.72,126.72,933800,1180000.0,0.01,0.0,103.52,104.07,152.39,101.59,0.0
杰华特,sh688141,44.89,44.1,44.89,12225900.0,44.8,800,44.89,1200,1.79,44.89,44.89,12225900,5490000.0,0.03,0.0,202.15,202.15,52.92,35.28,0.0
铜冠铜箔,sz301217,35.45,35.74,35.45,100400.0,35.42,300,35.45,3400,-0.81,35.45,35.45,100400,3560000.0,0.01,0.0,293.89,293.89,42.89,28.59,0.0
海科新源,sz301292,68.53,68.51,68.53,178300.0,68.53,12200,68.6,3100,0.03,68.53,68.53,178300,12220000.0,0.21,0.0,58.3,152.68,82.21,54.81,0.0
奕东电子,sz301123,77.65,79.5,77.65,351200.0,77.65,7800,77.68,1800,-2.33,77.65,77.65,351200,27270000.0,0.15,0.0,181.39,182.2,95.4,63.6,0.0
安通控股,sh600179,5.51,5.49,5.51,3426800.0,5.51,306600,5.52,1800,0.36,5.51,5.51,3426800,18880000.0,0.09,0.0,212.81,233.16,6.04,4.94,0.0
华联控股,sz000036,6.64,6.74,6.64,1377500.0,6.63,16200,6.64,278400,-1.48,6.64,6.64,1377500,9150000.0,0.1,0.0,93.04,93.21,7.41,6.07,0.0
滨海能源,sz000695,13.04,13.03,13.04,112300.0,13.04,3400,13.1,7500,0.08,13.04,13.04,112300,1460000.0,0.05,0.0,28.92,28.97,14.33,11.73,0.0
嘉美包装,sz002969,13.04,11.85,13.04,9729700.0,13.04,72077900,0.0,0,10.04,13.04,13.04,9729700,126870000.0,1.02,0.0,123.79,124.59,13.04,10.67,0.0
联发股份,sz002394,15.42,15.42,15.42,50900.0,15.42,5700,15.5,1000,0.0,15.42,15.42,50900,780000.0,0.02,0.0,49.85,49.91,16.96,13.88,0.0
海汽集团,sh603069,27.15,27.16,27.15,164500.0,27.15,3700,27.16,15300,-0.04,27.15,27.15,164500,4470000.0,0.05,0.0,85.79,85.79,29.88,24.44,0.0
胜通能源,sz001331,46.31,46.31,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,77.74,130.71,50.94,41.68,0.0
海南瑞泽,sz002596,5.39,5.34,5.39,736400.0,5.38,29800,5.39,43200,0.94,5.39,5.39,736400,3970000.0,0.06,0.0,61.8,61.85,5.87,4.81,0.0
多氟多,sz002407,33.61,34.19,33.61,829600.0,33.61,79600,33.62,900,-1.7,33.61,33.61,829600,27880000.0,0.08,0.0,363.17,400.1,37.61,30.77,0.0
章源钨业,sz002378,14.35,14.44,14.35,96900.0,14.35,12100,14.41,2600,-0.62,14.35,14.35,96900,1390000.0,0.01,0.0,171.5,172.4,15.88,13.0,0.0
神剑股份,sz002361,12.61,13.04,12.61,8642900.0,12.61,18200,12.62,1400,-3.3,12.61,12.61,8642900,108990000.0,1.07,0.0,102.03,119.93,14.34,11.74,0.0
