name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,74.36,73.58,73.01,7933500.0,74.36,28900,74.37,16700,1.06,74.38,71.82,7933500,578430000.0,35.27,3.48,16.73,83.04,88.3,58.86,0.66
锡华科技,sh603248,22.3,22.29,22.09,10025600.0,22.29,86900,22.3,4800,0.04,22.35,21.98,10025600,222380000.0,14.47,1.66,15.46,102.58,24.52,20.06,0.49
天溯计量,sz301449,81.72,82.5,82.64,3639300.0,81.72,3600,81.73,2000,-0.95,83.05,80.95,3639300,297410000.0,26.16,2.55,11.37,53.3,99.0,66.0,0.5
美埃科技,sh688376,63.1,62.65,61.52,554085000.0,63.08,1800,63.1,1600,0.72,65.66,61.33,554085000,351450000.0,4.1,6.91,85.33,85.33,75.18,50.12,0.99
同飞股份,sz300990,88.11,90.29,89.49,6267000.0,88.11,600,88.12,3900,-2.41,90.2,87.09,6267000,553780000.0,8.13,3.44,67.95,150.3,108.35,72.23,0.74
中光防雷,sz300414,15.92,16.2,15.8,50565400.0,15.92,9800,15.93,161800,-1.73,15.98,15.4,50565400,794180000.0,16.13,3.58,49.91,51.9,19.44,12.96,0.91
苏州天脉,sz301626,185.8,185.5,187.49,1219500.0,185.8,5900,185.87,100,0.16,189.5,184.3,1219500,227270000.0,2.32,2.8,97.77,214.93,222.6,148.4,0.85
*ST名家,sz300506,4.19,4.24,4.18,7611700.0,4.18,150200,4.19,103500,-1.18,4.23,4.16,7611700,31850000.0,1.04,1.65,30.78,59.73,5.09,3.39,0.7
森赫股份,sz301056,14.88,15.13,15.15,11368600.0,14.87,18000,14.88,19700,-1.65,15.67,14.77,11368600,171300000.0,6.46,5.95,26.19,39.7,18.16,12.1,0.86
宏达电子,sz300726,51.64,51.4,51.8,19427200.0,51.64,700,51.65,8200,0.47,52.5,50.55,19427200,1001660000.0,9.06,3.79,110.74,212.67,61.68,41.12,0.94
宏源药业,sz301246,24.11,25.23,28.01,56041400.0,24.11,14000,24.12,19900,-4.44,28.79,23.9,56041400,1401030000.0,35.02,19.38,38.59,96.44,30.28,20.18,1.13
华盛锂电,sh688353,118.85,122.29,125.68,1417871400.0,118.84,1900,118.85,6100,-2.81,126.28,118.51,1417871400,1723970000.0,11.91,6.35,141.52,189.57,146.75,97.83,0.86
鼎泰高科,sz301377,145.0,142.91,145.99,9580900.0,144.88,500,145.0,3800,1.46,150.65,141.0,9580900,1393430000.0,13.49,6.75,102.98,594.5,171.49,114.33,1.06
腾景科技,sh688195,168.99,174.95,177.0,851088100.0,168.91,400,168.99,100,-3.41,178.0,166.8,851088100,1452430000.0,6.58,6.4,218.59,218.59,209.94,139.96,1.22
珂玛科技,sz301611,99.81,86.75,83.8,27081500.0,99.81,3900,99.86,200,15.05,100.88,83.8,27081500,2512330000.0,18.48,19.69,146.3,435.17,104.1,69.4,1.25
新诺威,sz300765,37.92,37.45,37.5,13205000.0,37.91,600,37.92,11800,1.26,38.5,36.88,13205000,496770000.0,0.94,4.33,532.62,532.62,44.94,29.96,0.89
安达智能,sh688125,141.73,134.0,135.5,137183200.0,141.72,4300,141.73,5900,5.77,144.35,133.74,137183200,190520000.0,1.68,7.92,115.78,116.4,160.8,107.2,0.71
杰华特,sh688141,48.45,45.55,45.0,2190514200.0,48.45,21300,48.46,3000,6.37,48.45,44.61,2190514200,1016080000.0,4.86,8.43,218.18,218.18,54.66,36.44,1.18
