股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000608.SZ,*ST阳光,3.05,0.0,涨停,3,0, 09:30:00, 10:04:47,商业地产+资产盘活+股权转让+ST板块,,,,33,000608
000620.SZ,盈新发展,3.33,0.0,涨停,2,0, 09:30:00, 09:30:00,拟收购半导体+存储芯片+文旅地产,,,,33,000620
000635.SZ,英力特,9.88,-0.3027245206861691,涨停,1,0, 09:48:17, 09:48:17,氯碱化工+氢能源+PVC+热力+央企,,,,33,000635
000638.SZ,*ST万方,4.88,-0.40816326530613184,跌停,0,1,,,, 09:45:32, 13:26:44,异常波动+短线回调,33,000638
000691.SZ,*ST亚太,8.57,5.02450980392157,涨停,3,0, 09:30:00, 09:30:00,重整完成+军工导入+精细化工+ST复牌,,,,33,000691
000798.SZ,中水渔业,11.79,-0.08474576271187764,涨停,1,0, 13:31:19, 13:31:19,远洋渔业+国企改革+央企,,,,33,000798
000859.SZ,国风新材,13.68,9.96784565916399,涨停,1,0, 09:30:15, 09:30:15,拟收购金张科技+光刻胶+芯片封装膜+合肥国资,,,,33,000859
000905.SZ,厦门港务,14.4,1.6231474947071307,涨停,1,0, 13:05:38, 13:16:02,拟收购集装箱资产+福建国资+港口物流,,,,33,000905
000908.SZ,*ST景峰,7.51,5.034965034965027,涨停,1,0, 10:07:02, 10:07:02,重整推进+创新药+玻璃酸钠中标+化学制药,,,,33,000908
001231.SZ,农心科技,26.43,-2.6519337016574545,跌停,0,1,,,, 09:30:00, 09:49:17,股东减持+短期涨幅较大+资金流出,33,001231
001270.SZ,*ST铖昌,111.42,5.004240882103479,涨停,4,0, 09:30:00, 09:30:00,T/R芯片+低轨卫星+扭亏为盈,,,,33,001270
001331.SZ,胜通能源,60.0,7.085489916116364,涨停,14,0, 09:30:00, 09:30:00,控制权变更+七腾机器人+LNG运贸,,,,33,001331
001400.SZ,江顺科技,93.87,0.0,涨停,2,0, 10:14:47, 13:39:09,航空航天+液冷服务器+铝挤压模具,,,,33,001400
002055.SZ,ST得润,5.78,-4.934210526315787,跌停,0,2,,,, 09:30:00, 09:30:00,被ST+担保诉讼+股东拍卖,33,002055
002112.SZ,三变科技,16.21,4.0436456996148955,涨停,1,0, 09:38:47, 09:38:47,电网设备+核电+变压器+国企改革,,,,33,002112
002146.SZ,荣盛发展,1.97,4.787234042553195,涨停,1,0, 09:40:02, 09:40:02,低空经济+地产+海南+康旅,,,,33,002146
002173.SZ,创新医疗,31.49,9.989521480964022,涨停,3,0, 09:30:00, 09:30:00,脑机接口+民营医院+高压氧舱,,,,33,002173
002195.SZ,岩山科技,9.67,2.4364406779661065,涨停,3,0, 09:30:00, 09:30:00,脑机接口+Yan大模型+2345导航,,,,33,002195
002199.SZ,*ST东晶,9.36,2.071973827699013,涨停,1,0, 09:44:02, 10:25:32,控制权变更+ST板块+石英晶体,,,,33,002199
002202.SZ,金风科技,26.0,-1.5151515151515098,涨停,2,0, 14:50:03, 14:51:39,参股蓝箭航天+风电龙头+绿氢氨醇,,,,33,002202
002231.SZ,*ST奥维,1.26,-5.263157894736847,跌停,0,1,,,, 09:30:00, 09:54:17,市值退市风险+连续亏损+审计非标,33,002231
