股票代码,股票简称,最高价,收盘价,涨跌幅,成交额,涨停价,跌停价
920207,众诚科技,41.6,41.6,30.0,435813245.34,41.6,22.4
920564,天润科技,34.93,34.93,30.0,441326542.65,34.93,18.81
920116,星图测控,130.16,130.16,29.99,1234807396.12,130.16,70.1
920090,同辉信息,8.63,8.63,29.97,433582914.3,8.63,4.65
920021,流金科技,9.51,9.51,29.92,566346085.87,9.51,5.13
920576,天力复合,124.11,119.99,24.96,1390392374.59,124.82,67.22
920748,路桥信息,58.28,55.5,22.0,269576028.77,59.13,31.85
920640,富士达,59.8,56.0,21.74,1365969559.77,59.8,32.2
920493,并行科技,195.13,187.0,21.07,1505221428.54,200.78,108.12
920227,美登科技,84.0,78.48,20.74,354754280.86,84.5,45.5
300071,福石控股,8.93,8.93,20.03,2499098100.0,8.93,5.95
300058,蓝色光标,20.62,20.62,20.02,23589175000.0,20.62,13.74
300229,拓尔思,26.44,26.44,20.02,4454599500.0,26.44,17.62
300435,中泰股份,31.6,31.6,20.02,1462307000.0,31.6,21.06
688118,普元信息,34.42,34.42,20.01,521537110.84,34.42,22.94
300045,华力创通,37.42,37.42,20.01,5658623400.0,37.42,24.94
688387,信科移动,19.01,19.01,20.01,1860825295.92,19.01,12.67
300987,川网传媒,21.65,21.65,20.01,654651350.0,21.65,14.43
300520,科大国创,48.52,48.52,20.01,3785566900.0,48.52,32.34
300170,汉得信息,29.39,29.39,20.01,7387782600.0,29.39,19.59
688232,新点软件,32.09,32.09,20.01,674015703.39,32.09,21.39
301378,通达海,37.91,37.91,20.01,344809150.0,37.91,25.27
301248,杰创智能,43.49,43.49,20.01,809265830.0,43.49,28.99
300766,每日互动,46.61,46.61,20.01,4861354100.0,46.61,31.07
688607,康众医疗,53.99,53.99,20.0,817408557.14,53.99,35.99
300816,艾可蓝,59.99,59.99,20.0,342548650.0,59.99,39.99
301171,易点天下,63.23,63.23,20.0,3844682600.0,63.23,42.15
688333,铂力特,140.27,140.27,20.0,3630094162.5,140.27,93.51
688375,国博电子,155.99,155.99,20.0,2270269762.49,155.99,103.99
301159,三维天地,47.88,47.88,20.0,431945510.0,47.88,31.92
688119,中钢洛耐,7.86,7.86,20.0,1056575811.31,7.86,5.24
688365,光云科技,24.48,24.48,20.0,903046771.18,24.48,16.32
688325,赛微微电,109.62,109.62,20.0,428218043.64,109.62,73.08
300624,万兴科技,99.06,99.06,20.0,3738688400.0,99.06,66.04
300442,润泽科技,83.04,83.04,20.0,9496293600.0,83.04,55.36
688679,通源环境,33.24,33.24,20.0,145821846.48,33.24,22.16
300792,壹网壹创,42.18,42.18,20.0,1449657200.0,42.18,28.12
688031,星环科技,194.4,194.4,20.0,2180293707.83,194.4,129.6
688282,理工导航,94.2,94.2,20.0,359008640.72,94.2,62.8
688095,福昕软件,128.4,128.4,20.0,866929205.53,128.4,85.6
300342,天银机电,47.16,47.16,20.0,3729831900.0,47.16,31.44
300830,金现代,14.52,14.52,20.0,1866283800.0,14.52,9.68
300063,天龙集团,13.02,13.02,20.0,2860146100.0,13.02,8.68
301079,邵阳液压,70.14,70.14,20.0,2061406200.0,70.14,46.76
300785,值得买,62.64,62.64,20.0,1759857100.0,62.64,41.76
300364,中文在线,34.98,34.98,20.0,4634099400.0,34.98,23.32
