name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
纳百川,sz301667,82.83,80.88,82.83,72400.0,0,0.0,82.82,1500,82.81,2100,82.8,13900,82.78,500,82.77,300,82.83,1200,82.88,100,82.99,500,83.0,2700,83.01,100,,2026-01-20 09:25:00,1.95,2.41,82.83,82.83,82.83/724/5996892,72400,6000000.0,0.32,85.14,,82.83,82.83,0.0,18.63,92.5,7.44,97.06,64.7,0.0,137.0,82.83,119.01,96.93
锡华科技,sh603248,23.31,23.29,23.31,26900.0,0,0.0,23.3,15500,23.29,1000,23.28,2400,23.25,7000,23.22,300,23.31,2000,23.32,1000,23.33,100,23.36,4500,23.38,200,,2026-01-20 09:25:01,0.02,0.09,23.31,23.31,23.31/269/627039,26900,630000.0,0.04,53.77,,23.31,23.31,0.0,16.16,107.23,4.73,25.62,20.96,0.0,184.0,23.31,49.77,75.55
天溯计量,sz301449,86.61,86.26,86.61,11200.0,0,0.0,86.61,900,86.6,2000,86.59,200,86.51,400,86.5,1100,86.8,100,86.82,100,86.88,200,86.9,100,86.98,100,,2026-01-20 09:25:00,0.35,0.41,86.61,86.61,86.61/112/970032,11200,970000.0,0.08,46.78,,86.61,86.61,0.0,12.05,56.48,4.96,103.51,69.01,0.0,40.0,86.61,45.56,50.86
美埃科技,sh688376,76.2,75.88,76.2,7396300.0,6166100,1230200.0,76.2,1400,76.17,700,76.09,400,75.89,1000,75.88,8200,76.5,300,76.77,6800,76.88,1400,77.28,200,77.47,1000,,2026-01-20 09:25:20,0.32,0.42,76.2,76.2,76.20/73963/5635981,7396300,5640000.0,0.05,55.91,,76.2,76.2,0.0,103.04,103.04,5.3,91.06,60.7,0.0,20.0,76.2,54.85,53.67
同飞股份,sz300990,90.62,91.34,90.62,19100.0,0,0.0,90.58,1100,90.51,100,90.5,500,90.45,200,90.43,100,90.62,400,90.67,100,90.68,1300,90.7,1800,90.77,1400,,2026-01-20 09:25:00,-0.72,-0.79,90.62,90.62,90.62/191/1730842,19100,1730000.0,0.02,58.56,,90.62,90.62,0.0,69.89,154.58,7.68,109.61,73.07,0.0,-30.0,90.62,64.24,100.75
中光防雷,sz300414,17.1,17.01,17.1,104200.0,0,0.0,17.1,25300,17.09,4000,17.07,1000,17.06,300,17.05,1800,17.11,2000,17.12,4600,17.13,1000,17.15,100,17.16,1000,,2026-01-20 09:25:00,0.09,0.53,17.1,17.1,17.10/1042/1781820,104200,1780000.0,0.03,260.21,,17.1,17.1,0.0,53.61,55.75,5.61,20.41,13.61,0.0,237.0,17.1,244.02,683.29
苏州天脉,sz301626,183.86,183.5,183.86,1800.0,0,0.0,183.86,200,183.5,700,182.8,100,181.01,100,180.88,200,184.77,100,184.9,500,184.99,100,185.6,100,185.79,300,,2026-01-20 09:25:00,0.36,0.2,183.86,183.86,183.86/18/330948,1800,330000.0,0.0,113.38,,183.86,183.86,0.0,96.75,212.69,13.5,220.2,146.8,0.0,2.0,183.86,111.89,114.7
ST名家汇,sz300506,4.2,4.2,4.2,500.0,0,0.0,4.15,74300,4.14,1200,4.13,12000,4.12,46400,4.11,3100,4.2,600,4.21,213900,4.22,1900,4.24,12000,4.25,6900,,2026-01-20 09:25:00,0.0,0.0,4.2,4.2,4.20/5/2100,500,0.0,0.0,-28.49,,4.2,4.2,0.0,30.86,59.88,-351.83,5.04,3.36,0.0,-983.0,4.2,-39.58,-45.72
森赫股份,sz301056,15.93,15.76,15.93,30500.0,0,0.0,15.91,2400,15.9,1300,15.76,4200,15.61,300,15.5,2000,15.93,7400,15.94,100,15.95,100,15.98,6000,15.99,100,,2026-01-20 09:25:00,0.17,1.08,15.93,15.93,15.93/305/485865,30500,490000.0,0.02,58.47,,15.93,15.93,0.0,28.04,42.5,5.54,18.91,12.61,0.0,-35.0,15.93,57.5,43.88
宏达电子,sz300726,52.1,52.1,52.1,25700.0,0,0.0,52.1,3300,52.08,200,52.02,100,52.0,700,51.9,1000,52.16,100,52.19,300,52.2,100,52.27,400,52.28,2800,,2026-01-20 09:25:00,0.0,0.0,52.1,52.1,52.10/257/1336417,25700,1340000.0,0.01,62.22,,52.1,52.1,0.0,111.72,214.57,4.27,62.52,41.68,0.0,16.0,52.1,49.18,76.84
宏源药业,sz301246,22.81,22.71,22.81,269300.0,0,0.0,22.81,16600,22.8,1000,22.79,11200,22.78,5400,22.74,100,22.85,5100,22.89,600,22.9,4500,22.93,3400,22.96,400,,2026-01-20 09:25:00,0.1,0.44,22.81,22.81,22.81/2693/6142733,269300,6140000.0,0.17,641.52,,22.81,22.81,0.0,36.51,91.24,2.1,27.25,18.17,0.0,203.0,22.81,-6220.11,177.29
华盛锂电,sh688353,111.15,109.0,111.15,7764900.0,0,0.0,111.0,700,110.64,1000,110.3,200,110.08,500,110.06,400,111.15,100,111.36,3000,111.4,2000,111.45,200,111.5,1500,,2026-01-20 09:25:05,2.15,1.97,111.15,111.15,111.15/77649/8630686,7764900,8630000.0,0.05,-121.47,,111.15,111.15,0.0,177.28,177.28,5.37,130.8,87.2,0.0,-40.0,111.15,-129.12,-101.49
鼎泰高科,sz301377,156.88,157.35,156.88,14600.0,0,0.0,156.21,200,156.01,1000,156.0,1000,155.28,900,155.16,100,156.88,800,156.93,400,156.97,300,157.0,100,157.1,300,,2026-01-20 09:25:00,-0.47,-0.3,156.88,156.88,156.88/146/2290448,14600,2290000.0,0.02,190.87,,156.88,156.88,0.0,111.42,643.21,25.8,188.82,125.88,0.0,13.0,156.88,170.87,283.51
腾景科技,sh688195,177.85,181.0,177.85,3010900.0,0,0.0,177.85,300,177.56,200,177.51,1100,177.5,200,177.48,200,178.0,700,178.6,200,179.0,2300,180.5,600,180.99,200,,2026-01-20 09:25:22,-3.15,-1.74,177.85,177.85,177.85/30109/5354886,3010900,5350000.0,0.02,296.11,,177.85,177.85,0.0,230.05,230.05,23.82,217.2,144.8,0.0,-20.0,177.85,270.42,331.63
珂玛科技,sz301611,134.7,134.5,134.7,42300.0,0,0.0,134.7,5000,134.69,3500,134.68,400,134.65,200,134.61,300,134.88,100,135.0,100,135.11,200,135.23,100,135.3,300,,2026-01-20 09:25:00,0.2,0.15,134.7,134.7,134.70/423/5697810,42300,5700000.0,0.03,178.13,,134.7,134.7,0.0,197.45,587.29,34.01,161.4,107.6,0.0,86.0,134.7,180.14,188.86
新诺威,sz300765,39.56,39.56,39.56,13100.0,0,0.0,39.56,1100,39.46,400,39.28,500,39.15,600,39.09,500,39.62,1000,39.64,100,39.7,200,39.75,200,39.76,1900,,2026-01-20 09:25:00,0.0,0.0,39.56,39.56,39.56/131/518236,13100,520000.0,0.0,-506.75,,39.56,39.56,0.0,555.66,555.66,15.07,47.47,31.65,0.0,-3.0,39.56,-1732.9,1034.23
安达智能,sh688125,170.0,170.0,170.0,172300.0,0,0.0,170.0,2600,168.0,3200,167.66,300,166.0,500,164.6,600,174.99,400,175.0,1000,176.0,3000,176.05,200,177.0,5300,,2026-01-20 09:25:04,0.0,0.0,170.0,170.0,170.00/1723/292910,172300,290000.0,0.0,-117.98,,170.0,170.0,0.0,138.87,139.61,7.49,204.0,136.0,0.0,-27.0,170.0,-107.98,-454.1
杰华特,sh688141,46.5,46.17,46.5,1714000.0,338200,1375800.0,46.35,10000,46.29,8000,46.21,92000,46.18,400,46.11,200,46.5,1200,46.56,1600,46.57,1000,46.6,300,46.61,1000,,2026-01-20 09:25:07,0.33,0.71,46.5,46.5,46.50/17140/797010,1714000,800000.0,0.0,-37.64,,46.5,46.5,0.0,209.4,209.4,12.08,55.4,36.94,0.0,1055.0,46.5,-34.15,-34.7
铜冠铜箔,sz301217,34.78,34.34,34.78,104900.0,0,0.0,34.78,9900,34.77,1000,34.76,500,34.75,5900,34.74,500,34.79,16000,34.8,10100,34.82,600,34.83,800,34.84,4000,,2026-01-20 09:25:00,0.44,1.28,34.78,34.78,34.78/1049/3648422,104900,3650000.0,0.01,4271.71,,34.78,34.78,0.0,288.33,288.33,5.34,41.21,27.47,0.0,-137.0,34.78,344.76,-184.42
海科新源,sz301292,60.4,59.5,60.4,63000.0,0,0.0,60.4,161600,60.3,100,60.28,1600,60.25,6800,60.24,1400,60.43,1000,60.44,900,60.45,100,60.48,100,60.5,1700,,2026-01-20 09:25:00,0.9,1.51,60.4,60.4,60.40/630/3805200,63000,3810000.0,0.07,-74.17,,60.4,60.4,0.0,51.38,134.57,4.97,71.4,47.6,0.0,1677.0,60.4,-78.84,-50.4
奕东电子,sz301123,65.25,65.85,65.25,60800.0,0,0.0,65.25,200,65.24,100,65.23,3000,65.22,300,65.21,2600,65.27,800,65.33,100,65.36,100,65.4,100,65.69,200,,2026-01-20 09:25:00,-0.6,-0.91,65.25,65.25,65.25/608/3967200,60800,3970000.0,0.03,-539.75,,65.25,65.25,0.0,152.42,153.1,5.33,79.02,52.68,0.0,49.0,65.25,400.35,-382.62
安通控股,sh600179,5.17,5.16,5.17,257500.0,0,0.0,5.16,50400,5.15,17000,5.14,12700,5.13,25400,5.12,44900,5.17,116700,5.18,91000,5.19,96200,5.2,82500,5.21,15500,,2026-01-20 09:25:04,0.01,0.19,5.17,5.17,5.17/2575/1331275,257500,1330000.0,0.01,19.65,,5.17,5.17,0.0,199.68,218.77,1.91,5.68,4.64,0.0,-2515.0,5.17,24.71,35.84
华联控股,sz000036,6.21,6.23,6.21,390500.0,0,0.0,6.2,36700,6.19,10500,6.18,12700,6.17,20400,6.16,10800,6.21,22000,6.22,3000,6.23,17200,6.24,100,6.25,3600,,2026-01-20 09:25:00,-0.02,-0.32,6.21,6.21,6.21/3905/2425005,390500,2430000.0,0.03,225.03,,6.21,6.21,0.0,87.01,87.18,1.72,6.85,5.61,0.0,452.0,6.21,183.23,215.19
滨海能源,sz000695,12.7,12.7,12.7,56300.0,0,0.0,12.63,1200,12.53,1200,12.52,200,12.51,2400,12.5,1800,12.7,58300,12.72,8300,12.73,400,12.74,100,12.75,800,,2026-01-20 09:25:00,0.0,0.0,12.7,12.7,12.70/563/715010,56300,720000.0,0.03,-35.54,,12.7,12.7,0.0,28.17,28.21,26.06,13.97,11.43,0.0,-611.0,12.7,-42.8,-100.28
嘉美包装,sz002969,18.92,17.2,18.92,7198600.0,0,0.0,18.91,15900,18.9,116000,18.88,2700,18.87,3900,18.85,500,18.92,2602100,0.0,0,0.0,0,0.0,0,0.0,0,,2026-01-20 09:25:00,1.72,10.0,18.92,18.92,18.92/71986/136197512,7198600,136200000.0,0.71,130.58,,18.92,18.92,0.0,192.34,193.5,7.98,18.92,15.48,0.0,-24631.0,18.92,370.6,105.58
联发股份,sz002394,15.25,15.11,15.25,73700.0,0,0.0,15.25,20000,15.24,3600,15.23,700,15.22,10800,15.21,400,15.26,3400,15.27,2800,15.28,1800,15.29,3800,15.3,5200,,2026-01-20 09:25:00,0.14,0.93,15.25,15.25,15.25/737/1123925,73700,1120000.0,0.02,14.75,,15.25,15.25,0.0,49.3,49.36,1.14,16.62,13.6,0.0,185.0,15.25,14.05,24.49
海汽集团,sh603069,23.72,23.98,23.72,84600.0,0,0.0,23.72,7100,23.71,2700,23.7,22600,23.68,4400,23.66,400,23.73,2500,23.74,8700,23.75,1500,23.77,500,23.78,1000,,2026-01-20 09:25:03,-0.26,-1.08,23.72,23.72,23.72/846/2006712,84600,2010000.0,0.03,-53.61,,23.72,23.72,0.0,74.96,74.96,9.26,26.38,21.58,0.0,230.0,23.72,-116.85,-76.72
胜通能源,sz001331,56.42,54.78,56.42,234700.0,0,0.0,56.41,100,56.4,100,56.37,100,56.31,800,56.3,3300,56.43,100,56.48,2700,56.5,6400,56.54,100,56.55,200,,2026-01-20 09:25:00,1.64,2.99,56.42,56.42,56.42/2347/13241774,234700,13240000.0,0.14,4795.25,,56.42,56.42,0.0,94.72,159.24,10.51,60.26,49.3,0.0,-51.0,56.42,269.02,-942.75
海南瑞泽,sz002596,4.69,4.73,4.69,610600.0,0,0.0,4.68,110900,4.67,3000,4.66,43900,4.65,142900,4.64,6500,4.69,190700,4.7,20200,4.71,7300,4.72,30700,4.73,86600,,2026-01-20 09:25:00,-0.04,-0.85,4.69,4.69,4.69/6106/2863714,610600,2860000.0,0.05,-22.83,,4.69,4.69,0.0,53.77,53.82,8.05,5.2,4.26,0.0,-283.0,4.69,-49.71,-22.28
多氟多,sz002407,32.41,32.2,32.41,213000.0,0,0.0,32.4,7300,32.39,1500,32.38,2300,32.36,1900,32.35,5100,32.41,8800,32.42,1100,32.43,4600,32.44,200,32.45,2900,,2026-01-20 09:25:00,0.21,0.65,32.41,32.41,32.41/2130/6903330,213000,6900000.0,0.02,-156.96,,32.41,32.41,0.0,350.21,385.82,4.66,35.42,28.98,0.0,5.0,32.41,370.72,-125.07
