股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
002149.SZ,西部材料,43.56,10.000000000000002,涨停,2,0, 10:13:48, 13:52:12,商业航天+可控核聚变+超导+国企,,,,33,002149
000638.SZ,*ST万方,3.17,-5.089820359281435,跌停,0,9,,,, 09:25:00, 09:25:00,退市风险+业绩预亏+监管立案,33,000638
300051.SZ,琏升科技,10.8,20.000000000000007,涨停,1,0, 14:45:15, 14:45:15,HJT电池+航天应用+定增4.7亿,,,,33,300051
605016.SH,百龙创园,24.73,10.008896797153024,涨停,1,0, 13:01:09, 13:01:09,业绩高增+阿洛酮糖+功能糖,,,,17,605016
600076.SH,康欣新材,4.22,9.89583333333333,涨停,1,0, 09:50:06, 09:50:06,拟购宇邦半导体51%股权+拟转让林地资产+集装箱底板+国企改革,,,,17,600076
000630.SZ,铜陵有色,6.86,9.935897435897438,涨停,1,0, 13:15:18, 14:44:15,黄金+铜箔+稀贵金属+国企,,,,33,000630
601212.SH,白银有色,10.37,9.968186638388117,涨停,4,0, 09:34:31, 09:47:49,黄金+白银+锂电材料,,,,17,601212
600586.SH,金晶科技,6.68,10.049423393739694,涨停,1,0, 10:20:49, 13:59:03,钙钛矿电池+TCO玻璃+光伏概念,,,,17,600586
002816.SZ,*ST和科,27.3,5.000000000000002,涨停,1,0, 09:35:06, 09:38:54,半导体+储能线束+国企+扭亏,,,,33,002816
002150.SZ,正泰电源,23.76,10.0,涨停,1,0, 09:55:30, 09:55:30,光伏逆变器+储能系统+北美市场,,,,33,002150
002112.SZ,三变科技,23.96,10.009182736455461,涨停,1,0, 10:05:18, 10:05:18,电网设备+变压器+欧洲设子公司+地方国资,,,,33,002112
002636.SZ,金安国纪,25.63,9.999999999999993,涨停,2,0, 09:32:42, 13:08:00,2025年报预增+覆铜板+PCB概念,,,,33,002636
600525.SH,ST长园,4.86,4.967602591792666,涨停,2,0, 11:01:41, 11:01:41,电网设备+储能中标+新能源合同,,,,22,600525
600118.SH,中国卫星,108.9,10.000000000000005,涨停,1,0, 13:17:03, 14:53:48,商业航天+卫星研制+央企,,,,17,600118
001316.SZ,润贝航科,53.0,10.004151100041511,涨停,2,0, 10:24:57, 10:24:57,商业航天+低空经济+航材分销,,,,33,001316
600552.SH,凯盛科技,15.28,10.007199424046068,涨停,1,0, 10:10:38, 10:30:23,商业航天+太空光伏+固态电池+央企,,,,17,600552
002471.SZ,中超控股,8.56,10.02570694087404,涨停,2,0, 09:25:00, 09:25:00,商业航天+高温合金+电线电缆,,,,33,002471
