name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,120.0,126.3,120.0,83500.0,119.92,100,120.0,900,-4.99,120.0,120.0,83500,10020000.0,0.37,0.0,26.99,134.0,151.56,101.04,0.0
锡华科技,sh603248,25.65,25.64,25.65,20400.0,25.65,8200,25.66,2400,0.04,25.65,25.65,20400,520000.0,0.03,0.0,17.78,117.99,28.2,23.08,0.0
天溯计量,sz301449,75.0,78.83,75.0,56200.0,74.89,800,75.0,5700,-4.86,75.0,75.0,56200,4220000.0,0.4,0.0,10.43,48.91,94.6,63.06,0.0
美埃科技,sh688376,65.56,64.65,65.56,3264200.0,65.11,2000,65.56,6200,1.41,65.56,65.56,3264200,2140000.0,0.02,0.0,88.67,88.67,77.58,51.72,0.0
同飞股份,sz300990,86.03,86.92,86.03,7700.0,86.03,400,86.38,200,-1.02,86.03,86.03,7700,660000.0,0.01,0.0,66.35,146.75,104.3,69.54,0.0
中光防雷,sz300414,14.35,14.43,14.35,26100.0,14.32,400,14.35,1800,-0.55,14.35,14.35,26100,370000.0,0.01,0.0,44.99,46.78,17.32,11.54,0.0
苏州天脉,sz301626,252.0,266.86,252.0,66600.0,251.8,500,252.0,13900,-5.57,252.0,252.0,66600,16780000.0,0.13,0.0,132.6,291.51,320.23,213.49,0.0
ST名家汇,sz300506,5.02,5.07,5.02,17500.0,5.0,2200,5.02,10000,-0.99,5.02,5.02,17500,90000.0,0.0,0.0,36.88,71.56,6.08,4.06,0.0
森赫股份,sz301056,14.62,14.66,14.62,5600.0,14.62,200,14.64,100,-0.27,14.62,14.62,5600,80000.0,0.0,0.0,25.73,39.0,17.59,11.73,0.0
宏达电子,sz300726,48.36,48.36,48.36,30800.0,48.31,1000,48.36,400,0.0,48.36,48.36,30800,1490000.0,0.01,0.0,103.7,199.17,58.03,38.69,0.0
宏源药业,sz301246,25.53,25.53,25.53,127600.0,25.53,9800,25.58,200,0.0,25.53,25.53,127600,3260000.0,0.08,0.0,43.42,102.12,30.64,20.42,0.0
华盛锂电,sh688353,122.77,121.01,122.77,2337800.0,122.77,13100,122.8,1500,1.45,122.77,122.77,2337800,2870000.0,0.01,0.0,195.82,195.82,145.21,96.81,0.0
鼎泰高科,sz301377,228.5,228.66,228.5,10600.0,228.5,300,228.54,100,-0.07,228.5,228.5,10600,2420000.0,0.01,0.0,162.29,936.85,274.39,182.93,0.0
腾景科技,sh688195,339.0,339.65,339.0,2670400.0,338.99,500,339.0,5100,-0.19,339.0,339.0,2670400,9050000.0,0.02,0.0,438.5,438.5,407.58,271.72,0.0
珂玛科技,sz301611,109.29,116.09,109.29,429300.0,109.29,9400,109.58,300,-5.86,109.29,109.29,429300,46920000.0,0.29,0.0,160.2,476.5,139.31,92.87,0.0
新诺威,sz300765,31.37,31.37,31.37,32800.0,31.37,3300,31.64,2000,0.0,31.37,31.37,32800,1030000.0,0.0,0.0,440.62,440.62,37.64,25.1,0.0
安达智能,sh688125,212.99,211.6,212.99,210000.0,210.48,200,212.99,400,0.66,212.99,212.99,210000,450000.0,0.0,0.0,173.99,174.92,253.92,169.28,0.0
