股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000004.SZ,*ST国华,2.76,0.0,跌停,0,6,,,, 09:30:00, 09:30:00,市值退市风险+连续风险提示+财务退市风险,33,000004
000056.SZ,*ST皇庭,2.0,-1.4778325123152614,涨停,1,0, 13:00:22, 13:00:22,功率半导体+第三代半导体+商业管理, 09:30:00, 11:23:48,,33,000056
000062.SZ,深圳华强,38.28,1.3502779984114324,涨停,2,0, 09:37:53, 11:10:16,华为昇腾+分销龙头+存储芯片+一季报预增,,,,33,000062
000565.SZ,渝三峡A,8.14,1.4962593516209601,涨停,1,0, 10:16:11, 10:16:11,业绩大增+辐射制冷+航天涂料+重庆国资,,,,33,000565
000593.SZ,德龙汇能,24.0,3.7613488975356724,涨停,1,0, 09:36:03, 09:36:03,实控人变更+燃气+氢能+网红游资持仓,,,,33,000593
000609.SZ,*ST中迪,13.08,4.975922953451037,涨停,5,0, 09:30:00, 09:30:00,半导体资产注入+房地产+ST博弈,,,,33,000609
000632.SZ,三木集团,3.93,-5.301204819277113,跌停,0,1,,,, 09:30:00, 09:30:00,风险警示+业绩修正+诉讼判决,33,000632
000716.SZ,黑芝麻,4.52,-1.525054466230943,跌停,0,1,,,, 09:30:00, 09:30:00,证监会立案+业绩预亏,33,000716
000820.SZ,*ST节能,3.74,5.056179775280903,涨停,1,0, 11:29:07, 11:29:07,退市博弈+固废处理+冶金设计,,,,33,000820
000838.SZ,*ST发展,1.89,4.999999999999992,涨停,1,0, 11:07:31, 11:07:31,江西中久拟入主+房地产+环保+ST摘帽博弈,,,,33,000838
000909.SZ,*ST数源,5.17,-4.963235294117656,跌停,0,3,,,, 09:30:00, 09:30:00,信披立案+退市风险警示提示,33,000909
000925.SZ,众合科技,10.28,1.5810276679841913,涨停,3,0, 09:30:00, 09:30:00,算力租赁+商业航天+智慧交通,,,,33,000925
000952.SZ,广济药业,7.35,0.0,涨停,1,0, 13:51:09, 13:51:09,维生素B2+大健康布局+减亏+湖北国资,,,,33,000952
001211.SZ,双枪科技,37.37,-1.6837674296237848,涨停,2,0, 10:37:54, 11:10:01,金钢瓷放量+竹基禾塑托盘+全竹产业链,,,,33,001211
001220.SZ,世盟股份,38.88,-3.066566940912483,跌停,0,1,,,, 10:31:57, 10:31:57,次新股回调+客户收入下滑,33,001220
001234.SZ,泰慕士,28.97,-10.00310655483069,跌停,0,1,,,, 09:45:38, 09:47:45,业绩下滑+此前涨幅较大,33,001234
