name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,56.65,56.64,56.65,100.0,56.65,500,56.99,100,0.02,56.65,56.65,100,10000.0,0.0,0.0,13.44,63.26,67.97,45.31,0.0
锡华科技,sh603248,22.55,22.34,22.55,1598800.0,22.55,38900,22.56,100,0.94,22.55,22.55,1598800,36050000.0,2.24,0.0,16.12,103.73,24.57,20.11,0.0
天溯计量,sz301449,39.25,39.15,39.25,2700.0,39.19,300,39.25,200,0.26,39.25,39.25,2700,110000.0,0.01,0.0,8.06,35.84,46.98,31.32,0.0
美埃科技,sh688376,64.07,63.15,64.07,494200.0,64.07,300,64.3,4000,1.46,64.07,64.07,494200,320000.0,0.0,0.0,86.66,86.66,75.78,50.52,0.0
同飞股份,sz300990,97.0,96.39,97.0,71300.0,96.5,300,97.0,2600,0.63,97.0,97.0,71300,6920000.0,0.09,0.0,80.36,166.08,115.67,77.11,0.0
中光防雷,sz300414,11.11,11.02,11.11,47900.0,11.06,31800,11.11,12100,0.82,11.11,11.11,47900,530000.0,0.02,0.0,35.07,36.22,13.22,8.82,0.0
苏州天脉,sz301626,323.01,325.2,323.01,12500.0,323.01,400,323.41,200,-0.67,323.01,323.01,12500,4040000.0,0.02,0.0,169.96,373.66,390.24,260.16,0.0
名家汇,sz300506,4.66,4.67,4.66,28000.0,4.65,8700,4.68,10600,-0.21,4.66,4.66,28000,130000.0,0.0,0.0,35.46,66.43,5.6,3.74,0.0
森赫股份,sz301056,13.85,13.87,13.85,18200.0,13.85,300,13.93,4000,-0.14,13.85,13.85,18200,250000.0,0.01,0.0,24.38,36.95,16.64,11.1,0.0
宏达电子,sz300726,57.69,57.09,57.69,53400.0,57.68,2300,57.69,200,1.05,57.69,57.69,53400,3080000.0,0.02,0.0,123.71,237.59,68.51,45.67,0.0
宏源药业,sz301246,17.48,17.3,17.48,41600.0,17.45,200,17.48,1300,1.04,17.48,17.48,41600,730000.0,0.02,0.0,30.21,69.92,20.76,13.84,0.0
华盛锂电,sh688353,85.5,84.58,85.5,2827300.0,85.49,1800,85.5,14600,1.09,85.5,85.5,2827300,2420000.0,0.02,0.0,136.37,136.37,101.5,67.66,0.0
鼎泰高科,sz301377,409.22,399.2,409.22,9600.0,409.22,500,409.78,100,2.51,409.22,409.22,9600,3930000.0,0.01,0.0,404.56,1735.28,479.04,319.36,0.0
腾景科技,sh688195,190.88,187.5,190.88,3000700.0,190.8,400,190.88,1200,1.8,190.88,190.88,3000700,5730000.0,0.02,0.0,345.66,345.66,225.0,150.0,0.0
珂玛科技,sz301611,96.05,94.0,96.05,33900.0,96.03,100,96.05,200,2.18,96.05,96.05,33900,3260000.0,0.02,0.0,140.79,418.78,112.8,75.2,0.0
石药创新,sz300765,43.38,43.27,43.38,72700.0,43.38,5800,43.65,200,0.25,43.38,43.38,72700,3150000.0,0.01,0.0,609.31,609.31,51.92,34.62,0.0
安达智能,sh688125,120.18,119.0,120.18,414500.0,120.03,200,120.18,300,0.99,120.18,120.18,414500,500000.0,0.01,0.0,98.79,99.06,142.8,95.2,0.0
杰华特,sh688141,115.62,112.5,115.62,3366000.0,115.0,700,115.62,1400,2.77,115.62,115.62,3366000,3890000.0,0.01,0.0,520.66,520.66,135.0,90.0,0.0
铜冠铜箔,sz301217,115.01,111.85,115.01,270000.0,115.01,600,115.06,400,2.83,115.01,115.01,270000,31050000.0,0.03,0.0,953.45,953.45,134.22,89.48,0.0
海科新源,sz301292,62.81,62.16,62.81,2000.0,62.8,600,63.0,11600,1.05,62.81,62.81,2000,130000.0,0.0,0.0,53.51,139.94,74.59,49.73,0.0
奕东电子,sz301123,80.8,79.0,80.8,50100.0,80.6,200,80.8,15900,2.28,80.8,80.8,50100,4050000.0,0.03,0.0,133.35,189.59,94.8,63.2,0.0
安通控股,sh600179,4.52,4.54,4.52,95400.0,4.52,12000,4.53,4600,-0.44,4.52,4.52,95400,430000.0,0.0,0.0,174.57,191.27,4.99,4.09,0.0
