code,所属概念,所属概念数量,market_code,股票代码
920729,融资融券;动物疫苗;禽流感,3,151,920729.BJ
300017,多模态AI;云计算;AI智能体;信创;虚拟数字人;华为鲲鹏;数据安全;AIGC概念;元宇宙;网络安全;算力租赁;东数西算(算力);在线教育;DeepSeek概念;人工智能;数字经济;数据中心;液冷服务器;人民币贬值受益;一带一路;阿尔茨海默概念;深股通;融资融券,23,33,300017.SZ
300463,猴痘概念;肝炎概念;基因测序;流感;幽门螺杆菌概念;智能医疗;西部大开发;机器人概念;人形机器人;深股通;融资融券,11,33,300463.SZ
300639,辅助生殖;猴痘概念;流感;肝炎概念;基因测序;幽门螺杆菌概念;民营医院;创新药;智能医疗;医疗器械概念;人工智能;DeepSeek概念;AI智能体;回购增持再贷款概念;融资融券,15,33,300639.SZ
300871,合成生物;创新药;宠物经济;医药电商;融资融券,5,33,300871.SZ
688317,肝炎概念;猴痘概念;禽流感;流感;幽门螺杆菌概念;创新药;医疗器械概念;食品安全;回购增持再贷款概念;专精特新;融资融券,11,17,688317.SH
300139,黄金概念;民爆概念;智能电网;绿色电力;芯片概念;人民币贬值受益;一带一路;深股通;融资融券,9,33,300139.SZ
301548,抽水蓄能;核电;海工装备;风电;PEEK材料;储能;专精特新;生物质能发电;芯片概念;海峡两岸;融资融券,11,33,301548.SZ
301207,禽流感;流感;肝炎概念;生物疫苗;深股通;融资融券,6,33,301207.SZ
688158,商业航天;云游戏;智谱AI;华为昇腾;数据安全;智慧政务;信创;财税数字化;云计算;AI智能体;算力租赁;数字乡村;数据要素;东数西算(算力);低空经济;智慧城市;数字经济;DeepSeek概念;人工智能;脑机接口;中国AI 50;华为概念;智能医疗;数据中心;工业互联网;无人驾驶;机器人概念;专精特新;液冷服务器;融资融券,30,17,688158.SH
688323,商业航天;卫星导航;军工;光伏概念;柔性屏(折叠屏);风电;华为概念;专精特新;芯片概念;储能;消费电子概念;固态电池;先进封装;PCB概念;融资融券,15,17,688323.SH
688670,流感;生物疫苗;融资融券,3,17,688670.SH
301636,钙钛矿电池;光伏概念;专精特新;新能源汽车;注册制次新股;新股与次新股;融资融券,7,33,301636.SZ
300461,比亚迪概念;新型工业化;无线充电;长三角一体化;新型烟草(电子烟);苹果概念;消费电子概念;汽车电子;无线耳机,9,33,300461.SZ
301312,共封装光学(CPO);MiniLED;MicroLED概念;AI眼镜;AI PC;苹果概念;华为海思概念股;芯片概念;消费电子概念;MR(混合现实);汽车电子;机器视觉;数据中心;新型烟草(电子烟);华为概念;新型工业化;粤港澳大湾区;虚拟现实;专精特新;机器人概念;比亚迪概念;空间计算;高端装备;元宇宙;深股通;融资融券,26,33,301312.SZ
300482,辅助生殖;猴痘概念;宠物经济;基因测序;三胎概念;芬太尼;肝炎概念;医药电商;医疗器械概念;工业大麻;流感;食品安全;幽门螺杆菌概念;智能医疗;粤港澳大湾区;DeepSeek概念;人工智能;腾讯概念;AI应用;深股通;融资融券,21,33,300482.SZ
920019,民爆概念;人民币贬值受益;一带一路;融资融券;国企改革,5,151,920019.BJ
300209,跨境电商;物联网;人民币贬值受益;柔性屏(折叠屏);深股通;摘帽,6,33,300209.SZ
300837,金属铅;动力电池回收;专精特新;固废处理;雅下水电概念;共同富裕示范区,6,33,300837.SZ
688028,培育钻石;工业母机;人形机器人;芯片概念;新能源汽车;OLED;核电;沪股通;融资融券,9,17,688028.SH
300122,重组蛋白;肝炎概念;生物疫苗;猴痘概念;创新药;流感;减肥药;合成生物;西部大开发;同花顺漂亮100;深股通;融资融券,12,33,300122.SZ
300818,黄金概念;金属铜;宁德时代概念;高端装备;专精特新;人民币贬值受益;一带一路,7,33,300818.SZ
301446,风电;农机;数据中心;融资融券,4,33,301446.SZ
300806,光刻胶;石墨烯;富士康概念;PCB概念;特斯拉概念;苹果概念;新能源汽车;柔性屏(折叠屏);氢能源;储能;消费电子概念;专精特新;汽车电子;无线耳机;华为概念;虚拟现实;深股通,17,33,300806.SZ
300808,露营经济;一带一路;国企改革;股权转让(并购重组),4,33,300808.SZ
300164,页岩气;俄乌冲突概念;天然气;新疆振兴;碳中和;西部大开发;一带一路;人民币贬值受益,8,33,300164.SZ
688777,AI应用;AIGC概念;AI智能体;数据要素;华为鲲鹏;DeepSeek概念;数据安全;人工智能;鸿蒙概念;国产操作系统;信创;网络安全;数字孪生;华为概念;智慧城市;工业互联网;新型工业化;共同富裕示范区;创投;机器人概念;碳中和;海工装备;智能物流;碳交易;一带一路;航空发动机;传感器;核电;人形机器人;宁德时代概念;大飞机;沪股通;融资融券,33,17,688777.SH
301165,共封装光学(CPO);中国AI 50;WiFi 6;液冷服务器;5G;6G概念;云办公;东数西算(算力);抖音概念(字节概念);网络安全;信创;快手概念;国资云;腾讯概念;阿里巴巴概念;数据中心;AI智能体;蚂蚁集团概念;百度概念;AIGC概念;小米概念;人工智能;新型工业化;数字经济;工业互联网;智能医疗;AI应用;一带一路;国企改革;深股通;融资融券,31,33,301165.SZ
301080,重组蛋白;细胞免疫治疗;猴痘概念;人民币贬值受益;专精特新;人工智能;深股通;融资融券,8,33,301080.SZ
920634,风电;海工装备;储能;金属锌;融资融券;专精特新,6,151,920634.BJ
688298,猴痘概念;肝炎概念;生物疫苗;禽流感;基因测序;芬太尼;医疗器械概念;宠物经济;动物疫苗;智能医疗;食品安全;人民币贬值受益;回购增持再贷款概念;沪股通;融资融券,15,17,688298.SH
300921,云办公;数据安全;信创;网络安全;智慧政务;抖音概念(字节概念);云计算;算力租赁;智能医疗;东数西算(算力);人工智能;腾讯概念;阿里巴巴概念;百度概念;区块链;AI智能体;智慧城市;数字经济;DeepSeek概念;华为概念;数据中心;互联网金融;工业互联网;粤港澳大湾区;一带一路;融资融券,26,33,300921.SZ
688185,CRO概念;生物疫苗;猴痘概念;流感;合成生物;京津冀一体化;三胎概念;沪股通;融资融券,9,17,688185.SH
300142,生物疫苗;创新药;流感;合成生物;西部大开发;深股通;融资融券,7,33,300142.SZ
920575,生物疫苗;融资融券;重组蛋白,3,151,920575.BJ
300113,多模态AI;Web3.0;虚拟数字人;AIGC概念;抖音概念(字节概念);AI智能体;云计算;数据确权;NFT概念;云游戏;腾讯概念;元宇宙;百度概念;手机游戏;算力租赁;文化传媒概念;区块链;电子竞技;人工智能;DeepSeek概念;东数西算(算力);虚拟现实;IP经济(谷子经济);智能医疗;华为概念;英伟达概念;数据中心;AI应用;深股通;融资融券,30,33,300113.SZ
920009,专精特新;基因测序;猴痘概念;流感;宠物经济;人工智能;新股与次新股;融资融券,8,151,920009.BJ
300318,猴痘概念;肝炎概念;流感;三胎概念;生物疫苗;医疗器械概念;京津冀一体化;深股通,8,33,300318.SZ
300492,人工智能;职业教育;在线教育;AI应用;西部大开发;融资融券;深股通,7,33,300492.SZ
300945,黄金概念;IP经济(谷子经济);NFT概念;共同富裕示范区;元宇宙;深股通;融资融券,7,33,300945.SZ
688779,钠离子电池;固态电池;动力电池回收;锂电池概念;宁德时代概念;高压快充;储能;国企改革;飞行汽车(eVTOL);央企国企改革;低空经济;无人机;融资融券;沪股通,14,17,688779.SH
301377,PCB概念;2025年报预增;工业母机;机器视觉;粤港澳大湾区;高端装备;机器人概念;深股通;融资融券,9,33,301377.SZ
000629,钛白粉概念;小金属概念;钒电池;储能;西部大开发;回购增持再贷款概念;国企改革;深股通;融资融券,9,33,000629.SZ
002218,钙钛矿电池;POE胶膜;HJT电池;硅能源;光伏建筑一体化;光伏概念;商业航天;卫星导航;绿色电力;华为概念;储能;充电桩;粤港澳大湾区;芯片概念;新能源汽车;深股通;融资融券,17,33,002218.SZ
000630,金属铜;金属镍;黄金概念;小金属概念;锂电池概念;新能源汽车;5G;国企改革;PCB概念;深股通;融资融券,11,33,000630.SZ
600736,大飞机;航空发动机;商业航天;卫星导航;军民融合;低空经济;军工;建筑节能;水利;地下管网;新型城镇化;特色小镇;创投;旅游概念;华为概念;工业母机;污水处理;风电;国企改革;芯片概念;华为数字能源;固废处理;乡村振兴;储能;虚拟电厂;绿色电力;医疗器械概念;参股银行;净水概念;冰雪产业;证金持股;沪股通;融资融券,33,17,600736.SH
601226,超超临界发电;光伏概念;风电;氢能源;海工装备;核电;高端装备;燃料电池;储能;一带一路;国企改革;回购增持再贷款概念;央企国企改革;机器人概念;DeepSeek概念;沪股通;融资融券,17,17,601226.SH
002030,流感;肝炎概念;猴痘概念;辅助生殖;幽门螺杆菌概念;基因测序;禽流感;医疗器械概念;智能医疗;食品安全;创投;人工智能;国企改革;互联网金融;融资融券;深股通,16,33,002030.SZ
600986,小红书概念;快手概念;短剧游戏;AIGC概念;Web3.0;虚拟数字人;多模态AI;抖音概念(字节概念);文化传媒概念;AI智能体;NFT概念;手机游戏;阿里巴巴概念;百度概念;腾讯概念;元宇宙;蚂蚁集团概念;算力租赁;电子竞技;AI应用;网红经济;DeepSeek概念;人工智能;数字经济;东数西算(算力);独角兽概念;华为概念;小米概念;国企改革;长安汽车概念;沪股通;融资融券,32,17,600986.SH
601212,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;锂电池概念;超导概念;西部大开发;可控核聚变;沪股通;融资融券,12,17,601212.SH
000815,东数西算(算力);云计算;国资云;数据中心;西部大开发;国企改革;央企国企改革;绿色电力;深股通;融资融券,10,33,000815.SZ
603132,金属锌;金属铅;小金属概念;西部大开发;专精特新;沪股通,6,17,603132.SH
601615,钙钛矿电池;HJT电池;光伏概念;阿里巴巴概念;人工智能;光伏建筑一体化;海工装备;风电;芯片概念;氢能源;储能;绿色电力;粤港澳大湾区;融资融券;沪股通,15,17,601615.SH
002524,装配式建筑;地下管网;民营医院;新疆振兴;医美概念;天然气;眼科医疗;创投;智能医疗;西部大开发,10,33,002524.SZ
603331,家用电器;共同富裕示范区;新能源汽车;机器人概念;人形机器人;光伏概念;TOPCON电池,7,17,603331.SH
600589,云计算;算力租赁;东数西算(算力);数据中心;融资融券;股权转让(并购重组);沪股通,7,17,600589.SH
603353,华为数字能源;俄乌冲突概念;充电桩;高压快充;华为概念;DeepSeek概念;芯片概念,7,17,603353.SH
002378,小金属概念;金属铜;工业母机;军工;深股通;融资融券,6,33,002378.SZ
002155,金属铅;金属锌;黄金概念;小金属概念;乡村振兴;2025年报预增;国企改革;深股通;融资融券,9,33,002155.SZ
603895,数字孪生;华为概念;长安汽车概念;新型工业化;工业互联网;机器人概念;专精特新;特斯拉概念;储能;新能源汽车;人形机器人;锂电池概念;固态电池,13,17,603895.SH
603271,宁德时代概念;固态电池;钠离子电池;锂电池概念;比亚迪概念;新能源汽车;消费电子概念;PCB概念;家用电器;注册制次新股;储能;高铁;低空经济;绿色电力;5G;华为概念;数据中心;新股与次新股;融资融券,19,17,603271.SH
000506,黄金概念;金属铜;小金属概念;股权转让(并购重组);一带一路;国企改革;人民币贬值受益;深股通;摘帽,9,33,000506.SZ
002842,金属铜;小金属概念;光伏概念,3,33,002842.SZ
002728,流感;仿制药一致性评价;幽门螺杆菌概念;肝炎概念;医药电商;NMN概念;医美概念;2025年报预增;深股通,9,33,002728.SZ
600078,磷化工;绿色电力,2,17,600078.SH
000657,金属钴;PCB概念;小金属概念;金属铜;海南自贸区;金属回收;光伏概念;工业母机;可控核聚变;高端装备;雅下水电概念;军工;深股通;国企改革;医疗器械概念;创投;乡村振兴;DeepSeek概念;股权转让(并购重组);中字头股票;融资融券,21,33,000657.SZ
001288,中俄贸易概念;雅下水电概念;一带一路;西部大开发;华为概念;机器人概念;人民币贬值受益;减速器;人工智能;DeepSeek概念;深股通,11,33,001288.SZ
003042,供销社;乡村振兴;草甘膦;中俄贸易概念,4,33,003042.SZ
000426,金属铅;金属锌;金属镍;黄金概念;金属铜;小金属概念;金属钴;西部大开发;俄乌冲突概念;深股通;融资融券,11,33,000426.SZ
601869,共封装光学(CPO);铜缆高速连接;光纤概念;第三代半导体;芯片概念;特高压;人形机器人;5G;新能源汽车;专精特新;智能电网;机器人概念;风电;太赫兹;海工装备;量子科技;一带一路;工业互联网;沪股通;创投;抖音概念(字节概念);融资融券,22,17,601869.SH
002237,金属铅;黄金概念;金属锌;金属铜;小金属概念;金属回收;磷化工;化肥;国企改革;深股通;融资融券,11,33,002237.SZ
002201,商业航天;高铁;风电;创投;比亚迪概念;深股通;融资融券,7,33,002201.SZ
001277,农机;煤炭概念;数据中心;新型工业化;融资融券,5,33,001277.SZ
600489,黄金概念;金属铜;小金属概念;央企国企改革;国企改革;沪股通;融资融券;中字头股票,8,17,600489.SH
000603,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;文化传媒概念;深股通;融资融券,9,33,000603.SZ
600789,流感;仿制药一致性评价;肝炎概念;毛发医疗;创新药;合成生物;阿尔茨海默概念;宠物经济;消毒剂;国企改革;工业互联网;DeepSeek概念;融资融券;沪股通,14,17,600789.SH
000593,青蒿素;信托概念;股权转让(并购重组);地下管网;碳中和;天然气;西部大开发;氢能源;储能;融资融券,10,33,000593.SZ
603045,BC电池;HJT电池;黄金概念;金属回收;TOPCON电池;2025年报预增;光伏概念;储能;智能电网;数据中心;工业互联网;高铁;充电桩;5G;比亚迪概念;新能源汽车;智能家居;汽车电子;股权转让(并购重组);融资融券,20,17,603045.SH
002667,金属锌;金属铅;小金属概念;锂电池概念;磷化工;储能;垃圾分类;融资融券,8,33,002667.SZ
600759,海南自贸区;俄乌冲突概念;土地流转;天然气;一带一路;人民币贬值受益;融资融券;沪股通,8,17,600759.SH
002623,钙钛矿电池;POE胶膜;光伏建筑一体化;光伏概念;建筑节能;绿色电力;一带一路;特斯拉概念;融资融券,9,33,002623.SZ
601069,黄金概念;金属铜;小金属概念;西部大开发;国企改革;沪股通;融资融券,7,17,601069.SH
001337,黄金概念;西部大开发;国企改革;融资融券;深股通,5,33,001337.SZ
