market_code,所属概念数量,所属概念,股票代码,code
17,12,存储芯片;汽车芯片;消费电子概念;芯片概念;5G;智能穿戴;专精特新;安防;回购增持再贷款概念;车联网(车路协同);沪股通;融资融券,688110.SH,688110
17,8,中国AI 50;5G;数据中心;网络安全;芯片概念;国家大基金持股;沪股通;融资融券,688702.SH,688702
33,13,ST板块;数据安全;云计算;互联网金融;光伏建筑一体化;信创;数字经济;东数西算(算力);智慧城市;DeepSeek概念;数字孪生;人工智能;数据中心,300344.SZ,300344
33,15,辅助生殖;猴痘概念;流感;肝炎概念;基因测序;幽门螺杆菌概念;民营医院;创新药;智能医疗;医疗器械概念;人工智能;DeepSeek概念;AI智能体;回购增持再贷款概念;融资融券,300639.SZ,300639
33,31,ChatGPT概念;财税数字化;云计算;AI智能体;算力租赁;多模态AI;智慧政务;腾讯概念;信创;数据要素;东数西算(算力);空间计算;MR(混合现实);DeepSeek概念;数字经济;人工智能;数据中心;智慧城市;华为概念;安防;职业教育;智能医疗;物联网;AI应用;旅游概念;专精特新;智能物流;乡村振兴;新型城镇化;深股通;融资融券,301396.SZ,301396
33,17,光刻胶;石墨烯;富士康概念;PCB概念;特斯拉概念;苹果概念;新能源汽车;柔性屏(折叠屏);氢能源;储能;消费电子概念;专精特新;汽车电子;无线耳机;华为概念;虚拟现实;深股通,300806.SZ,300806
33,9,消费电子概念;芯片概念;专精特新;粤港澳大湾区;第三代半导体;车联网(车路协同);液冷服务器;人民币贬值受益;深股通,300689.SZ,300689
17,10,钙钛矿电池;BC电池;TOPCON电池;光伏概念;第三代半导体;专精特新;比亚迪概念;芯片概念;沪股通;融资融券,688726.SH,688726
151,8,一带一路;融资融券;光伏概念;第三代半导体;TOPCON电池;BC电池;HJT电池;硅能源,920368.BJ,920368
33,27,智谱AI;ChatGPT概念;AIGC概念;虚拟数字人;空间计算;智慧政务;元宇宙;华为鲲鹏;数据要素;百度概念;人工智能;虚拟现实;智慧城市;数字经济;IP经济(谷子经济);智能医疗;数字孪生;车联网(车路协同);物联网;低空经济;数据中心;旅游概念;机器人概念;水利;地下管网;污水处理;融资融券,301313.SZ,301313
17,5,MiniLED;先进封装;芯片概念;专精特新;融资融券,688699.SH,688699
33,6,人脸识别;新型城镇化;一带一路;物联网;中俄贸易概念;融资融券,301056.SZ,301056
17,8,存储芯片;MCU芯片;芯片概念;汽车电子;小米概念;华为概念;融资融券;沪股通,688766.SH,688766
33,8,培育钻石;第三代半导体;天然气;海工装备;专精特新;新能源汽车;深股通;融资融券,300179.SZ,300179
17,10,存储芯片;中芯国际概念;MCU芯片;芯片概念;消费电子概念;小米概念;语音技术;回购增持再贷款概念;人工智能;融资融券,688416.SH,688416
33,10,钙钛矿电池;TOPCON电池;BC电池;光伏建筑一体化;光伏概念;国企改革;华为概念;AI智能体;深股通;融资融券,300393.SZ,300393
17,9,存储芯片;国家大基金持股;中芯国际概念;光刻胶;芯片概念;磷化工;国企改革;独角兽概念;融资融券,688545.SH,688545
33,35,EDR概念;网络安全;人脸识别;车联网(车路协同);量子科技;数据安全;数字货币;移动支付;无线耳机;MCU芯片;华为概念;汽车芯片;区块链;物联网;芯片概念;消费电子概念;工业互联网;无人机;知识产权保护;汽车电子;机器人概念;3D打印;智能家居;粤港澳大湾区;人形机器人;新能源汽车;充电桩;光伏概念;储能;宁德时代概念;医疗器械概念;锂电池概念;石墨电极;深股通;融资融券,300077.SZ,300077
17,21,共封装光学(CPO);光纤概念;光刻机;存储芯片;先进封装;MicroLED概念;OLED;消费电子概念;芯片概念;MR(混合现实);智能座舱;3D打印;机器视觉;可控核聚变;无人驾驶;虚拟现实;回购增持再贷款概念;西部大开发;医美概念;沪股通;融资融券,688167.SH,688167
17,6,存储芯片;芯片概念;专精特新;2025年报预增;沪股通;融资融券,688233.SH,688233
33,10,苹果概念;无线耳机;无线充电;消费电子概念;人民币贬值受益;华为概念;储能;跨境电商;深股通;融资融券,301606.SZ,301606
33,25,Sora概念(文生视频);快手概念;AI语料;拼多多概念;智谱AI;ChatGPT概念;AIGC概念;多模态AI;AI应用;AI智能体;抖音概念(字节概念);NFT概念;阿里巴巴概念;数据要素;百度概念;鸿蒙概念;DeepSeek概念;人工智能;电子竞技;同花顺新质50;华为概念;京津冀一体化;小米概念;苹果概念;深股通,300785.SZ,300785
33,18,汽车芯片;MCU芯片;MiniLED;WiFi 6;5G;毫米波雷达;新型烟草(电子烟);先进封装;芯片概念;无线耳机;第三代半导体;粤港澳大湾区;存储芯片;智能家居;专精特新;海峡两岸;深股通;融资融券,300671.SZ,300671
33,15,电子身份证;机器视觉;无人机;华为概念;传感器;人工智能;汽车芯片;芯片概念;粤港澳大湾区;海峡两岸;比亚迪概念;第三代半导体;储能;光伏概念;特高压,300656.SZ,300656
17,9,MCU芯片;汽车芯片;芯片概念;英伟达概念;小米概念;专精特新;无线充电;沪股通;融资融券,688368.SH,688368
33,6,禽流感;流感;肝炎概念;生物疫苗;深股通;融资融券,301207.SZ,301207
33,13,小红书概念;拼多多概念;AI智能体;虚拟数字人;抖音概念(字节概念);阿里巴巴概念;网红经济;数字经济;DeepSeek概念;AI应用;人工智能;跨境电商;融资融券,301001.SZ,301001
