market_code,股票代码,所属概念,code,所属概念数量
33,300812.SZ,MicroLED概念;MiniLED;柔性屏(折叠屏);先进封装;MR(混合现实);共封装光学(CPO);OLED;消费电子概念;第三代半导体;芯片概念;工业母机;专精特新;商业航天;华为概念;医疗器械概念,300812,15
33,300449.SZ,数字水印;知识产权保护;人脸识别;网络安全;车联网(车路协同);安防;智慧城市;军工;AI智能体;人工智能;华为概念;东数西算(算力);垃圾分类;股权转让(并购重组),300449,14
33,300719.SZ,成飞概念;军民融合;大飞机;军工信息化;商业航天;军工;碳纤维;无人机;低空经济;飞行汽车(eVTOL);高端装备;信创;京津冀一体化;专精特新;虚拟现实,300719,15
33,300251.SZ,短剧游戏;文化传媒概念;Sora概念(文生视频);网络游戏;IP经济(谷子经济);虚拟数字人;抖音概念(字节概念);AIGC概念;虚拟现实;DeepSeek概念;英伟达概念;AI应用;2025年报预增;深股通;融资融券,300251,15
17,688147.SH,中芯国际概念;存储芯片;先进封装;第三代半导体;OLED;汽车芯片;BC电池;芯片概念;TOPCON电池;钙钛矿电池;HJT电池;光伏概念;专精特新;高端装备;回购增持再贷款概念;沪股通;融资融券,688147,17
17,688702.SH,中国AI 50;国家大基金持股;5G;芯片概念;数据中心;网络安全;沪股通;融资融券,688702,8
17,688409.SH,光刻机;芯片概念;专精特新;回购增持再贷款概念;DeepSeek概念;沪股通;融资融券,688409,7
33,300486.SZ,数字孪生;机器视觉;数据要素;物联网;智能物流;专精特新;新型工业化;机器人概念;人工智能;工业互联网;DeepSeek概念;数字经济;比亚迪概念;新能源汽车;统一大市场;宁德时代概念;深股通;股权转让(并购重组),300486,18
17,688280.SH,减速器;汽车电子;比亚迪概念;专精特新;新能源汽车;无人驾驶;两轮车;融资融券,688280,8
151,920808.BJ,融资融券;股权转让(并购重组);腾讯概念;液冷服务器;碳中和;数据中心;抖音概念(字节概念);专精特新;东数西算(算力);国企改革,920808,10
33,002498.SZ,柔性直流输电;特高压;智能电网;风电;核电;充电桩;海工装备;氢能源;一带一路;无人机;5G;数字经济;深股通;融资融券,002498,14
17,600984.SH,西部大开发;一带一路;国企改革,600984,3
33,000839.SZ,文化传媒概念;虚拟数字人;AI语料;智慧政务;网络安全;数据要素;互联网金融;AI智能体;DeepSeek概念;人工智能;创投;物业管理;国企改革;AI应用;深股通,000839,15
151,920976.BJ,跨境电商;融资融券;网络安全;物联网;智能家居;智能医疗;数据安全;安防;人脸识别,920976,9
17,601777.SH,两轮车;智能座舱;无人驾驶;换电概念;车联网(车路协同);新能源汽车;西部大开发;参股银行;独角兽概念;百度概念;融资融券;沪股通,601777,12
33,000890.SZ,独角兽概念;光纤概念;净水概念;污水处理,000890,4
17,601890.SH,国产航母;军民融合;军工;海工装备;高端装备;风电;沪股通;融资融券,601890,8
33,002843.SZ,高压快充;AI PC;军工;储能;充电桩;数据中心;华为概念;苹果概念;商业航天;光伏概念;智能穿戴;消费电子概念;一带一路;深股通;融资融券,002843,15
33,002703.SZ,长安汽车概念;小米汽车;无人驾驶;共同富裕示范区;比亚迪概念;新能源汽车;汽车电子;小米概念;深股通;融资融券,002703,10
17,600629.SH,房屋检测;上海国企改革;装配式建筑;新型城镇化;低空经济;地下管网;水利;建筑节能;数字孪生;PPP概念;雄安新区;人工智能;创投;乡村振兴;数字经济;碳中和;一带一路;国企改革;参股券商;沪股通,600629,20
33,000859.SZ,光刻胶;柔性屏(折叠屏);芯片概念;新能源汽车;装配式建筑;一带一路;国企改革;雄安新区;深股通;融资融券,000859,10
33,000021.SZ,存储芯片;先进封装;第三代半导体;芯片概念;共封装光学(CPO);汽车电子;超级电容;新能源汽车;无人机;机器人概念;物联网;人民币贬值受益;智能电网;智能物流;储能;虚拟电厂;区块链;央企国企改革;数字经济;医疗器械概念;国企改革;深股通;融资融券,000021,23
17,605033.SH,乡村振兴;西部大开发,605033,2
33,002355.SZ,网约车;EDR概念;车联网(车路协同);时空大数据;人脸识别;低空经济;长安汽车概念;无人机;参股银行;无人驾驶;智能座舱;鸿蒙概念;数据要素;人工智能;粤港澳大湾区;汽车电子;百度概念;新能源汽车;比亚迪概念;东数西算(算力);算力租赁;5G;融资融券,002355,23
17,600410.SH,华为鲲鹏;网络安全;智慧政务;云计算;信创;AI智能体;元宇宙;AIGC概念;区块链;东数西算(算力);在线教育;抖音概念(字节概念);数据要素;百度概念;腾讯概念;阿里巴巴概念;时空大数据;安防;智慧城市;华为概念;人工智能;DeepSeek概念;芯片概念;无线耳机;军工;数据中心;工业互联网;京津冀一体化;创投;一带一路;AI应用;沪股通;融资融券,600410,33
33,001896.SZ,抽水蓄能;风电;超超临界发电;储能;碳中和;充电桩;绿色电力;工业互联网;东数西算(算力);华为概念;光伏建筑一体化;智能物流;人工智能;煤炭概念;创投;国企改革;深股通;融资融券,001896,18
17,600893.SH,国产航母;航空发动机;大飞机;军工;无人机;高端装备;低空经济;央企国企改革;国企改革;西部大开发;同花顺漂亮100;沪股通;融资融券,600893,13
17,603163.SH,中芯国际概念;富士康概念;芯片概念;海峡两岸;一带一路,603163,5
17,605289.SH,空间计算;换电概念;新能源汽车;智慧灯杆;液冷服务器;东数西算(算力);智慧城市;虚拟现实;人工智能;DeepSeek概念;元宇宙;IP经济(谷子经济);沪股通;股权转让(并购重组),605289,14
33,002009.SZ,富士康概念;新型工业化;人形机器人;特斯拉概念;华为汽车;新能源汽车;光伏概念;长安汽车概念;比亚迪概念;机器人概念;储能;工业互联网;风电;垃圾分类;汽车拆解概念;锂电池概念;智能物流;动力电池回收;无人驾驶;车联网(车路协同);腾讯概念;固废处理;无人零售;金属回收;脑机接口;金属镍;小金属概念;金属钴;深股通;融资融券,002009,30
17,603331.SH,家用电器;新能源汽车;共同富裕示范区;人形机器人;机器人概念;TOPCON电池;光伏概念,603331,7
