market_code,股票代码,code,所属概念数量,所属概念
151,920168.BJ,920168,2,新股与次新股;融资融券
33,301175.SZ,301175,15,商业航天;固废处理;医疗废物处理;生物质能发电;绿色电力;国企改革;一带一路;碳中和;乡村振兴;海峡两岸;专精特新;华为概念;深股通;中字头股票;融资融券
17,688786.SH,688786,8,特钢概念;3D打印;柔性屏(折叠屏);专精特新;消费电子概念;军工;动力电池回收;融资融券
33,300499.SZ,300499,27,液冷服务器;数据中心;东数西算(算力);汽车电子;宁德时代概念;比亚迪概念;可控核聚变;新能源汽车;专精特新;充电桩;储能;阿里巴巴概念;腾讯概念;特高压;柔性直流输电;抖音概念(字节概念);军工;锂电池概念;光伏概念;核电;粤港澳大湾区;风电;中俄贸易概念;一带一路;天然气;深股通;融资融券
17,688530.SH,688530,7,钙钛矿电池;HJT电池;PET铜箔;光伏概念;芯片概念;专精特新;融资融券
33,301630.SZ,301630,6,PCB概念;注册制次新股;专精特新;深股通;新股与次新股;融资融券
33,300303.SZ,300303,19,MicroLED概念;MiniLED;共封装光学(CPO);芯片概念;先进封装;消费电子概念;5G;智能穿戴;传感器;比亚迪概念;新能源汽车;专精特新;机器人概念;智慧灯杆;粤港澳大湾区;海峡两岸;独角兽概念;深股通;融资融券
17,688025.SH,688025,19,共封装光学(CPO);光纤概念;苹果概念;TOPCON电池;钙钛矿电池;芯片概念;MR(混合现实);3D打印;光伏概念;比亚迪概念;机器视觉;专精特新;虚拟现实;华为概念;宁德时代概念;固态电池;2025年报预增;沪股通;融资融券
33,300943.SZ,300943,16,商业航天;卫星导航;军民融合;核电;军工;无人机;氢能源;燃料电池;传感器;智慧城市;芯片概念;汽车热管理;新能源汽车;天然气;股权转让(并购重组);融资融券
33,300739.SZ,300739,14,PCB概念;共封装光学(CPO);MiniLED;6G概念;5G;芯片概念;储能;新能源汽车;无人机;2025年报预增;粤港澳大湾区;人民币贬值受益;深股通;融资融券
33,301317.SZ,301317,11,数据中心;2025年报预增;专精特新;新能源汽车;空气能热泵;中俄贸易概念;共同富裕示范区;人工智能;污水处理;深股通;融资融券
33,300442.SZ,300442,12,抖音概念(字节概念);中国AI 50;算力租赁;东数西算(算力);数据中心;京津冀一体化;液冷服务器;机器人概念;2025年报预增;回购增持再贷款概念;融资融券;深股通
33,300277.SZ,300277,8,智能电网;高端装备;生物质能发电;股权转让(并购重组);华为概念;传感器;国企改革;人工智能
33,301312.SZ,301312,26,共封装光学(CPO);新型烟草(电子烟);苹果概念;MicroLED概念;AI PC;MiniLED;数据中心;MR(混合现实);新型工业化;华为海思概念股;消费电子概念;芯片概念;粤港澳大湾区;比亚迪概念;AI眼镜;专精特新;机器视觉;华为概念;高端装备;汽车电子;机器人概念;空间计算;虚拟现实;元宇宙;深股通;融资融券
17,688035.SH,688035,32,国家大基金持股;存储芯片;先进封装;液冷服务器;无线耳机;PCB概念;芯片概念;宁德时代概念;苹果概念;消费电子概念;有机硅概念;固态电池;小米概念;石墨烯;数据中心;专精特新;柔性屏(折叠屏);智能穿戴;人形机器人;新能源汽车;光伏概念;储能;MR(混合现实);高端装备;HJT电池;华为概念;机器人概念;TOPCON电池;回购增持再贷款概念;高铁;沪股通;融资融券
17,688629.SH,688629,22,共封装光学(CPO);铜缆高速连接;5G;数据中心;比亚迪概念;华为概念;阿里巴巴概念;高压快充;腾讯概念;无人机;新能源汽车;低空经济;卫星导航;机器人概念;商业航天;军工;高铁;核电;西部大开发;国企改革;沪股通;融资融券
33,300804.SZ,300804,2,粤港澳大湾区;融资融券
151,920370.BJ,920370,7,垃圾分类;乡村振兴;DeepSeek概念;物业管理;融资融券;新型城镇化;西部大开发
