market_code,code,所属概念数量,所属概念,股票代码
151,920088,6,空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,920088.BJ
151,920014,6,回购增持再贷款概念;融资融券;天然气;专精特新;大飞机;氢能源,920014.BJ
151,920158,8,中俄贸易概念;一带一路;海工装备;专精特新;氢能源;天然气;新股与次新股;融资融券,920158.BJ
151,920260,6,中俄贸易概念;页岩气;专精特新;西部大开发;融资融券;天然气,920260.BJ
151,920010,10,换电概念;算力租赁;天然气;氢能源;融资融券;储能;东数西算(算力);西部大开发;锂电池概念;数据中心,920010.BJ
151,920571,6,福建自贸区;融资融券;低空经济;人民币贬值受益;航运概念;海峡两岸,920571.BJ
151,920351,6,融资融券;中韩自贸区;一带一路;航运概念;跨境电商;统一大市场,920351.BJ
151,920675,6,页岩气;融资融券;固废处理;西部大开发;天然气;专精特新,920675.BJ
151,920717,2,天然气;融资融券,920717.BJ
33,300332,10,页岩气;俄乌冲突概念;天然气;污水处理;净水概念;PPP概念;京津冀一体化;创投;融资融券;深股通,300332.SZ
33,300839,4,东数西算(算力);专精特新;液冷服务器;氢能源,300839.SZ
33,300157,18,可燃冰;俄乌冲突概念;页岩气;天然气;超超临界发电;氢能源;雄安新区;一带一路;储能;高端装备;军工;融资融券;创投;无人机;机器人概念;人工智能;数据中心;东数西算(算力),300157.SZ
33,300164,8,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;碳中和;一带一路;人民币贬值受益,300164.SZ
33,300191,7,可燃冰;俄乌冲突概念;天然气;新疆振兴;海工装备;深股通;融资融券,300191.SZ
33,301158,11,可燃冰;俄乌冲突概念;页岩气;天然气;新疆振兴;一带一路;海工装备;中俄贸易概念;高端装备;专精特新;融资融券,301158.SZ
33,300483,3,俄乌冲突概念;天然气;股权转让(并购重组),300483.SZ
33,301302,26,军工信息化;AI智能体;空间计算;元宇宙;腾讯概念;数字经济;军民融合;DeepSeek概念;卫星导航;人工智能;数字孪生;文化传媒概念;商业航天;手机游戏;网络游戏;虚拟现实;成飞概念;军工;无人机;京津冀一体化;MR(混合现实);核污染防治;机器人概念;核电;AI应用;融资融券,301302.SZ
151,920942,5,水利;天然气;高端装备;融资融券;专精特新,920942.BJ
33,300228,9,商业航天;海工装备;氢能源;天然气;燃料电池;页岩气;中俄贸易概念;储能;芯片概念,300228.SZ
151,920694,7,中俄贸易概念;融资融券;海工装备;一带一路;页岩气;专精特新;人民币贬值受益,920694.BJ
151,920207,30,AI应用;AI智能体;虚拟现实;融资融券;空间计算;虚拟数字人;职业教育;智能医疗;数字经济;华为概念;智慧城市;芯片概念;智慧政务;元宇宙;多模态AI;网络安全;数字孪生;信创;数据要素;数据中心;数据安全;华为鲲鹏;鸿蒙概念;华为昇腾;人工智能;东数西算(算力);DeepSeek概念;云计算;AIGC概念;专精特新,920207.BJ
151,920099,6,中俄贸易概念;环氧丙烷;一带一路;可降解塑料;专精特新;融资融券,920099.BJ
33,300435,15,可控核聚变;商业航天;高端装备;氢能源;2025三季报预增;芯片概念;碳中和;储能;一带一路;天然气;煤化工概念;新疆振兴;共同富裕示范区;俄乌冲突概念;深股通,300435.SZ
33,300658,5,三胎概念;人民币贬值受益;海峡两岸;福建自贸区;股权转让(并购重组),300658.SZ
151,920781,8,融资融券;西部大开发;高端装备;天然气;军工;核污染防治;核电;专精特新,920781.BJ
151,920082,4,天然气;海工装备;专精特新;融资融券,920082.BJ
33,301658,10,光伏概念;储能;充电桩;一带一路;粤港澳大湾区;注册制次新股;人民币贬值受益;深股通;新股与次新股;融资融券,301658.SZ
17,688717,8,锂电池概念;光伏概念;虚拟电厂;储能;充电桩;人民币贬值受益;沪股通;融资融券,688717.SH
33,300135,10,新疆振兴;俄乌冲突概念;中俄贸易概念;国企改革;一带一路;高铁;雅下水电概念;低空经济;芯片概念;股权转让(并购重组),300135.SZ
17,601866,12,航运概念;参股银行;同花顺中特估100;国企改革;回购增持再贷款概念;央企国企改革;储能;上海自贸区;数字经济;沪股通;融资融券;中字头股票,601866.SH
17,600617,5,天然气;地下管网;国企改革;沪股通;融资融券,600617.SH
17,600339,18,煤化工概念;天然气;新疆振兴;同花顺中特估100;碳中和;国企改革;地下管网;西部大开发;氢能源;一带一路;中俄贸易概念;海工装备;期货概念;可控核聚变;储能;沪股通;中字头股票;融资融券,600339.SH
33,002554,15,股权转让(并购重组);俄乌冲突概念;天然气;地下管网;碳中和;氢能源;污水处理;垃圾分类;国企改革;一带一路;海工装备;碳交易;人民币贬值受益;云计算;融资融券,002554.SZ
17,601139,17,证金持股;天然气;国企改革;绿色电力;深圳国企改革;氢能源;POE胶膜;燃料电池;光伏概念;华为数字能源;智慧城市;固态电池;沪股通;融资融券;DeepSeek概念;数据中心;百度概念,601139.SH
17,600108,15,土地流转;粮食概念;玉米;农业种植;代糖概念;啤酒概念;西部大开发;乡村振兴;国企改革;回购增持再贷款概念;参股券商;水利;跨境电商;融资融券;沪股通,600108.SH
17,605368,5,高股息精选;天然气;回购增持再贷款概念;DeepSeek概念;沪股通,605368.SH
17,601015,7,煤炭概念;煤化工概念;天然气;污水处理;西部大开发;沪股通;融资融券,601015.SH
17,600403,4,煤炭概念;国企改革;沪股通;融资融券,600403.SH
17,600256,12,俄乌冲突概念;煤炭概念;页岩气;煤化工概念;天然气;新疆振兴;氢能源;碳中和;西部大开发;一带一路;融资融券;沪股通,600256.SH
33,002682,28,卫星导航;军工;海峡两岸;ETC;农村电商;充电桩;燃料电池;网约车;水利;机器人概念;氢能源;智慧城市;新能源汽车;新疆振兴;垃圾分类;冷链物流;一带一路;储能;车联网(车路协同);统一大市场;污水处理;职业教育;人工智能;航运概念;乡村振兴;天然气;国企改革;宁德时代概念,002682.SZ
33,000968,7,俄乌冲突概念;天然气;煤炭概念;新疆振兴;国企改革;深股通;融资融券,000968.SZ
17,601857,13,中字头股票;俄乌冲突概念;同花顺中特估100;页岩气;天然气;证金持股;沪股通;融资融券;央企国企改革;参股保险;国企改革;碳交易;一带一路,601857.SH
33,002629,4,页岩气;俄乌冲突概念;天然气;光伏概念,002629.SZ
33,000554,8,俄乌冲突概念;天然气;国企改革;央企国企改革;氢能源;2025三季报预增;融资融券;充电桩,000554.SZ
33,000301,11,环氧丙烷;煤化工概念;POE胶膜;回购增持再贷款概念;锂电池概念;光伏概念;碳纤维;同花顺漂亮100;工业互联网;深股通;融资融券,000301.SZ
33,000096,7,国企改革;虚拟电厂;粤港澳大湾区;深股通;国资云;东数西算(算力);数据中心,000096.SZ
17,600635,12,独角兽概念;创投;2025年报预增;互联网金融;污水处理;新能源汽车;充电桩;天然气;绿色电力;高压快充;沪股通;融资融券,600635.SH
33,002911,9,天然气;氢能源;燃料电池;储能;充电桩;国企改革;粤港澳大湾区;深股通;融资融券,002911.SZ
17,600688,9,航运概念;央企国企改革;氢能源;国企改革;碳交易;燃料电池;碳纤维;沪股通;融资融券,600688.SH
33,001299,3,天然气;西部大开发;物联网,001299.SZ
33,002040,4,航运概念;统一大市场;国企改革;深股通,002040.SZ
17,601872,11,俄乌冲突概念;天然气;航运概念;央企国企改革;上海自贸区;回购增持再贷款概念;一带一路;国企改革;融资融券;海峡两岸;沪股通,601872.SH
17,601808,13,可燃冰;俄乌冲突概念;天然气;同花顺中特估100;央企国企改革;证金持股;国企改革;一带一路;海工装备;沪股通;融资融券;高端装备;中字头股票,601808.SH
17,605169,3,天然气;新疆振兴;西部大开发,605169.SH
33,002506,21,钙钛矿电池;HJT电池;TOPCON电池;BC电池;光伏建筑一体化;钒电池;光热发电;光伏概念;碳中和;碳交易;雄安新区;华为数字能源;储能;长三角一体化;数字经济;空气能热泵;蚂蚁集团概念;华为概念;区块链;深股通;融资融券,002506.SZ
17,600367,8,小金属概念;钠离子电池;锂电池概念;固态电池;西部大开发;国企改革;沪股通;融资融券,600367.SH
33,002490,8,页岩气;天然气;氢能源;国企改革;海工装备;摘帽;深股通;股权转让(并购重组),002490.SZ
