code,股票代码,所属概念,所属概念数量,market_code
920779,920779.BJ,宁德时代概念;锂电池概念;融资融券;消费电子概念;比亚迪概念;固态电池,6.0,151
301658,301658.SZ,光伏概念;充电桩;储能;一带一路;粤港澳大湾区;人民币贬值受益;注册制次新股;深股通;新股与次新股;融资融券,10.0,33
300246,300246.SZ,智能医疗;血氧仪;横琴新区;民营医院;医疗器械概念;三胎概念;智能穿戴,7.0,33
300504,300504.SZ,虚拟现实;智能家居;物联网;WiFi 6;星闪概念;AI眼镜;5G;华为概念;华为海思概念股;鸿蒙概念;光纤概念;商业航天;F5G概念;西部大开发,14.0,33
300243,300243.SZ,可降解塑料;合成生物;锂电池概念;固态电池;磷化工;PCB概念,6.0,33
301361,301361.SZ,智能电网;虚拟电厂;储能;海工装备;专精特新;传感器;数据中心;锂电池概念;融资融券,9.0,33
301150,301150.SZ,PET铜箔;固态电池;PCB概念;宁德时代概念;锂电池概念;比亚迪概念;专精特新;深股通;融资融券,9.0,33
688295,688295.SH,碳纤维;大飞机;低空经济;飞行汽车(eVTOL);专精特新;机器人概念;风电;氢能源;国企改革;沪股通;中字头股票;融资融券,12.0,17
301040,301040.SZ,卫星导航;商业航天;军工;核电;专精特新;高端装备;人民币贬值受益;风电;绿色电力;融资融券,10.0,33
688411,688411.SH,固态电池;华为数字能源;储能;充电桩;智能电网;新能源汽车;专精特新;数据中心;智能物流;华为概念;DeepSeek概念;沪股通;融资融券,13.0,17
301291,301291.SZ,智能电网;风电;海工装备;光伏概念;储能;氢能源;光伏建筑一体化;数据中心;粤港澳大湾区;东数西算(算力);抖音概念(字节概念);深股通;融资融券,13.0,33
920091,920091.BJ,新能源汽车;机器人概念;长安汽车概念;专精特新;比亚迪概念;机器视觉;新股与次新股;融资融券,8.0,151
301251,301251.SZ,共封装光学(CPO);PCB概念;富士康概念;5G;MiniLED;汽车电子;专精特新;新型工业化;工业互联网;机器人概念;一带一路;深股通;融资融券,13.0,33
688717,688717.SH,光伏概念;虚拟电厂;锂电池概念;储能;充电桩;人民币贬值受益;沪股通;融资融券,8.0,17
688600,688600.SH,DeepSeek概念;专精特新;2025年报预增;医疗器械概念;可控核聚变;氢能源;融资融券,7.0,17
300763,300763.SZ,光伏概念;绿色电力;储能;芯片概念;融资融券;深股通,6.0,33
301518,301518.SZ,碳中和;污水处理;2025年报预增;专精特新;新能源汽车;融资融券,6.0,33
688001,688001.SH,MicroLED概念;OLED;汽车电子;消费电子概念;芯片概念;智能穿戴;苹果概念;无线耳机;人形机器人;5G;智能音箱;特斯拉概念;回购增持再贷款概念;沪股通;融资融券,15.0,17
688021,688021.SH,燃料电池;氢能源;专精特新;融资融券,4.0,17
301511,301511.SZ,PET铜箔;PCB概念;共封装光学(CPO);存储芯片;宁德时代概念;固态电池;锂电池概念;柔性屏(折叠屏);消费电子概念;华为数字能源;5G;比亚迪概念;储能;新能源汽车;专精特新;无人机;军工;华为概念;深股通;融资融券,20.0,33
601016,601016.SH,绿色电力;风电;国企改革;新疆振兴;京津冀一体化;央企国企改革;沪股通;储能;融资融券,9.0,17
002445,002445.SZ,文化传媒概念;手机游戏;海工装备;独角兽概念;虚拟现实;国企改革;光伏建筑一体化;绿色电力;深股通;融资融券,10.0,33
000626,000626.SZ,生态农业;乡村振兴;农业种植;跨境电商;统一大市场;粮食概念,6.0,33
000545,000545.SZ,钛白粉概念;磷化工;锂电池概念;股权转让(并购重组);融资融券,5.0,33
002092,002092.SZ,煤化工概念;煤炭概念;水泥概念;消毒剂;可降解塑料;新疆振兴;碳交易;石墨烯;国企改革;碳中和;西部大开发;一带一路;风电;深股通;跨境电商;职业教育;摘帽,17.0,33
600108,600108.SH,玉米;粮食概念;土地流转;农业种植;代糖概念;啤酒概念;乡村振兴;西部大开发;国企改革;参股券商;回购增持再贷款概念;水利;跨境电商;融资融券;沪股通,15.0,17
601700,601700.SH,柔性直流输电;特高压;智能电网;光伏概念;硅能源;一带一路;化债概念(AMC概念);回购增持再贷款概念;国企改革;沪股通;融资融券,11.0,17
600769,600769.SH,国企改革,1.0,17
300932,300932.SZ,智能电网;充电桩;光伏概念;储能;数据中心;新能源汽车;无人机;比亚迪概念;低空经济;数字孪生;东数西算(算力);融资融券,12.0,33
002248,002248.SZ,工业母机;新型工业化;高端装备;2025年报预增,4.0,33
600873,600873.SH,代糖概念;合成生物;维生素;参股银行;生物疫苗;西部大开发;融资融券;沪股通,8.0,17
