所属概念数量,market_code,股票代码,所属概念,code
9,33,300981.SZ,智能医疗;医疗器械概念;宠物经济;国企改革;人民币贬值受益;核污染防治;专精特新;融资融券;深股通,300981
15,33,300185.SZ,海工装备;核电;核污染防治;风电;超超临界发电;抽水蓄能;军工;高端装备;储能;回购增持再贷款概念;国企改革;京津冀一体化;2025年报预增;深股通;融资融券,300185
8,33,300677.SZ,医疗器械概念;智能医疗;人民币贬值受益;创投;跨境电商;养老概念;融资融券;深股通,300677
11,33,300505.SZ,磷化工;化肥;固废处理;2025三季报预增;2025年报预增;西部大开发;一带一路;人民币贬值受益;宠物经济;深股通;融资融券,300505
3,33,300720.SZ,机器人概念;物联网;股权转让(并购重组),300720
15,33,300035.SZ,固态电池;钠离子电池;宁德时代概念;锂电池概念;比亚迪概念;石墨电极;储能;硅能源;高压快充;2025年报预增;PCB概念;专精特新;创投;融资融券;深股通,300035
16,33,300143.SZ,脑机接口;高压氧舱;智能医疗;AI智能体;养老概念;人工智能;DeepSeek概念;医美概念;民营医院;医疗器械概念;物联网;创投;机器人概念;AI应用;融资融券;深股通,300143
4,151,920159.BJ,化肥;数字乡村;新股与次新股;融资融券,920159
11,17,688519.SH,PCB概念;共封装光学(CPO);MiniLED;存储芯片;5G;新能源汽车;2025年报预增;专精特新;华为概念;沪股通;融资融券,688519
11,33,300936.SZ,PCB概念;毫米波雷达;5G;卫星导航;芯片概念;消费电子概念;专精特新;无人驾驶;华为概念;储能;融资融券,300936
11,17,688689.SH,先进封装;汽车芯片;第三代半导体;芯片概念;汽车电子;传感器;专精特新;比亚迪概念;新能源汽车;无人驾驶;融资融券,688689
9,33,300569.SZ,风电;绿色电力;光伏概念;海工装备;回购增持再贷款概念;国企改革;横琴新区;融资融券;深股通,300569
4,17,600408.SH,煤炭概念;煤化工概念;氢能源;碳中和,600408
3,33,000677.SZ,低空经济;京津冀一体化;军工,000677
1,17,600370.SH,沪股通,600370
9,17,600227.SH,化肥;煤化工概念;煤炭概念;民营医院;阿尔茨海默概念;西部大开发;仿制药一致性评价;医疗器械概念;创投,600227
9,17,600226.SH,腾讯概念;创投;比亚迪概念;PCB概念;合成生物;PET铜箔;锂电池概念;动物疫苗;沪股通,600226
8,17,600726.SH,超超临界发电;绿色电力;风电;煤炭概念;黑龙江自贸区;国企改革;央企国企改革;沪股通,600726
8,17,600683.SH,特色小镇;土地流转;物业管理;旅游概念;国企改革;养老概念;京津冀一体化;创投,600683
10,33,002445.SZ,光伏建筑一体化;文化传媒概念;手机游戏;绿色电力;独角兽概念;虚拟现实;海工装备;国企改革;深股通;融资融券,002445
31,33,002429.SZ,MicroLED概念;MiniLED;WiFi 6;F5G概念;共封装光学(CPO);第三代半导体;5G;短剧游戏;汽车芯片;AI应用;光纤概念;富士康概念;拼多多概念;智能音箱;抖音概念(字节概念);阿里巴巴概念;AIGC概念;小米概念;芯片概念;消费电子概念;数据中心;PCB概念;鸿蒙概念;智能家居;粤港澳大湾区;人民币贬值受益;深圳国企改革;国企改革;深股通;融资融券;先进封装,002429
27,33,002669.SZ,碳纤维;PCB概念;高铁;毫米波雷达;军工;先进封装;商业航天;芯片概念;消费电子概念;新能源汽车;专精特新;军民融合;低空经济;传感器;光伏概念;卫星导航;5G;机器人概念;锂电池概念;MCU芯片;风电;军工信息化;一带一路;回购增持再贷款概念;华为概念;国企改革;数字经济,002669
4,17,600234.SH,物业管理;抖音概念(字节概念);文化传媒概念;摘帽,600234
7,33,002950.SZ,医药电商;医美概念;医疗器械概念;三胎概念;人民币贬值受益;回购增持再贷款概念;深股通,002950
6,17,600232.SH,新能源汽车;中俄贸易概念;工业大麻;职业教育;一带一路;锂电池概念,600232
17,17,601611.SH,可控核聚变;军工;核电;智能电网;风电;央企国企改革;水利;中字头股票;储能;房屋检测;一带一路;长三角一体化;国企改革;PPP概念;同花顺中特估100;沪股通;融资融券,601611
15,17,603366.SH,蚂蚁集团概念;区块链;参股银行;创投;智能家居;建筑节能;华为概念;家用电器;空气能热泵;充电桩;光伏概念;储能;特斯拉概念;融资融券;沪股通,603366
5,33,000890.SZ,光纤概念;独角兽概念;净水概念;污水处理;储能,000890
13,17,605222.SH,特高压;核电;风电;商业航天;海工装备;军工;光伏概念;大飞机;充电桩;机器人概念;数据中心;特斯拉概念;沪股通,605222
10,17,603538.SH,辅助生殖;肝炎概念;减肥药;CRO概念;流感;合成生物;宠物经济;人民币贬值受益;沪股通;融资融券,603538
4,33,002969.SZ,啤酒概念;海峡两岸;回购增持再贷款概念;股权转让(并购重组),002969
16,17,603659.SH,钠离子电池;固态电池;PVDF概念;石墨电极;宁德时代概念;锂电池概念;PET铜箔;特斯拉概念;储能;2025年报预增;消费电子概念;新能源汽车;芯片概念;碳中和;沪股通;融资融券,603659
6,33,002531.SZ,氢能源;风电;绿色电力;海工装备;深股通;融资融券,002531
8,17,603062.SH,专精特新;储能;光伏概念;风电;碳中和;海工装备;沪股通;融资融券,603062
4,33,002931.SZ,长安汽车概念;机器人概念;新能源汽车;股权转让(并购重组),002931
5,33,003027.SZ,碳中和;储能;钠离子电池;2025三季报预增;2025年报预增,003027
25,33,002056.SZ,稀土永磁;小金属概念;BC电池;TOPCON电池;锂电池概念;光伏概念;华为数字能源;2025三季报预增;光伏建筑一体化;储能;氢能源;无线充电;特斯拉概念;比亚迪概念;新能源汽车;低空经济;军工;工业互联网;华为概念;机器人概念;东数西算(算力);5G;数字经济;深股通;融资融券,002056
24,17,603280.SH,机器视觉;物联网;海峡两岸;工业互联网;机器人概念;数字孪生;跨境电商;数字经济;人工智能;新型城镇化;AI智能体;水利;DeepSeek概念;雄安新区;建筑节能;垃圾分类;中俄贸易概念;土壤修复;碳中和;海工装备;一带一路;核电;固废处理;雅下水电概念,603280
5,17,600722.SH,煤化工概念;国企改革;融资融券;风电;京津冀一体化,600722
10,33,002084.SZ,装配式建筑;智能家居;海峡两岸;智能物流;一带一路;空气能热泵;回购增持再贷款概念;人民币贬值受益;物联网;3D打印,002084
6,33,002165.SZ,环氧丙烷;水泥概念;建筑节能;医疗器械概念;深股通;融资融券,002165
20,17,603803.SH,F5G概念;共封装光学(CPO);WiFi 6;5G;6G概念;芯片概念;量子科技;新型工业化;数据中心;无人驾驶;物联网;东数西算(算力);工业互联网;车联网(车路协同);新型城镇化;网络安全;智慧城市;智能电网;数据安全;融资融券,603803
1,17,600847.SH,西部大开发,600847
5,33,003041.SZ,共同富裕示范区;人民币贬值受益;一带一路;2025年报预增;股权转让(并购重组),003041
9,33,002382.SZ,三胎概念;一带一路;跨境电商;医疗器械概念;医药电商;人民币贬值受益;特斯拉概念;深股通;融资融券,002382
17,33,002543.SZ,氢能源;创投;净水概念;一带一路;智能家居;家用电器;粤港澳大湾区;独角兽概念;空气能热泵;DeepSeek概念;人工智能;华为概念;百度概念;AIGC概念;短剧游戏;深股通;融资融券,002543
9,17,603929.SH,中芯国际概念;OLED;芯片概念;富士康概念;柔性屏(折叠屏);华为概念;海峡两岸;长三角一体化;沪股通,603929
7,33,002487.SZ,2025年报预增;风电;海工装备;绿色电力;航运概念;融资融券;深股通,002487
17,33,002903.SZ,军工;同花顺新质50;工业母机;苹果概念;富士康概念;华为概念;专精特新;消费电子概念;芯片概念;新型工业化;机器人概念;减速器;新能源汽车;第三代半导体;比亚迪概念;小米概念;融资融券,002903
15,33,002438.SZ,可控核聚变;海工装备;核电;航空发动机;商业航天;军工;芯片概念;军民融合;无人机;风电;超超临界发电;燃料电池;氢能源;深股通;融资融券,002438
5,17,603558.SH,高股息精选;足球概念;冰雪产业;体育产业;人民币贬值受益,603558
6,17,603607.SH,烟草;小米概念;专精特新;消费电子概念;知识产权保护;IP经济(谷子经济),603607
6,17,603248.SH,注册制次新股;风电;专精特新;高端装备;新股与次新股;融资融券,603248
6,17,601218.SH,风电;海工装备;绿色电力;2025年报预增;金属回收;融资融券,601218
19,17,600756.SH,智慧政务;财税数字化;信创;云计算;AI智能体;在线教育;AIGC概念;DRG/DIP;国资云;人工智能;DeepSeek概念;数字孪生;工业互联网;同花顺新质50;养老概念;国企改革;回购增持再贷款概念;沪股通;融资融券,600756
6,17,603029.SH,乡村振兴;供销社;农机;新疆振兴;专精特新;新型工业化,603029
6,33,002637.SZ,消毒剂;污水处理;回购增持再贷款概念;一带一路;食品安全;深股通,002637
3,33,001366.SZ,乡村振兴;合成生物;粤港澳大湾区,001366
4,33,002109.SZ,煤化工概念;西部大开发;国企改革;融资融券,002109
4,17,600746.SH,煤化工概念;固废处理;国企改革;沪股通,600746
27,17,603169.SH,可控核聚变;商业航天;核污染防治;军工;航空发动机;核电;光热发电;高端装备;氢能源;天然气;中俄贸易概念;光伏概念;超超临界发电;一带一路;碳中和;机器人概念;西部大开发;储能;一体化压铸;工业互联网;新疆振兴;数字经济;锂电池概念;国企改革;煤化工概念;沪股通;融资融券,603169
10,33,002323.SZ,HJT电池;数字乡村;光伏概念;智慧城市;光伏建筑一体化;储能;绿色电力;一带一路;国企改革;融资融券,002323
6,33,000010.SZ,新型城镇化;PPP概念;抽水蓄能;水利;东数西算(算力);煤炭概念,000010
18,17,600336.SH,无人零售;冰雪产业;物业管理;冷链物流;超级品牌;跨境电商;家用电器;智能家居;空气能热泵;创投;净水概念;国企改革;物联网;一带一路;DeepSeek概念;医疗器械概念;融资融券;沪股通,600336
40,17,601669.SH,抽水蓄能;中字头股票;特高压;绿色电力;碳交易;光热发电;风电;雅下水电概念;PPP概念;污水处理;储能;土壤修复;碳中和;水利;燃料电池;新型城镇化;雄安新区;证金持股;光伏概念;同花顺中特估100;国企改革;核电;央企国企改革;一带一路;乡村振兴;同花顺漂亮100;高端装备;海工装备;京津冀一体化;低空经济;金属钴;小金属概念;智慧城市;沪股通;融资融券;商业航天;人工智能;DeepSeek概念;AI智能体;虚拟电厂,601669
15,17,600691.SH,煤化工概念;化肥;天然气;消毒剂;氢能源;国企改革;一带一路;回购增持再贷款概念;燃料电池;光伏概念;储能;机器人概念;股权转让(并购重组);沪股通;融资融券,600691
11,17,600121.SH,煤炭概念;国企改革;DeepSeek概念;安防;工业互联网;数据要素;东数西算(算力);机器人概念;信创;沪股通;融资融券,600121
15,17,600307.SH,特钢概念;金属铜;商业航天;西部大开发;国企改革;雅下水电概念;回购增持再贷款概念;超导概念;氢能源;核电;可控核聚变;华为概念;新能源汽车;融资融券;沪股通,600307
10,33,002470.SZ,磷化工;化肥;生态农业;农村电商;水泥概念;土壤修复;乡村振兴;国企改革;锂电池概念;深股通,002470
11,17,688131.SH,CRO概念;减肥药;重组蛋白;创新药;专精特新;合成生物;智能医疗;人工智能;维生素;沪股通;融资融券,688131
15,33,001309.SZ,存储芯片;AI PC;中芯国际概念;共封装光学(CPO);2025年报预增;芯片概念;汽车电子;智能穿戴;数据中心;专精特新;粤港澳大湾区;人民币贬值受益;人工智能;融资融券;深股通,001309
3,33,300641.SZ,锂电池概念;深股通;融资融券,300641
10,33,300436.SZ,创新药;基因测序;辅助生殖;仿制药一致性评价;肝炎概念;福建自贸区;医药电商;海峡两岸;融资融券;深股通,300436
6,17,688325.SH,芯片概念;专精特新;锂电池概念;回购增持再贷款概念;沪股通;融资融券,688325
7,17,600299.SH,央企国企改革;国企改革;维生素;沪股通;人民币贬值受益;DeepSeek概念;融资融券,600299
7,17,603218.SH,风电;海工装备;核电;核污染防治;军工;融资融券;沪股通,603218
14,33,300387.SZ,生态农业;农业种植;化肥;土地流转;磷化工;乡村振兴;土壤修复;合成生物;农机;中俄贸易概念;数字乡村;机器人概念;人工智能;无人机,300387
8,33,000912.SZ,化肥;煤化工概念;乡村振兴;西部大开发;国企改革;回购增持再贷款概念;深股通;融资融券,000912
13,33,301389.SZ,PET铜箔;富士康概念;苹果概念;消费电子概念;汽车电子;智能穿戴;新能源汽车;智能座舱;专精特新;海峡两岸;股权转让(并购重组);深股通;融资融券,301389
14,17,688268.SH,中芯国际概念;光刻胶;存储芯片;光刻机;氟化工概念;第三代半导体;芯片概念;氢能源;专精特新;俄乌冲突概念;核电;粤港澳大湾区;沪股通;融资融券,688268
22,17,688360.SH,人形机器人;新型工业化;机器人概念;智能物流;物联网;高端装备;专精特新;华为概念;宁德时代概念;数字孪生;储能;人工智能;数字经济;跨境电商;锂电池概念;阿里巴巴概念;冷链物流;拼多多概念;Web3.0;统一大市场;沪股通;融资融券,688360
23,33,002273.SZ,AI眼镜;华为手机;同花顺果指数;智能座舱;消费电子概念;汽车电子;智能穿戴;苹果概念;比亚迪概念;华为汽车;AI手机;小米概念;长安汽车概念;人形机器人;机器人概念;华为概念;人民币贬值受益;安防;储能;虚拟现实;元宇宙;深股通;融资融券,002273
13,151,920199.BJ,鸿蒙概念;高压氧舱;西部大开发;脑机接口;融资融券;机器人概念;智能医疗;家用电器;医疗器械概念;体育产业;人民币贬值受益;人工智能;IP经济(谷子经济),920199
6,33,002627.SZ,特色小镇;统一大市场;旅游概念;养老概念;国企改革;NFT概念,002627
2,33,300804.SZ,粤港澳大湾区;融资融券,300804
18,33,000777.SZ,可控核聚变;商业航天;核电;核污染防治;安防;水利;超超临界发电;央企国企改革;燃料电池;氢能源;一带一路;国企改革;幽门螺杆菌概念;煤化工概念;融资融券;天然气;深股通;中字头股票,000777
13,17,688230.SH,AI眼镜;芯片概念;智能穿戴;AI手机;第三代半导体;消费电子概念;小米概念;5G;人形机器人;专精特新;股权转让(并购重组);沪股通;融资融券,688230
19,33,300594.SZ,液冷服务器;芯片概念;数据中心;飞行汽车(eVTOL);低空经济;专精特新;汽车热管理;比亚迪概念;高铁;光伏概念;新能源汽车;空气能热泵;烟草;换电概念;储能;农机;充电桩;风电;回购增持再贷款概念,300594
24,33,301307.SZ,富士康概念;芯片概念;充电桩;比亚迪概念;特斯拉概念;新能源汽车;小米汽车;储能;减速器;长安汽车概念;5G;一体化压铸;工业互联网;专精特新;华为汽车;固态电池;华为概念;液冷服务器;东数西算(算力);无人驾驶;绿色电力;西部大开发;深股通;融资融券,301307
2,33,002852.SZ,农业种植;乡村振兴,002852
10,33,301092.SZ,稀土永磁;净水概念;盐湖提锂;专精特新;核电;污水处理;减肥药;核污染防治;超超临界发电;融资融券,301092
15,33,002173.SZ,脑机接口;高压氧舱;华为昇腾;人工智能;智能医疗;DeepSeek概念;养老概念;医疗器械概念;医美概念;民营医院;眼科医疗;三胎概念;共同富裕示范区;深股通;融资融券,002173
4,33,300385.SZ,医疗废物处理;固废处理;国企改革;专精特新,300385
22,33,002733.SZ,钠离子电池;固态电池;石墨烯;锂电池概念;动力电池回收;储能;燃料电池;氢能源;5G;新能源汽车;军工;无人机;专精特新;数据中心;一带一路;粤港澳大湾区;人民币贬值受益;东数西算(算力);阿里巴巴概念;百度概念;深股通;融资融券,002733
10,33,301629.SZ,存储芯片;芯片概念;注册制次新股;专精特新;比亚迪概念;机器视觉;华为概念;深股通;新股与次新股;融资融券,301629
2,17,600966.SH,沪股通;融资融券,600966
8,33,001301.SZ,宁德时代概念;石墨电极;锂电池概念;储能;专精特新;回购增持再贷款概念;京津冀一体化;深股通,001301
15,33,002213.SZ,存储芯片;汽车芯片;芯片概念;消费电子概念;比亚迪概念;锂电池概念;WiFi 6;新能源汽车;信创;小金属概念;硅能源;粤港澳大湾区;PCB概念;无人驾驶;创投,002213
2,33,301003.SZ,新能源汽车;融资融券,301003
14,33,002463.SZ,PCB概念;5G;汽车电子;芯片概念;毫米波雷达;数据中心;华为概念;无人驾驶;人民币贬值受益;海峡两岸;污水处理;同花顺出海50;深股通;融资融券,002463
16,17,600057.SH,玉米;统一大市场;土地流转;农业种植;冷链物流;国企改革;乡村振兴;福建自贸区;海峡两岸;一带一路;智能物流;商业航天;DeepSeek概念;数据要素;沪股通;融资融券,600057
15,17,688819.SH,钠离子电池;固态电池;锂电池概念;两轮车;燃料电池;石墨烯;新能源汽车;储能;氢能源;无人机;工业互联网;绿色电力;数据中心;融资融券;沪股通,688819
11,33,002692.SZ,智能电网;风电;充电桩;核电;光伏概念;储能;新能源汽车;专精特新;芯片概念;国企改革;数字孪生,002692
13,33,300879.SZ,减速器;农机;机器人概念;跨境电商;人民币贬值受益;物联网;乡村振兴;锂电池概念;氢能源;储能;深股通;股权转让(并购重组);融资融券,300879
10,17,688308.SH,PCB概念;光伏概念;工业母机;2025年报预增;航空发动机;专精特新;人形机器人;机器人概念;商业航天;融资融券,688308
11,33,301667.SZ,注册制次新股;汽车热管理;新能源汽车;宁德时代概念;储能;专精特新;锂电池概念;华为概念;深股通;新股与次新股;融资融券,301667
2,33,300225.SZ,创投;ST板块,300225
4,33,002826.SZ,仿制药一致性评价;西部大开发;2025年报预增;股权转让(并购重组),002826
2,17,600078.SH,磷化工;绿色电力,600078
3,17,603226.SH,智能家居;沪股通;股权转让(并购重组),603226
4,17,600844.SH,煤化工概念;可降解塑料;西部大开发;股权转让(并购重组),600844
9,33,001369.SZ,锂电池概念;碳中和;光伏概念;西部大开发;注册制次新股;专精特新;深股通;新股与次新股;融资融券,001369
19,17,688109.SH,AI眼镜;智能穿戴;机器视觉;华为昇腾;机器人概念;数字孪生;无人驾驶;AI智能体;AIGC概念;数据要素;人工智能;数字经济;DeepSeek概念;共同富裕示范区;水利;雅下水电概念;物业管理;沪股通;融资融券,688109
13,17,605056.SH,特高压;核电;高端装备;抽水蓄能;风电;无人机;军工;机器人概念;储能;低空经济;人工智能;职业教育;沪股通,605056
13,33,300080.SZ,石墨电极;TOPCON电池;钒电池;煤化工概念;绿色电力;石墨烯;锂电池概念;储能;国企改革;宁德时代概念;股权转让(并购重组);融资融券;深股通,300080
