所属概念,code,股票代码,所属概念数量,market_code
新股与次新股;融资融券;人民币贬值受益,920069,920069.BJ,3,151
细胞免疫治疗;重组蛋白;创新药;辅助生殖;眼科医疗;深股通;融资融券,300204,300204.SZ,7,33
钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,301292,301292.SZ,8,33
重组蛋白;创新药;阿尔茨海默概念;智能医疗;肝炎概念;猴痘概念;医疗器械概念;食品安全;人工智能;流感;京津冀一体化;回购增持再贷款概念;沪股通;融资融券,688068,688068.SH,14,17
长三角一体化;新型烟草(电子烟);新型工业化;无线充电;比亚迪概念;苹果概念;无线耳机;消费电子概念;汽车电子,300461,300461.SZ,9,33
宠物经济;幽门螺杆菌概念;三胎概念;创新药;医美概念;土壤修复;乳业;京津冀一体化,300858,300858.SZ,8,33
中芯国际概念;光刻胶;存储芯片;先进封装;OLED;芯片概念;柔性屏(折叠屏);锂电池概念;深股通;融资融券,300054,300054.SZ,10,33
减肥药;创新药;生物疫苗;回购增持再贷款概念;维生素;融资融券;深股通,300765,300765.SZ,7,33
CRO概念;细胞免疫治疗;创新药;智能医疗;国企改革;央企国企改革;沪股通;融资融券,688710,688710.SH,8,17
固态电池;锂电池概念;宁德时代概念;小金属概念;储能;新能源汽车;医疗器械概念;中芯国际概念;华为概念;芯片概念;存储芯片;融资融券;深股通,300390,300390.SZ,13,33
专精特新;细胞免疫治疗;肝炎概念;CRO概念;创新药;合成生物;融资融券,301201,301201.SZ,7,33
科创次新股;AI智能体;CRO概念;基因测序;2025年报预增;人民币贬值受益;注册制次新股;沪股通;新股与次新股;融资融券,688796,688796.SH,10,17
创新药;人民币贬值受益;西部大开发;沪股通;融资融券,688506,688506.SH,5,17
创投;储能;2025年报预增;融资融券,300877,300877.SZ,4,33
专精特新;机器人概念;储能;智能物流;跨境电商;融资融券,688455,688455.SH,6,17
华为概念;消费电子概念;智能穿戴;跨境电商;AI眼镜;融资融券,300868,300868.SZ,6,33
创新药;沪股通;融资融券,688382,688382.SH,3,17
锂电池概念;西部大开发;氢能源;网络游戏;网红经济;手机游戏;融资融券,300518,300518.SZ,7,33
固态电池;锂电池概念;宁德时代概念;污水处理;碳中和;新能源汽车;柔性屏(折叠屏);一带一路;深股通;融资融券,300082,300082.SZ,10,33
辅助生殖;固态电池;仿制药一致性评价;幽门螺杆菌概念;肝炎概念;创新药;猴痘概念;锂电池概念;深股通,300584,300584.SZ,9,33
细胞免疫治疗;CRO概念;重组蛋白;创新药;眼科医疗;仿制药一致性评价;股权转让(并购重组),300683,300683.SZ,7,33
创新药;沪股通;融资融券,688197,688197.SH,3,17
科创次新股;细胞免疫治疗;减肥药;创新药;注册制次新股;新股与次新股;融资融券,688759,688759.SH,7,17
共封装光学(CPO);光纤概念;光刻机;数据中心;芯片概念;AI眼镜;量子科技;商业航天;专精特新;海峡两岸;卫星导航;华为概念;福建自贸区;无人驾驶;医疗器械概念;独角兽概念;沪股通;股权转让(并购重组);融资融券,688195,688195.SH,19,17
超级电容;锂电池概念;柔性屏(折叠屏);光伏概念;宁德时代概念;PET铜箔;固态电池;OLED;比亚迪概念;储能;建筑节能;小米概念;钠离子电池;华为概念;DeepSeek概念;AI智能体;虚拟数字人;深股通;融资融券,300057,300057.SZ,19,33
磷化工;化肥;煤化工概念;乡村振兴;锂电池概念;污水处理;融资融券,600470,600470.SH,7,17
钒电池;国企改革;氢能源;污水处理;深股通;固态电池;融资融券,000822,000822.SZ,7,33
小金属概念;固态电池;锂电池概念;风电;抽水蓄能;新能源汽车;军工;机器人概念;人形机器人;无人机;大飞机;深股通;融资融券;股权转让(并购重组),002176,002176.SZ,14,33
化肥;煤化工概念;阿尔茨海默概念;仿制药一致性评价;民营医院;煤炭概念;西部大开发;医疗器械概念;创投,600227,600227.SH,9,17
创新药;仿制药一致性评价;专精特新;幽门螺杆菌概念;肝炎概念;合成生物;沪股通;融资融券,688799,688799.SH,8,17
PVDF概念;锂电池概念;固态电池;回购增持再贷款概念;国企改革;碳中和;深股通;融资融券,002068,002068.SZ,8,33
小金属概念;固态电池;锂电池概念;股权转让(并购重组);专精特新;沪股通;融资融券,603399,603399.SH,7,17
