code,所属概念,market_code,股票代码,所属概念数量
301696,机器人概念;无人机;军工;低空经济;注册制次新股;新股与次新股;融资融券;人民币贬值受益,33,301696.SZ,8
688811,核电;科创次新股;注册制次新股;新股与次新股;融资融券;国企改革;央企国企改革,17,688811.SH,7
920181,新股与次新股;融资融券,151,920181.BJ,2
920237,锂电池概念;融资融券;智能穿戴;安防;固态电池;人民币贬值受益;专精特新;AI PC,151,920237.BJ,8
688690,减肥药;食品安全;2025年报预增;专精特新;2026一季报预增;融资融券;沪股通,17,688690.SH,7
688478,存储芯片;第三代半导体;芯片概念;华为海思概念股;比亚迪概念;专精特新;光伏概念;海峡两岸;股权转让(并购重组);融资融券,17,688478.SH,10
300131,第三代半导体;OLED;存储芯片;共封装光学(CPO);芯片概念;汽车芯片;AI眼镜;小米概念;智能座舱;汽车电子;传感器;新能源汽车;数据中心;无人驾驶;机器人概念;长安汽车概念;粤港澳大湾区;物联网;ERP概念;车联网(车路协同);智能家居;阿里巴巴概念;腾讯概念;智慧城市;深股通;融资融券,33,300131.SZ,26
300561,语音技术;粤港澳大湾区;物联网;人脸识别;网络安全;ST板块;人工智能;信创;数据安全;区块链;百度概念;互联网金融;AI应用;物业管理;股权转让(并购重组),33,300561.SZ,15
301189,智能家居;人民币贬值受益;宠物经济;跨境电商;人脸识别;专精特新;机器人概念;物联网;汽车电子;消费电子概念;车联网(车路协同);智能音箱;人工智能;星闪概念;腾讯概念;鸿蒙概念;无线耳机;英伟达概念;虚拟数字人;融资融券,33,301189.SZ,20
300207,钠离子电池;固态电池;动力电池回收;锂电池概念;两轮车;盐湖提锂;储能;虚拟电厂;石墨烯;新型烟草(电子烟);无线充电;高压快充;无线耳机;金属回收;华为手机;新能源汽车;换电概念;粤港澳大湾区;AI眼镜;苹果概念;智能穿戴;小米概念;消费电子概念;星闪概念;工业互联网;华为概念;深股通;机器人概念;低空经济;汽车电子;无人机;数字孪生;智能家居;一带一路;智能音箱;DeepSeek概念;数字经济;创投;虚拟现实;人工智能;融资融券,33,300207.SZ,41
300468,数字货币;跨境支付(CIPS);互联网金融;区块链;Web3.0;数据确权;信创;云计算;AI智能体;数字经济;DeepSeek概念;华为概念;人工智能;NFT概念;粤港澳大湾区;参股银行;人民币贬值受益;融资融券;深股通,33,300468.SZ,19
300868,华为概念;跨境电商;智能穿戴;消费电子概念;AI眼镜;融资融券,33,300868.SZ,6
301055,AI智能体;DeepSeek概念;NFT概念;IP经济(谷子经济);2025年报预增;跨境电商;露营经济;家用电器;物联网;超级品牌;融资融券,33,301055.SZ,11
301369,芯片概念;第三代半导体;专精特新;中芯国际概念;创投;2025年报预增;深股通;融资融券,33,301369.SZ,8
301246,钠离子电池;氟化工概念;固态电池;磷化工;锂电池概念;仿制药一致性评价;合成生物;流感;猴痘概念;比亚迪概念;2025年报预增;深股通;融资融券,33,301246.SZ,13
300866,储能;跨境电商;无线耳机;无线充电;充电桩;智能家居;人民币贬值受益;AI眼镜;机器人概念;3D打印;消费电子概念;芯片概念;人工智能;安防;深股通;融资融券,33,300866.SZ,16
