股票代码,market_code,所属概念,所属概念数量,code
301599.SZ,33,芯片概念;固态电池;锂电池概念;比亚迪概念;宁德时代概念;光刻胶;注册制次新股;新股与次新股;融资融券,9,301599
920125.BJ,151,消费电子概念;PCB概念;芯片概念;新能源汽车;先进封装;储能;新股与次新股;融资融券,8,920125
920765.BJ,151,跨境电商;融资融券;人民币贬值受益,3,920765
300083.SZ,33,工业母机;无线充电;新型工业化;人形机器人;智能穿戴;苹果概念;消费电子概念;飞行汽车(eVTOL);比亚迪概念;5G;小米概念;军工;高端装备;新能源汽车;一体化压铸;机器人概念;低空经济;无人机;华为概念;液冷服务器;工业互联网;储能;粤港澳大湾区;人工智能;创投;回购增持再贷款概念;深股通;融资融券,28,300083
300632.SZ,33,PET铜箔;MiniLED;柔性屏(折叠屏);先进封装;PCB概念;固态电池;共封装光学(CPO);OLED;富士康概念;第三代半导体;消费电子概念;锂电池概念;无线耳机;汽车电子;人形机器人;智能穿戴;芯片概念;AI眼镜;比亚迪概念;传感器;5G;脑机接口;福建自贸区;机器人概念;无人机;无人驾驶;储能;海峡两岸;充电桩;家用电器;医美概念;人民币贬值受益;鸿蒙概念;养老概念;一带一路;消毒剂,36,300632
688400.SH,17,共封装光学(CPO);富士康概念;光纤概念;苹果概念;华为手机;消费电子概念;MR(混合现实);芯片概念;人形机器人;机器视觉;小米概念;数据中心;新型工业化;虚拟现实;宁德时代概念;专精特新;华为概念;机器人概念;无人机;光伏概念;2025年报预增;锂电池概念;Web3.0;空间计算;智谱AI;元宇宙;人工智能;AIGC概念;Sora概念(文生视频);虚拟数字人;数字经济;沪股通;融资融券,33,688400
688699.SH,17,先进封装;MiniLED;芯片概念;专精特新;融资融券,5,688699
688256.SH,17,中国AI 50;先进封装;汽车芯片;芯片概念;同花顺新质50;数据中心;东数西算(算力);国产操作系统;阿里巴巴概念;人工智能;沪股通;融资融券,12,688256
688531.SH,17,PCB概念;宁德时代概念;固态电池;液冷服务器;锂电池概念;比亚迪概念;芯片概念;一体化压铸;储能;专精特新;特斯拉概念;商业航天;高端装备;人工智能;食品安全;回购增持再贷款概念;沪股通;融资融券,18,688531
688521.SH,17,国家大基金持股;智能音箱;先进封装;汽车芯片;AI手机;MCU芯片;AI眼镜;芯片概念;虚拟现实;东数西算(算力);阿里巴巴概念;腾讯概念;无人驾驶;物联网;人工智能;数字货币;上海自贸区;沪股通;融资融券,19,688521
688155.SH,17,固态电池;宁德时代概念;专精特新;新型工业化;新能源汽车;高端装备;锂电池概念;机器人概念;2025年报预增;燃料电池;人工智能;DeepSeek概念;一带一路;沪股通;融资融券,15,688155
300885.SZ,33,卫星导航;商业航天;减速器;低空经济;人形机器人;机器人概念;新能源汽车;专精特新;海峡两岸;消费电子概念;充电桩;人民币贬值受益;一带一路;深股通;融资融券,15,300885
688655.SH,17,共封装光学(CPO);PCB概念;5G;汽车电子;智能穿戴;专精特新;智能座舱;新能源汽车;机器人概念;粤港澳大湾区;医疗器械概念;绿色电力;股权转让(并购重组);融资融券,14,688655
688141.SH,17,汽车芯片;芯片概念;消费电子概念;智能座舱;汽车电子;小米概念;无人驾驶;专精特新;华为概念;新能源汽车;锂电池概念;储能;沪股通;融资融券,14,688141
688021.SH,17,氢能源;燃料电池;专精特新;融资融券,4,688021
688691.SH,17,汽车芯片;存储芯片;MCU芯片;中芯国际概念;芯片概念;小米概念;5G;专精特新;卫星导航;上海自贸区;沪股通;融资融券,12,688691
301246.SZ,33,钠离子电池;氟化工概念;固态电池;磷化工;锂电池概念;合成生物;仿制药一致性评价;流感;猴痘概念;比亚迪概念;2025年报预增;深股通;融资融券,13,301246
688449.SH,17,存储芯片;汽车芯片;芯片概念;物联网;沪股通;融资融券,6,688449
300762.SZ,33,军工信息化;卫星导航;商业航天;军民融合;军工;无人机;5G;专精特新;机器人概念;芯片概念;人工智能;智慧城市;深股通;融资融券,14,300762
301588.SZ,33,粤港澳大湾区;人民币贬值受益;融资融券,3,301588
