code,所属概念,所属概念数量,股票代码,market_code
920270,融资融券;特斯拉概念;机器人概念;军工;人民币贬值受益;专精特新,6,920270.BJ,151
920438,商业航天;无人驾驶;6G概念;融资融券;芯片概念;消费电子概念;海工装备;比亚迪概念;核电;核污染防治;先进封装;军工;专精特新,13,920438.BJ,151
301028,比亚迪概念;专精特新;海峡两岸;核电;福建自贸区;雅下水电概念;PCB概念;深股通;融资融券,9,301028.SZ,33
300488,航空发动机;工业母机;军民融合;专精特新;减速器;人形机器人;比亚迪概念;机器人概念;长三角一体化;共同富裕示范区;深股通,11,300488.SZ,33
301183,共封装光学(CPO);F5G概念;华为手机;6G概念;消费电子概念;汽车电子;小米概念;专精特新;虚拟现实;无人驾驶;2025年报预增;华为概念;深股通;融资融券,14,301183.SZ,33
300283,固态电池;锂电池概念;PCB概念;消费电子概念;第三代半导体;芯片概念;比亚迪概念;工业母机;专精特新;新能源汽车;储能;数据中心;智能电网;医疗器械概念;光伏建筑一体化,15,300283.SZ,33
688260,消费电子概念;汽车电子;光纤概念;华为概念;无人驾驶;融资融券,6,688260.SH,17
688818,卫星导航;商业航天;科创次新股;军工;无人机;智能电网;注册制次新股;机器人概念;光伏概念;储能;锂电池概念;固态电池;燃料电池;央企国企改革;钠离子电池;国企改革;新股与次新股;融资融券,18,688818.SH,17
300258,减速器;汽车热管理;长安汽车概念;人形机器人;小米概念;小米汽车;农机;机器人概念;比亚迪概念;新能源汽车;特斯拉概念;燃料电池;回购增持再贷款概念;氢能源;深股通;融资融券,16,300258.SZ,33
300716,ST板块;长安汽车概念;军民融合;华为汽车;碳中和;储能;新能源汽车;光伏概念;HJT电池;智能音箱;钙钛矿电池;TOPCON电池;可降解塑料,13,300716.SZ,33
301369,芯片概念;中芯国际概念;第三代半导体;专精特新;2025年报预增;创投;深股通;融资融券,8,301369.SZ,33
920036,多模态AI;物联网;AI应用;AI智能体;新股与次新股;融资融券;人民币贬值受益,7,920036.BJ,151
301666,快手概念;存储芯片;小红书概念;英伟达概念;数据中心;抖音概念(字节概念);腾讯概念;阿里巴巴概念;百度概念;注册制次新股;DeepSeek概念;专精特新;新股与次新股;融资融券,14,301666.SZ,33
300736,华为概念;区块链;苹果概念,3,300736.SZ,33
301030,ST板块;TOPCON电池;净水概念;污水处理;固废处理;专精特新;光伏概念;碳中和,8,301030.SZ,33
688033,ST板块;成飞概念;碳纤维;光伏概念;飞行汽车(eVTOL);新能源汽车;大飞机;高铁;军工;商业航天;京津冀一体化;锂电池概念,12,688033.SH,22
688523,航空发动机;卫星导航;大飞机;商业航天;无人机;低空经济;专精特新;沪股通;融资融券,9,688523.SH,17
688655,共封装光学(CPO);PCB概念;5G;汽车电子;智能穿戴;专精特新;智能座舱;机器人概念;新能源汽车;粤港澳大湾区;医疗器械概念;绿色电力;股权转让(并购重组);融资融券,14,688655.SH,17
688017,同花顺新质50;人形机器人;减速器;新型工业化;中国AI 50;专精特新;机器人概念;2025年报预增;沪股通;融资融券,10,688017.SH,17
301387,苹果概念;共封装光学(CPO);消费电子概念;智能穿戴;MiniLED;机器人概念;碳纤维;粤港澳大湾区;数字经济;一带一路;可降解塑料;融资融券,12,301387.SZ,33
688096,人工智能;污水处理;超导概念;东数西算(算力);DeepSeek概念;云计算;算力租赁;融资融券,8,688096.SH,17
300106,乳业;三胎概念;乡村振兴;养老概念;新疆振兴;国企改革;西部大开发;股权转让(并购重组),8,300106.SZ,33
300819,PCB概念;固态电池;机器人概念;人民币贬值受益;氢能源;体育产业,6,300819.SZ,33
300247,养老概念;跨境电商;体育产业;医疗器械概念;宠物经济;智能医疗;人民币贬值受益;智能家居;机器人概念;2025年报预增,10,300247.SZ,33
301696,人形机器人;机器人概念;减速器;无人机;低空经济;人民币贬值受益;飞行汽车(eVTOL);注册制次新股;军工;碳纤维;新股与次新股;融资融券,12,301696.SZ,33
688693,汽车芯片;第三代半导体;芯片概念;专精特新;新能源汽车;无人机;充电桩;智能电网;融资融券,9,688693.SH,17
300839,氢能源;专精特新;东数西算(算力);液冷服务器,4,300839.SZ,33
688449,存储芯片;汽车芯片;芯片概念;物联网;沪股通;融资融券,6,688449.SH,17
688001,MicroLED概念;OLED;智能音箱;苹果概念;无线耳机;消费电子概念;智能穿戴;汽车电子;芯片概念;5G;特斯拉概念;人形机器人;回购增持再贷款概念;沪股通;融资融券,15,688001.SH,17
300840,华为盘古;AIGC概念;AI应用;鸿蒙概念;AI智能体;人工智能;DeepSeek概念;C2M概念;网红经济;华为概念;新型工业化;工业互联网;数据中心;三胎概念;深股通,15,300840.SZ,33
920002,融资融券;机器人概念;人形机器人;专精特新,4,920002.BJ,151
920028,比亚迪概念;宁德时代概念;华为概念;5G;新股与次新股;融资融券,6,920028.BJ,151
300671,MCU芯片;汽车芯片;存储芯片;先进封装;MiniLED;第三代半导体;无线耳机;芯片概念;WiFi 6;5G;新型烟草(电子烟);毫米波雷达;专精特新;智能家居;粤港澳大湾区;海峡两岸;深股通;融资融券,18,300671.SZ,33
688048,共封装光学(CPO);光纤概念;第三代半导体;汽车芯片;芯片概念;数据中心;无人驾驶;华为概念;专精特新;商业航天;可控核聚变;医美概念;沪股通;融资融券,14,688048.SH,17
920078,商业航天;核污染防治;专精特新;新股与次新股;融资融券,5,920078.BJ,151
688511,军工信息化;专精特新;军民融合;军工;商业航天;人工智能;锂电池概念;西部大开发;融资融券;摘帽,10,688511.SH,17
688783,国家大基金持股;存储芯片;科创次新股;MCU芯片;芯片概念;注册制次新股;西部大开发;新股与次新股;融资融券,9,688783.SH,17
300834,专精特新;粤港澳大湾区;融资融券,3,300834.SZ,33
300095,成飞概念;大飞机;高端装备;军工;无人机;航空发动机;新型工业化;商业航天;海工装备;水利;减速器;机器人概念;新能源汽车;人形机器人;风电;一带一路;回购增持再贷款概念,17,300095.SZ,33
301111,幽门螺杆菌概念;流感;创新药;医药电商;眼科医疗;三胎概念;养老概念;融资融券,8,301111.SZ,33
920571,碳交易;福建自贸区;海峡两岸;航运概念;融资融券;低空经济;人民币贬值受益,7,920571.BJ,151
000839,文化传媒概念;网络安全;智慧政务;AI语料;虚拟数字人;数据要素;AI应用;AI智能体;互联网金融;人工智能;DeepSeek概念;创投;物业管理;京津冀一体化;乡村振兴;国企改革;深股通,17,000839.SZ,33
300983,新型城镇化;融资融券,2,300983.SZ,33
600076,芯片概念;回购增持再贷款概念;碳中和;乡村振兴;碳交易;国企改革;土地流转;融资融券,8,600076.SH,17
600724,共同富裕示范区;水泥概念;国企改革;物业管理;沪股通,5,600724.SH,17
