所属概念数量,market_code,code,股票代码,所属概念
9,151,920469,920469.BJ,融资融券;粤港澳大湾区;碳纤维;比亚迪概念;消费电子概念;机器人概念;新能源汽车;专精特新;PEEK材料
8,33,300210,300210.SZ,3D打印;东数西算(算力);机器人概念;新能源汽车;PPP概念;雄安新区;股权转让(并购重组);深股通
12,33,300959,300959.SZ,拼多多概念;小红书概念;短剧游戏;抖音概念(字节概念);快手概念;腾讯概念;阿里巴巴概念;文化传媒概念;华为概念;深股通;股权转让(并购重组);融资融券
5,33,300965,300965.SZ,军民融合;军工;无人机;卫星导航;融资融券
13,17,688146,688146.SH,光刻机;中船系;氟化工概念;中芯国际概念;国家大基金持股;固态电池;芯片概念;锂电池概念;央企国企改革;国企改革;沪股通;融资融券;中字头股票
16,17,688323,688323.SH,柔性屏(折叠屏);PCB概念;先进封装;钙钛矿电池;固态电池;芯片概念;消费电子概念;华为概念;卫星导航;光伏概念;商业航天;专精特新;储能;风电;军工;融资融券
3,17,688625,688625.SH,专精特新;沪股通;融资融券
27,17,688187,688187.SH,高铁;特高压;柔性直流输电;海工装备;风电;央企国企改革;充电桩;长安汽车概念;储能;一带一路;无人驾驶;机器人概念;新能源汽车;光伏概念;数据中心;传感器;小米概念;数据要素;氢能源;国企改革;汽车芯片;芯片概念;第三代半导体;国家大基金持股;可燃冰;沪股通;融资融券
25,17,688003,688003.SH,先进封装;PCB概念;苹果概念;第三代半导体;消费电子概念;芯片概念;英伟达概念;机器视觉;小米概念;人形机器人;新型工业化;专精特新;无人驾驶;新能源汽车;机器人概念;车联网(车路协同);百度概念;高端装备;低空经济;人工智能;光伏概念;DeepSeek概念;智能物流;沪股通;融资融券
14,33,301666,301666.SZ,快手概念;存储芯片;小红书概念;注册制次新股;英伟达概念;数据中心;抖音概念(字节概念);腾讯概念;阿里巴巴概念;专精特新;百度概念;DeepSeek概念;新股与次新股;融资融券
6,151,920023,920023.BJ,ST板块;西部大开发;土地流转;创投;农业种植;乡村振兴
5,151,920699,920699.BJ,融资融券;比亚迪概念;华为概念;家用电器;东数西算(算力)
11,33,301055,301055.SZ,家用电器;2025年报预增;物联网;露营经济;AI智能体;NFT概念;IP经济(谷子经济);DeepSeek概念;跨境电商;超级品牌;融资融券
18,33,300782,300782.SZ,先进封装;6G概念;WiFi 6;无线耳机;消费电子概念;5G;芯片概念;智能穿戴;卫星导航;商业航天;小米概念;虚拟现实;物联网;人民币贬值受益;智能家居;同花顺漂亮100;融资融券;深股通
8,17,688377,688377.SH,页岩气;海工装备;高端装备;专精特新;人民币贬值受益;天然气;沪股通;融资融券
11,33,301538,301538.SZ,人形机器人;专精特新;新能源汽车;比亚迪概念;机器人概念;粤港澳大湾区;医疗器械概念;储能;一带一路;深股通;融资融券
17,33,301526,301526.SZ,PCB概念;华为手机;特高压;5G;消费电子概念;风电;汽车电子;光伏概念;华为概念;工业互联网;绿色电力;一带一路;数字经济;国企改革;西部大开发;深股通;融资融券
23,33,300199,300199.SZ,细胞免疫治疗;减肥药;CRO概念;创新药;智能医疗;辅助生殖;猴痘概念;仿制药一致性评价;合成生物;肝炎概念;医疗器械概念;工业大麻;流感;幽门螺杆菌概念;区块链;三胎概念;人工智能;华为概念;人民币贬值受益;创投;粤港澳大湾区;深股通;融资融券
6,33,301155,301155.SZ,绿色电力;风电;2025年报预增;海工装备;深股通;融资融券
11,33,301590,301590.SZ,高压快充;小米概念;新能源汽车;换电概念;充电桩;储能;粤港澳大湾区;注册制次新股;深股通;新股与次新股;融资融券
6,33,301227,301227.SZ,黑龙江自贸区;装配式建筑;建筑节能;碳中和;智能家居;融资融券
8,33,301288,301288.SZ,污水处理;金属回收;金属镍;新型城镇化;专精特新;粤港澳大湾区;融资融券;摘帽
6,17,688300,688300.SH,先进封装;存储芯片;芯片概念;专精特新;沪股通;融资融券
23,17,688676,688676.SH,智能电网;中国AI 50;数据中心;核电;抽水蓄能;光伏概念;海工装备;储能;风电;高端装备;华为概念;新能源汽车;工业互联网;专精特新;机器人概念;百度概念;阿里巴巴概念;雅下水电概念;数字孪生;数据要素;海南自贸区;融资融券;沪股通
7,17,688820,688820.SH,科创次新股;先进封装;存储芯片;注册制次新股;芯片概念;新股与次新股;融资融券
11,33,300054,300054.SZ,中芯国际概念;光刻胶;存储芯片;先进封装;OLED;柔性屏(折叠屏);芯片概念;锂电池概念;2026一季报预增;深股通;融资融券
11,151,920670,920670.BJ,AI应用;数字孪生;AIGC概念;融资融券;虚拟现实;智能医疗;人工智能;数字经济;专精特新;AI智能体;3D打印
23,33,300017,300017.SZ,算力租赁;云计算;数据安全;东数西算(算力);华为鲲鹏;多模态AI;信创;网络安全;AIGC概念;AI智能体;虚拟数字人;数据中心;元宇宙;液冷服务器;在线教育;DeepSeek概念;数字经济;人工智能;人民币贬值受益;一带一路;阿尔茨海默概念;深股通;融资融券
11,33,300259,300259.SZ,智能电网;光伏概念;水利;专精特新;物联网;雄安新区;传感器;华为概念;数字孪生;虚拟现实;数据要素
9,17,688234,688234.SH,第三代半导体;芯片概念;AI眼镜;华为概念;专精特新;新能源汽车;智能电网;沪股通;融资融券
10,17,688545,688545.SH,国家大基金持股;存储芯片;中芯国际概念;芯片概念;光刻胶;独角兽概念;国企改革;磷化工;沪股通;融资融券
15,33,300316,300316.SZ,BC电池;TOPCON电池;光伏概念;培育钻石;第三代半导体;先进封装;新型工业化;芯片概念;存储芯片;消费电子概念;AI眼镜;数字经济;智能物流;深股通;融资融券
15,33,300018,300018.SZ,柔性直流输电;特高压;电力物联网;智能电网;抽水蓄能;核电;血氧仪;智能医疗;专精特新;基因测序;2025年报预增;水利;家庭医生;医疗器械概念;融资融券
28,33,301041,301041.SZ,PCB概念;富士康概念;5G;汽车电子;毫米波雷达;专精特新;新型工业化;华为概念;比亚迪概念;粤港澳大湾区;机器人概念;6G概念;数据中心;无人机;信创;工业互联网;商业航天;腾讯概念;军工;职业教育;百度概念;创投;智能医疗;中俄贸易概念;特高压;柔性直流输电;虚拟电厂;融资融券
9,33,301002,301002.SZ,智慧灯杆;人形机器人;商业航天;机器人概念;智慧城市;体育产业;光伏概念;储能;融资融券
4,33,300839,300839.SZ,氢能源;专精特新;东数西算(算力);液冷服务器
8,151,920809,920809.BJ,锂电池概念;西部大开发;融资融券;磷化工;比亚迪概念;宁德时代概念;储能;专精特新
5,17,688257,688257.SH,PCB概念;2026一季报预增;工业母机;专精特新;融资融券
18,33,300870,300870.SZ,富士康概念;液冷服务器;WiFi 6;第三代半导体;消费电子概念;数据中心;无人机;华为概念;比亚迪概念;海峡两岸;充电桩;光伏概念;阿里巴巴概念;智能家居;储能;一带一路;深股通;融资融券
8,33,300214,300214.SZ,算力租赁;丙烯酸;东数西算(算力);数据中心;液冷服务器;DeepSeek概念;专精特新;新疆振兴
7,33,301200,301200.SZ,PCB概念;先进封装;工业母机;2025年报预增;高端装备;深股通;融资融券
22,33,300964,300964.SZ,共封装光学(CPO);PCB概念;5G;6G概念;毫米波雷达;汽车电子;专精特新;虚拟现实;华为概念;卫星导航;特斯拉概念;商业航天;新能源汽车;无人机;机器人概念;军工;低空经济;工业互联网;充电桩;医疗器械概念;创投;融资融券
40,33,300857,300857.SZ,算力租赁;英伟达概念;EDR概念;云游戏;东数西算(算力);云计算;共封装光学(CPO);存储芯片;数据中心;腾讯概念;AI智能体;智能音箱;AIGC概念;人脸识别;芯片概念;汽车电子;AI应用;车联网(车路协同);AI眼镜;消费电子概念;安防;智能穿戴;物联网;小米概念;DeepSeek概念;人工智能;短剧游戏;人形机器人;2026一季报预增;2025年报预增;机器人概念;网络游戏;粤港澳大湾区;智能家居;人民币贬值受益;家用电器;净水概念;跨境电商;融资融券;深股通
13,33,300693,300693.SZ,数据中心;高压快充;虚拟电厂;宁德时代概念;充电桩;储能;比亚迪概念;换电概念;新能源汽车;专精特新;锂电池概念;深股通;融资融券
12,33,300442,300442.SZ,算力租赁;东数西算(算力);液冷服务器;中国AI 50;数据中心;抖音概念(字节概念);机器人概念;2025年报预增;京津冀一体化;回购增持再贷款概念;融资融券;深股通
29,17,688159,688159.SH,算力租赁;云计算;信创;智慧政务;东数西算(算力);存储芯片;阿里巴巴概念;AI智能体;数据要素;鸿蒙概念;星闪概念;车联网(车路协同);数据中心;物联网;华为概念;智慧城市;人工智能;5G;电力物联网;低空经济;无人机;专精特新;机器人概念;粤港澳大湾区;比亚迪概念;智能电网;水利;沪股通;融资融券
17,17,688147,688147.SH,先进封装;BC电池;存储芯片;中芯国际概念;汽车芯片;OLED;钙钛矿电池;第三代半导体;TOPCON电池;HJT电池;芯片概念;高端装备;专精特新;光伏概念;回购增持再贷款概念;沪股通;融资融券
5,33,300818,300818.SZ,专精特新;人民币贬值受益;高端装备;宁德时代概念;一带一路
8,17,688282,688282.SH,卫星导航;商业航天;军民融合;军工;无人机;专精特新;无人驾驶;融资融券
13,17,688663,688663.SH,华为数字能源;可控核聚变;核电;数据中心;风电;光热发电;储能;光伏概念;阿里巴巴概念;稀土永磁;国企改革;融资融券;股权转让(并购重组)
