code,market_code,所属概念,股票代码,所属概念数量
920125,151,消费电子概念;PCB概念;芯片概念;新能源汽车;先进封装;储能;新股与次新股;融资融券,920125.BJ,8
300196,33,PCB概念;光伏概念;深股通,300196.SZ,3
688001,17,MicroLED概念;OLED;苹果概念;汽车电子;消费电子概念;智能音箱;智能穿戴;无线耳机;5G;特斯拉概念;芯片概念;人形机器人;回购增持再贷款概念;沪股通;融资融券,688001.SH,15
688110,17,存储芯片;汽车芯片;芯片概念;5G;智能穿戴;消费电子概念;安防;车联网(车路协同);专精特新;回购增持再贷款概念;沪股通;融资融券,688110.SH,12
300835,33,消费电子概念;稀土永磁;数据中心;专精特新;新能源汽车;光伏概念;深股通,300835.SZ,7
688362,17,先进封装;MCU芯片;芯片概念;消费电子概念;5G;汽车电子;传感器;专精特新;数字货币;沪股通;融资融券,688362.SH,11
300868,33,消费电子概念;AI眼镜;华为概念;智能穿戴;跨境电商;融资融券,300868.SZ,6
688347,17,国家大基金持股;存储芯片;芯片概念;消费电子概念;上海国企改革;国企改革;沪股通;融资融券,688347.SH,8
300975,33,存储芯片;东数西算(算力);数据中心;MCU芯片;液冷服务器;汽车芯片;消费电子概念;抖音概念(字节概念);芯片概念;毫米波雷达;AI眼镜;汽车电子;百度概念;物联网;无人机;比亚迪概念;海峡两岸;宁德时代概念;低空经济;新能源汽车;2025年报预增;机器人概念;创投;飞行汽车(eVTOL);智能物流;一带一路;跨境电商;统一大市场;深股通;融资融券,300975.SZ,30
300779,33,固废处理;稀土永磁;融资融券;深股通,300779.SZ,4
300275,33,AI应用;AIGC概念;数据要素;ChatGPT概念;智慧城市;鸿蒙概念;AI智能体;数字经济;DeepSeek概念;人工智能;华为盘古;华为鲲鹏;阿里巴巴概念;数据安全;华为欧拉;多模态AI;物联网;工业互联网;中俄贸易概念;乡村振兴;星闪概念;PPP概念;新型工业化;污水处理;低空经济;华为概念;机器人概念;无人驾驶;核电;军工;西部大开发;卫星导航;专精特新;传感器;商业航天;毫米波雷达;超级电容;F5G概念,300275.SZ,38
300939,33,MiniLED;电子纸;汽车电子;5G;无人驾驶;长安汽车概念;机器人概念;比亚迪概念;新能源汽车;充电桩;安防;智能家居;物联网;家用电器;储能;智慧城市;人工智能;融资融券,300939.SZ,18
300626,33,新能源汽车;军工;特斯拉概念;机器人概念;家用电器;国企改革;医药电商,300626.SZ,7
688981,17,国家大基金持股;中芯国际概念;存储芯片;芯片概念;OLED;消费电子概念;中国AI 50;上海自贸区;汽车电子;物联网;同花顺漂亮100;融资融券;沪股通,688981.SH,13
