所属概念,code,market_code,所属概念数量,股票代码
乡村振兴;智能穿戴;融资融券;多模态AI;AI智能体;星闪概念;电子竞技;信创;AIGC概念;DeepSeek概念;人工智能;跨境电商;IP经济(谷子经济);WiFi 6;消费电子概念;无线耳机;AI PC;AI眼镜,920190,151,18,920190.BJ
2025年报预增;融资融券;移动支付;芯片概念;物联网;鸿蒙概念;AI PC;数字经济;专精特新;智能家居;机器人概念;智慧政务;人工智能;消费电子概念;在线教育;5G;安防;信创,920876,151,18,920876.BJ
新型城镇化;智慧城市;腾讯概念;高端装备;军工;充电桩;一带一路;固废处理;西部大开发;金属回收;股权转让(并购重组),300103,33,11,300103.SZ
可降解塑料,300849,33,1,300849.SZ
华为欧拉;华为昇腾;华为盘古;云计算;华为鲲鹏;多模态AI;ERP概念;ChatGPT概念;数据安全;中国AI 50;财税数字化;国产操作系统;信创;算力租赁;AI智能体;百度概念;鸿蒙概念;数字乡村;数字货币;东数西算(算力);阿里巴巴概念;AI应用;数据要素;区块链;抖音概念(字节概念);腾讯概念;AIGC概念;虚拟数字人;互联网金融;DeepSeek概念;车联网(车路协同);英伟达概念;在线教育;元宇宙;数字经济;数字孪生;AI PC;人工智能;跨境支付(CIPS);智能医疗;华为概念;工业互联网;职业教育;低空经济;虚拟电厂;无人驾驶;液冷服务器;机器人概念;小米概念;京津冀一体化;智能座舱;5G;人形机器人;长安汽车概念;芯片概念;换电概念;一带一路;跨境电商;养老概念;深股通;融资融券,301236,33,61,301236.SZ
新型城镇化;共同富裕示范区;PPP概念;IP经济(谷子经济);雄安新区;水利;碳中和;区块链,300649,33,8,300649.SZ
新能源汽车;消费电子概念;海峡两岸;商业航天;5G;卫星导航;储能;光伏概念;光纤概念;融资融券,301329,33,10,301329.SZ
充电桩;高压快充;储能;海峡两岸;智能家居;一带一路;中俄贸易概念;新能源汽车;比亚迪概念;家用电器;小米概念;消费电子概念;小米汽车;铜缆高速连接;富士康概念;深股通;融资融券,301439,33,17,301439.SZ
传感器;机器人概念;专精特新;新能源汽车;汽车电子;农机;无人机;减速器;乡村振兴;西部大开发;氢能源;融资融券,301107,33,12,301107.SZ
专精特新;小米概念;消费电子概念;机器人概念;人民币贬值受益;锂电池概念;人形机器人;光伏概念;HJT电池;储能;AI PC;TOPCON电池;固态电池;光伏建筑一体化;绿色电力;融资融券,300956,33,16,300956.SZ
西部大开发;京津冀一体化;ST板块;数字乡村;数字经济;AI应用;人工智能;车联网(车路协同);数据要素;算力租赁;智慧城市;机器人概念;华为概念;储能;东数西算(算力);光伏概念;充电桩;5G,301139,33,18,301139.SZ
土壤修复;PPP概念;雄安新区;污水处理;垃圾分类;新型城镇化;水利;智慧城市;旅游概念;充电桩;乡村振兴;碳中和;粤港澳大湾区;地下管网;国企改革;一带一路;央企国企改革;回购增持再贷款概念;农业种植;深股通;融资融券,300197,33,21,300197.SZ
芯片概念;第三代半导体;融资融券;6G概念;专精特新;培育钻石,920725,151,6,920725.BJ
智谱AI;小红书概念;云办公;云计算;ChatGPT概念;AIGC概念;财税数字化;抖音概念(字节概念);ERP概念;阿里巴巴概念;拼多多概念;AI智能体;AI应用;人工智能;DeepSeek概念;数字经济;跨境电商;沪股通;融资融券,688365,17,19,688365.SH
安防;机器人概念;小米概念;西部大开发;融资融券;消费电子概念,920857,151,6,920857.BJ
养鸡;乡村振兴;西部大开发;绿色电力;2025年报预增;融资融券,300967,33,6,300967.SZ
2025年报预增;预制菜;融资融券,920371,151,3,920371.BJ
快手概念;小红书概念;AIGC概念;虚拟数字人;AI应用;拼多多概念;抖音概念(字节概念);AI智能体;阿里巴巴概念;腾讯概念;人工智能;网红经济;跨境电商;深股通,300792,33,14,300792.SZ
MLOps概念;华为昇腾;数字水印;AI PC;华为鲲鹏;数据安全;多模态AI;信创;AIGC概念;AI智能体;数据要素;AI应用;英伟达概念;华为概念;人工智能;DeepSeek概念;独角兽概念;工业互联网;东数西算(算力);沪股通;融资融券,688031,17,21,688031.SH
共同富裕示范区;专精特新;融资融券;新能源汽车,920111,151,4,920111.BJ
PM2.5;土壤修复;PPP概念;雄安新区;创投;ST板块;碳中和;净水概念;污水处理;燃料电池;氢能源;生物质能发电,300152,33,12,300152.SZ
专精特新;回购增持再贷款概念;比亚迪概念;新能源汽车;融资融券,301395,33,5,301395.SZ
多模态AI;ChatGPT概念;数据安全;华为鲲鹏;AIGC概念;ERP概念;AI智能体;抖音概念(字节概念);百度概念;阿里巴巴概念;AI应用;数据要素;DeepSeek概念;人工智能;数字经济;华为概念;工业互联网;新型工业化;C2M概念;创投;海峡两岸;芯片概念;富士康概念;深股通;融资融券,300378,33,25,300378.SZ
军工信息化;军民融合;太赫兹;军工;卫星导航;横琴新区;商业航天;高端装备;海工装备;6G概念;量子科技;5G;芯片概念;第三代半导体;ST板块,300123,33,15,300123.SZ
医疗器械概念;专精特新;人民币贬值受益;融资融券,301234,33,4,301234.SZ
华为欧拉;华为鲲鹏;数据安全;信创;云计算;阿里巴巴概念;腾讯概念;数据要素;DeepSeek概念;华为概念;数字经济;互联网金融;专精特新;融资融券,688435,17,14,688435.SH
AI应用;抖音概念(字节概念);小红书概念;融资融券;ERP概念;拼多多概念;阿里巴巴概念,920227,151,7,920227.BJ
智慧政务;AI应用;阿里巴巴概念;水利;数据要素;数据安全;人工智能;DeepSeek概念;空间计算;人脸识别;网络安全;智能医疗;智慧城市;安防;机器人概念;低空经济;智能电网;物联网;共同富裕示范区;人形机器人;机器视觉;传感器;时空大数据;华为概念;数据中心(AIDC);专精特新;无人机;一带一路;卫星导航;股权转让(并购重组);融资融券,301218,33,31,301218.SZ
国家大基金持股;汽车芯片;芯片概念;5G;汽车电子;人形机器人;智能座舱;数据中心(AIDC);F5G概念;专精特新;商业航天;量子科技;机器人概念;无人机;无人驾驶;沪股通;融资融券,688107,17,17,688107.SH
食品安全;土壤修复;融资融券,301228,33,3,301228.SZ
钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;储能;碳中和;西部大开发;低空经济;人形机器人;国企改革;央企国企改革;融资融券;沪股通,688707,17,14,688707.SH
华为欧拉;MLOps概念;ERP概念;华为昇腾;华为鲲鹏;ChatGPT概念;数字货币;多模态AI;信创;智慧政务;财税数字化;鸿蒙概念;互联网金融;AI智能体;AI应用;国产操作系统;网络安全;虚拟数字人;在线教育;区块链;跨境支付(CIPS);元宇宙;阿里巴巴概念;星闪概念;DeepSeek概念;人工智能;智慧城市;智能医疗;物联网;华为海思概念股;华为概念;人形机器人;虚拟现实;智能座舱;东数西算(算力);创投;智能家居;无人驾驶;机器人概念;小米概念;华为汽车;芯片概念;华为数字能源;电力物联网;智能电网;深股通;融资融券,300339,33,47,300339.SZ
智能穿戴;AI眼镜;海峡两岸;专精特新;消费电子概念;汽车热管理;新股与次新股;融资融券;新能源汽车,920005,151,9,920005.BJ
俄乌冲突概念;天然气;股权转让(并购重组),300483,33,3,300483.SZ
专精特新;传感器;净水概念;物联网;水利;地下管网;污水处理;工业互联网;智慧城市;华为概念;DeepSeek概念;数据要素;股权转让(并购重组);融资融券,300897,33,14,300897.SZ
物联网;充电桩;新型工业化;智慧城市;机器人概念;储能;智能物流;军民融合;区块链;股权转让(并购重组),300420,33,10,300420.SZ
国资云;财税数字化;华为数字能源;数据确权;华为鲲鹏;数据安全;智慧政务;网络安全;AI智能体;数据要素;信创;阿里巴巴概念;数字孪生;智慧城市;百度概念;东数西算(算力);独角兽概念;DeepSeek概念;物联网;智能医疗;人工智能;数字经济;养老概念;华为概念;车联网(车路协同);创投;数据中心(AIDC);京津冀一体化;雄安新区;PPP概念;乡村振兴;国企改革;ST板块;央企国企改革;无人驾驶;一带一路,300212,33,36,300212.SZ
先进封装;MCU芯片;第三代半导体;OLED;芯片概念;回购增持再贷款概念;国企改革;沪股通;融资融券,688352,17,9,688352.SH
安防;人民币贬值受益;固态电池;融资融券;智能穿戴;专精特新;锂电池概念;AI PC,920237,151,8,920237.BJ
信创;AI语料;数据要素;华为概念;智能电网;沪股通;融资融券,688692,17,7,688692.SH
