code,market_code,股票代码,所属概念数量,所属概念
920211,151,920211.BJ,2,新股与次新股;融资融券
920510,151,920510.BJ,7,芯片概念;融资融券;机器人概念;新能源汽车;减速器;人形机器人;专精特新
920961,151,920961.BJ,17,融资融券;车联网(车路协同);芯片概念;股权转让(并购重组);毫米波雷达;星闪概念;无人驾驶;太赫兹;商业航天;卫星导航;华为概念;军工信息化;低空经济;军工;专精特新;6G概念;5G
920576,151,920576.BJ,9,西部大开发;融资融券;海工装备;核电;国企改革;商业航天;可控核聚变;卫星导航;专精特新
920175,151,920175.BJ,10,比亚迪概念;风电;融资融券;芯片概念;燃料电池;石墨电极;光伏概念;中俄贸易概念;3D打印;专精特新
301151,33,301151.SZ,15,新型城镇化;地下管网;雄安新区;乡村振兴;水利;污水处理;一带一路;碳中和;海峡两岸;核电;专精特新;超超临界发电;抽水蓄能;液冷服务器;融资融券
300353,33,300353.SZ,43,人形机器人;军工信息化;大飞机;新型工业化;机器视觉;工业母机;军工;机器人概念;无人机;军民融合;华为欧拉;信创;国产操作系统;网络安全;车联网(车路协同);物联网;商业航天;卫星导航;工业互联网;华为概念;AI智能体;人工智能;汽车电子;高铁;智慧城市;智能电网;核电;DeepSeek概念;智能物流;5G;2025年报预增;储能;数据中心(AIDC);芯片概念;虚拟电厂;汽车芯片;风电;雄安新区;绿色电力;页岩气;深股通;股权转让(并购重组);融资融券
300626,33,300626.SZ,7,特斯拉概念;机器人概念;新能源汽车;军工;家用电器;国企改革;医药电商
688056,17,688056.SH,5,食品安全;核污染防治;光刻胶;芯片概念;融资融券
688017,17,688017.SH,10,减速器;人形机器人;同花顺新质50;新型工业化;机器人概念;专精特新;中国AI 50;2025年报预增;沪股通;融资融券
301193,33,301193.SZ,6,3D打印;可降解塑料;人民币贬值受益;跨境电商;一带一路;融资融券
300052,33,300052.SZ,24,云游戏;云计算;算力租赁;元宇宙;网络安全;电子竞技;阿里巴巴概念;虚拟数字人;数字孪生;腾讯概念;东数西算(算力);虚拟现实;NFT概念;区块链;数据中心(AIDC);数字经济;DeepSeek概念;手机游戏;华为概念;网络游戏;互联网金融;粤港澳大湾区;旅游概念;摘帽
300334,33,300334.SZ,6,净水概念;垃圾分类;污水处理;雄安新区;PPP概念;京津冀一体化
300162,33,300162.SZ,18,MicroLED概念;MiniLED;柔性屏(折叠屏);足球概念;智能家居;先进封装;安防;元宇宙;在线教育;消费电子概念;体育产业;人工智能;商业航天;人民币贬值受益;DeepSeek概念;海峡两岸;粤港澳大湾区;专精特新
920221,151,920221.BJ,5,高压快充;融资融券;新能源汽车;减速器;专精特新
920509,151,920509.BJ,14,共封装光学(CPO);比亚迪概念;高端装备;高压快充;融资融券;芯片概念;第三代半导体;消费电子概念;汽车芯片;机器人概念;华为概念;人形机器人;军工;专精特新
300482,33,300482.SZ,22,芬太尼;猴痘概念;流感;肝炎概念;医药电商;幽门螺杆菌概念;辅助生殖;基因测序;宠物经济;三胎概念;工业大麻;智能医疗;AI应用;医疗器械概念;DeepSeek概念;人工智能;腾讯概念;食品安全;粤港澳大湾区;深股通;芯片概念;融资融券
