所属概念数量,股票代码,market_code,code,所属概念
5,301669.SZ,33,301669,芯片概念;储能;注册制次新股;新股与次新股;融资融券
14,920394.BJ,151,920394,长安汽车概念;华为汽车;体育产业;风电;融资融券;高铁;低空经济;大飞机;比亚迪概念;特高压;无人机;国企改革;新能源汽车;专精特新
6,920357.BJ,151,920357,新能源汽车;融资融券;专精特新;消费电子概念;汽车电子;PCB概念
18,300411.SZ,33,300411,PM2.5;可控核聚变;高铁;军民融合;水利;海工装备;核电;军工;高端装备;共同富裕示范区;商业航天;飞行汽车(eVTOL);低空经济;雅下水电概念;无人机;专精特新;人工智能;深股通
32,688207.SH,17,688207,MLOps概念;华为昇腾;信创;人脸识别;智慧政务;多模态AI;空间计算;AI智能体;安防;数据要素;元宇宙;百度概念;车联网(车路协同);智慧城市;机器视觉;虚拟现实;AIGC概念;AI应用;华为概念;人工智能;DeepSeek概念;无人机;AI PC;互联网金融;智能穿戴;机器人概念;军工;消费电子概念;无人驾驶;高铁;体育产业;融资融券
8,688126.SH,17,688126,国家大基金持股;中芯国际概念;存储芯片;芯片概念;人民币贬值受益;股权转让(并购重组);沪股通;融资融券
17,688711.SH,17,688711,第三代半导体;汽车芯片;芯片概念;数据中心(AIDC);光伏概念;可控核聚变;华为概念;专精特新;比亚迪概念;充电桩;新能源汽车;储能;机器人概念;人形机器人;华为汽车;沪股通;融资融券
10,300260.SZ,33,300260,光刻机;中芯国际概念;OLED;芯片概念;液冷服务器;数据中心(AIDC);海峡两岸;食品安全;融资融券;深股通
32,301428.SZ,33,301428,云计算;数据安全;网络安全;快手概念;多模态AI;抖音概念(字节概念);数据确权;腾讯概念;华为概念;鸿蒙概念;数据要素;AI智能体;物联网;ETC;车联网(车路协同);智慧城市;AIGC概念;移动支付;AI应用;数字货币;DeepSeek概念;数字经济;人工智能;无人驾驶;互联网金融;新能源汽车;网约车;乡村振兴;新疆振兴;西部大开发;宠物经济;融资融券
9,688783.SH,17,688783,国家大基金持股;存储芯片;科创次新股;MCU芯片;芯片概念;注册制次新股;西部大开发;新股与次新股;融资融券
17,688596.SH,17,688596,第三代半导体;中芯国际概念;存储芯片;芯片概念;光纤概念;专精特新;氟化工概念;光伏概念;高端装备;锂电池概念;储能;氢能源;医疗器械概念;合成生物;磷化工;沪股通;融资融券
14,688368.SH,17,688368,第三代半导体;汽车芯片;MCU芯片;芯片概念;无线充电;汽车电子;小米概念;英伟达概念;专精特新;数据中心(AIDC);机器人概念;股权转让(并购重组);沪股通;融资融券
10,688478.SH,17,688478,第三代半导体;存储芯片;华为海思概念股;芯片概念;光伏概念;专精特新;比亚迪概念;海峡两岸;股权转让(并购重组);融资融券
6,301630.SZ,33,301630,PCB概念;专精特新;注册制次新股;深股通;新股与次新股;融资融券
6,688409.SH,17,688409,光刻机;芯片概念;专精特新;DeepSeek概念;沪股通;融资融券
30,301013.SZ,33,301013,PCB概念;存储芯片;共封装光学(CPO);富士康概念;OLED;柔性屏(折叠屏);液冷服务器;消费电子概念;芯片概念;5G;无线耳机;智能座舱;比亚迪概念;人形机器人;专精特新;新能源汽车;机器视觉;数据中心(AIDC);华为概念;新型工业化;华为汽车;华为数字能源;机器人概念;高端装备;华为昇腾;储能;充电桩;医疗器械概念;深股通;融资融券
24,688500.SH,17,688500,小红书概念;智慧政务;虚拟数字人;AI语料;AIGC概念;烟草;AI智能体;AI应用;算力租赁;数据要素;抖音概念(字节概念);阿里巴巴概念;数字乡村;数字经济;智慧城市;人工智能;DeepSeek概念;人形机器人;机器人概念;华为概念;东数西算(算力);乡村振兴;数据中心(AIDC);融资融券
14,688141.SH,17,688141,汽车芯片;芯片概念;消费电子概念;汽车电子;智能座舱;小米概念;专精特新;华为概念;无人驾驶;新能源汽车;锂电池概念;储能;沪股通;融资融券
3,301222.SZ,33,301222,人民币贬值受益;工业互联网;融资融券
13,300593.SZ,33,300593,芯片概念;5G;数据中心(AIDC);卫星导航;商业航天;信创;比亚迪概念;专精特新;军工;储能;军民融合;融资融券;深股通
