所属概念,market_code,所属概念数量,code,股票代码
共封装光学(CPO);专精特新;新股与次新股;融资融券,151,4,920083,920083.BJ
专精特新;基因测序;猴痘概念;流感;宠物经济;人工智能;新股与次新股;融资融券,151,8,920009,920009.BJ
算力租赁;MLOps概念;华为昇腾;数字水印;东数西算(算力);云计算;华为欧拉;数据安全;华为鲲鹏;信创;多模态AI;智慧政务;电子身份证;Web3.0;数据中心(AIDC);AI手机;时空大数据;AI语料;ChatGPT概念;互联网保险;鸿蒙概念;数据要素;AIGC概念;AI智能体;区块链;5G;虚拟数字人;数字乡村;元宇宙;华为概念;智慧城市;AI应用;物联网;数字孪生;虚拟现实;虚拟电厂;数字经济;DeepSeek概念;机器视觉;互联网金融;人工智能;工业互联网;新型工业化;职业教育;人形机器人;海工装备;京津冀一体化;碳中和;乡村振兴;深股通;融资融券,33,51,300166,300166.SZ
共封装光学(CPO);消费电子概念;汽车电子;英伟达概念;5G;智能穿戴;AI眼镜;人形机器人;芯片概念;小米概念;存储芯片;比亚迪概念;华为概念;新能源汽车;机器人概念;无人机;东数西算(算力);充电桩;粤港澳大湾区;阿里巴巴概念;储能;深圳国企改革;国企改革;融资融券;深股通,33,25,300319,300319.SZ
光纤概念;芯片概念;专精特新;京津冀一体化;融资融券,17,5,688485,688485.SH
第三代半导体;存储芯片;华为海思概念股;芯片概念;光伏概念;比亚迪概念;专精特新;海峡两岸;股权转让(并购重组);融资融券,17,10,688478,688478.SH
第三代半导体;光伏概念;小米概念;比亚迪概念;专精特新;新能源汽车;锂电池概念;人形机器人;固态电池;碳纤维;小米汽车;氢能源;低空经济;飞行汽车(eVTOL);钠离子电池;沪股通;融资融券,17,17,688598,688598.SH
牙科医疗;3D打印;专精特新;医疗器械概念;人民币贬值受益;智能医疗;阿里巴巴概念;深股通;融资融券,33,9,301580,301580.SZ
物联网;专精特新;智慧城市;核污染防治;水利;新型城镇化;数据要素;数字经济;海工装备;污水处理;AI应用;AIGC概念;碳中和;农机;融资融券,17,15,688671,688671.SH
铜缆高速连接;汽车芯片;芯片概念;智能座舱;数据中心(AIDC);小米概念;比亚迪概念;华为概念;人形机器人;无人驾驶;机器人概念;信创;车联网(车路协同);工业互联网;沪股通;融资融券,17,16,688515,688515.SH
算力租赁;华为欧拉;云计算;信创;智慧政务;东数西算(算力);芯片概念;数据要素;AI智能体;华为概念;数字经济;DeepSeek概念;人工智能;军工;区块链;互联网金融;融资融券,17,17,688227,688227.SH
芯片概念;传感器;卫星导航;商业航天;汽车热管理;无人机;军工;新能源汽车;核电;智慧城市;军民融合;燃料电池;氢能源;天然气;股权转让(并购重组);融资融券,33,16,300943,300943.SZ
AI手机;消费电子概念;卫星导航;商业航天;无人机;大飞机;3D打印;人形机器人;军工;飞行汽车(eVTOL);低空经济;机器人概念;航空发动机;2025年报预增;核电;西部大开发;沪股通;融资融券,17,18,688333,688333.SH
注册制次新股;PCB概念;苹果概念;消费电子概念;比亚迪概念;专精特新;锂电池概念;光伏概念;新能源汽车;POE胶膜;海峡两岸;长三角一体化;深股通;新股与次新股;融资融券,33,15,301687,301687.SZ
军工;可控核聚变;核电;铜缆高速连接;飞行汽车(eVTOL);专精特新;宁德时代概念;新能源汽车;机器人概念;创投;比亚迪概念;人形机器人;高压快充;充电桩;储能;光伏概念;深股通;融资融券,33,18,301310,301310.SZ
中芯国际概念;存储芯片;科创次新股;芯片概念;注册制次新股;高端装备;国企改革;新股与次新股;融资融券,17,9,688729,688729.SH
光刻胶;染料;PCB概念;5G;石墨烯;固态电池;储能;股权转让(并购重组),33,8,300522,300522.SZ
光伏概念;金属回收;2025年报预增;西部大开发;深股通;融资融券,33,6,300861,300861.SZ
柔性屏(折叠屏);专精特新;染料;新股与次新股;融资融券,151,5,920206,920206.BJ
辅助生殖;医疗器械概念;细胞免疫治疗;人民币贬值受益;专精特新;融资融券,17,6,688026,688026.SH
新型工业化;智能物流;智慧城市;物联网;机器人概念;军民融合;区块链;充电桩;液冷服务器;储能;股权转让(并购重组),33,11,300420,300420.SZ
减肥药;CRO概念;重组蛋白;合成生物;创新药;维生素;智能医疗;人工智能;专精特新;沪股通;融资融券,17,11,688131,688131.SH
先进封装;存储芯片;芯片概念;专精特新;新能源汽车;沪股通;融资融券,17,7,688300,688300.SH
先进封装;汽车芯片;芯片概念;中国AI 50;同花顺新质50;数据中心(AIDC);东数西算(算力);国产操作系统;阿里巴巴概念;人工智能;沪股通;融资融券,17,12,688256,688256.SH
存储芯片;先进封装;汽车芯片;芯片概念;汽车电子;专精特新;华为概念;光伏概念;股权转让(并购重组);沪股通;融资融券,17,11,688535,688535.SH
共封装光学(CPO);苹果概念;富士康概念;机器视觉;光纤概念;华为手机;新型工业化;芯片概念;消费电子概念;人形机器人;MR(混合现实);MicroLED概念;空间计算;小米概念;专精特新;虚拟现实;机器人概念;无人机;数据中心(AIDC);华为概念;宁德时代概念;Web3.0;智谱AI;元宇宙;AI视频;光伏概念;人工智能;锂电池概念;AIGC概念;2025年报预增;数字经济;虚拟数字人;沪股通;融资融券,17,34,688400,688400.SH
