股票代码,所属概念,market_code,所属概念数量,code
920193.BJ,PCB概念;芯片概念;新股与次新股;融资融券;锂电池概念,151,5,920193
001248.SZ,注册制次新股;新股与次新股;融资融券;粤港澳大湾区;风电;绿色电力;央企国企改革,33,7,001248
920221.BJ,新能源汽车;专精特新;高压快充;融资融券;减速器,151,5,920221
300163.SZ,建筑节能;专精特新;人民币贬值受益,33,3,300163
301019.SZ,染料;专精特新;POE胶膜;3D打印;消费电子概念;融资融券,33,6,301019
301092.SZ,净水概念;盐湖提锂;核污染防治;减肥药;专精特新;污水处理;稀土永磁;核电;超超临界发电;芯片概念;深股通;融资融券,33,12,301092
688216.SH,存储芯片;先进封装;汽车芯片;MCU芯片;第三代半导体;芯片概念;消费电子概念;5G;传感器;专精特新;粤港澳大湾区;融资融券,17,12,688216
300695.SZ,人形机器人;工业互联网;长安汽车概念;机器人概念;创投;充电桩;新能源汽车;专精特新;比亚迪概念;高压快充;汽车电子;深股通,33,12,300695
301008.SZ,减速器;人形机器人;专精特新;传感器;机器人概念;家用电器;新能源汽车;智能家居;融资融券,33,9,301008
300740.SZ,拼多多概念;跨境电商;DeepSeek概念;网红经济;三胎概念;医美概念;毛发医疗;合成生物;深股通;融资融券,33,10,300740
300071.SZ,小红书概念;AI视频;Web3.0;AI语料;ChatGPT概念;AIGC概念;虚拟数字人;多模态AI;文化传媒概念;AI应用;数据要素;抖音概念(字节概念);百度概念;元宇宙;腾讯概念;数字经济;DeepSeek概念;人工智能;京津冀一体化;华为概念;比亚迪概念;深股通,33,22,300071
688068.SH,重组蛋白;创新药;阿尔茨海默概念;肝炎概念;猴痘概念;流感;智能医疗;医疗器械概念;食品安全;京津冀一体化;人工智能;沪股通;融资融券,17,13,688068
300069.SZ,特高压;燃料电池;智能电网;商业航天;核电;文化传媒概念,33,6,300069
300111.SZ,幽门螺杆菌概念;流感;深股通;股权转让(并购重组),33,4,300111
920699.BJ,家用电器;华为概念;融资融券;东数西算(算力);比亚迪概念,151,5,920699
300931.SZ,智慧城市;物联网;融资融券,33,3,300931
301696.SZ,减速器;人形机器人;注册制次新股;机器人概念;飞行汽车(eVTOL);无人机;军工;低空经济;人民币贬值受益;碳纤维;2026中报预增;深股通;新股与次新股;融资融券,33,14,301696
