market_code,所属概念数量,股票代码,code,所属概念
151,8,920510.BJ,920510,新型工业化;芯片概念;机器人概念;融资融券;专精特新;人形机器人;减速器;新能源汽车
151,4,920211.BJ,920211,专精特新;机器人概念;新股与次新股;融资融券
151,10,920193.BJ,920193,新能源汽车;光刻胶;光伏概念;家用电器;2026中报预增;PCB概念;芯片概念;新股与次新股;融资融券;锂电池概念
151,4,920002.BJ,920002,融资融券;机器人概念;人形机器人;专精特新
151,4,920096.BJ,920096,机器人概念;专精特新;新股与次新股;融资融券
33,13,301199.SZ,301199,新型工业化;长安汽车概念;机器人概念;智能物流;高端装备;工业互联网;人工智能;物联网;新能源汽车;建筑节能;军工;比亚迪概念;融资融券
33,13,300580.SZ,300580,工业母机;人形机器人;新型工业化;华为汽车;机器视觉;机器人概念;特斯拉概念;新能源汽车;比亚迪概念;燃料电池;氢能源;PCB概念;深股通
33,7,300985.SZ,300985,石墨烯;天然气;氢能源;锂电池概念;燃料电池;新能源汽车;融资融券
33,5,300779.SZ,300779,稀土永磁;固废处理;钒电池;融资融券;深股通
33,16,301499.SZ,301499,汽车热管理;专精特新;燃料电池;新能源汽车;传感器;高压快充;氢能源;无人驾驶;消费电子概念;毫米波雷达;汽车电子;芯片概念;天然气;PCB概念;第三代半导体;融资融券
33,11,300912.SZ,300912,人形机器人;汽车热管理;中俄贸易概念;机器人概念;传感器;比亚迪概念;新能源汽车;工业互联网;碳中和;股权转让(并购重组);融资融券
33,15,301379.SZ,301379,存储芯片;MiniLED;消费电子概念;PCB概念;汽车电子;比亚迪概念;智能家居;无人机;海峡两岸;低空经济;长安汽车概念;人工智能;西部大开发;深股通;融资融券
33,10,300718.SZ,300718,人形机器人;汽车热管理;特斯拉概念;机器人概念;专精特新;长三角一体化;风电;核电;融资融券;深股通
33,11,301596.SZ,301596,减速器;人形机器人;新型工业化;机器人概念;新能源汽车;无人机;核电;西部大开发;风电;融资融券;深股通
17,9,688311.SH,688311,军工信息化;卫星导航;军民融合;商业航天;大飞机;军工;西部大开发;沪股通;融资融券
33,15,300018.SZ,300018,电力物联网;柔性直流输电;特高压;智能电网;抽水蓄能;核电;家庭医生;专精特新;智能医疗;血氧仪;水利;基因测序;医疗器械概念;深股通;融资融券
33,11,300129.SZ,300129,商业航天;海工装备;高端装备;专精特新;光伏概念;风电;国企改革;新疆振兴;绿色电力;深股通;融资融券
17,9,688017.SH,688017,减速器;人形机器人;新型工业化;同花顺新质50;机器人概念;专精特新;中国AI 50;沪股通;融资融券
33,6,301051.SZ,301051,柔性屏(折叠屏);智能穿戴;消费电子概念;储能;深股通;融资融券
33,22,300503.SZ,300503,减速器;工业母机;人形机器人;新型工业化;机器人概念;传感器;富士康概念;高端装备;新能源汽车;比亚迪概念;商业航天;专精特新;燃料电池;人工智能;PCB概念;海峡两岸;粤港澳大湾区;芯片概念;氢能源;光伏概念;融资融券;深股通
33,10,300817.SZ,300817,减速器;机器人概念;军工;特斯拉概念;两轮车;专精特新;新能源汽车;商业航天;长三角一体化;风电
17,9,688523.SH,688523,航空发动机;卫星导航;大飞机;商业航天;无人机;低空经济;专精特新;沪股通;融资融券
33,19,300403.SZ,300403,减速器;人形机器人;汽车热管理;机器人概念;家用电器;机器视觉;新能源汽车;智能家居;传感器;腾讯概念;小米概念;一带一路;垃圾分类;粤港澳大湾区;汽车电子;充电桩;高压快充;深股通;融资融券
33,3,300163.SZ,300163,建筑节能;专精特新;人民币贬值受益
33,12,301225.SZ,301225,汽车热管理;华为汽车;PEEK材料;车联网(车路协同);比亚迪概念;专精特新;新能源汽车;医疗器械概念;燃料电池;氢能源;深股通;融资融券
33,9,300777.SZ,300777,碳纤维;军民融合;商业航天;军工;无人机;人形机器人;专精特新;融资融券;深股通
33,20,300660.SZ,300660,减速器;人形机器人;汽车热管理;机器人概念;家用电器;无人驾驶;新能源汽车;比亚迪概念;物联网;华为概念;军工;军民融合;一带一路;宁德时代概念;储能;数据中心(AIDC);液冷服务器;芯片概念;深股通;融资融券
33,11,301368.SZ,301368,减速器;人形机器人;农机;机器人概念;飞行汽车(eVTOL);低空经济;新能源汽车;智能座舱;专精特新;深股通;融资融券
17,11,688636.SH,688636,军工信息化;卫星导航;商业航天;无人机;军工;华为昇腾;专精特新;DeepSeek概念;西部大开发;沪股通;融资融券
151,27,920932.BJ,920932,AI应用;知识产权保护;华为盘古;人形机器人;智慧城市;ERP概念;工业互联网;储能;新型工业化;机器人概念;数字经济;换电概念;碳中和;钠离子电池;融资融券;华为鲲鹏;无人驾驶;机器视觉;智慧政务;专精特新;华为概念;DeepSeek概念;充电桩;人工智能;信创;物联网;5G
33,9,300549.SZ,300549,家用电器;医疗器械概念;长安汽车概念;机器人概念;海峡两岸;减速器;比亚迪概念;新能源汽车;特斯拉概念
17,11,688114.SH,688114,基因测序;脑机接口;智能医疗;AI智能体;合成生物;机器人概念;医疗器械概念;AI应用;重组蛋白;沪股通;融资融券
22,10,688270.SH,688270,6G概念;军工信息化;卫星导航;商业航天;军民融合;军工;无人机;芯片概念;共封装光学(CPO);ST板块
33,27,300607.SZ,300607,人形机器人;工业母机;新型工业化;机器视觉;华为欧拉;机器人概念;智谱AI;飞行汽车(eVTOL);新能源汽车;高端装备;比亚迪概念;华为鲲鹏;低空经济;工业互联网;无人机;人工智能;阿里巴巴概念;华为概念;物联网;富士康概念;粤港澳大湾区;光伏概念;宁德时代概念;一带一路;锂电池概念;融资融券;深股通
17,32,688322.SH,688322,人形机器人;新型工业化;同花顺新质50;MLOps概念;机器视觉;空间计算;传感器;英伟达概念;智能座舱;数字孪生;机器人概念;无人驾驶;3D打印;新能源汽车;人脸识别;虚拟现实;元宇宙;专精特新;消费电子概念;华为概念;智能物流;移动支付;虚拟数字人;东数西算(算力);阿里巴巴概念;人工智能;在线教育;芯片概念;蚂蚁集团概念;粤港澳大湾区;沪股通;融资融券
17,5,688098.SH,688098,动物疫苗;合成生物;创新药;宠物经济;融资融券
33,7,301520.SZ,301520,仿制药一致性评价;创新药;CRO概念;减肥药;食品安全;DeepSeek概念;融资融券
151,8,920578.BJ,920578,新能源汽车;融资融券;新型工业化;机器人概念;西部大开发;工业互联网;专精特新;工业母机
33,12,300695.SZ,300695,人形机器人;工业互联网;长安汽车概念;机器人概念;创投;充电桩;新能源汽车;专精特新;比亚迪概念;高压快充;汽车电子;深股通
33,9,300139.SZ,300139,黄金概念;智能电网;民爆概念;芯片概念;人民币贬值受益;一带一路;绿色电力;深股通;融资融券
151,2,920187.BJ,920187,新股与次新股;融资融券
33,12,300952.SZ,300952,人形机器人;机器人概念;比亚迪概念;商业航天;军工;安防;人民币贬值受益;海工装备;体育产业;石墨烯;深股通;融资融券
151,11,920100.BJ,920100,安防;智能物流;汽车热管理;3D打印;减速器;新股与次新股;融资融券;机器人概念;光伏概念;人形机器人;新型工业化
33,26,301005.SZ,301005,卫星导航;航空发动机;商业航天;大飞机;军工;无人机;低空经济;专精特新;飞行汽车(eVTOL);PEEK材料;小米概念;机器人概念;汽车热管理;比亚迪概念;特斯拉概念;换电概念;新能源汽车;人形机器人;小米汽车;家用电器;华为汽车;创投;智能物流;氢能源;深股通;融资融券
33,10,300809.SZ,300809,人形机器人;工业母机;新型工业化;机器人概念;高端装备;专精特新;第三代半导体;光刻机;一带一路;深股通
151,8,920593.BJ,920593,先进封装;机器人概念;减速器;医疗器械概念;融资融券;专精特新;人形机器人;3D打印
33,13,301232.SZ,301232,航空发动机;商业航天;大飞机;无人机;3D打印;核电;低空经济;专精特新;机器人概念;工业互联网;风电;深股通;融资融券
17,13,688068.SH,688068,重组蛋白;创新药;阿尔茨海默概念;肝炎概念;猴痘概念;流感;智能医疗;医疗器械概念;食品安全;京津冀一体化;人工智能;沪股通;融资融券
33,14,301413.SZ,301413,人形机器人;机器人概念;传感器;无人驾驶;新能源汽车;比亚迪概念;专精特新;华为概念;粤港澳大湾区;储能;创投;汽车芯片;深股通;融资融券
17,8,688661.SH,688661,芯片概念;消费电子概念;英伟达概念;传感器;专精特新;机器人概念;沪股通;融资融券
33,15,300745.SZ,300745,高压快充;汽车电子;无线充电;比亚迪概念;充电桩;储能;新能源汽车;小米汽车;燃料电池;机器人概念;氢能源;长安汽车概念;华为汽车;深股通;融资融券
33,31,301165.SZ,301165,WiFi 6;共封装光学(CPO);6G概念;5G;液冷服务器;中国AI 50;数据中心(AIDC);东数西算(算力);网络安全;小米概念;信创;云办公;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;国资云;工业互联网;AI智能体;新型工业化;人工智能;快手概念;蚂蚁集团概念;AI应用;AIGC概念;数字经济;智能医疗;一带一路;国企改革;深股通;融资融券
17,16,688698.SH,688698,人形机器人;机器视觉;机器人概念;高端装备;新能源汽车;专精特新;智能物流;AI智能体;人工智能;海工装备;储能;医疗器械概念;氢能源;光伏概念;融资融券;沪股通
17,3,688192.SH,688192,创新药;沪股通;融资融券
33,8,301529.SZ,301529,传感器;汽车电子;比亚迪概念;新能源汽车;5G;中俄贸易概念;深股通;融资融券
33,7,300969.SZ,300969,人形机器人;汽车热管理;比亚迪概念;无人驾驶;新能源汽车;深股通;融资融券
151,9,920011.BJ,920011,专精特新;家用电器;机器人概念;小米概念;一带一路;智能家居;参股银行;新股与次新股;融资融券
17,20,688387.SH,688387,6G概念;卫星导航;商业航天;5G;芯片概念;东数西算(算力);专精特新;低空经济;机器视觉;网络安全;物联网;车联网(车路协同);工业互联网;人工智能;DeepSeek概念;AI应用;央企国企改革;国企改革;沪股通;融资融券
33,39,300115.SZ,300115,减速器;人形机器人;华为汽车;特斯拉概念;新型工业化;PEEK材料;机器人概念;传感器;小米概念;新能源汽车;3D打印;无线耳机;虚拟现实;MR(混合现实);无人机;卫星导航;智能穿戴;苹果概念;消费电子概念;AI手机;同花顺果指数;华为概念;AI眼镜;液冷服务器;燃料电池;5G;AI PC;宁德时代概念;充电桩;海峡两岸;粤港澳大湾区;东数西算(算力);储能;芯片概念;锂电池概念;铜缆高速连接;氢能源;深股通;融资融券
33,14,300415.SZ,300415,华为汽车;工业母机;新型工业化;一体化压铸;长安汽车概念;机器人概念;新能源汽车;比亚迪概念;工业互联网;3D打印;消费电子概念;5G;深股通;融资融券
33,6,300878.SZ,300878,民营医院;肝炎概念;流感;创新药;医药电商;融资融券
33,31,300223.SZ,300223,存储芯片;汽车芯片;MCU芯片;MiniLED;OLED;芯片概念;AI眼镜;汽车电子;消费电子概念;毫米波雷达;智能座舱;传感器;智能音箱;小米概念;机器视觉;3D打印;无人驾驶;人脸识别;抖音概念(字节概念);物联网;机器人概念;安防;人民币贬值受益;人工智能;鸿蒙概念;智能家居;区块链;家用电器;京津冀一体化;深股通;融资融券
33,13,301603.SZ,301603,工业母机;液冷服务器;人形机器人;新型工业化;军工;柔性屏(折叠屏);新能源汽车;机器人概念;专精特新;PCB概念;粤港澳大湾区;深股通;融资融券
33,7,301539.SZ,301539,低空经济;飞行汽车(eVTOL);专精特新;商业航天;新能源汽车;比亚迪概念;融资融券
33,21,300487.SZ,300487,盐湖提锂;金属钴;金属镍;小金属概念;锂电池概念;金属回收;比亚迪概念;芯片概念;专精特新;净水概念;固废处理;减肥药;存储芯片;工业大麻;核污染防治;西部大开发;生物疫苗;碳中和;碳交易;融资融券;深股通
33,4,301588.SZ,301588,粤港澳大湾区;人民币贬值受益;商业航天;融资融券
17,4,688310.SH,688310,专精特新;医疗器械概念;高端装备;融资融券
17,11,688716.SH,688716,PEEK材料;人形机器人;机器人概念;3D打印;专精特新;新能源汽车;碳纤维;商业航天;大飞机;医疗器械概念;融资融券
33,7,000656.SZ,000656,托育服务;三胎概念;物业管理;西部大开发;新型城镇化;摘帽;股权转让(并购重组)
17,12,600376.SH,600376,证金持股;租售同权;冰雪产业;物业管理;养老概念;体育产业;融资融券;京津冀一体化;国企改革;雄安新区;新型城镇化;沪股通
33,9,000908.SZ,000908,消毒剂;仿制药一致性评价;眼科医疗;医美概念;流感;创新药;医疗器械概念;基因测序;摘帽
33,7,002677.SZ,002677,净水概念;长三角一体化;智能家居;人工智能;家用电器;无人驾驶;深股通
33,14,002148.SZ,002148,车联网(车路协同);物联网;创投;抖音概念(字节概念);低空经济;京津冀一体化;网络游戏;手机游戏;无人机;机器人概念;5G;芯片概念;融资融券;深股通
33,16,002434.SZ,002434,减速器;农机;一体化压铸;人形机器人;工业互联网;机器人概念;高端装备;新能源汽车;碳中和;碳交易;比亚迪概念;绿色电力;储能;虚拟电厂;深股通;融资融券
33,8,002141.SZ,002141,动物疫苗;广东自贸区;锂电池概念;粤港澳大湾区;创投;独角兽概念;PCB概念;横琴新区
17,20,603327.SH,603327,华为概念;MR(混合现实);西部大开发;国企改革;小米概念;柔性屏(折叠屏);比亚迪概念;新能源汽车;金属回收;特斯拉概念;储能;锂电池概念;消费电子概念;宁德时代概念;5G;苹果概念;AI眼镜;AI手机;2026中报预增;沪股通
17,11,603717.SH,603717,猪肉;生态农业;雄安新区;乡村振兴;PPP概念;特色小镇;西部大开发;锂电池概念;绿色电力;氟化工概念;钠离子电池
33,10,000595.SZ,000595,风电;储能;西部大开发;国企改革;绿色电力;军工;光伏概念;国产航母;摘帽;股权转让(并购重组)
33,3,002700.SZ,002700,天然气;新疆振兴;西部大开发
33,1,002072.SZ,002072,煤炭概念
33,16,002249.SZ,002249,长安汽车概念;人形机器人;家用电器;机器人概念;AIGC概念;新能源汽车;燃料电池;比亚迪概念;氢能源;粤港澳大湾区;充电桩;储能;风电;数据中心(AIDC);深股通;融资融券
17,4,600530.SH,600530,幽门螺杆菌概念;宠物经济;养老概念;沪股通
33,2,002377.SZ,002377,互联网金融;股权转让(并购重组)
17,14,603178.SH,603178,减速器;汽车热管理;飞行汽车(eVTOL);机器人概念;低空经济;长安汽车概念;共同富裕示范区;数字经济;无人驾驶;华为汽车;新能源汽车;比亚迪概念;融资融券;沪股通
17,4,600793.SH,600793,西部大开发;国企改革;食品安全;电子纸
17,13,600592.SH,600592,人形机器人;新能源汽车;大飞机;商业航天;军工;军民融合;海工装备;海峡两岸;风电;国企改革;参股券商;融资融券;沪股通
17,5,603137.SH,603137,装配式建筑;建筑节能;新型城镇化;光伏建筑一体化;融资融券
17,14,603013.SH,603013,长安汽车概念;中俄贸易概念;汽车热管理;一带一路;国企改革;燃料电池;氢能源;新能源汽车;比亚迪概念;储能;专精特新;传感器;汽车电子;沪股通
17,6,603165.SH,603165,污水处理;参股银行;高股息精选;长三角一体化;传感器;芯片概念
17,27,603466.SH,603466,AI视频;手机游戏;ChatGPT概念;空间计算;虚拟数字人;AIGC概念;NFT概念;数字孪生;文化传媒概念;数据要素;IP经济(谷子经济);百度概念;元宇宙;数字经济;抖音概念(字节概念);DeepSeek概念;旅游概念;网红经济;人形机器人;乡村振兴;机器人概念;虚拟现实;华为概念;MR(混合现实);商业航天;融资融券;沪股通
17,28,600143.SH,600143,PEEK材料;人形机器人;特斯拉概念;机器人概念;碳纤维;低空经济;新能源汽车;无人机;氢能源;数字经济;储能;充电桩;锂电池概念;碳中和;固态电池;可降解塑料;创投;商业航天;粤港澳大湾区;光伏概念;东数西算(算力);数据中心(AIDC);医疗器械概念;5G;合成生物;沪股通;融资融券;铜缆高速连接
17,6,600801.SH,600801,水泥概念;雅下水电概念;一带一路;2026一季报预增;沪股通;融资融券
17,8,601069.SH,601069,黄金概念;金属铜;小金属概念;2026一季报预增;西部大开发;国企改革;沪股通;融资融券
17,10,603915.SH,603915,减速器;人形机器人;高端装备;机器人概念;海工装备;水利;固废处理;光伏建筑一体化;融资融券;沪股通
17,6,605068.SH,605068,新能源汽车;比亚迪概念;华为汽车;长安汽车概念;机器人概念;人形机器人
33,13,002664.SZ,002664,人形机器人;华为汽车;特斯拉概念;机器人概念;新能源汽车;比亚迪概念;无人机;低空经济;汽车电子;小米概念;华为概念;深股通;融资融券
17,27,600580.SH,600580,人形机器人;特斯拉概念;机器人概念;飞行汽车(eVTOL);家用电器;工业互联网;智能家居;比亚迪概念;航空发动机;小米概念;新能源汽车;低空经济;阿里巴巴概念;DeepSeek概念;无人机;华为概念;军工;储能;一带一路;氢能源;海工装备;风电;核电;光伏建筑一体化;数据中心(AIDC);沪股通;融资融券
33,32,002396.SZ,002396,WiFi 6;F5G概念;共封装光学(CPO);5G;数据中心(AIDC);网络安全;物联网;华为概念;信创;车联网(车路协同);机器人概念;智能家居;阿里巴巴概念;抖音概念(字节概念);腾讯概念;海峡两岸;脑机接口;数字货币;移动支付;鸿蒙概念;人工智能;福建自贸区;DeepSeek概念;AIGC概念;AI应用;在线教育;互联网金融;文化传媒概念;国企改革;深股通;融资融券;证金持股
33,18,002765.SZ,002765,减速器;华为汽车;长安汽车概念;机器人概念;低空经济;虚拟现实;新能源汽车;智能座舱;军工;比亚迪概念;西部大开发;国企改革;汽车电子;消费电子概念;富士康概念;股权转让(并购重组);深股通;融资融券
33,13,003028.SZ,003028,人形机器人;汽车热管理;机器视觉;机器人概念;智能家居;家用电器;新能源汽车;空气能热泵;汽车电子;储能;光伏概念;智能电网;共封装光学(CPO)
33,5,001337.SZ,001337,黄金概念;西部大开发;国企改革;融资融券;深股通
17,12,603211.SH,603211,毫米波雷达;专精特新;卫星导航;比亚迪概念;人形机器人;新能源汽车;无人驾驶;特斯拉概念;机器人概念;长三角一体化;智能家居;沪股通
17,22,601689.SH,601689,人形机器人;汽车热管理;同花顺新质50;华为汽车;新型工业化;特斯拉概念;一体化压铸;小米汽车;智能座舱;机器人概念;无人驾驶;比亚迪概念;新能源汽车;汽车电子;小米概念;英伟达概念;液冷服务器;中国AI 50;数据中心(AIDC);同花顺出海50;沪股通;融资融券
33,4,002715.SZ,002715,创投;新能源汽车;比亚迪概念;黄金概念
17,6,605189.SH,605189,染料;PEEK材料;机器人概念;人形机器人;储能;2026一季报预增
33,6,300577.SZ,300577,IP经济(谷子经济);体育产业;跨境电商;人民币贬值受益;小米概念;深股通
33,11,002623.SZ,002623,钙钛矿电池;建筑节能;POE胶膜;光伏概念;光伏建筑一体化;一带一路;储能;特斯拉概念;绿色电力;玻璃基板;融资融券
17,7,603338.SH,603338,人民币贬值受益;高端装备;一带一路;机器人概念;军民融合;沪股通;融资融券
17,22,600990.SH,600990,军工信息化;军民融合;大飞机;国产航母;军工;低空经济;卫星导航;商业航天;安防;核电;水利;DeepSeek概念;量子科技;可控核聚变;央企国企改革;新能源汽车;比亚迪概念;国企改革;毫米波雷达;PCB概念;沪股通;融资融券
33,8,002868.SZ,002868,宠物经济;合成生物;POE胶膜;海峡两岸;光伏概念;深股通;摘帽;股权转让(并购重组)
17,16,603286.SH,603286,人形机器人;智能座舱;新型工业化;长安汽车概念;传感器;无人驾驶;机器人概念;比亚迪概念;汽车电子;新能源汽车;专精特新;智能家居;工业互联网;PM2.5;芯片概念;沪股通
17,4,603580.SH,603580,海峡两岸;消费电子概念;人民币贬值受益;摘帽
17,8,600988.SH,600988,金属铅;黄金概念;金属铜;稀土永磁;西部大开发;人民币贬值受益;沪股通;融资融券
17,10,600391.SH,600391,国产航母;航空发动机;大飞机;军工;高端装备;央企国企改革;西部大开发;国企改革;沪股通;融资融券
33,13,001270.SZ,001270,6G概念;卫星导航;商业航天;第三代半导体;军工信息化;军民融合;5G;芯片概念;军工;专精特新;共同富裕示范区;深股通;摘帽
33,17,002353.SZ,002353,数据中心(AIDC);核电;高端装备;海工装备;储能;同花顺出海50;一带一路;锂电池概念;中俄贸易概念;动力电池回收;污水处理;土壤修复;深股通;融资融券;页岩气;天然气;液冷服务器
17,11,600841.SH,600841,农机;工业互联网;换电概念;数据中心(AIDC);无人驾驶;新能源汽车;氢能源;上海国企改革;国企改革;汽车芯片;沪股通
33,4,000576.SZ,000576,军工信息化;军民融合;军工;第三代半导体
33,11,002767.SZ,002767,新型工业化;水利;机器人概念;智慧城市;物联网;DeepSeek概念;传感器;华为概念;毫米波雷达;量子科技;芯片概念
17,2,600769.SH,600769,国企改革;沪股通
17,6,601100.SH,601100,高端装备;无人驾驶;中国AI 50;同花顺漂亮100;沪股通;融资融券
33,18,002747.SZ,002747,工业母机;人形机器人;新型工业化;机器视觉;长安汽车概念;机器人概念;比亚迪概念;高端装备;农机;专精特新;工业互联网;宁德时代概念;智能医疗;光伏概念;养老概念;医疗器械概念;深股通;融资融券
