所属概念数量,股票代码,所属概念,market_code,code
4,920527.BJ,培育钻石;融资融券;专精特新;体育产业,151,920527
19,301516.SZ,换电概念;充电桩;低空经济;核电;新型工业化;粤港澳大湾区;储能;高压快充;燃料电池;光伏概念;比亚迪概念;氢能源;新能源汽车;5G;两轮车;国企改革;深股通;中字头股票;融资融券,33,301516
7,688432.SH,中芯国际概念;存储芯片;芯片概念;硅能源;绿色电力;沪股通;融资融券,17,688432
13,301251.SZ,共封装光学(CPO);PCB概念;富士康概念;MiniLED;5G;汽车电子;专精特新;新型工业化;机器人概念;工业互联网;一带一路;深股通;融资融券,33,301251
17,688261.SH,第三代半导体;芯片概念;5G;液冷服务器;高压快充;数据中心(AIDC);光伏概念;东数西算(算力);充电桩;比亚迪概念;专精特新;储能;新能源汽车;机器人概念;人形机器人;沪股通;融资融券,17,688261
5,688584.SH,芯片概念;专精特新;人民币贬值受益;沪股通;融资融券,17,688584
9,688605.SH,光刻机;中芯国际概念;芯片概念;专精特新;光伏概念;商业航天;医疗器械概念;沪股通;融资融券,17,688605
4,301237.SZ,消费电子概念;碳纤维;光伏概念;融资融券,33,301237
7,300985.SZ,石墨烯;天然气;氢能源;锂电池概念;燃料电池;新能源汽车;融资融券,33,300985
21,300043.SZ,NFT概念;手机游戏;电子竞技;网络游戏;IP经济(谷子经济);文化传媒概念;云游戏;元宇宙;AI应用;跨境电商;抖音概念(字节概念);鸿蒙概念;三胎概念;腾讯概念;人工智能;数字货币;横琴新区;粤港澳大湾区;人民币贬值受益;华为概念;深股通,33,300043
11,688802.SH,科创次新股;先进封装;芯片概念;注册制次新股;东数西算(算力);信创;人工智能;DeepSeek概念;智谱AI;新股与次新股;融资融券,17,688802
15,300745.SZ,高压快充;汽车电子;无线充电;比亚迪概念;充电桩;储能;新能源汽车;小米汽车;燃料电池;机器人概念;氢能源;长安汽车概念;华为汽车;深股通;融资融券,33,300745
9,920627.BJ,人形机器人;人民币贬值受益;锂电池概念;融资融券;新型烟草(电子烟);储能;固态电池;两轮车;消费电子概念,151,920627
7,920122.BJ,国企改革;中字头股票;跨境电商;融资融券;三胎概念;央企国企改革;京津冀一体化,151,920122
6,300717.SZ,可降解塑料;ETC;电子身份证;专精特新;参股银行;煤化工概念,33,300717
18,300276.SZ,新型工业化;长安汽车概念;特斯拉概念;机器人概念;智能物流;高端装备;无人驾驶;工业互联网;比亚迪概念;车联网(车路协同);人工智能;专精特新;军工;宁德时代概念;智能电网;芯片概念;融资融券;深股通,33,300276
17,688596.SH,中芯国际概念;第三代半导体;存储芯片;芯片概念;光纤概念;氟化工概念;光伏概念;专精特新;锂电池概念;储能;高端装备;氢能源;磷化工;医疗器械概念;合成生物;沪股通;融资融券,17,688596
15,000973.SZ,固态电池;锂电池概念;2026一季报预增;宁德时代概念;特高压;比亚迪概念;国企改革;粤港澳大湾区;证金持股;航运概念;OLED;融资融券;AI眼镜;深股通;股权转让(并购重组),33,000973
10,601121.SH,金属铜;金属锌;黄金概念;金属铅;新疆振兴;西部大开发;国企改革;2026中报预增;股权转让(并购重组);沪股通,17,601121
16,600094.SH,算力租赁;数字经济;旅游概念;物业管理;低空经济;东数西算(算力);无人机;数据中心(AIDC);参股保险;卫星导航;商业航天;5G;6G概念;芯片概念;沪股通;融资融券,17,600094
14,603178.SH,减速器;汽车热管理;飞行汽车(eVTOL);机器人概念;低空经济;长安汽车概念;共同富裕示范区;数字经济;无人驾驶;华为汽车;新能源汽车;比亚迪概念;融资融券;沪股通,17,603178
7,001206.SZ,宠物经济;三胎概念;养老概念;跨境电商;京津冀一体化;一带一路;人民币贬值受益,33,001206
7,001311.SZ,一体化压铸;机器人概念;比亚迪概念;特斯拉概念;新能源汽车;减速器;深股通,33,001311
21,002841.SZ,AI应用;人工智能;DeepSeek概念;星闪概念;车联网(车路协同);AIGC概念;智能家居;在线教育;家用电器;智慧政务;机器人概念;云办公;智能座舱;小米概念;物业管理;智能穿戴;AI眼镜;汽车电子;深股通;2026中报预增;融资融券,33,002841
20,002137.SZ,先进封装;芯片概念;汽车电子;消费电子概念;无线耳机;5G;智能穿戴;光伏概念;华为概念;新能源汽车;物联网;抖音概念(字节概念);粤港澳大湾区;智能家居;区块链;数字经济;人民币贬值受益;文化传媒概念;网红经济;深股通,33,002137
4,605399.SH,有机硅概念;硅能源;专精特新;融资融券,17,605399
7,002951.SZ,超级电容;风电;蚂蚁集团概念;储能;数字经济;西部大开发;深股通,33,002951
4,603823.SH,光刻胶;PEEK材料;钠离子电池;沪股通,17,603823
