股票代码,所属概念数量,所属概念,code,market_code
920189.BJ,5,专精特新;MiniLED;新股与次新股;融资融券,920189,151
920857.BJ,6,安防;机器人概念;西部大开发;融资融券;消费电子概念;小米概念,920857,151
300454.SZ,21,云办公;数据安全;信创;云计算;智慧政务;网络安全;ChatGPT概念;中国AI 50;算力租赁;AI智能体;东数西算(算力);AI应用;数据中心(AIDC);DeepSeek概念;物联网;人工智能;英伟达概念;粤港澳大湾区;机器人概念;融资融券;深股通,300454,33
300369.SZ,29,数据安全;网络安全;MLOps概念;云计算;华为鲲鹏;华为欧拉;信创;智慧政务;国产操作系统;AI语料;数字水印;数据确权;腾讯概念;东数西算(算力);阿里巴巴概念;AI智能体;数据要素;区块链;AI应用;车联网(车路协同);DeepSeek概念;数据中心(AIDC);人工智能;独角兽概念;华为概念;工业互联网;京津冀一体化;深股通;融资融券,300369,33
301321.SZ,8,MiniLED;消费电子概念;OLED;MicroLED概念;汽车电子;华为概念;虚拟现实;融资融券,301321,33
301202.SZ,11,液冷服务器;数据中心(AIDC);东数西算(算力);腾讯概念;阿里巴巴概念;换电概念;机器人概念;储能;光纤概念;深股通;融资融券,301202,33
301251.SZ,13,共封装光学(CPO);PCB概念;富士康概念;MiniLED;5G;汽车电子;专精特新;新型工业化;机器人概念;工业互联网;一带一路;深股通;融资融券,301251,33
300017.SZ,23,算力租赁;东数西算(算力);云计算;数据安全;网络安全;华为鲲鹏;多模态AI;数据中心(AIDC);信创;液冷服务器;AI智能体;AIGC概念;元宇宙;虚拟数字人;DeepSeek概念;数字经济;在线教育;人工智能;一带一路;人民币贬值受益;阿尔茨海默概念;深股通;融资融券,300017,33
920090.BJ,11,AI智能体;数据中心(AIDC);ST板块;虚拟现实;职业教育;数字经济;元宇宙;京津冀一体化;互联网金融;MR(混合现实);DeepSeek概念,920090,151
300588.SZ,22,华为鲲鹏;智慧政务;时空大数据;网络安全;信创;数据安全;人脸识别;AI应用;数据要素;安防;智慧城市;数字经济;人工智能;DeepSeek概念;独角兽概念;新疆振兴;机器视觉;西部大开发;专精特新;东数西算(算力);华为概念;股权转让(并购重组),300588,33
688508.SH,17,国家大基金持股;中芯国际概念;汽车芯片;第三代半导体;芯片概念;数据中心(AIDC);高压快充;专精特新;智能电网;充电桩;无人机;人工智能;机器人概念;DeepSeek概念;人形机器人;沪股通;融资融券,688508,17
920207.BJ,34,机器人概念;数据中心(AIDC);人形机器人;乡村振兴;数字乡村;AI应用;AI智能体;鸿蒙概念;融资融券;虚拟现实;虚拟数字人;芯片概念;职业教育;网络安全;空间计算;智能医疗;智慧城市;智慧政务;数据要素;数据安全;数字经济;数字孪生;多模态AI;华为鲲鹏;华为概念;华为昇腾;信创;元宇宙;人工智能;云计算;东数西算(算力);专精特新;AIGC概念;DeepSeek概念,920207,151
688691.SH,13,汽车芯片;存储芯片;MCU芯片;中芯国际概念;芯片概念;5G;卫星导航;小米概念;专精特新;上海自贸区;先进封装;沪股通;融资融券,688691,17
920190.BJ,18,乡村振兴;智能穿戴;跨境电商;融资融券;电子竞技;消费电子概念;星闪概念;无线耳机;多模态AI;信创;人工智能;WiFi 6;IP经济(谷子经济);DeepSeek概念;AI眼镜;AI智能体;AIGC概念;AI PC,920190,151
920699.BJ,5,融资融券;比亚迪概念;华为概念;家用电器;东数西算(算力),920699,151
688361.SH,8,国家大基金持股;中芯国际概念;存储芯片;先进封装;芯片概念;同花顺新质50;沪股通;融资融券,688361,17
