股票代码,code,market_code,所属概念数量,所属概念
601229.SH,601229,17,3,高股息精选;沪股通;融资融券
600640.SH,600640,17,33,AI视频;虚拟数字人;智谱AI;短剧游戏;在线教育;多模态AI;AIGC概念;手机游戏;云计算;文化传媒概念;AI智能体;AI应用;NFT概念;空间计算;数字孪生;阿里巴巴概念;元宇宙;抖音概念(字节概念);IP经济(谷子经济);云游戏;DeepSeek概念;数字经济;人工智能;旅游概念;创投;虚拟现实;国企改革;华为概念;央企国企改革;机器人概念;AI眼镜;融资融券;沪股通
600688.SH,600688,17,9,航运概念;国企改革;氢能源;央企国企改革;碳交易;燃料电池;碳纤维;沪股通;融资融券
300244.SZ,300244,33,27,DRG/DIP;AI应用;细胞免疫治疗;猴痘概念;ChatGPT概念;AIGC概念;AI智能体;数据要素;基因测序;CRO概念;智能医疗;多模态AI;职业教育;DeepSeek概念;三胎概念;养老概念;阿尔茨海默概念;肝炎概念;人工智能;阿里巴巴概念;辅助生殖;共同富裕示范区;医疗器械概念;冷链物流;华为概念;深股通;融资融券
000404.SZ,000404,33,10,家用电器;汽车热管理;冷链物流;智能家居;国企改革;高股息精选;新能源汽车;锂电池概念;融资融券;深股通
300146.SZ,300146,33,8,医药电商;维生素;三胎概念;跨境电商;智能医疗;粤港澳大湾区;深股通;融资融券
002265.SZ,002265,33,18,兵装重组概念;军民融合;西部大开发;长安汽车概念;军工信息化;国企改革;军工;专精特新;机器人概念;央企国企改革;无人机;新能源汽车;无人驾驶;比亚迪概念;汽车电子;融资融券;股权转让(并购重组);深股通
600062.SH,600062,17,13,青蒿素;医药电商;仿制药一致性评价;创新药;减肥药;合成生物;NMN概念;国企改革;智能医疗;央企国企改革;DeepSeek概念;沪股通;融资融券
688114.SH,688114,17,11,基因测序;脑机接口;智能医疗;AI智能体;合成生物;机器人概念;医疗器械概念;AI应用;重组蛋白;沪股通;融资融券
600026.SH,600026,17,14,航运概念;上海自贸区;人民币贬值受益;一带一路;俄乌冲突概念;国企改革;央企国企改革;同花顺中特估100;天然气;证金持股;沪股通;融资融券;2026中报预增;中字头股票
300286.SZ,300286,33,12,电力物联网;传感器;智能电网;数据中心(AIDC);虚拟电厂;充电桩;储能;华为概念;安防;专精特新;人工智能;深股通
002554.SZ,002554,33,15,天然气;俄乌冲突概念;股权转让(并购重组);地下管网;污水处理;碳中和;垃圾分类;国企改革;氢能源;碳交易;一带一路;海工装备;人民币贬值受益;云计算;融资融券
000685.SZ,000685,33,21,参股券商;证金持股;航运概念;国企改革;绿色电力;创投;污水处理;天然气;智慧城市;人工智能;数字经济;虚拟电厂;垃圾分类;固废处理;低空经济;粤港澳大湾区;充电桩;储能;深股通;融资融券;2026中报预增
688180.SH,688180,17,6,创新药;生物疫苗;猴痘概念;AIGC概念;沪股通;融资融券
300678.SZ,300678,33,42,AIGC概念;AI应用;智慧政务;数据要素;AI智能体;华为鲲鹏;多模态AI;数字经济;DeepSeek概念;信创;数据安全;人工智能;智慧城市;阿里巴巴概念;网络安全;智能医疗;人脸识别;脑机接口;烟草;安防;物联网;工业互联网;低空经济;华为概念;机器人概念;新型工业化;医疗器械概念;军工;机器视觉;西部大开发;国企改革;无人驾驶;专精特新;数据中心(AIDC);比亚迪概念;智能穿戴;锂电池概念;新型烟草(电子烟);玻璃基板;融资融券;深股通;中字头股票
000755.SZ,000755,33,7,绿色电力;国企改革;乡村振兴;一带一路;储能;深股通;融资融券
600618.SH,600618,17,7,环氧丙烷;氟化工概念;消毒剂;国企改革;上海国企改革;沪股通;融资融券
002092.SZ,002092,33,16,煤化工概念;消毒剂;煤炭概念;水泥概念;可降解塑料;新疆振兴;西部大开发;国企改革;碳中和;碳交易;石墨烯;跨境电商;一带一路;职业教育;风电;深股通
002602.SZ,002602,33,30,电子竞技;网络游戏;手机游戏;云游戏;NFT概念;IP经济(谷子经济);共同富裕示范区;同花顺出海50;虚拟数字人;元宇宙;AIGC概念;AI应用;长三角一体化;DeepSeek概念;脑机接口;人工智能;人民币贬值受益;腾讯概念;虚拟现实;数据安全;算力租赁;新能源汽车;比亚迪概念;华为概念;东数西算(算力);深股通;数据中心(AIDC);2026中报预增;融资融券;摘帽
600380.SH,600380,17,15,医药电商;创新药;流感;减肥药;猴痘概念;辅助生殖;合成生物;宠物经济;智能医疗;DeepSeek概念;人工智能;腾讯概念;粤港澳大湾区;沪股通;融资融券
000987.SZ,000987,33,14,期货概念;化债概念(AMC概念);参股券商;乡村振兴;国企改革;绿色电力;独角兽概念;创投;风电;粤港澳大湾区;2026一季报预增;深股通;2026中报预增;融资融券
000555.SZ,000555,33,33,网络安全;华为昇腾;数据安全;华为鲲鹏;信创;财税数字化;数字货币;鸿蒙概念;ERP概念;AI智能体;数据要素;阿里巴巴概念;区块链;数字乡村;AI应用;腾讯概念;AIGC概念;量子科技;智慧城市;虚拟数字人;互联网金融;物联网;数字经济;人工智能;DeepSeek概念;跨境支付(CIPS);华为概念;NFT概念;5G;碳中和;碳交易;深股通;融资融券
600199.SH,600199,17,5,白酒概念;啤酒概念;国企改革;融资融券;沪股通
600038.SH,600038,17,15,国企改革;央企国企改革;国产航母;军民融合;黑龙江自贸区;大飞机;飞行汽车(eVTOL);低空经济;军工;高端装备;无人机;核电;沪股通;融资融券;中字头股票
000061.SZ,000061,33,15,农村电商;统一大市场;农业种植;证金持股;乡村振兴;冷链物流;国企改革;深圳国企改革;农机;区块链;食品安全;粤港澳大湾区;2026一季报预增;深股通;融资融券
000631.SZ,000631,33,7,物业管理;绿色电力;风电;证金持股;储能;深股通;融资融券
300525.SZ,300525,33,26,财税数字化;智慧政务;云计算;信创;AI应用;数据要素;AI智能体;移动支付;腾讯概念;数字货币;网络安全;数字乡村;互联网金融;数字经济;DeepSeek概念;智慧城市;人工智能;中国AI 50;华为概念;智能医疗;机器人概念;海峡两岸;福建自贸区;乡村振兴;融资融券;深股通
300458.SZ,300458,33,33,MCU芯片;汽车芯片;存储芯片;中芯国际概念;芯片概念;AI眼镜;智能穿戴;汽车电子;智能座舱;小米概念;EDR概念;东数西算(算力);华为概念;机器视觉;物联网;虚拟现实;无人驾驶;车联网(车路协同);腾讯概念;百度概念;阿里巴巴概念;智能家居;机器人概念;2026一季报预增;人工智能;长安汽车概念;家用电器;DeepSeek概念;创投;横琴新区;深股通;2026中报预增;融资融券
688351.SH,688351,17,5,医疗器械概念;智能医疗;专精特新;沪股通;融资融券
601012.SH,601012,17,18,硅能源;HJT电池;BC电池;TOPCON电池;光伏建筑一体化;钙钛矿电池;光伏概念;同花顺漂亮100;绿色电力;百度概念;氢能源;西部大开发;储能;证金持股;华为概念;沪股通;融资融券;特斯拉概念
301061.SZ,301061,33,7,养老概念;同花顺出海50;一带一路;人民币贬值受益;智能家居;深股通;融资融券
002941.SZ,002941,33,17,PPP概念;新型城镇化;土地流转;水利;一带一路;新疆振兴;国企改革;西部大开发;AI智能体;人工智能;ETC;风电;智慧灯杆;商业航天;卫星导航;融资融券;深股通
