股票代码,所属概念,market_code,code,所属概念数量
920065.BJ,人民币贬值受益,151,920065,8
300169.SZ,建筑节能;露营经济;锂电池概念;医疗器械概念;华为概念;军工;新能源汽车;小米概念;风电;柔性屏(折叠屏);OLED,33,300169,11
300359.SZ,职业教育;在线教育;数字经济;DeepSeek概念;人工智能;三胎概念;创投;横琴新区,33,300359,8
300333.SZ,芯片概念;数字货币;网络安全;信创;数据安全;移动支付;鸿蒙概念;数字经济;数据要素;互联网金融;融资融券,33,300333,11
300530.SZ,钠离子电池;锂电池概念;储能;国企改革;充电桩;高压快充;新能源汽车;深股通,33,300530,8
301112.SZ,新型工业化;一体化压铸;机器视觉;长安汽车概念;智能物流;机器人概念;高端装备;比亚迪概念;新能源汽车;工业互联网;人民币贬值受益;军工;航空发动机;无人机;粤港澳大湾区;汽车电子;光伏概念;储能;芯片概念;MCU芯片;汽车芯片;股权转让(并购重组);融资融券,33,301112,23
300997.SZ,乳业;网红经济;广东自贸区;乡村振兴;参股银行;拼多多概念;创投;粤港澳大湾区;代糖概念;深股通;融资融券,33,300997,11
688260.SH,光纤概念;消费电子概念;汽车电子;华为概念;无人驾驶;融资融券,17,688260,6
300981.SZ,宠物经济;医疗器械概念;智能医疗;核污染防治;国企改革;人民币贬值受益;专精特新;融资融券;深股通,33,300981,10
301139.SZ,ST板块;AI应用;数字乡村;数字经济;数据要素;车联网(车路协同);京津冀一体化;人工智能;智慧城市;机器人概念;西部大开发;算力租赁;华为概念;东数西算(算力);充电桩;储能;光伏概念;5G,33,301139,18
920786.BJ,玉米;乡村振兴;融资融券;农机;乳业;西部大开发;农业种植;三胎概念,151,920786,8
920779.BJ,高股息精选;宁德时代概念;消费电子概念;融资融券;比亚迪概念;固态电池;锂电池概念,151,920779,7
688685.SH,传感器;共封装光学(CPO);东数西算(算力);商业航天;专精特新;算力租赁;无人机;军工;航空发动机;高端装备;军民融合;人工智能;DeepSeek概念;独角兽概念;智能医疗;沪股通;融资融券,17,688685,17
300492.SZ,AI应用;职业教育;人工智能;在线教育;西部大开发;融资融券;深股通,33,300492,7
300010.SZ,托育服务;ST板块;财税数字化;语音技术;在线教育;智慧政务;旅游概念;AI应用;AI视频;智谱AI;AIGC概念;PPP概念;京津冀一体化;AI智能体;信创;百度概念;DeepSeek概念;人工智能;腾讯概念;机器人概念,33,300010,20
688825.SH,芯片概念;国家大基金持股;存储芯片;人民币贬值受益,17,688825,13
300933.SZ,智能电网;特高压;充电桩;东数西算(算力);算力租赁;高压快充;专精特新;机器人概念;光伏概念;融资融券,33,300933,10
300892.SZ,乳业;网红经济;三胎概念;啤酒概念;融资融券,33,300892,5
300328.SZ,柔性屏(折叠屏);人形机器人;小米概念;特斯拉概念;AI眼镜;智能穿戴;一体化压铸;智能座舱;消费电子概念;毫米波雷达;新能源汽车;比亚迪概念;商业航天;5G;华为概念;宁德时代概念;人工智能;医疗器械概念;有机硅概念;国企改革;深股通;融资融券,33,300328,22
688596.SH,中芯国际概念;第三代半导体;存储芯片;芯片概念;光纤概念;氟化工概念;光伏概念;专精特新;锂电池概念;储能;高端装备;氢能源;磷化工;医疗器械概念;合成生物;沪股通;融资融券,17,688596,17
688131.SH,减肥药;CRO概念;重组蛋白;合成生物;创新药;维生素;智能医疗;人工智能;专精特新;沪股通;融资融券,17,688131,11
688280.SH,两轮车;无人驾驶;减速器;专精特新;新能源汽车;比亚迪概念;汽车电子;融资融券,17,688280,8
301583.SZ,高端装备;先进封装;存储芯片;新股与次新股;注册制次新股;融资融券;专精特新;芯片概念,33,301583,8
002514.SZ,ST板块;养老概念;换电概念;人形机器人;充电桩;机器人概念;智能电网;高压快充;碳中和;华为概念;华为数字能源;一带一路;污水处理;新能源汽车;储能;HJT电池;高端装备;光伏概念;钙钛矿电池;工业母机;TOPCON电池,33,002514,21
300898.SZ,乳业;网红经济;三胎概念;自由贸易港;融资融券,33,300898,5
601003.SH,国企改革;乡村振兴;西部大开发;养老概念;沪股通;融资融券,17,601003,6
605388.SH,幽门螺杆菌概念;乳业;跨境电商;三胎概念;白酒概念,17,605388,5
600227.SH,化肥;煤化工概念;煤炭概念;民营医院;阿尔茨海默概念;乡村振兴;仿制药一致性评价;西部大开发;医疗器械概念;创投;沪股通,17,600227,11
600429.SH,乳业;三胎概念;国企改革;京津冀一体化;沪股通,17,600429,5
600228.SH,人工智能;DeepSeek概念;苹果概念;小米概念;AI智能体;小红书概念;抖音概念(字节概念);拼多多概念;百度概念;AI应用;摘帽,17,600228,11
000428.SZ,预制菜;物业管理;职业教育;国企改革;股权转让(并购重组);融资融券,33,000428,6
000826.SZ,垃圾分类;土壤修复;污水处理;新型城镇化;新能源汽车;ST板块;固废处理;PPP概念;地下管网;碳中和;雄安新区;新疆振兴;生物质能发电;数字经济;乡村振兴;无人驾驶;人工智能;智慧城市;锂电池概念;车联网(车路协同);动力电池回收;绿色电力;多模态AI,33,000826,23
002607.SZ,职业教育;乡村振兴;旅游概念;在线教育;虚拟数字人;AI应用;AIGC概念;DeepSeek概念;人工智能;阿里巴巴概念;百度概念;超级品牌;融资融券;深股通,33,002607,14
002726.SZ,预制菜;猪肉;ST板块,33,002726,3
605337.SH,乳业;啤酒概念;养老概念;高股息精选;共同富裕示范区;沪股通,17,605337,6
600722.SH,煤化工概念;国企改革;京津冀一体化;风电;融资融券;沪股通,17,600722,6
