所属概念,所属概念数量,market_code,code,股票代码
新股与次新股;融资融券;粤港澳大湾区;消费电子概念;芯片概念;物联网;智能穿戴;无线耳机;小米概念,9.0,151,920138,920138.BJ
参股银行;物联网;无人驾驶;融资融券;机器人概念;无人机;一带一路;专精特新,8.0,151,920856,920856.BJ
跨境电商;融资融券;预制菜;人民币贬值受益,4.0,151,920826,920826.BJ
光纤概念;共封装光学(CPO);光刻机;存储芯片;先进封装;OLED;MicroLED概念;芯片概念;消费电子概念;可控核聚变;3D打印;MR(混合现实);智能座舱;无人驾驶;机器视觉;虚拟现实;医美概念;西部大开发;沪股通;融资融券,20.0,17,688167,688167.SH
科创次新股;光纤概念;注册制次新股;数据中心(AIDC);东数西算(算力);华为概念;商业航天;专精特新;军工;新股与次新股;融资融券,11.0,17,688635,688635.SH
互联网金融;AI应用;AIGC概念;数据要素;AI智能体;DeepSeek概念;ERP概念;数字经济;人工智能;工业互联网;烟草;智能物流;机器人概念;新型工业化;华为概念;机器视觉;无人驾驶;数据中心(AIDC);融资融券,19.0,33,301315,301315.SZ
传感器;商业航天;专精特新;毫米波雷达;华为概念;智慧城市;芯片概念;军工;PM2.5;碳中和;PPP概念;融资融券,12.0,33,300862,300862.SZ
宠物经济;智能医疗;医疗器械概念;水利;人工智能;人民币贬值受益;核电;机器人概念;专精特新;深股通;融资融券,11.0,33,301602,301602.SZ
股权转让(并购重组);土壤修复;垃圾分类;PPP概念;地下管网;农业种植;智慧城市;污水处理;雄安新区;水利;碳中和;新型城镇化;旅游概念;乡村振兴;深股通;国企改革;一带一路;充电桩;央企国企改革;粤港澳大湾区;融资融券,21.0,33,300197,300197.SZ
专精特新;智慧城市;数据要素;工业互联网;AI智能体;人工智能;芯片概念;DeepSeek概念;AI应用;第三代半导体;空气能热泵;碳中和;新型城镇化;新疆振兴;融资融券,15.0,33,301129,301129.SZ
先进封装;存储芯片;芯片概念;专精特新;新能源汽车;沪股通;融资融券,7.0,17,688300,688300.SH
血氧仪;横琴新区;智能医疗;智能穿戴;医疗器械概念;三胎概念;民营医院,7.0,33,300246,300246.SZ
空间计算;信创;数字孪生;AI智能体;AI应用;数据要素;人工智能;DeepSeek概念;职业教育;建筑节能;装配式建筑;房屋检测;新型城镇化;数据中心(AIDC);一带一路;光伏概念;风电;融资融券,18.0,33,300935,300935.SZ
股权转让(并购重组);横琴新区;ST板块;氢能源;虚拟数字人;在线教育;智慧城市;智能物流;智慧政务;AI智能体;安防;信创;华为概念;东数西算(算力);数据中心(AIDC);算力租赁;军工,17.0,33,300167,300167.SZ
5G;充电桩;新能源汽车;工业母机;医疗器械概念;股权转让(并购重组),6.0,33,300615,300615.SZ
融资融券;高端装备;烟草;工业母机,4.0,151,920553,920553.BJ
人形机器人;工业母机;新型工业化;机器人概念;比亚迪概念;传感器;工业互联网;专精特新;人工智能;华为概念;富士康概念;宁德时代概念;锂电池概念;芯片概念;沪股通;融资融券,16.0,17,688320,688320.SH
光纤概念;共封装光学(CPO);芯片概念;专精特新;特高压;商业航天;汽车热管理;军工;海工装备;DeepSeek概念;沪股通;融资融券,12.0,17,688143,688143.SH
特斯拉概念;机器人概念;家用电器;军工;新能源汽车;医药电商;国企改革,7.0,33,300626,300626.SZ
共封装光学(CPO);液冷服务器;AI眼镜;小米概念;华为概念;脑机接口;一带一路;医疗器械概念;新能源汽车;消费电子概念;沪股通;融资融券,12.0,17,688371,688371.SH
核污染防治;专精特新;海峡两岸;核电;福建自贸区;新型城镇化;污水处理;深股通;融资融券,9.0,33,301148,301148.SZ
ST板块;生物疫苗;重组蛋白,3.0,151,920575,920575.BJ
