所属同花顺行业,market_code,code,股票代码
建筑材料-建筑材料-耐火材料,151,920076,920076.BJ
机械设备-专用设备-其他专用设备,151,920014,920014.BJ
建筑装饰-建筑装饰-工程咨询服务,151,920427,920427.BJ
医药生物-中药-中药Ⅲ,33,300391,300391.SZ
商贸零售-互联网电商-互联网电商Ⅲ,33,300592,300592.SZ
电子-光学光电子-光学元件,17,688195,688195.SH
建筑材料-建筑材料-其他建材,33,300737,300737.SZ
电子-半导体-模拟芯片设计,17,688699,688699.SH
计算机-软件开发-横向通用软件,33,300454,300454.SZ
计算机-IT服务-IT服务Ⅲ,17,688316,688316.SH
国防军工-军工装备-航空装备,33,300775,300775.SZ
基础化工-化学制品-其他化学制品,33,301286,301286.SZ
机械设备-通用设备-金属制品,33,300828,300828.SZ
电力设备-光伏设备-逆变器,17,688390,688390.SH
计算机-软件开发-垂直应用软件,33,300344,300344.SZ
计算机-IT服务-IT服务Ⅲ,33,300277,300277.SZ
有色金属-金属新材料-其他金属新材料,151,920576,920576.BJ
电子-半导体-模拟芯片设计,33,300671,300671.SZ
机械设备-专用设备-能源及重型设备,33,300435,300435.SZ
电力设备-光伏设备-光伏加工设备,17,688516,688516.SH
国防军工-军工装备-航空装备,33,300696,300696.SZ
国防军工-军工装备-航空装备,33,300034,300034.SZ
家用电器-白色家电-家电零部件,33,300342,300342.SZ
计算机-IT服务-IT服务Ⅲ,17,688158,688158.SH
电子-半导体-数字芯片设计,17,688595,688595.SH
计算机-IT服务-IT服务Ⅲ,33,300020,300020.SZ
医药生物-医疗器械-医疗设备,33,300246,300246.SZ
机械设备-通用设备-金属制品,151,920943,920943.BJ
电力设备-其他电源设备-其他电源设备Ⅲ,33,300153,300153.SZ
环保-环境治理-固废治理,17,688679,688679.SH
电子-消费电子-消费电子零部件及组装,33,300136,300136.SZ
电子-光学光电子-面板,33,301321,301321.SZ
建筑材料-建筑材料-水泥,17,601992,601992.SH
机械设备-专用设备-印刷包装机械,33,300521,300521.SZ
电力设备-电网设备-线缆部件及其他,33,301439,301439.SZ
石油石化-油气开采及服务-油气开采,17,600759,600759.SH
机械设备-专用设备-能源及重型设备,17,601106,601106.SH
交通运输-物流-物流Ⅲ,33,000927,000927.SZ
石油石化-油气开采及服务-油气开采,33,000968,000968.SZ
电子-其他电子-其他电子Ⅲ,33,000670,000670.SZ
房地产-房地产-住宅开发,33,000036,000036.SZ
纺织服饰-服装家纺-鞋帽及其他,17,603608,603608.SH
电力设备-电网设备-线缆部件及其他,33,002471,002471.SZ
机械设备-专用设备-能源及重型设备,17,601608,601608.SH
国防军工-军工装备-航空装备,17,688586,688586.SH
