code,股票代码,market_code,所属同花顺行业
688785,688785.SH,17,电子-半导体-半导体设备
920159,920159.BJ,151,基础化工-农化制品-复合肥
300798,300798.SZ,33,基础化工-化学制品-纺织化学用品
300164,300164.SZ,33,石油石化-油气开采及服务-油服工程
301500,301500.SZ,33,环保-环境治理-固废治理
300139,300139.SZ,33,有色金属-贵金属-贵金属Ⅲ
301177,301177.SZ,33,纺织服饰-服装家纺-饰品
688216,688216.SH,17,电子-半导体-集成电路封测
300945,300945.SZ,33,纺织服饰-服装家纺-饰品
688380,688380.SH,17,电子-半导体-数字芯片设计
300191,300191.SZ,33,石油石化-油气开采及服务-油气开采
688435,688435.SH,17,计算机-软件开发-横向通用软件
688172,688172.SH,17,电子-半导体-分立器件
300870,300870.SZ,33,电力设备-其他电源设备-其他电源设备Ⅲ
300344,300344.SZ,33,计算机-软件开发-垂直应用软件
688283,688283.SH,17,通信-通信设备-其他通信设备
301026,301026.SZ,33,有色金属-小金属-其他小金属
920088,920088.BJ,151,石油石化-油气开采及服务-油服工程
920019,920019.BJ,151,建筑装饰-建筑装饰-专业工程
300017,300017.SZ,33,计算机-IT服务-IT服务Ⅲ
300588,300588.SZ,33,计算机-计算机设备-安防设备
688766,688766.SH,17,电子-半导体-数字芯片设计
688272,688272.SH,17,国防军工-军工电子-军工电子Ⅲ
300436,300436.SZ,33,医药生物-化学制药-化学制剂
300818,300818.SZ,33,机械设备-专用设备-能源及重型设备
300765,300765.SZ,33,医药生物-化学制药-原料药
688699,688699.SH,17,电子-半导体-模拟芯片设计
688191,688191.SH,17,计算机-IT服务-IT服务Ⅲ
300373,300373.SZ,33,电子-半导体-分立器件
920634,920634.BJ,151,有色金属-工业金属-铅锌
301218,301218.SZ,33,计算机-IT服务-IT服务Ⅲ
688646,688646.SH,22,机械设备-自动化设备-激光设备
688210,688210.SH,17,电子-消费电子-消费电子零部件及组装
300967,300967.SZ,33,农林牧渔-养殖业-肉鸡养殖
603077,603077.SH,17,基础化工-农化制品-磷肥及磷化工
600871,600871.SH,17,石油石化-油气开采及服务-油服工程
002160,002160.SZ,33,有色金属-工业金属-铝
000751,000751.SZ,33,有色金属-工业金属-铅锌
000620,000620.SZ,33,房地产-房地产-住宅开发
600313,600313.SH,17,农林牧渔-种植业与林业-种子生产
600916,600916.SH,17,纺织服饰-服装家纺-饰品
002724,002724.SZ,33,电子-光学光电子-LED
601212,601212.SH,17,有色金属-工业金属-铜
600490,600490.SH,17,有色金属-工业金属-铜
600170,600170.SH,17,建筑装饰-建筑装饰-房屋建设
603900,603900.SH,17,纺织服饰-服装家纺-饰品
002440,002440.SZ,33,基础化工-化学制品-纺织化学用品
002721,002721.SZ,33,纺织服饰-服装家纺-饰品
603958,603958.SH,17,纺织服饰-服装家纺-鞋帽及其他
002169,002169.SZ,33,电力设备-电网设备-电气自控设备
000758,000758.SZ,33,有色金属-工业金属-铅锌
601600,601600.SH,17,有色金属-工业金属-铝
000878,000878.SZ,33,有色金属-工业金属-铜
002119,002119.SZ,33,电子-半导体-半导体材料
603132,603132.SH,17,有色金属-工业金属-铅锌
001376,001376.SZ,33,公用事业-电力-热力
002114,002114.SZ,33,有色金属-工业金属-铅锌
600655,600655.SH,17,商贸零售-零售-商业物业经营
002237,002237.SZ,33,有色金属-贵金属-贵金属Ⅲ
000815,000815.SZ,33,通信-通信服务-通信应用增值服务
600987,600987.SH,17,纺织服饰-纺织制造-印染
000630,000630.SZ,33,有色金属-工业金属-铜
600961,600961.SH,17,有色金属-工业金属-铅锌
000506,000506.SZ,33,有色金属-贵金属-贵金属Ⅲ
603988,603988.SH,17,电力设备-电机-电机Ⅲ
600459,600459.SH,17,有色金属-小金属-其他小金属
000603,000603.SZ,33,有色金属-工业金属-铅锌
603680,603680.SH,17,机械设备-轨交设备-轨交设备Ⅲ
600489,600489.SH,17,有色金属-贵金属-贵金属Ⅲ
600230,600230.SH,17,基础化工-化学制品-聚氨酯
600531,600531.SH,17,有色金属-工业金属-铅锌
001360,001360.SZ,33,机械设备-专用设备-能源及重型设备
001337,001337.SZ,33,有色金属-贵金属-贵金属Ⅲ
600740,600740.SH,17,煤炭-煤炭开采加工-焦炭加工
603256,603256.SH,17,电子-电子化学品-电子化学品Ⅲ
601702,601702.SH,17,有色金属-工业金属-铝
603619,603619.SH,17,石油石化-油气开采及服务-油气开采
000060,000060.SZ,33,有色金属-工业金属-铅锌
603601,603601.SH,17,建筑材料-建筑材料-玻璃玻纤
000737,000737.SZ,33,有色金属-工业金属-铜
003042,003042.SZ,33,基础化工-农化制品-农药
600988,600988.SH,17,有色金属-贵金属-贵金属Ⅲ
600759,600759.SH,17,石油石化-油气开采及服务-油气开采
002155,002155.SZ,33,有色金属-贵金属-贵金属Ⅲ
601799,601799.SH,17,汽车-汽车零部件-车身附件及饰件
000962,000962.SZ,33,有色金属-小金属-其他小金属
603052,603052.SH,17,电子-消费电子-消费电子零部件及组装
600262,600262.SH,17,机械设备-专用设备-能源及重型设备
600352,600352.SH,17,基础化工-化学制品-纺织化学用品
002342,002342.SZ,33,机械设备-通用设备-金属制品
002842,002842.SZ,33,有色金属-小金属-钨
002080,002080.SZ,33,建筑材料-建筑材料-玻璃玻纤
000807,000807.SZ,33,有色金属-工业金属-铝
601069,601069.SH,17,有色金属-贵金属-贵金属Ⅲ
002455,002455.SZ,33,基础化工-化学制品-其他化学制品
002667,002667.SZ,33,有色金属-能源金属-锂
600869,600869.SH,17,电力设备-电网设备-线缆部件及其他
605599,605599.SH,17,纺织服饰-服装家纺-饰品
002532,002532.SZ,33,有色金属-工业金属-铝
000573,000573.SZ,33,房地产-房地产-住宅开发
002716,002716.SZ,33,有色金属-贵金属-贵金属Ⅲ
600547,600547.SH,17,有色金属-贵金属-贵金属Ⅲ
601388,601388.SH,17,有色金属-工业金属-铝
002207,002207.SZ,33,石油石化-油气开采及服务-油服工程
000599,000599.SZ,33,汽车-汽车零部件-轮胎轮毂
600219,600219.SH,17,有色金属-工业金属-铝
603188,603188.SH,17,基础化工-化学制品-纺织化学用品
601068,601068.SH,17,建筑装饰-建筑装饰-专业工程
601015,601015.SH,17,煤炭-煤炭开采加工-焦炭加工
002578,002578.SZ,33,有色金属-工业金属-铝
603993,603993.SH,17,有色金属-工业金属-铜
603599,603599.SH,17,基础化工-农化制品-农药
000933,000933.SZ,33,有色金属-工业金属-铝
600595,600595.SH,17,有色金属-工业金属-铝
300820,300820.SZ,33,电力设备-其他电源设备-其他电源设备Ⅲ
000426,000426.SZ,33,有色金属-小金属-其他小金属
301606,301606.SZ,33,电子-消费电子-品牌消费电子
002379,002379.SZ,33,有色金属-工业金属-铝
600497,600497.SH,17,有色金属-工业金属-铅锌
300671,300671.SZ,33,电子-半导体-模拟芯片设计
600481,600481.SH,17,电力设备-光伏设备-硅料硅片
600612,600612.SH,17,纺织服饰-服装家纺-饰品
002648,002648.SZ,33,基础化工-化学制品-其他化学制品
301086,301086.SZ,33,电子-消费电子-消费电子零部件及组装
002064,002064.SZ,33,基础化工-化学纤维-氨纶
688668,688668.SH,17,通信-通信设备-通信网络设备及器件
601699,601699.SH,17,煤炭-煤炭开采加工-煤炭开采
600301,600301.SH,17,有色金属-小金属-其他小金属
000629,000629.SZ,33,钢铁-钢铁-冶钢原料
300938,300938.SZ,33,社会服务-其他社会服务-专业服务
000975,000975.SZ,33,有色金属-贵金属-贵金属Ⅲ
603578,603578.SH,17,家用电器-白色家电-家电零部件
603685,603685.SH,17,电子-光学光电子-LED
301446,301446.SZ,33,机械设备-工程机械-工程机械Ⅲ
688205,688205.SH,17,通信-通信设备-通信网络设备及器件
002867,002867.SZ,33,纺织服饰-服装家纺-饰品
300697,300697.SZ,33,有色金属-工业金属-铜
301178,301178.SZ,33,计算机-IT服务-IT服务Ⅲ
300127,300127.SZ,33,有色金属-金属新材料-磁性材料
002378,002378.SZ,33,有色金属-小金属-钨
601001,601001.SH,17,煤炭-煤炭开采加工-煤炭开采
601168,601168.SH,17,有色金属-工业金属-铜
600618,600618.SH,17,基础化工-化学原料-氯碱
002851,002851.SZ,33,电力设备-其他电源设备-其他电源设备Ⅲ
605289,605289.SH,17,建筑装饰-建筑装饰-装饰园林
002353,002353.SZ,33,机械设备-专用设备-能源及重型设备
300570,300570.SZ,33,通信-通信设备-通信网络设备及器件
300375,300375.SZ,33,汽车-汽车零部件-底盘与发动机系统
601969,601969.SH,17,钢铁-钢铁-冶钢原料
601061,601061.SH,17,商贸零售-贸易-贸易Ⅲ
920403,920403.BJ,151,农林牧渔-种植业与林业-种子生产
688368,688368.SH,17,电子-半导体-模拟芯片设计
002998,002998.SZ,33,基础化工-化学纤维-涤纶
301123,301123.SZ,33,电子-消费电子-消费电子零部件及组装
920061,920061.BJ,151,机械设备-专用设备-其他专用设备
000612,000612.SZ,33,有色金属-工业金属-铝
688027,688027.SH,17,通信-通信设备-通信终端及配件
002731,002731.SZ,33,纺织服饰-服装家纺-饰品
002318,002318.SZ,33,钢铁-钢铁-特钢
605376,605376.SH,17,有色金属-能源金属-镍
001280,001280.SZ,33,有色金属-小金属-其他小金属
603061,603061.SH,17,电子-半导体-半导体设备
601958,601958.SH,17,有色金属-小金属-钼
688530,688530.SH,17,电子-半导体-半导体材料
300619,300619.SZ,33,电力设备-电池-锂电专用设备
601118,601118.SH,17,农林牧渔-种植业与林业-其他种植业
301396,301396.SZ,33,计算机-IT服务-IT服务Ⅲ
002144,002144.SZ,33,纺织服饰-纺织制造-其他纺织
600888,600888.SH,17,有色金属-工业金属-铝
000655,000655.SZ,33,钢铁-钢铁-冶钢原料
600938,600938.SH,17,石油石化-油气开采及服务-油气开采
688123,688123.SH,17,电子-半导体-数字芯片设计
002536,002536.SZ,33,汽车-汽车零部件-底盘与发动机系统
300618,300618.SZ,33,有色金属-能源金属-钴
920471,920471.BJ,151,基础化工-化学制品-其他化学制品
301141,301141.SZ,33,有色金属-金属新材料-磁性材料
601869,601869.SH,17,通信-通信设备-通信线缆及配套
002128,002128.SZ,33,煤炭-煤炭开采加工-煤炭开采
000554,000554.SZ,33,石油石化-石油加工贸易-油品石化贸易
603663,603663.SH,17,基础化工-非金属材料-非金属材料Ⅲ
000830,000830.SZ,33,基础化工-化学原料-煤化工
688416,688416.SH,17,电子-半导体-数字芯片设计
002552,002552.SZ,33,电子-元件-印制电路板
601121,601121.SH,17,钢铁-钢铁-冶钢原料
601020,601020.SH,17,有色金属-工业金属-铅锌
300720,300720.SZ,33,机械设备-通用设备-仪器仪表
002149,002149.SZ,33,有色金属-小金属-其他小金属
300293,300293.SZ,33,机械设备-专用设备-其他专用设备
920087,920087.BJ,151,农林牧渔-种植业与林业-种子生产
603196,603196.SH,17,纺织服饰-服装家纺-服装
002837,002837.SZ,33,机械设备-专用设备-其他专用设备
002782,002782.SZ,33,电子-其他电子-其他电子Ⅲ
601677,601677.SH,17,有色金属-工业金属-铝
688508,688508.SH,17,电子-半导体-模拟芯片设计
002757,002757.SZ,33,机械设备-专用设备-其他专用设备
600176,600176.SH,17,建筑材料-建筑材料-玻璃玻纤
601011,601011.SH,17,煤炭-煤炭开采加工-焦炭加工
600392,600392.SH,17,有色金属-小金属-稀土
600460,600460.SH,17,电子-半导体-分立器件
688485,688485.SH,17,环保-环境治理-综合环境治理
300548,300548.SZ,33,通信-通信设备-通信网络设备及器件
300656,300656.SZ,33,电子-其他电子-其他电子Ⅲ
603588,603588.SH,17,环保-环境治理-固废治理
688392,688392.SH,17,电力设备-电池-锂电专用设备
601233,601233.SH,17,基础化工-化学纤维-涤纶
002467,002467.SZ,33,通信-通信服务-通信应用增值服务
603980,603980.SH,17,基础化工-化学制品-纺织化学用品
688448,688448.SH,17,机械设备-通用设备-其他通用设备
920438,920438.BJ,151,电子-光学光电子-光学元件
920402,920402.BJ,151,电子-电子化学品-电子化学品Ⅲ
000031,000031.SZ,33,房地产-房地产-商业地产
688347,688347.SH,17,电子-半导体-集成电路制造
605337,605337.SH,17,食品饮料-饮料制造-软饮料
603929,603929.SH,17,建筑装饰-建筑装饰-专业工程
300223,300223.SZ,33,电子-半导体-数字芯片设计
688130,688130.SH,17,电子-半导体-模拟芯片设计
301526,301526.SZ,33,建筑材料-建筑材料-玻璃玻纤
688233,688233.SH,17,电子-半导体-半导体材料
002170,002170.SZ,33,基础化工-农化制品-复合肥
600058,600058.SH,17,商贸零售-贸易-贸易Ⅲ
002831,002831.SZ,33,轻工制造-包装印刷-包装
600362,600362.SH,17,有色金属-工业金属-铜
600108,600108.SH,17,农林牧渔-种植业与林业-其他种植业
300837,300837.SZ,33,机械设备-专用设备-能源及重型设备
300157,300157.SZ,33,机械设备-通用设备-其他通用设备
688045,688045.SH,17,电子-半导体-模拟芯片设计
603115,603115.SH,17,电子-电子化学品-电子化学品Ⅲ
002232,002232.SZ,33,计算机-IT服务-IT服务Ⅲ
600339,600339.SH,17,石油石化-油气开采及服务-油服工程
688622,688622.SH,17,机械设备-通用设备-仪器仪表
601101,601101.SH,17,煤炭-煤炭开采加工-煤炭开采
002068,002068.SZ,33,基础化工-橡胶制品-炭黑
002258,002258.SZ,33,基础化工-农化制品-农药
688262,688262.SH,17,电子-半导体-数字芯片设计
688077,688077.SH,17,有色金属-金属新材料-磁性材料
688308,688308.SH,17,机械设备-通用设备-金属制品
000983,000983.SZ,33,煤炭-煤炭开采加工-煤炭开采
600231,600231.SH,17,钢铁-钢铁-普钢
