所属同花顺行业,code,market_code,股票代码
石油石化-油气开采及服务-油服工程,920088,151,920088.BJ
机械设备-专用设备-其他专用设备,920014,151,920014.BJ
机械设备-专用设备-能源及重型设备,920158,151,920158.BJ
机械设备-自动化设备-其他自动化设备,920260,151,920260.BJ
公用事业-燃气-燃气Ⅲ,920010,151,920010.BJ
交通运输-港口航运-航运,920571,151,920571.BJ
交通运输-物流-物流Ⅲ,920351,151,920351.BJ
基础化工-非金属材料-非金属材料Ⅲ,920675,151,920675.BJ
机械设备-专用设备-其他专用设备,920717,151,920717.BJ
公用事业-燃气-燃气Ⅲ,300332,33,300332.SZ
石油石化-石油加工贸易-石油加工,300839,33,300839.SZ
机械设备-通用设备-其他通用设备,300157,33,300157.SZ
石油石化-油气开采及服务-油服工程,300164,33,300164.SZ
石油石化-油气开采及服务-油气开采,300191,33,300191.SZ
机械设备-专用设备-能源及重型设备,301158,33,301158.SZ
石油石化-油气开采及服务-油气开采,300483,33,300483.SZ
国防军工-军工电子-军工电子Ⅲ,301302,33,301302.SZ
机械设备-工程机械-工程机械Ⅲ,920942,151,920942.BJ
机械设备-通用设备-金属制品,300228,33,300228.SZ
基础化工-橡胶制品-其他橡胶制品,920694,151,920694.BJ
计算机-软件开发-垂直应用软件,920207,151,920207.BJ
建筑装饰-建筑装饰-专业工程,920099,151,920099.BJ
机械设备-专用设备-能源及重型设备,300435,33,300435.SZ
美容护理-美容护理-个护用品,300658,33,300658.SZ
机械设备-专用设备-能源及重型设备,920781,151,920781.BJ
机械设备-通用设备-金属制品,920082,151,920082.BJ
电力设备-光伏设备-逆变器,301658,33,301658.SZ
电力设备-光伏设备-逆变器,688717,17,688717.SH
石油石化-石油加工贸易-石油加工,300135,33,300135.SZ
交通运输-港口航运-航运,601866,17,601866.SH
公用事业-燃气-燃气Ⅲ,600617,17,600617.SH
石油石化-油气开采及服务-油服工程,002554,33,002554.SZ
石油石化-油气开采及服务-油服工程,600339,17,600339.SH
公用事业-燃气-燃气Ⅲ,601139,17,601139.SH
农林牧渔-种植业与林业-其他种植业,600108,17,600108.SH
公用事业-燃气-燃气Ⅲ,605368,17,605368.SH
煤炭-煤炭开采加工-焦炭加工,601015,17,601015.SH
煤炭-煤炭开采加工-煤炭开采,600403,17,600403.SH
石油石化-油气开采及服务-油气开采,600256,17,600256.SH
交通运输-物流-物流Ⅲ,002682,33,002682.SZ
石油石化-油气开采及服务-油气开采,000968,33,000968.SZ
石油石化-石油加工贸易-石油加工,601857,17,601857.SH
建筑装饰-建筑装饰-基础建设,002629,33,002629.SZ
石油石化-石油加工贸易-油品石化贸易,000554,33,000554.SZ
石油石化-石油加工贸易-石油加工,000301,33,000301.SZ
石油石化-石油加工贸易-油品石化贸易,000096,33,000096.SZ
公用事业-燃气-燃气Ⅲ,600635,17,600635.SH
公用事业-燃气-燃气Ⅲ,002911,33,002911.SZ
石油石化-石油加工贸易-石油加工,600688,17,600688.SH
公用事业-燃气-燃气Ⅲ,001299,33,001299.SZ
交通运输-港口航运-港口,002040,33,002040.SZ
交通运输-港口航运-航运,601872,17,601872.SH
石油石化-油气开采及服务-油服工程,601808,17,601808.SH
公用事业-燃气-燃气Ⅲ,605169,17,605169.SH
电力设备-光伏设备-光伏电池组件,002506,33,002506.SZ
基础化工-化学原料-无机盐,600367,17,600367.SH
机械设备-专用设备-能源及重型设备,002490,33,002490.SZ
基础化工-化学原料-无机盐,600714,17,600714.SH
公用事业-燃气-燃气Ⅲ,600803,17,600803.SH
电力设备-光伏设备-光伏辅材,001269,33,001269.SZ
交通运输-港口航运-航运,601083,17,601083.SH
公用事业-燃气-燃气Ⅲ,603080,17,603080.SH
石油石化-油气开采及服务-油服工程,002828,33,002828.SZ
