股票代码,code,market_code,所属同花顺行业
301513.SZ,301513,33,电力设备-电池-锂电专用设备
920012.BJ,920012,151,电子-半导体-半导体材料
920526.BJ,920526,151,电子-半导体-半导体材料
920179.BJ,920179,151,电子-半导体-半导体材料
688628.SH,688628,17,机械设备-通用设备-仪器仪表
300806.SZ,300806,33,基础化工-塑料制品-膜材料
301319.SZ,301319,33,电子-电子化学品-电子化学品Ⅲ
300776.SZ,300776,33,电力设备-光伏设备-光伏加工设备
688807.SH,688807,17,电子-半导体-数字芯片设计
301237.SZ,301237,33,基础化工-塑料制品-膜材料
688227.SH,688227,17,计算机-IT服务-IT服务Ⅲ
300905.SZ,300905,33,基础化工-化学纤维-其他纤维
688560.SH,688560,17,电力设备-光伏设备-光伏辅材
920249.BJ,920249,151,通信-通信设备-通信终端及配件
920045.BJ,920045,151,通信-通信设备-通信网络设备及器件
920971.BJ,920971,151,基础化工-非金属材料-非金属材料Ⅲ
920242.BJ,920242,151,汽车-汽车零部件-底盘与发动机系统
688502.SH,688502,17,电子-光学光电子-光学元件
301090.SZ,301090,33,基础化工-塑料制品-其他塑料制品
688813.SH,688813,17,机械设备-专用设备-其他专用设备
920821.BJ,920821,151,电子-元件-印制电路板
920522.BJ,920522,151,电力设备-电池-锂电专用设备
920181.BJ,920181,151,电子-其他电子-其他电子Ⅲ
300083.SZ,300083,33,机械设备-通用设备-机床工具
301662.SZ,301662,33,电力设备-电池-锂电专用设备
688530.SH,688530,17,电子-半导体-半导体材料
301068.SZ,301068,33,环保-环境治理-固废治理
920225.BJ,920225,151,基础化工-橡胶制品-其他橡胶制品
920284.BJ,920284,151,机械设备-专用设备-其他专用设备
920438.BJ,920438,151,电子-光学光电子-光学元件
301259.SZ,301259,33,环保-环境治理-综合环境治理
688809.SH,688809,17,电子-半导体-半导体设备
920719.BJ,920719,151,基础化工-非金属材料-非金属材料Ⅲ
301338.SZ,301338,33,机械设备-专用设备-其他专用设备
300703.SZ,300703,33,轻工制造-家居用品-文娱用品
300385.SZ,300385,33,环保-环保设备-环保设备Ⅲ
920078.BJ,920078,151,有色金属-金属新材料-其他金属新材料
600208.SH,600208,17,房地产-房地产-住宅开发
002081.SZ,002081,33,建筑装饰-建筑装饰-装饰园林
002628.SZ,002628,33,建筑装饰-建筑装饰-基础建设
688048.SH,688048,17,电子-半导体-分立器件
002108.SZ,002108,33,基础化工-塑料制品-其他塑料制品
688498.SH,688498,17,电子-半导体-分立器件
605388.SH,605388,17,食品饮料-饮料制造-软饮料
000037.SZ,000037,33,公用事业-电力-火电
600552.SH,600552,17,电子-光学光电子-面板
600707.SH,600707,17,电子-光学光电子-面板
001330.SZ,001330,33,传媒-影视院线-影视院线Ⅲ
000936.SZ,000936,33,基础化工-化学纤维-涤纶
603922.SH,603922,17,汽车-汽车零部件-其他汽车零部件
600330.SH,600330,17,电子-电子化学品-电子化学品Ⅲ
002802.SZ,002802,33,基础化工-化学制品-其他化学制品
600727.SH,600727,17,基础化工-化学制品-其他化学制品
003018.SZ,003018,33,轻工制造-包装印刷-包装
002297.SZ,002297,33,国防军工-军工装备-航空装备
600961.SH,600961,17,有色金属-工业金属-铅锌
002706.SZ,002706,33,电力设备-电网设备-输变电设备
603203.SH,603203,17,机械设备-自动化设备-工控设备
600641.SH,600641,17,电子-半导体-半导体材料
600520.SH,600520,17,机械设备-专用设备-其他专用设备
002428.SZ,002428,33,有色金属-小金属-其他小金属
605298.SH,605298,17,机械设备-轨交设备-轨交设备Ⅲ
603629.SH,603629,17,电子-消费电子-消费电子零部件及组装
003031.SZ,003031,33,通信-通信设备-通信终端及配件
002980.SZ,002980,33,电力设备-电网设备-电气自控设备
002866.SZ,002866,33,电子-消费电子-消费电子零部件及组装
603052.SH,603052,17,电子-消费电子-消费电子零部件及组装
001389.SZ,001389,33,电子-元件-印制电路板
002957.SZ,002957,33,机械设备-自动化设备-工控设备
002975.SZ,002975,33,机械设备-自动化设备-工控设备
603773.SH,603773,17,电子-光学光电子-面板
603083.SH,603083,17,通信-通信设备-通信终端及配件
002796.SZ,002796,33,通信-通信设备-通信网络设备及器件
603926.SH,603926,17,汽车-汽车零部件-底盘与发动机系统
600683.SH,600683,17,房地产-房地产-住宅开发
001400.SZ,001400,33,机械设备-专用设备-其他专用设备
002487.SZ,002487,33,电力设备-风电设备-风电零部件
603118.SH,603118,17,通信-通信设备-通信终端及配件
002580.SZ,002580,33,电力设备-电池-其他电池
002940.SZ,002940,33,医药生物-化学制药-化学制剂
002281.SZ,002281,33,通信-通信设备-通信网络设备及器件
002990.SZ,002990,33,计算机-计算机设备-其他计算机设备
600234.SH,600234,17,建筑装饰-建筑装饰-装饰园林
002203.SZ,002203,33,有色金属-工业金属-铜
603031.SH,603031,17,电力设备-电池-其他电池
603063.SH,603063,17,电力设备-风电设备-风电零部件
603738.SH,603738,17,电子-元件-被动元件
600962.SH,600962,17,食品饮料-饮料制造-软饮料
603278.SH,603278,17,机械设备-通用设备-金属制品
600156.SH,600156,17,纺织服饰-纺织制造-其他纺织
603315.SH,603315,17,环保-环境治理-大气治理
600703.SH,600703,17,电子-光学光电子-LED
603178.SH,603178,17,汽车-汽车零部件-底盘与发动机系统
600152.SH,600152,17,电力设备-电池-锂电池
002259.SZ,002259,33,公用事业-燃气-燃气Ⅲ
601619.SH,601619,17,公用事业-电力-新能源发电
002418.SZ,002418,33,家用电器-白色家电-家电零部件
002547.SZ,002547,33,汽车-汽车零部件-其他汽车零部件
688337.SH,688337,17,机械设备-通用设备-仪器仪表
002217.SZ,002217,33,电子-光学光电子-面板
688707.SH,688707,17,电力设备-电池-电池化学品
920489.BJ,920489,151,基础化工-化学原料-其他化学原料
688308.SH,688308,17,机械设备-通用设备-金属制品
300502.SZ,300502,33,通信-通信设备-通信网络设备及器件
688313.SH,688313,17,通信-通信设备-通信网络设备及器件
688171.SH,688171,17,计算机-软件开发-横向通用软件
920177.BJ,920177,151,机械设备-专用设备-其他专用设备
301056.SZ,301056,33,机械设备-专用设备-楼宇设备
301286.SZ,301286,33,基础化工-化学制品-其他化学制品
300620.SZ,300620,33,通信-通信设备-通信网络设备及器件
688001.SH,688001,17,机械设备-专用设备-其他专用设备
920693.BJ,920693,151,机械设备-通用设备-金属制品
920839.BJ,920839,151,机械设备-工程机械-工程机械Ⅲ
301228.SZ,301228,33,社会服务-其他社会服务-专业服务
688662.SH,688662,17,电子-其他电子-其他电子Ⅲ
688677.SH,688677,17,医药生物-医疗器械-医疗设备
920493.BJ,920493,151,计算机-IT服务-IT服务Ⅲ
920119.BJ,920119,151,电力设备-电池-锂电专用设备
301075.SZ,301075,33,医药生物-化学制药-化学制剂
920981.BJ,920981,151,电子-元件-被动元件
603698.SH,603698,17,机械设备-专用设备-能源及重型设备
920509.BJ,920509,151,机械设备-通用设备-仪器仪表
300243.SZ,300243,33,基础化工-塑料制品-其他塑料制品
002859.SZ,002859,33,电子-其他电子-其他电子Ⅲ
002384.SZ,002384,33,电子-元件-印制电路板
688693.SH,688693,17,电子-半导体-分立器件
300858.SZ,300858,33,基础化工-化学制品-食品及饲料添加剂
688143.SH,688143,17,通信-通信设备-通信线缆及配套
920651.BJ,920651,151,机械设备-通用设备-仪器仪表
920978.BJ,920978,151,汽车-汽车零部件-汽车电子电气系统
301227.SZ,301227,33,轻工制造-家居用品-定制家居
301373.SZ,301373,33,基础化工-化学制品-其他化学制品
000657.SZ,000657,33,有色金属-小金属-钨
002515.SZ,002515,33,食品饮料-食品加工制造-肉制品
300151.SZ,300151,33,机械设备-专用设备-其他专用设备
301307.SZ,301307,33,通信-通信设备-通信网络设备及器件
920188.BJ,920188,151,基础化工-橡胶制品-其他橡胶制品
920247.BJ,920247,151,汽车-汽车零部件-其他汽车零部件
601208.SH,601208,17,基础化工-塑料制品-膜材料
688778.SH,688778,17,电力设备-电池-电池化学品
688155.SH,688155,17,电力设备-电池-锂电池
605133.SH,605133,17,汽车-汽车零部件-底盘与发动机系统
002860.SZ,002860,33,家用电器-白色家电-家电零部件
301157.SZ,301157,33,电力设备-其他电源设备-其他电源设备Ⅲ
300626.SZ,300626,33,电力设备-电机-电机Ⅲ
001223.SZ,001223,33,机械设备-自动化设备-其他自动化设备
300540.SZ,300540,33,机械设备-专用设备-其他专用设备
002488.SZ,002488,33,汽车-汽车零部件-轮胎轮毂
301205.SZ,301205,33,通信-通信设备-通信网络设备及器件
300548.SZ,300548,33,通信-通信设备-通信网络设备及器件
603375.SH,603375,17,电子-半导体-模拟芯片设计
600173.SH,600173,17,公用事业-电力-新能源发电
001267.SZ,001267,33,通信-通信设备-通信网络设备及器件
301297.SZ,301297,33,电子-半导体-半导体设备
300476.SZ,300476,33,电子-元件-印制电路板
920357.BJ,920357,151,电子-消费电子-消费电子零部件及组装
301188.SZ,301188,33,医药生物-医疗器械-医疗耗材
300681.SZ,300681,33,汽车-汽车零部件-汽车电子电气系统
601020.SH,601020,17,有色金属-工业金属-铅锌
603045.SH,603045,17,电力设备-电网设备-输变电设备
688112.SH,688112,17,机械设备-通用设备-仪器仪表
301095.SZ,301095,33,计算机-软件开发-垂直应用软件
920015.BJ,920015,151,基础化工-化学制品-有机硅
920036.BJ,920036,151,计算机-计算机设备-安防设备
688028.SH,688028,17,机械设备-通用设备-磨具磨料
