code,股票代码,所属同花顺行业,market_code
920186,920186.BJ,电子-半导体-半导体设备,151
920125,920125.BJ,机械设备-自动化设备-其他自动化设备,151
300209,300209.SZ,商贸零售-互联网电商-互联网电商Ⅲ,33
300632,300632.SZ,电子-光学光电子-LED,33
301217,301217.SZ,电力设备-电池-锂电池,33
688531,688531.SH,机械设备-专用设备-其他专用设备,17
300438,300438.SZ,电力设备-电池-锂电池,33
300769,300769.SZ,电力设备-电池-电池化学品,33
300982,300982.SZ,建筑装饰-建筑装饰-基础建设,33
300390,300390.SZ,电力设备-电池-电池化学品,33
688059,688059.SH,机械设备-通用设备-金属制品,17
301666,301666.SZ,电子-半导体-数字芯片设计,33
688515,688515.SH,电子-半导体-模拟芯片设计,17
920061,920061.BJ,机械设备-专用设备-其他专用设备,151
301358,301358.SZ,电力设备-电池-电池化学品,33
688390,688390.SH,电力设备-光伏设备-逆变器,17
920425,920425.BJ,机械设备-自动化设备-工控设备,151
920167,920167.BJ,电力设备-光伏设备-光伏辅材,151
920873,920873.BJ,建筑装饰-建筑装饰-工程咨询服务,151
688702,688702.SH,电子-半导体-数字芯片设计,17
300745,300745.SZ,汽车-汽车零部件-汽车电子电气系统,33
688717,688717.SH,电力设备-光伏设备-逆变器,17
300733,300733.SZ,汽车-汽车零部件-底盘与发动机系统,33
300118,300118.SZ,电力设备-光伏设备-光伏电池组件,33
688275,688275.SH,电力设备-电池-电池化学品,17
301662,301662.SZ,电力设备-电池-锂电专用设备,33
300302,300302.SZ,计算机-计算机设备-其他计算机设备,33
688485,688485.SH,环保-环境治理-综合环境治理,17
301292,301292.SZ,电力设备-电池-电池化学品,33
688655,688655.SH,电子-元件-印制电路板,17
301376,301376.SZ,轻工制造-家居用品-成品家居,33
301260,301260.SZ,机械设备-专用设备-农用机械,33
301603,301603.SZ,机械设备-通用设备-机床工具,33
301060,301060.SZ,医药生物-医疗服务-其他医疗服务,33
920156,920156.BJ,机械设备-专用设备-其他专用设备,151
300763,300763.SZ,电力设备-光伏设备-逆变器,33
300903,300903.SZ,电子-元件-印制电路板,33
688328,688328.SH,机械设备-专用设备-其他专用设备,17
688669,688669.SH,基础化工-塑料制品-改性塑料,17
300972,300972.SZ,商贸零售-零售-百货零售,33
300124,300124.SZ,机械设备-自动化设备-工控设备,33
000980,000980.SZ,汽车-汽车整车-乘用车,33
002522,002522.SZ,基础化工-塑料制品-膜材料,33
002081,002081.SZ,建筑装饰-建筑装饰-装饰园林,33
002786,002786.SZ,机械设备-专用设备-其他专用设备,33
002174,002174.SZ,传媒-游戏-游戏Ⅲ,33
600156,600156.SH,纺织服饰-纺织制造-其他纺织,17
002627,002627.SZ,社会服务-旅游及酒店-旅游综合,33
002867,002867.SZ,纺织服饰-服装家纺-饰品,33
600379,600379.SH,电力设备-电网设备-输变电设备,17
600654,600654.SH,社会服务-其他社会服务-专业服务,17
000973,000973.SZ,基础化工-塑料制品-膜材料,33
002969,002969.SZ,轻工制造-包装印刷-包装,33
603933,603933.SH,机械设备-自动化设备-工控设备,17
600714,600714.SH,基础化工-化学原料-无机盐,17
002111,002111.SZ,国防军工-军工装备-航空装备,33
600135,600135.SH,基础化工-塑料制品-膜材料,17
603095,603095.SH,机械设备-专用设备-纺织服装设备,17
601233,601233.SH,基础化工-化学纤维-涤纶,17
002956,002956.SZ,食品饮料-食品加工制造-休闲食品,33
605299,605299.SH,轻工制造-家居用品-文娱用品,17
002832,002832.SZ,纺织服饰-服装家纺-服装,33
002805,002805.SZ,电力设备-电池-电池化学品,33
603508,603508.SH,计算机-计算机设备-安防设备,17
001396,001396.SZ,社会服务-其他社会服务-专业服务,33
603256,603256.SH,电子-电子化学品-电子化学品Ⅲ,17
002875,002875.SZ,纺织服饰-服装家纺-服装,33
002192,002192.SZ,有色金属-能源金属-锂,33
603629,603629.SH,计算机-IT服务-IT服务Ⅲ,17
603906,603906.SH,电力设备-电池-电池化学品,17
002756,002756.SZ,有色金属-能源金属-锂,33
605168,605168.SH,传媒-文化传媒-广告营销,17
603516,603516.SH,计算机-计算机设备-其他计算机设备,17
603083,603083.SH,通信-通信设备-通信终端及配件,17
600708,600708.SH,房地产-房地产-住宅开发,17
002851,002851.SZ,电力设备-其他电源设备-其他电源设备Ⅲ,33
