所属同花顺行业,股票代码,market_code,code
汽车-汽车零部件-车身附件及饰件,920270.BJ,151,920270
电子-光学光电子-光学元件,920438.BJ,151,920438
机械设备-通用设备-其他通用设备,301028.SZ,33,301028
机械设备-通用设备-金属制品,300488.SZ,33,300488
电子-光学光电子-光学元件,301183.SZ,33,301183
电力设备-电网设备-输变电设备,300283.SZ,33,300283
电子-消费电子-消费电子零部件及组装,688260.SH,17,688260
国防军工-军工装备-航天装备,688818.SH,17,688818
汽车-汽车零部件-底盘与发动机系统,300258.SZ,33,300258
电力设备-光伏设备-光伏电池组件,300716.SZ,33,300716
电子-半导体-半导体设备,301369.SZ,33,301369
计算机-计算机设备-安防设备,920036.BJ,151,920036
电子-半导体-数字芯片设计,301666.SZ,33,301666
电子-其他电子-其他电子Ⅲ,300736.SZ,33,300736
环保-环保设备-环保设备Ⅲ,301030.SZ,33,301030
电力设备-光伏设备-光伏辅材,688033.SH,22,688033
国防军工-军工装备-航天装备,688523.SH,17,688523
电子-元件-印制电路板,688655.SH,17,688655
机械设备-自动化设备-机器人,688017.SH,17,688017
电子-消费电子-消费电子零部件及组装,301387.SZ,33,301387
环保-环境治理-水务及水治理,688096.SH,17,688096
食品饮料-饮料制造-乳品,300106.SZ,33,300106
纺织服饰-纺织制造-其他纺织,300819.SZ,33,300819
家用电器-小家电-小家电Ⅲ,300247.SZ,33,300247
国防军工-军工装备-航空装备,301696.SZ,33,301696
电子-半导体-分立器件,688693.SH,17,688693
石油石化-石油加工贸易-石油加工,300839.SZ,33,300839
电子-半导体-数字芯片设计,688449.SH,17,688449
机械设备-专用设备-其他专用设备,688001.SH,17,688001
纺织服饰-服装家纺-服装,300840.SZ,33,300840
机械设备-工程机械-工程机械Ⅲ,920002.BJ,151,920002
基础化工-塑料制品-其他塑料制品,920028.BJ,151,920028
电子-半导体-模拟芯片设计,300671.SZ,33,300671
电子-半导体-分立器件,688048.SH,17,688048
有色金属-金属新材料-其他金属新材料,920078.BJ,151,920078
国防军工-军工电子-军工电子Ⅲ,688511.SH,17,688511
电子-半导体-半导体材料,688783.SH,17,688783
基础化工-塑料制品-改性塑料,300834.SZ,33,300834
机械设备-专用设备-能源及重型设备,300095.SZ,33,300095
医药生物-中药-中药Ⅲ,301111.SZ,33,301111
交通运输-港口航运-航运,920571.BJ,151,920571
通信-通信服务-通信应用增值服务,000839.SZ,33,000839
建筑装饰-建筑装饰-工程咨询服务,300983.SZ,33,300983
轻工制造-包装印刷-包装,600076.SH,17,600076
房地产-房地产-商业地产,600724.SH,17,600724
计算机-IT服务-IT服务Ⅲ,002642.SZ,33,002642
医药生物-中药-中药Ⅲ,600222.SH,17,600222
电力设备-电网设备-线缆部件及其他,000720.SZ,33,000720
机械设备-通用设备-金属制品,603028.SH,17,603028
汽车-汽车零部件-其他汽车零部件,600480.SH,17,600480
机械设备-工程机械-工程机械Ⅲ,600984.SH,17,600984
公用事业-燃气-燃气Ⅲ,605169.SH,17,605169
房地产-房地产-住宅开发,600748.SH,17,600748
轻工制造-家居用品-瓷砖地板,002798.SZ,33,002798
钢铁-钢铁-普钢,603878.SH,17,603878
机械设备-通用设备-金属制品,603278.SH,17,603278
汽车-汽车零部件-底盘与发动机系统,000678.SZ,33,000678
传媒-游戏-游戏Ⅲ,002624.SZ,33,002624
基础化工-化学纤维-其他纤维,000782.SZ,33,000782
计算机-IT服务-IT服务Ⅲ,600589.SH,17,600589
机械设备-通用设备-金属制品,600992.SH,17,600992
计算机-IT服务-IT服务Ⅲ,002474.SZ,33,002474
房地产-房地产-住宅开发,600683.SH,17,600683
有色金属-工业金属-铝,603937.SH,17,603937
机械设备-专用设备-能源及重型设备,603012.SH,17,603012
电子-消费电子-消费电子零部件及组装,600130.SH,17,600130
建筑装饰-建筑装饰-基础建设,002629.SZ,33,002629
汽车-汽车零部件-其他汽车零部件,002965.SZ,33,002965
交通运输-物流-物流Ⅲ,002930.SZ,33,002930
社会服务-其他社会服务-专业服务,603373.SH,17,603373
电子-消费电子-消费电子零部件及组装,002866.SZ,33,002866
国防军工-军工电子-军工电子Ⅲ,600855.SH,17,600855
通信-通信设备-通信线缆及配套,002491.SZ,33,002491
医药生物-医疗服务-其他医疗服务,000710.SZ,33,000710
基础化工-化学制品-纺织化学用品,605566.SH,17,605566
非银金融-多元金融-多元金融Ⅲ,600783.SH,17,600783
国防军工-军工电子-军工电子Ⅲ,000547.SZ,33,000547
机械设备-通用设备-其他通用设备,603400.SH,17,603400
机械设备-通用设备-其他通用设备,600343.SH,17,600343
电力设备-光伏设备-光伏电池组件,002865.SZ,33,002865
机械设备-通用设备-金属制品,603667.SH,17,603667
医药生物-中药-中药Ⅲ,002317.SZ,33,002317
通信-通信设备-通信网络设备及器件,002902.SZ,33,002902
电子-元件-印制电路板,603459.SH,17,603459
电力设备-电网设备-输变电设备,603045.SH,17,603045
通信-通信设备-通信网络设备及器件,002281.SZ,33,002281
汽车-汽车零部件-底盘与发动机系统,002536.SZ,33,002536
公用事业-电力-新能源发电,002256.SZ,33,002256
轻工制造-包装印刷-包装,000659.SZ,33,000659
计算机-IT服务-IT服务Ⅲ,600536.SH,17,600536
家用电器-白色家电-家电零部件,603311.SH,17,603311
纺织服饰-纺织制造-印染,605055.SH,17,605055
计算机-IT服务-IT服务Ⅲ,603636.SH,17,603636
建筑装饰-建筑装饰-装饰园林,605289.SH,17,605289
计算机-IT服务-IT服务Ⅲ,600936.SH,17,600936
国防军工-军工装备-航空装备,600391.SH,17,600391
机械设备-通用设备-金属制品,002132.SZ,33,002132
纺织服饰-纺织制造-印染,605189.SH,17,605189
机械设备-专用设备-纺织服装设备,003036.SZ,33,003036
电子-光学光电子-光学元件,002222.SZ,33,002222
商贸零售-贸易-贸易Ⅲ,002091.SZ,33,002091
电力设备-电网设备-线缆部件及其他,603618.SH,17,603618
通信-通信设备-通信网络设备及器件,001267.SZ,33,001267
机械设备-自动化设备-机器人,002979.SZ,33,002979
电子-消费电子-消费电子零部件及组装,002655.SZ,33,002655
通信-通信服务-通信工程及服务,002929.SZ,33,002929
电力设备-电池-其他电池,002580.SZ,33,002580
建筑装饰-建筑装饰-装饰园林,600234.SH,17,600234
通信-通信设备-通信网络设备及器件,600498.SH,17,600498
机械设备-专用设备-其他专用设备,002009.SZ,33,002009
通信-通信设备-其他通信设备,600345.SH,17,600345
基础化工-农化制品-磷肥及磷化工,600078.SH,17,600078
电子-半导体-半导体材料,605358.SH,17,605358
电子-元件-被动元件,603738.SH,17,603738
基础化工-非金属材料-非金属材料Ⅲ,605086.SH,17,605086
基础化工-塑料制品-合成树脂,001333.SZ,33,001333
汽车-汽车零部件-其他汽车零部件,002997.SZ,33,002997
建筑材料-建筑材料-玻璃玻纤,605006.SH,17,605006
电子-元件-印制电路板,002552.SZ,33,002552
汽车-汽车零部件-底盘与发动机系统,603758.SH,17,603758
食品饮料-食品加工制造-其他食品,600530.SH,17,600530
公用事业-燃气-燃气Ⅲ,002259.SZ,33,002259
轻工制造-家居用品-瓷砖地板,002918.SZ,33,002918
机械设备-专用设备-纺织服装设备,600545.SH,17,600545
交通运输-港口航运-港口,000582.SZ,33,000582
机械设备-专用设备-其他专用设备,002031.SZ,33,002031
房地产-房地产-住宅开发,000036.SZ,33,000036
房地产-房地产-住宅开发,000863.SZ,33,000863
纺织服饰-服装家纺-家纺,002397.SZ,33,002397
机械设备-通用设备-机床工具,002520.SZ,33,002520
医药生物-医疗器械-体外诊断,002030.SZ,33,002030
公用事业-电力-火电,601991.SH,17,601991
商贸零售-零售-专业连锁,300755.SZ,33,300755
电力设备-风电设备-风电零部件,300129.SZ,33,300129
环保-环境治理-综合环境治理,300864.SZ,33,300864
机械设备-通用设备-金属制品,920510.BJ,151,920510
国防军工-军工装备-航天装备,688282.SH,17,688282
通信-通信设备-通信网络设备及器件,688182.SH,17,688182
建筑材料-建筑材料-管材,300599.SZ,33,300599
基础化工-化学纤维-其他纤维,300905.SZ,33,300905
机械设备-专用设备-其他专用设备,920156.BJ,151,920156
汽车-汽车零部件-车身附件及饰件,920533.BJ,151,920533
基础化工-塑料制品-其他塑料制品,300321.SZ,33,300321
医药生物-医疗器械-医疗设备,300049.SZ,33,300049
汽车-汽车零部件-其他汽车零部件,301000.SZ,33,301000
电力设备-电机-电机Ⅲ,920100.BJ,151,920100
电子-光学光电子-光学元件,688307.SH,17,688307
