股票代码,所属同花顺行业,code,market_code
920211.BJ,机械设备-自动化设备-机器人,920211,151
920510.BJ,机械设备-通用设备-金属制品,920510,151
920961.BJ,机械设备-通用设备-仪器仪表,920961,151
920576.BJ,有色金属-金属新材料-其他金属新材料,920576,151
920175.BJ,基础化工-非金属材料-非金属材料Ⅲ,920175,151
301151.SZ,机械设备-通用设备-金属制品,301151,33
300353.SZ,通信-通信设备-其他通信设备,300353,33
300626.SZ,电力设备-电机-电机Ⅲ,300626,33
688056.SH,机械设备-通用设备-仪器仪表,688056,17
688017.SH,机械设备-自动化设备-机器人,688017,17
301193.SZ,轻工制造-家居用品-其他家居用品,301193,33
300052.SZ,传媒-游戏-游戏Ⅲ,300052,33
300334.SZ,基础化工-塑料制品-膜材料,300334,33
300162.SZ,电子-光学光电子-LED,300162,33
920221.BJ,汽车-汽车零部件-其他汽车零部件,920221,151
920509.BJ,机械设备-通用设备-仪器仪表,920509,151
300482.SZ,医药生物-医疗器械-体外诊断,300482,33
920116.BJ,计算机-IT服务-IT服务Ⅲ,920116,151
300319.SZ,电子-元件-被动元件,300319,33
300259.SZ,机械设备-通用设备-仪器仪表,300259,33
301303.SZ,机械设备-通用设备-仪器仪表,301303,33
301528.SZ,机械设备-通用设备-仪器仪表,301528,33
688507.SH,计算机-软件开发-垂直应用软件,688507,17
920593.BJ,机械设备-自动化设备-机器人,920593,151
688777.SH,机械设备-自动化设备-工控设备,688777,17
920682.BJ,电力设备-电网设备-线缆部件及其他,920682,151
920002.BJ,机械设备-工程机械-工程机械Ⅲ,920002,151
300328.SZ,有色金属-小金属-其他小金属,300328,33
300307.SZ,机械设备-专用设备-纺织服装设备,300307,33
300835.SZ,有色金属-金属新材料-磁性材料,300835,33
688367.SH,机械设备-轨交设备-轨交设备Ⅲ,688367,17
920178.BJ,机械设备-自动化设备-其他自动化设备,920178,151
688246.SH,计算机-软件开发-垂直应用软件,688246,17
920438.BJ,电子-光学光电子-光学元件,920438,151
920885.BJ,机械设备-自动化设备-工控设备,920885,151
688403.SH,电子-半导体-集成电路封测,688403,17
300276.SZ,机械设备-自动化设备-机器人,300276,33
688160.SH,机械设备-自动化设备-工控设备,688160,17
688559.SH,机械设备-自动化设备-激光设备,688559,17
688757.SH,社会服务-其他社会服务-专业服务,688757,17
688319.SH,医药生物-生物制品-疫苗,688319,17
301458.SZ,电子-元件-被动元件,301458,33
920190.BJ,计算机-计算机设备-其他计算机设备,920190,151
301313.SZ,传媒-文化传媒-数字媒体,301313,33
301368.SZ,机械设备-通用设备-金属制品,301368,33
920425.BJ,机械设备-自动化设备-工控设备,920425,151
920247.BJ,汽车-汽车零部件-其他汽车零部件,920247,151
301196.SZ,基础化工-塑料制品-其他塑料制品,301196,33
920394.BJ,轻工制造-造纸-造纸Ⅲ,920394,151
600303.SH,汽车-汽车整车-商用载客车,600303,17
600586.SH,基础化工-化学原料-纯碱,600586,17
002354.SZ,传媒-文化传媒-广告营销,002354,33
002877.SZ,机械设备-通用设备-金属制品,002877,33
688322.SH,电子-光学光电子-光学元件,688322,17
000520.SZ,交通运输-港口航运-航运,000520,33
002183.SZ,商贸零售-贸易-贸易Ⅲ,002183,33
002631.SZ,轻工制造-家居用品-瓷砖地板,002631,33
600063.SH,基础化工-化学纤维-其他纤维,600063,17
603135.SH,机械设备-专用设备-能源及重型设备,603135,17
000759.SZ,商贸零售-零售-百货零售,000759,33
603725.SH,轻工制造-家居用品-瓷砖地板,603725,17
603065.SH,基础化工-化学制品-其他化学制品,603065,17
001256.SZ,机械设备-专用设备-印刷包装机械,001256,33
603270.SH,机械设备-通用设备-金属制品,603270,17
002361.SZ,基础化工-塑料制品-合成树脂,002361,33
002903.SZ,机械设备-通用设备-机床工具,002903,33
603360.SH,基础化工-农化制品-农药,603360,17
002892.SZ,电力设备-电机-电机Ⅲ,002892,33
002138.SZ,电子-元件-被动元件,002138,33
002983.SZ,电子-光学光电子-LED,002983,33
003009.SZ,国防军工-军工装备-航天装备,003009,33
600776.SH,通信-通信设备-其他通信设备,600776,17
003036.SZ,机械设备-专用设备-纺织服装设备,003036,33
603078.SH,电子-电子化学品-电子化学品Ⅲ,603078,17
001400.SZ,机械设备-专用设备-其他专用设备,001400,33
002896.SZ,机械设备-通用设备-金属制品,002896,33
603020.SH,基础化工-化学制品-食品及饲料添加剂,603020,17
600516.SH,钢铁-钢铁-冶钢原料,600516,17
600403.SH,煤炭-煤炭开采加工-煤炭开采,600403,17
603048.SH,汽车-汽车零部件-车身附件及饰件,603048,17
603992.SH,轻工制造-家居用品-其他家居用品,603992,17
603888.SH,传媒-文化传媒-数字媒体,603888,17
603578.SH,家用电器-白色家电-家电零部件,603578,17
600293.SH,建筑材料-建筑材料-玻璃玻纤,600293,17
600819.SH,建筑材料-建筑材料-玻璃玻纤,600819,17
600881.SH,综合-综合-综合Ⅲ,600881,17
600382.SH,钢铁-钢铁-冶钢原料,600382,17
603124.SH,有色金属-金属新材料-其他金属新材料,603124,17
600714.SH,基础化工-化学原料-无机盐,600714,17
603938.SH,基础化工-化学原料-其他化学原料,603938,17
603859.SH,计算机-IT服务-IT服务Ⅲ,603859,17
603070.SH,电力设备-电网设备-输变电设备,603070,17
603159.SH,机械设备-专用设备-其他专用设备,603159,17
000668.SZ,房地产-房地产-住宅开发,000668,33
