code,market_code,所属同花顺行业,股票代码
001399,33,电子-光学光电子-面板,001399.SZ
920363,151,机械设备-通用设备-仪器仪表,920363.BJ
920405,151,机械设备-自动化设备-工控设备,920405.BJ
300264,33,计算机-IT服务-IT服务Ⅲ,300264.SZ
688409,17,电子-半导体-半导体设备,688409.SH
688432,17,电子-半导体-半导体材料,688432.SH
688596,17,机械设备-专用设备-其他专用设备,688596.SH
301349,33,电力设备-电池-电池化学品,301349.SZ
300540,33,机械设备-专用设备-其他专用设备,300540.SZ
300162,33,电子-光学光电子-LED,300162.SZ
301051,33,电子-消费电子-消费电子零部件及组装,301051.SZ
300338,33,社会服务-教育-教育Ⅲ,300338.SZ
688584,17,电子-半导体-半导体材料,688584.SH
300668,33,社会服务-其他社会服务-专业服务,300668.SZ
688156,17,农林牧渔-农产品加工-畜禽饲料,688156.SH
300260,33,轻工制造-包装印刷-包装,300260.SZ
300749,33,轻工制造-家居用品-定制家居,300749.SZ
300088,33,电子-光学光电子-面板,300088.SZ
920438,151,电子-光学光电子-光学元件,920438.BJ
300592,33,商贸零售-互联网电商-互联网电商Ⅲ,300592.SZ
688392,17,电力设备-电池-锂电专用设备,688392.SH
301096,33,医药生物-医疗服务-医疗研发外包,301096.SZ
300877,33,纺织服饰-纺织制造-其他纺织,300877.SZ
300084,33,机械设备-专用设备-能源及重型设备,300084.SZ
301236,33,计算机-IT服务-IT服务Ⅲ,301236.SZ
300762,33,国防军工-军工电子-军工电子Ⅲ,300762.SZ
688328,17,机械设备-专用设备-其他专用设备,688328.SH
688272,17,国防军工-军工电子-军工电子Ⅲ,688272.SH
688168,17,计算机-软件开发-横向通用软件,688168.SH
920402,151,电子-电子化学品-电子化学品Ⅲ,920402.BJ
301611,33,电子-半导体-半导体材料,301611.SZ
688818,17,国防军工-军工装备-航天装备,688818.SH
920961,151,机械设备-通用设备-仪器仪表,920961.BJ
300720,33,机械设备-通用设备-仪器仪表,300720.SZ
688028,17,机械设备-通用设备-磨具磨料,688028.SH
688535,17,电子-半导体-半导体材料,688535.SH
600545,17,机械设备-专用设备-纺织服装设备,600545.SH
601016,17,公用事业-电力-新能源发电,601016.SH
002910,33,食品饮料-饮料制造-乳品,002910.SZ
603861,17,电力设备-电网设备-输变电设备,603861.SH
002930,33,交通运输-物流-物流Ⅲ,002930.SZ
002129,33,电力设备-光伏设备-硅料硅片,002129.SZ
603903,17,环保-环境治理-水务及水治理,603903.SH
605366,17,基础化工-化学制品-有机硅,605366.SH
002253,33,计算机-软件开发-垂直应用软件,002253.SZ
605296,17,农林牧渔-养殖业-生猪养殖,605296.SH
001289,33,公用事业-电力-新能源发电,001289.SZ
001210,33,公用事业-电力-热力,001210.SZ
605399,17,基础化工-化学制品-有机硅,605399.SH
600962,17,食品饮料-饮料制造-软饮料,600962.SH
002119,33,电子-半导体-半导体材料,002119.SZ
000823,33,电子-元件-印制电路板,000823.SZ
002962,33,电子-光学光电子-光学元件,002962.SZ
002559,33,机械设备-通用设备-机床工具,002559.SZ
002965,33,汽车-汽车零部件-其他汽车零部件,002965.SZ
600343,17,机械设备-通用设备-其他通用设备,600343.SH
603163,17,建筑装饰-建筑装饰-专业工程,603163.SH
001270,33,国防军工-军工电子-军工电子Ⅲ,001270.SZ
600367,17,基础化工-化学原料-无机盐,600367.SH
603698,17,机械设备-专用设备-能源及重型设备,603698.SH
001400,33,机械设备-专用设备-其他专用设备,001400.SZ
601133,17,建筑装饰-建筑装饰-专业工程,601133.SH
603956,17,机械设备-专用设备-其他专用设备,603956.SH
603261,17,国防军工-军工装备-航空装备,603261.SH
603722,17,基础化工-化学制品-其他化学制品,603722.SH
002106,33,电子-光学光电子-面板,002106.SZ
002568,33,食品饮料-饮料制造-其他酒类,002568.SZ
001389,33,电子-元件-印制电路板,001389.SZ
600118,17,国防军工-军工装备-航天装备,600118.SH
600481,17,电力设备-光伏设备-硅料硅片,600481.SH
603687,17,轻工制造-包装印刷-包装,603687.SH
001215,33,食品饮料-食品加工制造-预加工食品,001215.SZ
600552,17,电子-光学光电子-面板,600552.SH
002674,33,纺织服饰-纺织制造-辅料,002674.SZ
003033,33,汽车-汽车服务及其他-其他运输设备,003033.SZ
603650,17,基础化工-橡胶制品-其他橡胶制品,603650.SH
603270,17,机械设备-通用设备-金属制品,603270.SH
600228,17,传媒-文化传媒-数字媒体,600228.SH
603194,17,机械设备-工程机械-工程机械Ⅲ,603194.SH
600539,17,商贸零售-互联网电商-互联网电商Ⅲ,600539.SH
603155,17,基础化工-化学制品-有机硅,603155.SH
603928,17,基础化工-塑料制品-合成树脂,603928.SH
603977,17,基础化工-化学制品-民爆用品,603977.SH
002180,33,计算机-计算机设备-其他计算机设备,002180.SZ
000620,33,房地产-房地产-住宅开发,000620.SZ
601369,17,机械设备-专用设备-能源及重型设备,601369.SH
002354,33,传媒-文化传媒-广告营销,002354.SZ
002141,33,电子-元件-印制电路板,002141.SZ
300102,33,电子-光学光电子-LED,300102.SZ
300243,33,基础化工-塑料制品-其他塑料制品,300243.SZ
920489,151,基础化工-化学原料-其他化学原料,920489.BJ
688663,17,电力设备-电网设备-电气自控设备,688663.SH
688359,17,电子-电子化学品-电子化学品Ⅲ,688359.SH
300727,33,基础化工-化学制品-有机硅,300727.SZ
300900,33,国防军工-军工装备-航空装备,300900.SZ
300382,33,机械设备-专用设备-其他专用设备,300382.SZ
688102,17,有色金属-金属新材料-其他金属新材料,688102.SH
301526,33,建筑材料-建筑材料-玻璃玻纤,301526.SZ
688448,17,机械设备-通用设备-其他通用设备,688448.SH
688003,17,机械设备-自动化设备-其他自动化设备,688003.SH
301588,33,基础化工-塑料制品-其他塑料制品,301588.SZ
688665,17,机械设备-通用设备-仪器仪表,688665.SH
001335,33,基础化工-化学制品-涂料油墨,001335.SZ
300321,33,基础化工-塑料制品-其他塑料制品,300321.SZ
002456,33,电子-光学光电子-光学元件,002456.SZ
603938,17,基础化工-化学原料-其他化学原料,603938.SH
688349,17,电力设备-风电设备-风电整机,688349.SH
603065,17,基础化工-化学制品-其他化学制品,603065.SH
300776,33,电力设备-光伏设备-光伏加工设备,300776.SZ
300821,33,基础化工-化学制品-有机硅,300821.SZ
