所属同花顺行业,股票代码,code,market_code
石油石化-油气开采及服务-油服工程,920088.BJ,920088,151
计算机-IT服务-IT服务Ⅲ,920130.BJ,920130,151
医药生物-中药-中药Ⅲ,300534.SZ,300534,33
机械设备-通用设备-仪器仪表,300515.SZ,300515,33
计算机-计算机设备-其他计算机设备,300368.SZ,300368,33
环保-环境治理-水务及水治理,688057.SH,688057,17
基础化工-化学原料-其他化学原料,301190.SZ,301190,33
公用事业-电力-电能综合服务,300040.SZ,300040,33
石油石化-油气开采及服务-油服工程,300164.SZ,300164,33
电力设备-电网设备-输变电设备,920046.BJ,920046,151
电子-半导体-数字芯片设计,301536.SZ,301536,33
商贸零售-互联网电商-互联网电商Ⅲ,300209.SZ,300209,33
医药生物-化学制药-化学制剂,688382.SH,688382,17
环保-环境治理-固废治理,300779.SZ,300779,33
石油石化-石油加工贸易-石油加工,300135.SZ,300135,33
公用事业-电力-电能综合服务,688248.SH,688248,17
公用事业-电力-新能源发电,300317.SZ,300317,33
石油石化-油气开采及服务-油气开采,300191.SZ,300191,33
社会服务-其他社会服务-专业服务,301228.SZ,301228,33
医药生物-化学制药-化学制剂,688578.SH,688578,17
公用事业-燃气-燃气Ⅲ,920010.BJ,920010,151
医药生物-中药-中药Ⅲ,300039.SZ,300039,33
基础化工-农化制品-氮肥,600227.SH,600227,17
公用事业-电力-火电,600863.SH,600863,17
电子-光学光电子-光学元件,002036.SZ,002036,33
钢铁-钢铁-普钢,600126.SH,600126,17
公用事业-电力-火电,600744.SH,600744,17
公用事业-电力-新能源发电,600821.SH,600821,17
公用事业-电力-火电,000600.SZ,000600,33
公用事业-电力-火电,600396.SH,600396,17
公用事业-电力-新能源发电,600032.SH,600032,17
公用事业-电力-新能源发电,001258.SZ,001258,33
轻工制造-家居用品-其他家居用品,001211.SZ,001211,33
计算机-IT服务-IT服务Ⅲ,600756.SH,600756,17
机械设备-专用设备-能源及重型设备,002490.SZ,002490,33
电力设备-电网设备-电气自控设备,002857.SZ,002857,33
食品饮料-饮料制造-其他酒类,603779.SH,603779,17
机械设备-专用设备-其他专用设备,920014.BJ,920014,151
公用事业-电力-电能综合服务,600452.SH,600452,17
石油石化-油气开采及服务-油气开采,600938.SH,600938,17
机械设备-专用设备-能源及重型设备,001288.SZ,001288,33
石油石化-油气开采及服务-油服工程,603727.SH,603727,17
基础化工-化学制品-涂料油墨,603823.SH,603823,17
传媒-文化传媒-数字媒体,603533.SH,603533,17
煤炭-煤炭开采加工-煤炭开采,600403.SH,600403,17
煤炭-煤炭开采加工-煤炭开采,600726.SH,600726,17
煤炭-煤炭开采加工-煤炭开采,600188.SH,600188,17
食品饮料-白酒-白酒Ⅲ,000596.SZ,000596,33
公用事业-电力-火电,601991.SH,601991,17
煤炭-煤炭开采加工-煤炭开采,600985.SH,600985,17
公用事业-电力-火电,000037.SZ,000037,33
轻工制造-家居用品-成品家居,603610.SH,603610,17
电子-消费电子-消费电子零部件及组装,002866.SZ,002866,33
电子-光学光电子-LED,002992.SZ,002992,33
公用事业-电力-火电,600578.SH,600578,17
基础化工-化学制品-纺织化学用品,002440.SZ,002440,33
公用事业-电力-电能综合服务,600644.SH,600644,17
基础化工-塑料制品-合成树脂,601026.SH,601026,17
通信-通信服务-通信应用增值服务,000815.SZ,000815,33
煤炭-煤炭开采加工-煤炭开采,601001.SH,601001,17
医药生物-化学制药-化学制剂,600267.SH,600267,17
公用事业-电力-火电,000539.SZ,000539,33
公用事业-电力-水电,600236.SH,600236,17
公用事业-电力-水电,000722.SZ,000722,33
石油石化-油气开采及服务-油气开采,603619.SH,603619,17
煤炭-煤炭开采加工-煤炭开采,601898.SH,601898,17
基础化工-化学原料-煤化工,600722.SH,600722,17
计算机-IT服务-IT服务Ⅲ,600797.SH,600797,17
煤炭-煤炭开采加工-煤炭开采,600121.SH,600121,17
公用事业-电力-火电,000767.SZ,000767,33
基础化工-化学原料-煤化工,600746.SH,600746,17
公用事业-电力-火电,000899.SZ,000899,33
通信-通信服务-通信工程及服务,000889.SZ,000889,33
计算机-IT服务-IT服务Ⅲ,920493.BJ,920493,151
建筑装饰-建筑装饰-专业工程,002542.SZ,002542,33
公用事业-电力-火电,600021.SH,600021,17
公用事业-电力-电能综合服务,600969.SH,600969,17
电力设备-电网设备-电气自控设备,920299.BJ,920299,151
计算机-软件开发-垂直应用软件,300663.SZ,300663,33
公用事业-电力-新能源发电,603693.SH,603693,17
家用电器-白色家电-家电零部件,603519.SH,603519,17
基础化工-化学原料-煤化工,600989.SH,600989,17
计算机-软件开发-横向通用软件,688111.SH,688111,17
煤炭-煤炭开采加工-煤炭开采,600758.SH,600758,17
计算机-软件开发-垂直应用软件,300561.SZ,300561,33
石油石化-油气开采及服务-油气开采,300483.SZ,300483,33
交通运输-公路铁路运输-高速公路,600012.SH,600012,17
建筑装饰-建筑装饰-专业工程,002541.SZ,002541,33
医药生物-化学制药-原料药,300765.SZ,300765,33
公用事业-电力-水电,000601.SZ,000601,33
计算机-IT服务-IT服务Ⅲ,920748.BJ,920748,151
电力设备-电网设备-线缆部件及其他,605196.SH,605196,17
电子-半导体-半导体材料,688432.SH,688432,17
医药生物-生物制品-其他生物制品,301080.SZ,301080,33
煤炭-煤炭开采加工-煤炭开采,601699.SH,601699,17
有色金属-工业金属-铝,601600.SH,601600,17
电力设备-电网设备-线缆部件及其他,000720.SZ,000720,33
计算机-软件开发-垂直应用软件,300465.SZ,300465,33
通信-通信服务-通信应用增值服务,002123.SZ,002123,33
公用事业-电力-热力,600982.SH,600982,17
公用事业-电力-热力,605011.SH,605011,17
公用事业-电力-新能源发电,000862.SZ,000862,33
煤炭-煤炭开采加工-煤炭开采,600546.SH,600546,17
电力设备-电网设备-输变电设备,300001.SZ,300001,33
公用事业-电力-新能源发电,601016.SH,601016,17
基础化工-化学制品-其他化学制品,688065.SH,688065,17
基础化工-化学制品-聚氨酯,002165.SZ,002165,33
电力设备-电网设备-电气自控设备,920508.BJ,920508,151
石油石化-油气开采及服务-油气开采,000968.SZ,000968,33
电力设备-电网设备-电气自控设备,001388.SZ,001388,33
基础化工-化学制品-纺织化学用品,600352.SH,600352,17
计算机-IT服务-IT服务Ⅲ,301218.SZ,301218,33
基础化工-农化制品-农药,600486.SH,600486,17
医药生物-医疗器械-医疗耗材,688617.SH,688617,17
汽车-汽车整车-商用载客车,600066.SH,600066,17
石油石化-油气开采及服务-油气开采,600759.SH,600759,22
电子-光学光电子-面板,001399.SZ,001399,33
轻工制造-家居用品-成品家居,301376.SZ,301376,33
石油石化-石油加工贸易-油品石化贸易,000554.SZ,000554,33
计算机-IT服务-IT服务Ⅲ,603629.SH,603629,17
计算机-IT服务-IT服务Ⅲ,300017.SZ,300017,33
公用事业-燃气-燃气Ⅲ,300332.SZ,300332,33
机械设备-通用设备-仪器仪表,688808.SH,688808,17
公用事业-电力-水电,000993.SZ,000993,33
医药生物-化学制药-化学制剂,688506.SH,688506,17
医药生物-生物制品-其他生物制品,688062.SH,688062,17
公用事业-电力-火电,600011.SH,600011,17
公用事业-电力-电能综合服务,600310.SH,600310,17
食品饮料-饮料制造-乳品,605179.SH,605179,17
计算机-IT服务-IT服务Ⅲ,000938.SZ,000938,33
电子-半导体-集成电路制造,688347.SH,688347,17
电子-半导体-数字芯片设计,688702.SH,688702,17
美容护理-美容护理-个护用品,001206.SZ,001206,33
公用事业-电力-新能源发电,002015.SZ,002015,33
公用事业-电力-火电,000543.SZ,000543,33
公用事业-电力-新能源发电,002310.SZ,002310,33
通信-通信设备-通信网络设备及器件,301165.SZ,301165,33
基础化工-化学原料-氯碱,601678.SH,601678,17
医药生物-医疗器械-医疗设备,688271.SH,688271,17
汽车-汽车零部件-轮胎轮毂,300428.SZ,300428,33
计算机-IT服务-IT服务Ⅲ,688568.SH,688568,17
石油石化-石油加工贸易-石油加工,601857.SH,601857,17
基础化工-化学制品-其他化学制品,688133.SH,688133,17
基础化工-化学原料-无机盐,600929.SH,600929,17
电子-半导体-数字芯片设计,688608.SH,688608,17
机械设备-通用设备-金属制品,000039.SZ,000039,33
公用事业-电力-电能综合服务,600101.SH,600101,17
家用电器-白色家电-家电零部件,920699.BJ,920699,151
煤炭-煤炭开采加工-煤炭开采,601666.SH,601666,17
银行-银行-城商行,601187.SH,601187,17
环保-环保设备-环保设备Ⅲ,300105.SZ,300105,33
汽车-汽车服务及其他-其他运输设备,603129.SH,603129,17
国防军工-军工装备-航空装备,688122.SH,688122,17
公用事业-电力-火电,000791.SZ,000791,33
基础化工-化学制品-其他化学制品,002648.SZ,002648,33
计算机-IT服务-IT服务Ⅲ,600131.SH,600131,17
机械设备-轨交设备-轨交设备Ⅲ,601766.SH,601766,17
电力设备-电网设备-电气自控设备,301609.SZ,301609,33
医药生物-中药-中药Ⅲ,002603.SZ,002603,33
电子-消费电子-品牌消费电子,300866.SZ,300866,33
公用事业-电力-电能综合服务,600505.SH,600505,17
轻工制造-家居用品-其他家居用品,688087.SH,688087,17
公用事业-电力-新能源发电,000537.SZ,000537,33
公用事业-电力-电能综合服务,600483.SH,600483,17
社会服务-其他社会服务-专业服务,603373.SH,603373,17
计算机-软件开发-横向通用软件,300766.SZ,300766,33
