股票代码,market_code,所属同花顺行业,code
688806.SH,17,医药生物-生物制品-其他生物制品,688806
920267.BJ,151,电子-消费电子-消费电子零部件及组装,920267
920438.BJ,151,电子-光学光电子-光学元件,920438
688728.SH,17,电子-半导体-数字芯片设计,688728
300643.SZ,33,汽车-汽车零部件-其他汽车零部件,300643
301012.SZ,33,电力设备-电网设备-输变电设备,301012
300795.SZ,33,社会服务-其他社会服务-专业服务,300795
301588.SZ,33,基础化工-塑料制品-其他塑料制品,301588
301421.SZ,33,电子-光学光电子-光学元件,301421
688328.SH,17,机械设备-专用设备-其他专用设备,688328
688596.SH,17,机械设备-专用设备-其他专用设备,688596
688110.SH,17,电子-半导体-数字芯片设计,688110
301310.SZ,33,汽车-汽车零部件-汽车电子电气系统,301310
688261.SH,17,电子-半导体-分立器件,688261
688361.SH,17,电子-半导体-半导体设备,688361
688347.SH,17,电子-半导体-集成电路制造,688347
688072.SH,17,电子-半导体-半导体设备,688072
301273.SZ,33,机械设备-通用设备-其他通用设备,301273
688001.SH,17,机械设备-专用设备-其他专用设备,688001
688797.SH,17,电子-半导体-半导体材料,688797
301580.SZ,33,医药生物-医疗器械-医疗耗材,301580
300604.SZ,33,电子-半导体-半导体设备,300604
688037.SH,17,电子-半导体-半导体设备,688037
301205.SZ,33,通信-通信设备-通信网络设备及器件,301205
301369.SZ,33,电子-半导体-半导体设备,301369
688627.SH,17,机械设备-专用设备-其他专用设备,688627
688809.SH,17,电子-半导体-半导体设备,688809
688002.SH,17,国防军工-军工电子-军工电子Ⅲ,688002
688120.SH,17,电子-半导体-半导体设备,688120
688003.SH,17,机械设备-自动化设备-其他自动化设备,688003
688141.SH,17,电子-半导体-模拟芯片设计,688141
300814.SZ,33,电子-元件-印制电路板,300814
301583.SZ,33,电子-半导体-半导体设备,301583
688147.SH,17,电子-半导体-半导体设备,688147
300285.SZ,33,电子-电子化学品-电子化学品Ⅲ,300285
688371.SH,17,电子-电子化学品-电子化学品Ⅲ,688371
301282.SZ,33,电子-元件-印制电路板,301282
688729.SH,17,电子-半导体-半导体设备,688729
300137.SZ,33,环保-环保设备-环保设备Ⅲ,300137
300093.SZ,33,电力设备-光伏设备-光伏电池组件,300093
688610.SH,17,机械设备-通用设备-仪器仪表,688610
920957.BJ,151,基础化工-化学制品-其他化学制品,920957
688409.SH,17,电子-半导体-半导体设备,688409
688662.SH,17,电子-其他电子-其他电子Ⅲ,688662
688059.SH,17,机械设备-通用设备-金属制品,688059
300201.SZ,33,机械设备-工程机械-工程机械Ⅲ,300201
688012.SH,17,电子-半导体-半导体设备,688012
300666.SZ,33,电子-半导体-半导体材料,300666
688308.SH,17,机械设备-通用设备-金属制品,688308
688392.SH,17,电力设备-电池-锂电专用设备,688392
300408.SZ,33,电子-元件-被动元件,300408
300382.SZ,33,机械设备-专用设备-其他专用设备,300382
688702.SH,17,电子-半导体-数字芯片设计,688702
300757.SZ,33,机械设备-自动化设备-其他自动化设备,300757
301228.SZ,33,社会服务-其他社会服务-专业服务,301228
920701.BJ,151,电子-消费电子-消费电子零部件及组装,920701
300870.SZ,33,电力设备-其他电源设备-其他电源设备Ⅲ,300870
688766.SH,17,电子-半导体-数字芯片设计,688766
688720.SH,17,电子-半导体-半导体材料,688720
300054.SZ,33,电子-电子化学品-电子化学品Ⅲ,300054
688630.SH,17,机械设备-专用设备-其他专用设备,688630
688359.SH,17,电子-电子化学品-电子化学品Ⅲ,688359
300959.SZ,33,通信-通信服务-通信应用增值服务,300959
688403.SH,17,电子-半导体-集成电路封测,688403
300223.SZ,33,电子-半导体-数字芯片设计,300223
688808.SH,17,机械设备-通用设备-仪器仪表,688808
688172.SH,17,电子-半导体-分立器件,688172
688019.SH,17,电子-电子化学品-电子化学品Ⅲ,688019
300567.SZ,33,机械设备-通用设备-仪器仪表,300567
300751.SZ,33,电力设备-光伏设备-光伏加工设备,300751
301566.SZ,33,电子-元件-被动元件,301566
688362.SH,17,电子-半导体-集成电路封测,688362
920179.BJ,151,电子-半导体-半导体材料,920179
688260.SH,17,电子-消费电子-消费电子零部件及组装,688260
920725.BJ,151,机械设备-通用设备-磨具磨料,920725
688652.SH,17,电子-半导体-半导体设备,688652
300649.SZ,33,建筑装饰-建筑装饰-装饰园林,300649
301611.SZ,33,电子-半导体-半导体材料,301611
688646.SH,22,机械设备-自动化设备-激光设备,688646
688605.SH,17,电子-半导体-半导体设备,688605
688530.SH,17,电子-半导体-半导体材料,688530
688700.SH,17,机械设备-专用设备-其他专用设备,688700
300975.SZ,33,电子-其他电子-其他电子Ⅲ,300975
688401.SH,17,电子-半导体-半导体材料,688401
301099.SZ,33,电子-其他电子-其他电子Ⅲ,301099
688008.SH,17,电子-半导体-数字芯片设计,688008
300674.SZ,33,计算机-IT服务-IT服务Ⅲ,300674
688218.SH,17,机械设备-自动化设备-机器人,688218
688082.SH,17,电子-半导体-半导体设备,688082
688416.SH,17,电子-半导体-数字芯片设计,688416
688200.SH,17,电子-半导体-半导体设备,688200
688535.SH,17,电子-半导体-半导体材料,688535
300475.SZ,33,电子-其他电子-其他电子Ⅲ,300475
301200.SZ,33,机械设备-自动化设备-其他自动化设备,301200
688167.SH,17,电子-半导体-分立器件,688167
300806.SZ,33,基础化工-塑料制品-膜材料,300806
300706.SZ,33,电子-半导体-半导体材料,300706
300672.SZ,33,电子-半导体-数字芯片设计,300672
688502.SH,17,电子-光学光电子-光学元件,688502
688249.SH,17,电子-半导体-集成电路制造,688249
300747.SZ,33,机械设备-自动化设备-激光设备,300747
300593.SZ,33,电力设备-其他电源设备-其他电源设备Ⅲ,300593
300534.SZ,33,医药生物-中药-中药Ⅲ,300534
301536.SZ,33,电子-半导体-数字芯片设计,301536
688025.SH,17,机械设备-自动化设备-激光设备,688025
300843.SZ,33,电子-消费电子-消费电子零部件及组装,300843
301328.SZ,33,电子-其他电子-其他电子Ⅲ,301328
300548.SZ,33,通信-通信设备-通信网络设备及器件,300548
688668.SH,17,通信-通信设备-通信网络设备及器件,688668
300968.SZ,33,电子-消费电子-消费电子零部件及组装,300968
301338.SZ,33,机械设备-专用设备-其他专用设备,301338
688545.SH,17,电子-电子化学品-电子化学品Ⅲ,688545
301070.SZ,33,机械设备-通用设备-制冷空调设备,301070
300236.SZ,33,电子-电子化学品-电子化学品Ⅲ,300236
920189.BJ,151,电子-电子化学品-电子化学品Ⅲ,920189
300151.SZ,33,机械设备-专用设备-其他专用设备,300151
920117.BJ,151,电力设备-电池-锂电专用设备,920117
300097.SZ,33,机械设备-自动化设备-其他自动化设备,300097
688693.SH,17,电子-半导体-分立器件,688693
688127.SH,17,电子-光学光电子-光学元件,688127
920187.BJ,151,汽车-汽车零部件-车身附件及饰件,920187
300951.SZ,33,电子-消费电子-消费电子零部件及组装,300951
300373.SZ,33,电子-半导体-分立器件,300373
920699.BJ,151,家用电器-白色家电-家电零部件,920699
688233.SH,17,电子-半导体-半导体材料,688233
300503.SZ,33,机械设备-通用设备-其他通用设备,300503
300835.SZ,33,有色金属-金属新材料-磁性材料,300835
300936.SZ,33,电子-元件-印制电路板,300936
300868.SZ,33,电子-消费电子-消费电子零部件及组装,300868
300308.SZ,33,通信-通信设备-通信网络设备及器件,300308
300620.SZ,33,通信-通信设备-通信网络设备及器件,300620
688138.SH,17,电子-半导体-半导体材料,688138
688216.SH,17,电子-半导体-集成电路封测,688216
688536.SH,17,电子-半导体-模拟芯片设计,688536
301018.SZ,33,机械设备-通用设备-制冷空调设备,301018
688123.SH,17,电子-半导体-数字芯片设计,688123
300112.SZ,33,机械设备-通用设备-仪器仪表,300112
301127.SZ,33,环保-环境治理-水务及水治理,301127
920415.BJ,151,计算机-软件开发-垂直应用软件,920415
688655.SH,17,电子-元件-印制电路板,688655
300042.SZ,33,计算机-计算机设备-其他计算机设备,300042
300083.SZ,33,机械设备-通用设备-机床工具,300083
688307.SH,17,电子-光学光电子-光学元件,688307
688376.SH,17,环保-环保设备-环保设备Ⅲ,688376
301086.SZ,33,电子-消费电子-消费电子零部件及组装,301086
301051.SZ,33,电子-消费电子-消费电子零部件及组装,301051
300179.SZ,33,机械设备-通用设备-磨具磨料,300179
