所属同花顺行业,market_code,股票代码,code
有色金属-金属新材料-磁性材料,33,301323.SZ,301323
医药生物-化学制药-原料药,33,301065.SZ,301065
电力设备-风电设备-风电零部件,151,920200.BJ,920200
电力设备-光伏设备-光伏电池组件,33,002459.SZ,002459
农林牧渔-农产品加工-宠物食品,33,300673.SZ,300673
轻工制造-家居用品-文娱用品,33,002103.SZ,002103
机械设备-通用设备-制冷空调设备,33,301525.SZ,301525
环保-环境治理-综合环境治理,17,688701.SH,688701
美容护理-美容护理-化妆品,17,600223.SH,600223
石油石化-油气开采及服务-油气开采,33,300483.SZ,300483
机械设备-工程机械-工程机械Ⅲ,151,920002.BJ,920002
电力设备-电池-锂电专用设备,33,301513.SZ,301513
机械设备-通用设备-金属制品,17,603699.SH,603699
机械设备-专用设备-其他专用设备,151,920475.BJ,920475
电力设备-光伏设备-光伏辅材,17,600207.SH,600207
机械设备-通用设备-金属制品,17,603667.SH,603667
基础化工-化学制品-涂料油墨,17,688129.SH,688129
机械设备-通用设备-仪器仪表,33,301006.SZ,301006
医药生物-中药-中药Ⅲ,17,603439.SH,603439
通信-通信服务-通信工程及服务,33,002544.SZ,002544
基础化工-化学纤维-涤纶,17,601233.SH,601233
医药生物-化学制药-化学制剂,33,000153.SZ,000153
电子-光学光电子-LED,33,301002.SZ,301002
国防军工-军工电子-军工电子Ⅲ,33,301682.SZ,301682
轻工制造-包装印刷-包装,151,920163.BJ,920163
传媒-影视院线-影视院线Ⅲ,33,002739.SZ,002739
社会服务-旅游及酒店-酒店,33,301073.SZ,301073
电子-消费电子-消费电子零部件及组装,33,300709.SZ,300709
电子-光学光电子-光学元件,33,301479.SZ,301479
机械设备-专用设备-其他专用设备,151,920080.BJ,920080
食品饮料-白酒-白酒Ⅲ,17,603919.SH,603919
基础化工-化学纤维-涤纶,33,002998.SZ,002998
电力设备-电池-锂电专用设备,17,688006.SH,688006
医药生物-中药-中药Ⅲ,17,600436.SH,600436
电子-半导体-数字芯片设计,17,688802.SH,688802
基础化工-化学制品-其他化学制品,17,603948.SH,603948
电子-其他电子-其他电子Ⅲ,33,301328.SZ,301328
通信-通信设备-通信终端及配件,17,688027.SH,688027
机械设备-工程机械-工程机械Ⅲ,17,605389.SH,605389
机械设备-通用设备-机床工具,33,002520.SZ,002520
汽车-汽车零部件-其他汽车零部件,17,605018.SH,605018
电力设备-电网设备-线缆部件及其他,33,002471.SZ,002471
建筑装饰-建筑装饰-工程咨询服务,33,300635.SZ,300635
商贸零售-零售-百货零售,17,605188.SH,605188
电力设备-风电设备-风电零部件,33,002487.SZ,002487
计算机-软件开发-横向通用软件,33,300624.SZ,300624
机械设备-通用设备-其他通用设备,17,688648.SH,688648
电力设备-风电设备-风电零部件,33,300129.SZ,300129
农林牧渔-养殖业-动物保健,17,688526.SH,688526
环保-环境治理-固废治理,33,000546.SZ,000546
医药生物-医药商业-药店,17,605266.SH,605266
医药生物-化学制药-化学制剂,17,600488.SH,600488
电力设备-光伏设备-光伏辅材,17,688408.SH,688408
基础化工-化学原料-煤化工,17,600989.SH,600989
机械设备-专用设备-能源及重型设备,33,001225.SZ,001225
机械设备-通用设备-金属制品,33,002342.SZ,002342
计算机-计算机设备-安防设备,33,300790.SZ,300790
美容护理-美容护理-个护用品,33,300658.SZ,300658
汽车-汽车零部件-轮胎轮毂,33,300428.SZ,300428
电子-半导体-半导体设备,17,603690.SH,603690
食品饮料-白酒-白酒Ⅲ,33,000858.SZ,000858
医药生物-中药-中药Ⅲ,17,600085.SH,600085
基础化工-化学制品-聚氨酯,33,300848.SZ,300848
电子-半导体-模拟芯片设计,17,688325.SH,688325
电力设备-其他电源设备-其他电源设备Ⅲ,33,300153.SZ,300153
石油石化-石油加工贸易-石油加工,17,601857.SH,601857
非银金融-证券-证券Ⅲ,17,601696.SH,601696
医药生物-中药-中药Ⅲ,17,600329.SH,600329
环保-环境治理-大气治理,151,920263.BJ,920263
机械设备-专用设备-印刷包装机械,33,300509.SZ,300509
电力设备-其他电源设备-其他电源设备Ⅲ,33,002335.SZ,002335
基础化工-塑料制品-改性塑料,33,300644.SZ,300644
公用事业-电力-新能源发电,33,002053.SZ,002053
轻工制造-造纸-造纸Ⅲ,33,002235.SZ,002235
电子-半导体-半导体材料,17,688584.SH,688584
环保-环保设备-环保设备Ⅲ,33,300800.SZ,300800
农林牧渔-养殖业-动物保健,33,300119.SZ,300119
计算机-软件开发-横向通用软件,17,688031.SH,688031
电子-光学光电子-面板,33,000100.SZ,000100
机械设备-通用设备-其他通用设备,33,300257.SZ,300257
机械设备-专用设备-楼宇设备,17,603356.SH,603356
计算机-软件开发-垂直应用软件,33,300469.SZ,300469
医药生物-中药-中药Ⅲ,17,603896.SH,603896
农林牧渔-农产品加工-粮油加工,17,603182.SH,603182
有色金属-金属新材料-磁性材料,33,300127.SZ,300127
基础化工-化学制品-其他化学制品,33,002669.SZ,002669
电子-半导体-数字芯片设计,33,300458.SZ,300458
汽车-汽车零部件-底盘与发动机系统,151,920896.BJ,920896
医药生物-医疗器械-医疗设备,17,688410.SH,688410
机械设备-通用设备-磨具磨料,33,002760.SZ,002760
电力设备-电网设备-线缆部件及其他,17,600973.SH,600973
食品饮料-饮料制造-乳品,17,600882.SH,600882
计算机-IT服务-IT服务Ⅲ,17,688787.SH,688787
传媒-文化传媒-广告营销,33,301102.SZ,301102
医药生物-医疗器械-体外诊断,17,688468.SH,688468
电子-电子化学品-电子化学品Ⅲ,151,920189.BJ,920189
电子-消费电子-消费电子零部件及组装,33,002635.SZ,002635
医药生物-医药商业-医药流通,17,600998.SH,600998
房地产-房地产-住宅开发,17,600773.SH,600773
社会服务-旅游及酒店-自然景点,17,600054.SH,600054
家用电器-小家电-小家电Ⅲ,17,688793.SH,688793
计算机-计算机设备-其他计算机设备,33,300508.SZ,300508
电力设备-电网设备-线缆部件及其他,17,605196.SH,605196
食品饮料-白酒-白酒Ⅲ,17,603589.SH,603589
医药生物-中药-中药Ⅲ,17,600422.SH,600422
机械设备-通用设备-其他通用设备,33,300091.SZ,300091
电力设备-电网设备-输变电设备,33,002350.SZ,002350
机械设备-轨交设备-轨交设备Ⅲ,33,000925.SZ,000925
基础化工-化学制品-涂料油墨,33,301036.SZ,301036
基础化工-塑料制品-其他塑料制品,17,603330.SH,603330
纺织服饰-服装家纺-鞋帽及其他,17,603307.SH,603307
电子-半导体-数字芯片设计,17,688259.SH,688259
公用事业-电力-水电,33,000993.SZ,000993
基础化工-化学制品-其他化学制品,33,301286.SZ,301286
国防军工-军工电子-军工电子Ⅲ,17,600855.SH,600855
医药生物-化学制药-化学制剂,22,600079.SH,600079
计算机-IT服务-IT服务Ⅲ,17,688228.SH,688228
基础化工-化学制品-其他化学制品,17,688196.SH,688196
煤炭-煤炭开采加工-煤炭开采,17,600403.SH,600403
农林牧渔-养殖业-肉鸡养殖,33,002458.SZ,002458
建筑装饰-建筑装饰-基础建设,33,301046.SZ,301046
汽车-汽车零部件-车身附件及饰件,33,300100.SZ,300100
医药生物-医药商业-医药流通,17,603368.SH,603368
房地产-房地产-商业地产,17,600663.SH,600663
电子-光学光电子-面板,17,605588.SH,605588
基础化工-化学制品-其他化学制品,33,300109.SZ,300109
食品饮料-食品加工制造-其他食品,151,920429.BJ,920429
机械设备-通用设备-金属制品,33,001379.SZ,001379
通信-通信设备-通信线缆及配套,17,603042.SH,603042
汽车-汽车零部件-汽车电子电气系统,33,301656.SZ,301656
食品饮料-饮料制造-乳品,33,002910.SZ,002910
机械设备-自动化设备-机器人,33,300024.SZ,300024
基础化工-化学制品-其他化学制品,17,688602.SH,688602
电力设备-电池-锂电专用设备,17,688573.SH,688573
基础化工-化学制品-涂料油墨,151,920206.BJ,920206
轻工制造-家居用品-成品家居,33,301336.SZ,301336
环保-环保设备-环保设备Ⅲ,17,600817.SH,600817
机械设备-通用设备-磨具磨料,33,300861.SZ,300861
通信-通信设备-通信网络设备及器件,151,920045.BJ,920045
环保-环境治理-固废治理,151,920370.BJ,920370
公用事业-电力-电能综合服务,17,688248.SH,688248
电子-光学光电子-面板,33,000050.SZ,000050
机械设备-通用设备-金属制品,33,300402.SZ,300402
电力设备-其他电源设备-其他电源设备Ⅲ,17,600212.SH,600212
家用电器-厨卫电器-厨卫电器Ⅲ,33,300894.SZ,300894
机械设备-专用设备-其他专用设备,33,300988.SZ,300988
汽车-汽车零部件-其他汽车零部件,33,002997.SZ,002997
基础化工-化学制品-其他化学制品,33,300405.SZ,300405
食品饮料-白酒-白酒Ⅲ,17,600779.SH,600779
机械设备-轨交设备-轨交设备Ⅲ,33,300851.SZ,300851
电子-半导体-模拟芯片设计,17,688153.SH,688153
计算机-IT服务-IT服务Ⅲ,17,600589.SH,600589
国防军工-军工装备-航空装备,17,688510.SH,688510
电力设备-光伏设备-光伏加工设备,33,300724.SZ,300724
机械设备-自动化设备-机器人,151,920579.BJ,920579
电子-消费电子-品牌消费电子,17,688775.SH,688775
通信-通信设备-通信终端及配件,33,300590.SZ,300590
环保-环境治理-固废治理,17,601827.SH,601827
医药生物-医疗器械-体外诊断,33,002030.SZ,002030
国防军工-军工装备-航空装备,17,688281.SH,688281
电子-消费电子-消费电子零部件及组装,17,603296.SH,603296
机械设备-专用设备-能源及重型设备,33,001277.SZ,001277
钢铁-钢铁-冶钢原料,17,601121.SH,601121
机械设备-自动化设备-机器人,33,002979.SZ,002979
农林牧渔-农产品加工-畜禽饲料,33,002100.SZ,002100
医药生物-中药-中药Ⅲ,33,300519.SZ,300519
机械设备-工程机械-工程机械Ⅲ,151,920599.BJ,920599
轻工制造-包装印刷-包装,33,002565.SZ,002565
综合-综合-综合Ⅲ,17,600089.SH,600089
