code,所属同花顺行业,market_code,股票代码
300687,计算机-IT服务-IT服务Ⅲ,33,300687.SZ
301486,通信-通信设备-通信网络设备及器件,33,301486.SZ
002353,机械设备-专用设备-能源及重型设备,33,002353.SZ
300776,电力设备-光伏设备-光伏加工设备,33,300776.SZ
300938,社会服务-其他社会服务-专业服务,33,300938.SZ
300283,电力设备-电网设备-输变电设备,33,300283.SZ
688228,计算机-IT服务-IT服务Ⅲ,17,688228.SH
688020,电子-电子化学品-电子化学品Ⅲ,17,688020.SH
688786,有色金属-金属新材料-磁性材料,17,688786.SH
300669,机械设备-专用设备-楼宇设备,33,300669.SZ
600558,机械设备-通用设备-金属制品,17,600558.SH
301583,电子-半导体-半导体设备,33,301583.SZ
688825,电子-半导体-数字芯片设计,17,688825.SH
688177,医药生物-生物制品-其他生物制品,17,688177.SH
301030,环保-环保设备-环保设备Ⅲ,33,301030.SZ
601026,基础化工-塑料制品-合成树脂,17,601026.SH
600888,有色金属-工业金属-铝,17,600888.SH
600611,交通运输-公路铁路运输-公交,17,600611.SH
300975,电子-其他电子-其他电子Ⅲ,33,300975.SZ
000716,食品饮料-食品加工制造-休闲食品,33,000716.SZ
301183,电子-光学光电子-光学元件,33,301183.SZ
688262,电子-半导体-数字芯片设计,17,688262.SH
603283,机械设备-自动化设备-工控设备,17,603283.SH
300791,食品饮料-食品加工制造-其他食品,33,300791.SZ
300575,基础化工-农化制品-农药,33,300575.SZ
600869,电力设备-电网设备-线缆部件及其他,17,600869.SH
300502,通信-通信设备-通信网络设备及器件,33,300502.SZ
002631,轻工制造-家居用品-瓷砖地板,33,002631.SZ
605186,机械设备-自动化设备-其他自动化设备,17,605186.SH
688502,电子-光学光电子-光学元件,17,688502.SH
600302,机械设备-专用设备-纺织服装设备,22,600302.SH
603175,电子-元件-印制电路板,17,603175.SH
002835,计算机-计算机设备-安防设备,33,002835.SZ
300263,机械设备-通用设备-其他通用设备,33,300263.SZ
603158,汽车-汽车零部件-底盘与发动机系统,17,603158.SH
301328,电子-其他电子-其他电子Ⅲ,33,301328.SZ
605033,基础化工-农化制品-农药,17,605033.SH
688432,电子-半导体-半导体材料,17,688432.SH
605006,建筑材料-建筑材料-玻璃玻纤,17,605006.SH
300515,机械设备-通用设备-仪器仪表,33,300515.SZ
300394,通信-通信设备-通信网络设备及器件,33,300394.SZ
688110,电子-半导体-数字芯片设计,17,688110.SH
002674,纺织服饰-纺织制造-辅料,33,002674.SZ
002520,机械设备-通用设备-机床工具,33,002520.SZ
000534,医药生物-生物制品-其他生物制品,33,000534.SZ
002957,机械设备-自动化设备-工控设备,33,002957.SZ
301312,机械设备-自动化设备-工控设备,33,301312.SZ
300137,环保-环保设备-环保设备Ⅲ,33,300137.SZ
300627,通信-通信设备-通信终端及配件,33,300627.SZ
002538,基础化工-农化制品-复合肥,33,002538.SZ
001359,基础化工-非金属材料-非金属材料Ⅲ,33,001359.SZ
603938,基础化工-化学原料-其他化学原料,17,603938.SH
600111,有色金属-小金属-稀土,17,600111.SH
301181,汽车-汽车零部件-底盘与发动机系统,33,301181.SZ
600243,机械设备-通用设备-其他通用设备,22,600243.SH
300545,电子-光学光电子-面板,33,300545.SZ
301607,汽车-汽车零部件-汽车电子电气系统,33,301607.SZ
300420,机械设备-通用设备-其他通用设备,33,300420.SZ
301150,电力设备-电池-锂电池,33,301150.SZ
301349,电力设备-电池-电池化学品,33,301349.SZ
605289,建筑装饰-建筑装饰-装饰园林,17,605289.SH
688811,有色金属-金属新材料-其他金属新材料,17,688811.SH
001210,公用事业-电力-热力,33,001210.SZ
300907,电力设备-电机-电机Ⅲ,33,300907.SZ
603658,医药生物-医疗器械-体外诊断,17,603658.SH
688212,医药生物-医疗器械-医疗设备,17,688212.SH
301323,有色金属-金属新材料-磁性材料,33,301323.SZ
300857,计算机-计算机设备-其他计算机设备,33,300857.SZ
920662,机械设备-通用设备-其他通用设备,151,920662.BJ
603203,机械设备-自动化设备-工控设备,17,603203.SH
002903,机械设备-通用设备-机床工具,33,002903.SZ
688332,电子-半导体-数字芯片设计,17,688332.SH
300489,电子-光学光电子-光学元件,33,300489.SZ
688108,医药生物-医疗器械-医疗耗材,17,688108.SH
002718,建筑材料-建筑材料-其他建材,33,002718.SZ
688207,计算机-IT服务-IT服务Ⅲ,17,688207.SH
603958,纺织服饰-服装家纺-鞋帽及其他,17,603958.SH
300607,机械设备-自动化设备-机器人,33,300607.SZ
603124,有色金属-金属新材料-其他金属新材料,17,603124.SH
920725,机械设备-通用设备-磨具磨料,151,920725.BJ
688679,环保-环境治理-固废治理,17,688679.SH
688677,医药生物-医疗器械-医疗设备,17,688677.SH
300647,电子-消费电子-消费电子零部件及组装,33,300647.SZ
301132,电子-元件-印制电路板,33,301132.SZ
688772,电力设备-电池-锂电池,17,688772.SH
603790,基础化工-化学制品-纺织化学用品,17,603790.SH
002491,通信-通信设备-通信线缆及配套,33,002491.SZ
301555,基础化工-塑料制品-合成树脂,33,301555.SZ
300480,机械设备-专用设备-能源及重型设备,33,300480.SZ
688270,电子-半导体-模拟芯片设计,22,688270.SH
920189,电子-电子化学品-电子化学品Ⅲ,151,920189.BJ
301041,电子-元件-印制电路板,33,301041.SZ
002279,计算机-软件开发-横向通用软件,33,002279.SZ
000056,商贸零售-零售-商业物业经营,33,000056.SZ
300895,通信-通信服务-通信应用增值服务,33,300895.SZ
002975,机械设备-自动化设备-工控设备,33,002975.SZ
301203,环保-环境治理-水务及水治理,33,301203.SZ
603726,家用电器-白色家电-家电零部件,17,603726.SH
688048,电子-半导体-分立器件,17,688048.SH
688195,电子-光学光电子-光学元件,17,688195.SH
605100,机械设备-通用设备-金属制品,17,605100.SH
301389,电子-消费电子-消费电子零部件及组装,33,301389.SZ
688138,电子-半导体-半导体材料,17,688138.SH
301373,基础化工-化学制品-其他化学制品,33,301373.SZ
688531,机械设备-专用设备-其他专用设备,17,688531.SH
301226,机械设备-通用设备-其他通用设备,33,301226.SZ
002443,钢铁-钢铁-特钢,33,002443.SZ
301584,医药生物-医药商业-医药流通,33,301584.SZ
301458,电子-元件-被动元件,33,301458.SZ
603803,通信-通信设备-通信终端及配件,17,603803.SH
688797,电子-半导体-半导体材料,17,688797.SH
300661,电子-半导体-模拟芯片设计,33,300661.SZ
603091,轻工制造-家居用品-其他家居用品,17,603091.SH
600226,公用事业-电力-热力,17,600226.SH
002281,通信-通信设备-通信网络设备及器件,33,002281.SZ
300596,基础化工-化学制品-其他化学制品,33,300596.SZ
603156,食品饮料-饮料制造-软饮料,17,603156.SH
688623,机械设备-自动化设备-其他自动化设备,17,688623.SH
300196,建筑材料-建筑材料-玻璃玻纤,33,300196.SZ
300084,机械设备-专用设备-能源及重型设备,33,300084.SZ
920193,电力设备-电池-电池化学品,151,920193.BJ
301358,电力设备-电池-电池化学品,33,301358.SZ
300821,基础化工-化学制品-有机硅,33,300821.SZ
300440,计算机-IT服务-IT服务Ⅲ,33,300440.SZ
301021,机械设备-自动化设备-激光设备,33,301021.SZ
301209,基础化工-化学制品-涂料油墨,33,301209.SZ
920833,机械设备-通用设备-其他通用设备,151,920833.BJ
688353,电力设备-电池-电池化学品,17,688353.SH
003018,轻工制造-包装印刷-包装,33,003018.SZ
688312,机械设备-自动化设备-其他自动化设备,17,688312.SH
688123,电子-半导体-数字芯片设计,17,688123.SH
688158,计算机-IT服务-IT服务Ⅲ,17,688158.SH
300852,电子-元件-印制电路板,33,300852.SZ
301687,基础化工-塑料制品-膜材料,33,301687.SZ
300429,电子-电子化学品-电子化学品Ⅲ,33,300429.SZ
688582,电子-半导体-模拟芯片设计,17,688582.SH
688535,电子-半导体-半导体材料,17,688535.SH
600348,煤炭-煤炭开采加工-煤炭开采,17,600348.SH
002586,建筑装饰-建筑装饰-基础建设,33,002586.SZ
603031,电力设备-电池-其他电池,17,603031.SH
300711,通信-通信设备-其他通信设备,33,300711.SZ
300041,基础化工-化学制品-有机硅,33,300041.SZ
688601,电子-半导体-模拟芯片设计,17,688601.SH
301382,通信-通信服务-通信应用增值服务,33,301382.SZ
603268,国防军工-军工装备-航海装备,17,603268.SH
000551,环保-环保设备-环保设备Ⅲ,33,000551.SZ
688628,机械设备-通用设备-仪器仪表,17,688628.SH
600301,有色金属-小金属-其他小金属,17,600301.SH
300418,传媒-游戏-游戏Ⅲ,33,300418.SZ
300442,通信-通信服务-通信应用增值服务,33,300442.SZ
002870,汽车-汽车零部件-汽车电子电气系统,33,002870.SZ
301045,电子-光学光电子-面板,33,301045.SZ
688627,机械设备-专用设备-其他专用设备,17,688627.SH
688611,电力设备-电网设备-电气自控设备,17,688611.SH
603703,电子-光学光电子-面板,17,603703.SH
688252,电子-半导体-数字芯片设计,17,688252.SH
002552,电子-元件-印制电路板,33,002552.SZ
603922,汽车-汽车零部件-其他汽车零部件,22,603922.SH
605589,基础化工-塑料制品-合成树脂,17,605589.SH
002192,有色金属-能源金属-锂,33,002192.SZ
301003,基础化工-塑料制品-改性塑料,33,301003.SZ
688199,基础化工-化学制品-其他化学制品,17,688199.SH
002636,电子-元件-印制电路板,33,002636.SZ
301070,机械设备-通用设备-制冷空调设备,33,301070.SZ
688692,计算机-软件开发-横向通用软件,17,688692.SH
001270,国防军工-军工电子-军工电子Ⅲ,33,001270.SZ
002346,电力设备-电网设备-输变电设备,33,002346.SZ
000815,通信-通信服务-通信应用增值服务,33,000815.SZ
688508,电子-半导体-模拟芯片设计,17,688508.SH
301141,有色金属-金属新材料-磁性材料,33,301141.SZ
920220,汽车-汽车零部件-底盘与发动机系统,151,920220.BJ
688352,电子-半导体-集成电路封测,17,688352.SH
603012,机械设备-专用设备-能源及重型设备,17,603012.SH
300171,医药生物-医疗器械-医疗设备,33,300171.SZ
300383,通信-通信服务-通信应用增值服务,33,300383.SZ
603969,机械设备-通用设备-金属制品,17,603969.SH
002757,机械设备-专用设备-其他专用设备,33,002757.SZ
300733,汽车-汽车零部件-底盘与发动机系统,33,300733.SZ
688268,电子-电子化学品-电子化学品Ⅲ,17,688268.SH
600839,家用电器-黑色家电-彩电,17,600839.SH
002429,家用电器-黑色家电-彩电,33,002429.SZ
300726,国防军工-军工电子-军工电子Ⅲ,33,300726.SZ
300252,国防军工-军工电子-军工电子Ⅲ,33,300252.SZ
002785,建筑材料-建筑材料-其他建材,33,002785.SZ
605339,食品饮料-食品加工制造-休闲食品,17,605339.SH
002738,有色金属-小金属-其他小金属,33,002738.SZ
002635,电子-消费电子-消费电子零部件及组装,33,002635.SZ
688388,电力设备-电池-锂电池,17,688388.SH
300976,电子-消费电子-消费电子零部件及组装,33,300976.SZ
300903,电子-元件-印制电路板,33,300903.SZ
688359,电子-电子化学品-电子化学品Ⅲ,17,688359.SH
688333,机械设备-通用设备-其他通用设备,17,688333.SH
300832,医药生物-医疗器械-体外诊断,33,300832.SZ
603297,电子-光学光电子-光学元件,17,603297.SH
600188,煤炭-煤炭开采加工-煤炭开采,17,600188.SH
603986,电子-半导体-数字芯片设计,17,603986.SH
301217,电力设备-电池-锂电池,33,301217.SZ
603936,电子-元件-印制电路板,17,603936.SH
600397,机械设备-专用设备-能源及重型设备,17,600397.SH
600395,煤炭-煤炭开采加工-煤炭开采,17,600395.SH
301248,计算机-IT服务-IT服务Ⅲ,33,301248.SZ
600330,电子-电子化学品-电子化学品Ⅲ,17,600330.SH
001268,家用电器-白色家电-家电零部件,33,001268.SZ
300767,基础化工-橡胶制品-其他橡胶制品,33,300767.SZ
300320,基础化工-橡胶制品-其他橡胶制品,33,300320.SZ
600549,有色金属-小金属-钨,17,600549.SH
688603,电子-电子化学品-电子化学品Ⅲ,17,688603.SH
603867,基础化工-化学制品-其他化学制品,17,603867.SH
300433,电子-消费电子-消费电子零部件及组装,33,300433.SZ
002632,基础化工-塑料制品-膜材料,33,002632.SZ
000711,环保-环境治理-综合环境治理,33,000711.SZ
601137,有色金属-金属新材料-其他金属新材料,17,601137.SH
002115,通信-通信服务-通信工程及服务,33,002115.SZ
603159,机械设备-专用设备-其他专用设备,17,603159.SH
301210,电力设备-电池-锂电池,33,301210.SZ
301086,电子-消费电子-消费电子零部件及组装,33,301086.SZ
688615,计算机-软件开发-垂直应用软件,17,688615.SH
688381,电子-半导体-模拟芯片设计,17,688381.SH
300745,汽车-汽车零部件-汽车电子电气系统,33,300745.SZ
002902,通信-通信设备-通信网络设备及器件,33,002902.SZ
300388,环保-环境治理-水务及水治理,33,300388.SZ
300398,电子-电子化学品-电子化学品Ⅲ,33,300398.SZ
002929,通信-通信服务-通信工程及服务,33,002929.SZ
688173,电子-半导体-模拟芯片设计,17,688173.SH
002637,基础化工-化学制品-其他化学制品,33,002637.SZ
600737,农林牧渔-农产品加工-其他农产品加工,17,600737.SH
300488,机械设备-通用设备-金属制品,33,300488.SZ
301017,医药生物-医药商业-药店,33,301017.SZ
