code,涨停原因类别[20260123],market_code,股票代码
000004,AI大模型+鸿蒙安全+移动安全,33,000004.SZ
000159,光伏支架+拟收购怡宝矿业+油品批发,33,000159.SZ
000561,商业航天+人形机器人+陕西国资+军工通信,33,000561.SZ
000565,航天涂料+辐射制冷+重庆国资,33,000565.SZ
000591,光伏电站+补贴到账+央企,33,000591.SZ
000592,福建自贸区+林木主业+菌草纤维板,33,000592.SZ
000593,天然气+氢能中心+控制权变更,33,000593.SZ
000603,黄金+白银+并购扩张,33,000603.SZ
000607,数字人+杭州国资+文化传媒,33,000607.SZ
000608,控制权变更+商业地产+ST板块,33,000608.SZ
000630,黄金+铜箔+稀贵金属+国企,33,000630.SZ
000638,,33,000638.SZ
000751,有色金属+三季报增长+锌铜冶炼,33,000751.SZ
000820,储能中标+固废处理+ST板块,33,000820.SZ
000821,钙钛矿设备+光伏装备,33,000821.SZ
000990,POE胶膜+国企改革+半导体显示材料,33,000990.SZ
001203,碳酸锂涨价+锂矿放量+铁矿龙头,33,001203.SZ
001223,固态电池+PI薄膜+锂电设备,33,001223.SZ
001270,商业航天+低轨卫星+T/R芯片,33,001270.SZ
001316,商业航天+低空经济+航材分销,33,001316.SZ
001400,商业航天+铝挤压模具+风电装备,33,001400.SZ
002005,三季报扭亏+LED封装+横琴新区+ST板块,33,002005.SZ
002058,固态电池+铝塑膜+汽车检具,33,002058.SZ
002088,隔热材料+陶瓷纤维+锂电池纤维纸+节能降碳,33,002088.SZ
002112,电网设备+变压器+欧洲设子公司+地方国资,33,002112.SZ
002149,商业航天+可控核聚变+超导+国企,33,002149.SZ
002150,光伏逆变器+储能系统+北美市场,33,002150.SZ
002202,商业航天+风电龙头+绿氢氨醇,33,002202.SZ
002218,回购注销+自持电站+钙钛矿,33,002218.SZ
002231,,33,002231.SZ
002323,光伏建筑一体化+枣庄国资,33,002323.SZ
002339,电网设备+中标+特高压,33,002339.SZ
002342,商业航天+深海系泊+索具龙头,33,002342.SZ
002405,智驾定点+商业航天+业绩预增,33,002405.SZ
002471,商业航天+高温合金+电线电缆,33,002471.SZ
002492,石化仓储+创投+横琴新区,33,002492.SZ
002506,光伏设备+TOPCon+光储一体化,33,002506.SZ
002569,ST板块+宝鸡国资+男装品牌,33,002569.SZ
002592,汽车零部件+新能源基地+股权转让+散热器,33,002592.SZ
002623,钙钛矿电池+特斯拉+超薄光伏玻璃,33,002623.SZ
002636,2025年报预增+覆铜板+PCB概念,33,002636.SZ
002658,商业航天+芯片概念+碳监测,33,002658.SZ
002667,碳酸锂+郴州锂矿+有色金属,33,002667.SZ
002679,海峡两岸+林业+国企,33,002679.SZ
002721,黄金+AI金融+海淀国资,33,002721.SZ
002780,宇航服+冰雪产业+露营经济+X-BIONIC,33,002780.SZ
002792,商业航天+卫星通信+6G,33,002792.SZ
002810,纤维素醚+植物胶囊+锂电池,33,002810.SZ
002816,半导体+储能线束+国企+扭亏,33,002816.SZ
002865,太空光伏+配售H股+TOPCon电池,33,002865.SZ
