market_code,code,股票代码,涨停原因类别[20260127]
33,003031,003031.SZ,光模块+SiC芯片+电子陶瓷+央企
17,688702,688702.SH,以太网交换芯片+边缘计算+大基金持股
22,600599,600599.SH,
22,603261,603261.SH,
33,002231,002231.SZ,
17,603916,603916.SH,AI4S+混凝土外加剂+雅下水电
33,000638,000638.SZ,
33,000506,000506.SZ,黄金+扭亏为盈+国企
22,600608,600608.SH,花卉转型+ST板块+昆明国资
33,000820,000820.SZ,
17,601212,601212.SH,黄金+白银+锂电材料
33,000738,000738.SZ,商业航天+军工装备+国企改革
33,000592,000592.SZ,福建自贸区+林木主业+菌草纤维板
33,002816,002816.SZ,
33,001270,001270.SZ,低轨卫星+T/R芯片+商业航天
17,603663,603663.SH,2025年报预增+固态电池+锆铪分离+核电
33,002995,002995.SZ,持股艺莲文创+AI营销+海南陵发战投
17,603120,603120.SH,催化材料+光刻胶+芯片
33,300806,300806.SZ,折叠屏+OCA光学胶+膜材扩产
33,002150,002150.SZ,光伏逆变器+储能系统+北美市场
17,603929,603929.SH,IC洁净室+台积电扩产
17,600877,600877.SH,卫星通信芯片+商业航天+硅基模拟芯片+央企
17,603132,603132.SH,有色金属+资源增储+前三季度业绩增长
17,603396,603396.SH,光伏设备+钙钛矿电池+海外布局
33,002796,002796.SZ,CPO光模块+增资光彩芯辰+精密箱体
17,603381,603381.SH,光伏边框+人形机器人+越南满产
33,002291,002291.SZ,AI应用+直播电商+剥离鞋业
17,600531,600531.SH,黄金+白银+铅铜龙头+国企改革
33,001267,001267.SZ,光模块+CPO+鄂州投产
33,002155,002155.SZ,重组复牌+黄金预增+湖南国资
22,600696,600696.SH,
17,600602,600602.SH,松江智算中心+云服务+AI智能体+上海国资
17,603121,603121.SH,人形机器人+传感器+比亚迪
33,300639,300639.SZ,尼帕病毒检测+体外诊断+流感检测+HPV检测
17,603488,603488.SH,军工仿真+电梯门系统+虚拟现实
17,600916,600916.SH,黄金销售+央企
17,600893,600893.SH,航空发动机+燃气轮机+军工+国企
17,603798,603798.SH,
17,603163,603163.SH,半导体洁净室+东南亚布局+在手订单
33,002634,002634.SZ,预重整+TOPCon电池+无缝服装+外销占比高
33,001337,001337.SZ,金价新高+金精矿+四川国资
33,002009,002009.SZ,银河通用+人形机器人+优必选
33,002030,002030.SZ,流感检测+体外诊断+广州国资
33,000659,000659.SZ,横琴新区+饮料代工+PET瓶
33,002592,002592.SZ,
17,600475,600475.SH,热电联产+光伏电站+无锡国资
33,002185,002185.SZ,收购华羿微电+存储芯片+先进封装
17,603061,603061.SH,先进封装+封测设备+年报预增
22,603828,603828.SH,控制权变更+光伏建筑一体化+装配化装修
33,301396,301396.SZ,算力+腾讯云+智慧城市
17,600391,600391.SH,长江发动机+军工装备+燃气轮机+央企
33,003042,003042.SZ,供销社+草甘膦+农药原药
17,688110,688110.SH,业绩预增+AI存储+GPU合作
17,605288,605288.SH,人形机器人+线性驱动+智能家居
17,603516,603516.SH,
33,002119,002119.SZ,存储芯片+封装材料+回购进行中
17,600172,600172.SH,热沉片量产+培育钻石+国资背景
33,002446,002446.SZ,卫星互联网+军工电子+6G天线
17,603212,603212.SH,钙钛矿电池+半导体材料+AI新材料
22,603021,603021.SH,ST板块+日用玻璃+跨境电商
33,300689,300689.SZ,液冷+北美供应链+半导体封装+智能卡
33,002689,002689.SZ,年报预增+一带一路+旧梯改造
33,002218,002218.SZ,商业航天+钙钛矿+回购注销+自持电站
33,002943,002943.SZ,光伏概念+碳化硅设备+消费电子
33,300344,300344.SZ,实控人公开信+退市风险+数字云服务
33,002199,002199.SZ,
33,002528,002528.SZ,
33,001311,001311.SZ,特斯拉人形机器人+一体化压铸+汽车零部件
33,002524,002524.SZ,AI医疗+眼科连锁+天然气
33,002115,002115.SZ,AI应用+卫星通信+海外扩张
17,603052,603052.SH,硅光芯片+光模块+消费电子
