market_code,涨停原因类别[20260130],股票代码,code
33,,002716.SZ,002716
33,光纤光缆+数据中心+出售股权,002491.SZ,002491
33,,000426.SZ,000426
17,商业航天+智慧应急+央企,600345.SH,600345
33,,000638.SZ,000638
33,,000506.SZ,000506
22,花卉转型+ST板块+昆明国资,600608.SH,600608
17,,603993.SH,603993
17,特高压+算力中心+出海订单+回购价上调,603861.SH,603861
33,,002645.SZ,002645
33,,000630.SZ,000630
17,,601212.SH,601212
33,,002731.SZ,002731
33,持股艺莲文创+AI营销+海南陵发战投,002995.SZ,002995
33,转基因玉米+农业种植+种业振兴,002041.SZ,002041
33,,300139.SZ,300139
17,年报预增+定增落地+种业龙头+央企,600313.SH,600313
17,汽车物流+比亚迪概念+统一大市场,605151.SH,605151
17,,600961.SH,600961
17,算力+央企入主+IDC转型,603887.SH,603887
17,,600714.SH,600714
33,重整完成+算力中心+家装AI,002713.SZ,002713
33,,002880.SZ,002880
33,,000060.SZ,000060
33,,002253.SZ,002253
17,,600531.SH,600531
33,重组复牌+黄金预增+湖南国资,002155.SZ,002155
17,种业股+转基因+增持,600371.SH,600371
17,CPO+激光器+业绩预增,688025.SH,688025
17,,600392.SH,600392
17,种业+转基因+国企+股份过户,600354.SH,600354
33,电子纸+汽车电子+智慧零售,002952.SZ,002952
17,业绩预盈+算力订单+液冷服务器+储能+IP经济,605289.SH,605289
17,,600362.SH,600362
33,,002227.SZ,002227
33,,001337.SZ,001337
33,银河通用+人形机器人+优必选,002009.SZ,002009
33,,000751.SZ,000751
17,业绩预增+高速树脂+AI服务器,601208.SH,601208
22,,600381.SH,600381
33,AI大模型+鸿蒙安全+移动安全,000004.SZ,000004
33,,002076.SZ,002076
17,热水锅炉+燃气锅炉,603391.SH,603391
17,春节档+AI漫剧+院线龙头,603103.SH,603103
17,算力租赁+英伟达链+年报预增,603629.SH,603629
17,,600489.SH,600489
17,业绩扭亏+AI营销+短剧出海,603598.SH,603598
17,业绩预增+煤电一体化+贵州国资,600395.SH,600395
17,,601958.SH,601958
33,,003042.SZ,003042
17,,600172.SH,600172
17,农业种植+葡萄酒+中字头+AMC,600084.SH,600084
33,,000878.SZ,000878
17,SK海力士+封测+国企+存储芯片,600667.SH,600667
33,AI传媒+住宅装饰+数字化平台,002830.SZ,002830
17,,600497.SH,600497
33,,002218.SZ,002218
22,天然气+服装+*ST风险,600107.SH,600107
22,,600243.SH,600243
33,,002023.SZ,002023
17,磷系阻燃剂+锂电池+复星控股,603010.SH,603010
22,业绩预盈+股权转让终止+风电模具,600421.SH,600421
22,业绩预盈+ST板块+烟花爆竹,600599.SH,600599
17,光通信/CPO+高压电缆+超薄铜箔,603618.SH,603618
17,,600868.SH,600868
33,,002160.SZ,002160
17,,601168.SH,601168
33,,000975.SZ,000975
33,商业航天+扭亏为盈+T/R芯片,001270.SZ,001270
33,液冷服务器+宁德时代+股权激励,300731.SZ,300731
22,,600355.SH,600355
17,AI眼镜+光模块+SiP模组,601231.SH,601231
17,CPO+海缆+深海科技,600487.SH,600487
17,家纺+外销+未来工厂,605003.SH,605003
17,,601600.SH,601600
33,环氧丙烷+技改试产+硬泡聚醚,002165.SZ,002165
17,,603132.SH,603132
33,,002578.SZ,002578
33,白酒+区域强牌+控股股东增持,000995.SZ,000995
17,,603979.SH,603979
33,,002295.SZ,002295
22,酱香型白酒+退市风险+直播电商,600696.SH,600696
17,半导体洁净室+长鑫合作+海外扩张,601133.SH,601133
33,锂电闭环+负极放量+精细化工,002455.SZ,002455
33,业绩预增+AI营销+拼多多概念,300805.SZ,300805
22,氢能物流+冷链物流+电商物流,603813.SH,603813
33,扭亏为盈+远洋渔业+央企,000798.SZ,000798
33,,002898.SZ,002898
33,CPO+拟并购恒扬数据+消费电子,301486.SZ,301486
17,造纸+资产优化+减亏,603863.SH,603863
17,空芯光纤+算力网络+CPO,601869.SH,601869
17,业绩预增+电驱动+欧洲出口,688280.SH,688280
17,REITs调整+百货零售+川超消费,600828.SH,600828
17,,600490.SH,600490
33,,002667.SZ,002667
33,,002237.SZ,002237
17,,600301.SH,600301
17,,600187.SH,600187
17,铌酸锂晶体+商业航天+PCB+回购,600330.SH,600330
33,业绩预增+半导体设备+汽车电子,002137.SZ,002137
17,年报扭亏+益生菌+湿巾出口,603059.SH,603059
17,拓竹合作+机器人+三维扫描,688583.SH,688583
17,,600988.SH,600988
17,,603900.SH,603900
33,,002828.SZ,002828
33,,000826.SZ,000826
17,,603212.SH,603212
17,,600219.SH,600219
33,PEEK材料+铬盐+维生素涨价,002562.SZ,002562
17,分散染料涨价+聚酰亚胺+越南子公司,603172.SH,603172
33,,000546.SZ,000546
33,,002214.SZ,002214
17,,600459.SH,600459
33,,000603.SZ,000603
17,银河通用合作+人形机器人+汽车零部件+粉末冶金,603331.SH,603331
17,,600547.SH,600547
33,,000758.SZ,000758
